Rk,Mgr,Tm,W,L,W-L%,Ties,G,Finish,Wpost,Lpost,W-L%post,Challenges,Overturned,Overturn%,Ejections
1,Jeff Banister,TEX,64,88,.421,0,152,5.0,,,,40,16,40.0%,2
2,Bud Black,COL,91,72,.558,0,163,2.0,1,3,.250,46,24,52.2%,2
3,Bruce Bochy,SFG,73,89,.451,0,162,4.0,,,,31,23,74.2%,2
4,Aaron Boone,NYY,100,62,.617,0,162,2.0,2,3,.400,35,26,74.3%,3
5,Mickey Callaway,NYM,77,85,.475,0,162,4.0,,,,29,15,51.7%,2
6,Kevin Cash,TBR,90,72,.556,0,162,3.0,,,,54,26,48.1%,1
7,Alex Cora,BOS,108,54,.667,0,162,1.0,11,3,.786,43,22,51.2%,1
8,Craig Counsell,MIL,96,67,.589,0,163,1.0,6,4,.600,34,7,20.6%,5
9,Terry Francona,CLE,91,71,.562,0,162,1.0,0,3,.000,37,16,43.2%,0
10,Ron Gardenhire,DET,64,98,.395,0,162,3.0,,,,32,19,59.4%,3
11,John Gibbons,TOR,73,89,.451,0,162,4.0,,,,39,18,46.2%,7
12,Andy Green,SDP,66,96,.407,0,162,5.0,,,,44,19,43.2%,4
13,AJ Hinch,HOU,103,59,.636,0,162,1.0,4,4,.500,34,14,41.2%,2
14,Clint Hurdle,PIT,82,79,.509,0,161,4.0,,,,48,23,47.9%,3
15,Gabe Kapler,PHI,80,82,.494,0,162,3.0,,,,44,27,61.4%,0
16,Torey Lovullo,ARI,82,80,.506,0,162,3.0,,,,45,26,57.8%,1
17,Joe Maddon,CHC,95,68,.583,0,163,2.0,0,1,.000,43,27,62.8%,3
18,Dave Martinez,WSN,82,80,.506,0,162,2.0,,,,40,21,52.5%,1
19,Mike Matheny,STL,47,46,.505,0,93,3.0,,,,33,14,42.4%,0
20,Don Mattingly,MIA,63,98,.391,0,161,5.0,,,,41,22,53.7%,2
21,Bob Melvin,OAK,97,65,.599,0,162,2.0,0,1,.000,42,21,50.0%,2
22,Paul Molitor,MIN,78,84,.481,0,162,2.0,,,,45,21,46.7%,2
23,Bryan Price,CIN,3,15,.167,0,18,5.0,,,,4,2,50.0%,0
24,Rick Renteria,CHW,62,100,.383,0,162,4.0,,,,40,20,50.0%,5
25,Jim Riggleman,CIN,64,80,.444,0,144,5.0,,,,34,12,35.3%,1
26,Dave Roberts,LAD,92,71,.564,0,163,1.0,8,8,.500,39,18,46.2%,0
27,Mike Scioscia,LAA,80,82,.494,0,162,4.0,,,,42,23,54.8%,2
28,Scott Servais,SEA,89,73,.549,0,162,3.0,,,,37,13,35.1%,3
29,Mike Shildt,STL,41,28,.594,0,69,3.0,,,,14,4,28.6%,2
30,Buck Showalter,BAL,47,115,.290,0,162,5.0,,,,27,15,55.6%,1
31,Brian Snitker,ATL,90,72,.556,0,162,1.0,1,3,.250,45,18,40.0%,3
32,Don Wakamatsu,TEX,3,7,.300,0,10,5.0,,,,2,1,50.0%,0
33,Ned Yost,KCR,58,104,.358,0,162,5.0,,,,41,31,75.6%,1
,,,2431,2431,.500,0,4862,,33,33,.500,1204,604,50.2%,66
