Rk,Tm,Lg,G,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,=.500,<.500,last10,last20,last30
1,BOS,AL,162,108,54,.667,W 1,5.4,4.0,1.4,-0.2,1.2,103-59,5,16-4,57-24,51-30,8-5,25-14,87-38,21-16,41-33,67-21,5-5,11-9,18-12
2,HOU,AL,162,103,59,.636,L 1,4.9,3.3,1.6,-0.1,1.5,109-53,-6,13-7,46-35,57-24,5-6,24-24,66-36,37-23,41-38,62-21,8-2,14-6,22-8
3,NYY,AL,162,100,62,.617,L 1,5.3,4.1,1.1,-0.2,0.9,99-63,1,11-9,53-28,47-34,9-5,23-17,70-47,30-15,41-30,59-32,7-3,11-9,16-14
4,OAK,AL,162,97,65,.599,L 1,5.0,4.2,0.9,0.0,0.8,95-67,2,12-8,50-31,47-34,13-6,31-14,65-40,32-25,33-40,64-25,6-4,12-8,18-12
5,MIL,NL,163,96,67,.589,W 8,4.6,4.0,0.6,0.0,0.6,91-72,5,13-7,51-30,45-37,9-7,33-19,72-48,24-19,49-46,47-21,9-1,15-5,23-7
6,CHC,NL,163,95,68,.583,L 1,4.7,4.0,0.7,0.0,0.7,94-69,1,13-7,51-31,44-37,11-8,26-25,73-55,22-13,49-46,46-22,6-4,12-8,16-14
7,LAD,NL,163,92,71,.564,W 4,4.9,3.7,1.2,0.1,1.2,102-61,-10,12-8,45-37,47-34,8-7,22-22,52-46,40-25,51-38,41-33,7-3,14-6,20-10
8,CLE,AL,162,91,71,.562,W 1,5.0,4.0,1.0,-0.4,0.6,98-64,-7,12-8,49-32,42-39,4-9,22-24,69-50,22-21,23-31,68-40,6-4,10-10,16-14
9,COL,NL,163,91,72,.558,L 1,4.8,4.6,0.2,0.2,0.4,85-78,6,13-7,47-34,44-38,5-6,26-15,58-45,33-27,48-44,43-28,8-2,12-8,19-11
10,ATL,NL,162,90,72,.556,L 2,4.7,4.1,0.6,0.0,0.6,92-70,-2,8-12,43-38,47-34,6-8,23-12,69-46,21-26,38-40,52-32,6-4,12-8,16-14
11,TBR,AL,162,90,72,.556,W 2,4.4,4.0,0.4,-0.1,0.3,89-73,1,7-13,51-30,39-42,5-7,28-31,63-52,27-20,34-39,56-33,5-5,12-8,20-10
12,SEA,AL,162,89,73,.549,W 3,4.2,4.4,-0.2,0.1,-0.1,77-85,12,6-14,45-36,44-37,14-1,36-21,59-49,30-24,39-38,50-35,5-5,11-9,15-15
13,STL,NL,162,88,74,.543,L 1,4.7,4.3,0.4,0.0,0.4,88-74,0,11-9,43-38,45-36,8-8,22-22,61-52,27-22,50-43,38-31,4-6,10-10,14-16
14,PIT,NL,161,82,79,.509,W 1,4.3,4.3,0.0,0.1,0.1,80-81,2,15-5,44-36,38-43,7-5,29-22,61-52,21-27,39-53,43-26,5-5,12-8,18-12
15,WSN,NL,162,82,80,.506,L 1,4.8,4.2,0.5,0.0,0.5,90-72,-8,9-11,41-40,41-40,4-10,18-24,64-52,18-28,33-44,49-36,5-5,12-8,16-14
16,ARI,NL,162,82,80,.506,L 1,4.3,4.0,0.3,0.2,0.5,86-76,-4,10-10,40-41,42-39,5-9,20-31,54-50,28-30,42-48,40-32,4-6,6-14,10-20
17,PHI,NL,162,80,82,.494,W 2,4.2,4.5,-0.3,0.1,-0.3,76-86,4,12-8,49-32,31-50,8-6,23-18,59-66,21-16,44-50,36-32,2-8,6-14,10-20
18,LAA,AL,162,80,82,.494,W 1,4.5,4.5,0.0,0.1,0.1,81-81,-1,10-10,42-39,38-43,5-7,26-15,58-53,22-29,35-61,45-21,5-5,10-10,16-14
19,MIN,AL,162,78,84,.481,W 6,4.6,4.8,-0.2,-0.3,-0.5,77-85,1,8-12,49-32,29-52,5-8,15-21,57-59,21-25,29-47,49-37,7-3,13-7,16-14
20,NYM,NL,162,77,85,.475,W 2,4.2,4.4,-0.2,0.1,-0.1,78-84,-1,8-12,37-44,40-41,9-9,16-26,59-61,18-24,40-57,37-28,7-3,12-8,19-11
21,SFG,NL,162,73,89,.451,L 4,3.7,4.3,-0.6,0.3,-0.3,70-92,3,8-12,42-39,31-50,11-10,26-30,44-54,29-35,47-63,26-26,1-9,5-15,8-22
22,TOR,AL,162,73,89,.451,L 2,4.4,5.1,-0.8,0.0,-0.7,69-93,4,13-7,40-41,33-48,10-6,23-17,58-51,15-38,31-60,42-29,4-6,9-11,13-17
23,CIN,NL,162,67,95,.414,L 1,4.3,5.1,-0.8,0.2,-0.6,69-93,-2,10-10,37-44,30-51,7-12,10-29,45-69,22-26,44-71,23-24,2-8,7-13,10-20
24,TEX,AL,162,67,95,.414,L 3,4.5,5.2,-0.7,0.1,-0.6,71-91,-4,9-11,34-47,33-48,7-7,12-19,45-60,22-35,33-61,34-34,3-7,6-14,9-21
25,SDP,NL,162,66,96,.407,W 1,3.8,4.7,-0.9,0.3,-0.7,65-97,1,7-13,31-50,35-46,5-11,22-21,47-59,19-37,42-66,24-30,6-4,10-10,16-14
26,DET,AL,162,64,98,.395,L 5,3.9,4.9,-1.0,-0.2,-1.2,64-98,0,6-14,38-43,26-55,5-5,22-30,45-74,19-24,21-53,43-45,3-7,5-15,11-19
