Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,ATL,,PHI,W-wo,8,5,,1-0,1,Tied,Vizcaino,Neris,,3:28,D,40208,+,
2,Friday Mar 30,boxscore,ATL,,PHI,L,4,5,11,1-1,3,0.5,Hutchison,Carle,,4:16,N,35123,-,
3,Saturday Mar 31,boxscore,ATL,,PHI,W,15,2,,2-1,3,0.5,McCarthy,Velasquez,,3:21,N,37777,+,
4,Monday Apr 2,boxscore,ATL,,WSN,L,1,8,,2-2,3,2.0,Roark,Newcomb,,2:55,N,25054,-,
5,Tuesday Apr 3,boxscore,ATL,,WSN,W,13,6,,3-2,3,1.0,Carle,Cole,,3:10,N,26782,+,
6,Wednesday Apr 4,boxscore,ATL,,WSN,W,7,1,,4-2,2,0.5,Foltynewicz,Scherzer,,3:06,D,29834,++,
7,Friday Apr 6,boxscore,ATL,@,COL,W,8,3,,5-2,2,0.5,McCarthy,Marquez,,2:56,D,48216,+++,
8,Saturday Apr 7,boxscore,ATL,@,COL,L-wo,2,3,10,5-3,2,1.5,Ottavino,Vizcaino,,3:28,N,40120,-,
9,Sunday Apr 8,boxscore,ATL,@,COL,W,4,0,,6-3,2,1.5,Newcomb,Freeland,,2:26,D,42031,+,
10,Monday Apr 9,boxscore,ATL,@,WSN,L,0,2,,6-4,2,2.5,Scherzer,Teheran,,2:21,N,19528,-,
11,Tuesday Apr 10,boxscore,ATL,@,WSN,L,1,4,,6-5,2,3.5,Strasburg,Foltynewicz,Madson,2:44,N,19357,--,
12,Wednesday Apr 11,boxscore,ATL,@,WSN,W,5,3,12,7-5,2,3.5,Carle,Madson,,3:43,D,21109,+,
13,Friday Apr 13,boxscore,ATL,@,CHC,W,4,0,,8-5,2,3.5,Sanchez,Darvish,,3:09,D,29775,++,
14,Saturday Apr 14,boxscore,ATL,@,CHC,L,10,14,,8-6,3,3.5,Wilson,Ramirez,,3:43,D,36788,-,
15,Monday Apr 16,boxscore,ATL,,PHI,W,2,1,,9-6,2,3.0,Teheran,Nola,Vizcaino,2:40,N,17812,+,
16,Tuesday Apr 17,boxscore,ATL,,PHI,L,1,5,10,9-7,3,3.0,Neris,Ramirez,,3:36,N,17913,-,
17,Wednesday Apr 18,boxscore,ATL,,PHI,W,7,3,,10-7,2,3.0,McCarthy,Velasquez,,3:08,N,22135,+,
18,Thursday Apr 19,boxscore,ATL,,NYM,W,12,4,,11-7,2,2.0,Wisler,Harvey,,3:00,N,23610,++,
19,Friday Apr 20,boxscore,ATL,,NYM,L,3,5,12,11-8,3,3.0,Gsellman,Ravin,Familia,3:51,N,39016,-,
20,Saturday Apr 21,boxscore,ATL,,NYM,W-wo,4,3,,12-8,3,2.0,Biddle,Familia,,3:07,N,41396,+,
21,Monday Apr 23,boxscore,ATL,@,CIN,L,4,10,,12-9,3,2.5,Romano,Freeman,Iglesias,3:11,N,9463,-,
22,Tuesday Apr 24,boxscore,ATL,@,CIN,L-wo,7,9,12,12-10,3,3.5,Hughes,Fried,,4:06,N,14139,--,
23,Wednesday Apr 25,boxscore,ATL,@,CIN,W,5,4,,13-10,3,2.5,Winkler,Shackelford,Minter,3:07,N,13113,+,
24,Thursday Apr 26,boxscore,ATL,@,CIN,W,7,4,,14-10,3,1.5,Freeman,Peralta,Vizcaino,2:41,D,11919,++,
25,Friday Apr 27,boxscore,ATL,@,PHI,L,3,7,,14-11,3,2.5,Nola,Fried,,2:50,N,27076,-,
26,Saturday Apr 28,boxscore,ATL,@,PHI,W,4,1,,15-11,3,1.5,Foltynewicz,Pivetta,Vizcaino,3:10,N,27794,+,
27,Sunday Apr 29,boxscore,ATL,@,PHI,W,10,1,,16-11,2,1.5,McCarthy,Velasquez,,3:26,D,31010,++,
28,Tuesday May 1,boxscore,ATL,@,NYM,W,3,2,,17-11,2,0.5,Soroka,Syndergaard,Vizcaino,2:43,N,22527,+++,
29,Wednesday May 2,boxscore,ATL,@,NYM,W,7,0,,18-11,1,up 0.5,Newcomb,Sewald,,2:24,N,23528,++++,
30,Thursday May 3,boxscore,ATL,@,NYM,W,11,0,,19-11,1,up 1.5,Teheran,Vargas,,2:40,D,26882,+++++,
31,Friday May 4,boxscore,ATL,,SFG,L,4,9,,19-12,1,up 1.5,Stratton,Foltynewicz,,2:45,N,41807,-,
32,Saturday May 5,boxscore,ATL,,SFG,L,2,11,,19-13,1,up 1.0,Blach,McCarthy,,2:58,N,38264,--,
33,Sunday May 6,boxscore,ATL,,SFG,L,3,4,,19-14,1,up 1.0,Suarez,Soroka,Strickland,3:09,D,37896,---,
34,Tuesday May 8,boxscore,ATL,@,TBR,W,1,0,,20-14,1,up 0.5,Newcomb,Snell,Vizcaino,2:55,N,15382,+,
35,Wednesday May 9,boxscore,ATL,@,TBR,W,5,2,,21-14,1,up 0.5,Teheran,Yarbrough,Vizcaino,2:51,N,12082,++,
36,Thursday May 10,boxscore,ATL,@,MIA,W,9,2,,22-14,1,up 0.5,Foltynewicz,Smith,Gohara,3:00,N,8277,+++,
