Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,CHC,@,MIA,W,8,4,,1-0,1,Tied,Cishek,Urena,,3:18,D,32151,+,
2,Friday Mar 30,boxscore,CHC,@,MIA,L-wo,1,2,17,1-1,3,1.0,Despaigne,Butler,,5:18,N,12034,-,
3,Saturday Mar 31,boxscore,CHC,@,MIA,W,10,6,10,2-1,2,1.0,Strop,Ziegler,,3:57,N,13422,+,
4,Sunday Apr 1,boxscore,CHC,@,MIA,L,0,6,,2-2,3,1.5,Peters,Quintana,,2:36,D,10428,-,
5,Monday Apr 2,boxscore,CHC,@,CIN,L,0,1,,2-3,4,2.5,Mahle,Chatwood,Iglesias,2:33,D,18963,--,
6,Thursday Apr 5,boxscore,CHC,@,MIL,W,8,0,,3-3,3,2.0,Lester,Suter,,2:52,N,24310,+,
7,Friday Apr 6,boxscore,CHC,@,MIL,L-wo,4,5,,3-4,3,3.0,Albers,Montgomery,,3:45,N,37758,-,
8,Saturday Apr 7,boxscore,CHC,@,MIL,W,5,2,,4-4,3,2.0,Strop,Barnes,Morrow,3:26,D,43331,+,
9,Sunday Apr 8,boxscore,CHC,@,MIL,W,3,0,,5-4,2,2.0,Quintana,Anderson,Morrow,2:41,D,39282,++,
10,Tuesday Apr 10,boxscore,CHC,,PIT,L,5,8,,5-5,2,3.0,Nova,Chatwood,Vazquez,3:05,D,40144,-,
11,Wednesday Apr 11,boxscore,CHC,,PIT,W,13,5,,6-5,2,2.0,Duensing,Glasnow,,2:59,N,35596,+,
12,Thursday Apr 12,boxscore,CHC,,PIT,L,1,6,,6-6,3,3.0,Williams,Hendricks,,2:57,D,29949,-,
13,Friday Apr 13,boxscore,CHC,,ATL,L,0,4,,6-7,4,3.0,Sanchez,Darvish,,3:09,D,29775,--,
14,Saturday Apr 14,boxscore,CHC,,ATL,W,14,10,,7-7,4,3.0,Wilson,Ramirez,,3:43,D,36788,+,
15,Tuesday Apr 17,boxscore,CHC,,STL,L,3,5,,7-8,4,3.0,Wainwright,Chatwood,Norris,3:33,N,35103,-,
16,Thursday Apr 19,boxscore,CHC,,STL,W,8,5,,8-8,4,2.5,Lester,Weaver,Morrow,3:10,D,29648,+,
17,Friday Apr 20,boxscore,CHC,@,COL,W,16,5,,9-8,4,1.5,Hendricks,Gray,,3:30,N,35290,++,
18,Saturday Apr 21,boxscore,CHC,@,COL,L,2,5,,9-9,4,2.0,Anderson,Darvish,Davis,3:03,N,40107,-,
19,Sunday Apr 22,boxscore,CHC,@,COL,W,9,7,,10-9,4,2.0,Quintana,Marquez,Morrow,3:47,D,48137,+,
20,Tuesday Apr 24,boxscore,CHC,@,CLE,W,10,3,,11-9,3,2.0,Chatwood,Tomlin,,3:00,N,16408,++,
21,Wednesday Apr 25,boxscore,CHC,@,CLE,L,1,4,,11-10,4,3.0,Bauer,Lester,Allen,2:50,N,15712,-,
22,Thursday Apr 26,boxscore,CHC,,MIL,W,1,0,,12-10,4,2.0,Hendricks,Anderson,Morrow,2:22,N,37197,+,
23,Friday Apr 27,boxscore,CHC,,MIL,W,3,2,,13-10,4,1.0,Strop,Jennings,Morrow,3:03,D,35579,++,
24,Saturday Apr 28,boxscore,CHC,,MIL,W,3,0,,14-10,2,0.5,Quintana,Guerra,,2:37,D,40147,+++,
25,Sunday Apr 29,boxscore,CHC,,MIL,W,2,0,,15-10,2,0.5,Chatwood,Davies,Morrow,2:35,D,40895,++++,
26,Monday Apr 30,boxscore,CHC,,COL,W,3,2,,16-10,1,up 0.5,Farrell,Freeland,Cishek,2:57,N,35922,+++++,
27,Tuesday May 1,boxscore,CHC,,COL,L,1,3,,16-11,1,Tied,Gray,Hendricks,Davis,2:24,N,40077,-,
28,Wednesday May 2,boxscore,CHC,,COL,L,2,11,,16-12,3,1.0,Anderson,Darvish,,3:05,D,32909,--,
29,Friday May 4,boxscore,CHC,@,STL,L,2,3,,16-13,3,1.5,Mikolas,Quintana,Norris,2:58,N,46099,---,
30,Saturday May 5,boxscore,CHC,@,STL,L-wo,6,8,10,16-14,3,2.5,Lyons,Farrell,,3:42,D,47154,----,
31,Sunday May 6,boxscore,CHC,@,STL,L-wo,3,4,14,16-15,4,3.5,Mayers,Farrell,,4:46,N,45438,-----,
32,Monday May 7,boxscore,CHC,,MIA,W,14,2,,17-15,4,2.5,Hendricks,Garcia,,2:48,N,37333,+,
33,Tuesday May 8,boxscore,CHC,,MIA,W,4,3,,18-15,4,1.5,Edwards,Barraclough,Morrow,2:38,N,40051,++,
34,Wednesday May 9,boxscore,CHC,,MIA,W,13,4,,19-15,4,1.0,Quintana,Chen,,3:13,D,34486,+++,
35,Friday May 11,boxscore,CHC,,CHW,W,11,2,,20-15,4,1.5,Chatwood,Fulmer,,3:45,D,39585,++++,
36,Saturday May 12,boxscore,CHC,,CHW,W,8,4,,21-15,3,0.5,Lester,Shields,Morrow,3:20,D,41099,+++++,
37,Sunday May 13,boxscore,CHC,,CHW,L,3,5,,21-16,4,1.0,Giolito,Hendricks,Rondon,2:47,D,40537,-,
38,Monday May 14,boxscore,CHC,,ATL,L,5,6,,21-17,4,2.0,Teheran,Quintana,Minter,3:14,D,35946,--,
39,Tuesday May 15,boxscore,CHC,@,ATL,W,3,2,,22-17,3,1.0,Edwards,Vizcaino,Morrow,2:51,N,34452,+,
40,Wednesday May 16,boxscore,CHC,@,ATL,L,1,4,,22-18,4,2.0,Minter,Edwards,Vizcaino,2:55,N,28264,-,
41,Friday May 18,boxscore,CHC,@,CIN,W,8,1,,23-18,4,2.0,Lester,Bailey,,3:17,N,22060,+,
42,Saturday May 19 (1),boxscore,CHC,@,CIN,L-wo,4,5,11,23-19,3,2.5,Floro,Wilson,,3:38,D,19046,-,
43,Saturday May 19 (2),boxscore,CHC,@,CIN,W,10,0,,24-19,3,2.5,Quintana,Romano,,2:57,N,26082,+,
44,Sunday May 20,boxscore,CHC,@,CIN,W,6,1,,25-19,2,1.5,Darvish,Mahle,,2:51,D,26988,++,
45,Tuesday May 22,boxscore,CHC,,CLE,L,1,10,,25-20,3,3.0,Bauer,Chatwood,,3:20,N,37168,-,
46,Wednesday May 23,boxscore,CHC,,CLE,L,0,1,,25-21,4,4.0,Plutko,Lester,Allen,2:39,N,39004,--,
47,Friday May 25,boxscore,CHC,,SFG,W,6,2,,26-21,3,3.5,Hendricks,Holland,Morrow,2:46,D,41177,+,
48,Saturday May 26,boxscore,CHC,,SFG,L,4,5,,26-22,4,4.5,Stratton,Quintana,Strickland,3:04,N,41250,-,
49,Sunday May 27,boxscore,CHC,,SFG,W,8,3,,27-22,3,4.5,Rosario,Blach,,3:31,N,41587,+,
50,Monday May 28,boxscore,CHC,@,PIT,W,7,0,,28-22,2,4.5,Montgomery,Kuhl,,2:53,D,19382,++,
51,Tuesday May 29,boxscore,CHC,@,PIT,W,8,6,,29-22,2,3.5,Lester,Santana,Morrow,3:03,N,11475,+++,
52,Wednesday May 30,boxscore,CHC,@,PIT,L,1,2,,29-23,2,4.5,Musgrove,Hendricks,Vazquez,2:50,N,14126,-,
53,Thursday May 31,boxscore,CHC,@,NYM,W,5,1,,30-23,2,4.0,Quintana,Robles,Morrow,3:02,N,34458,+,
54,Friday Jun 1,boxscore,CHC,@,NYM,W,7,4,,31-23,2,3.0,Rosario,Sewald,Morrow,3:20,N,37183,++,
55,Saturday Jun 2,boxscore,CHC,@,NYM,W,7,1,14,32-23,2,3.0,Farrell,Baumann,,4:53,N,32817,+++,
56,Sunday Jun 3,boxscore,CHC,@,NYM,W,2,0,,33-23,2,2.0,Lester,Matz,Duensing,2:30,D,34946,++++,
57,Tuesday Jun 5,boxscore,CHC,,PHI,L,1,6,,33-24,2,2.0,Eflin,Hendricks,,2:46,N,40553,-,
58,Wednesday Jun 6,boxscore,CHC,,PHI,W-wo,7,5,,34-24,2,1.0,Mazzoni,Morgan,,3:20,N,40275,+,
59,Thursday Jun 7,boxscore,CHC,,PHI,W,4,3,,35-24,2,0.5,Duensing,Pivetta,Morrow,3:20,D,40057,++,
60,Friday Jun 8,boxscore,CHC,,PIT,W,3,1,,36-24,2,0.5,Montgomery,Kuhl,Strop,3:00,D,40097,+++,
61,Saturday Jun 9,boxscore,CHC,,PIT,W,2,0,,37-24,2,0.5,Lester,Kingham,Cishek,2:32,D,41045,++++,
62,Sunday Jun 10,boxscore,CHC,,PIT,L,1,7,,37-25,2,0.5,Nova,Hendricks,,3:22,D,40735,-,
