Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,CHW,@,KCR,W,14,7,,1-0,1,up 0.5,Shields,Duffy,,3:26,D,36517,+,
2,Saturday Mar 31,boxscore,CHW,@,KCR,W,4,3,,2-0,1,up 1.0,Farquhar,Maurer,Soria,2:54,N,17564,++,
3,Monday Apr 2,boxscore,CHW,@,TOR,L,2,4,,2-1,1,up 0.5,Oh,Farquhar,Osuna,2:51,N,16629,-,
4,Tuesday Apr 3,boxscore,CHW,@,TOR,L,5,14,,2-2,1,Tied,Happ,Gonzalez,,3:27,N,17451,--,
5,Wednesday Apr 4,boxscore,CHW,@,TOR,W,4,3,,3-2,1,Tied,Jones,Tepera,Soria,2:56,N,17268,+,
6,Thursday Apr 5,boxscore,CHW,,DET,L,7,9,10,3-3,2,1.0,Jimenez,Infante,Greene,4:03,D,33318,-,
7,Saturday Apr 7,boxscore,CHW,,DET,L,1,6,,3-4,2,1.0,Fulmer,Giolito,,3:39,D,16625,--,
8,Sunday Apr 8,boxscore,CHW,,DET,L,0,1,,3-5,4,1.5,Fiers,Lopez,Greene,2:38,D,11131,---,
9,Monday Apr 9,boxscore,CHW,,TBR,L,4,5,,3-6,5,1.5,Archer,Gonzalez,Colome,3:47,D,10377,----,
10,Tuesday Apr 10,boxscore,CHW,,TBR,L,5,6,,3-7,5,2.5,Snell,Fulmer,Colome,3:44,D,10069,-----,
11,Wednesday Apr 11,boxscore,CHW,,TBR,W,2,1,,4-7,3,2.5,Rondon,Pruitt,Jones,3:02,D,10431,+,
12,Thursday Apr 12,boxscore,CHW,@,MIN,L,0,4,,4-8,3,3.5,Berrios,Giolito,,2:55,N,15474,-,
13,Monday Apr 16,boxscore,CHW,@,OAK,L,1,8,,4-9,3,4.0,Mengden,Lopez,,2:56,N,7479,--,
14,Tuesday Apr 17,boxscore,CHW,@,OAK,L,2,10,,4-10,4,4.5,Cahill,Gonzalez,,2:56,N,46028,---,
15,Wednesday Apr 18,boxscore,CHW,@,OAK,L-wo,11,12,14,4-11,4,5.0,Trivino,Shields,,5:48,D,13321,----,
16,Friday Apr 20,boxscore,CHW,,HOU,L,0,10,,4-12,4,5.0,Verlander,Shields,,3:04,N,14211,-----,
17,Saturday Apr 21,boxscore,CHW,,HOU,L,1,10,,4-13,4,5.5,Keuchel,Giolito,,3:13,N,23902,------,
18,Sunday Apr 22,boxscore,CHW,,HOU,L,1,7,,4-14,4,6.5,McCullers,Bummer,,3:20,D,17167,-------,
19,Monday Apr 23,boxscore,CHW,,SEA,W,10,4,,5-14,4,6.5,Fulmer,Leake,Beck,2:56,N,13614,+,
20,Tuesday Apr 24,boxscore,CHW,,SEA,L,0,1,,5-15,4,6.5,Gonzales,Volstad,Diaz,2:52,D,10761,-,
21,Wednesday Apr 25,boxscore,CHW,,SEA,L,3,4,,5-16,4,7.5,Hernandez,Shields,Diaz,2:57,D,11417,--,
22,Thursday Apr 26,boxscore,CHW,@,KCR,W,6,3,,6-16,4,6.5,Giolito,Junis,Soria,3:08,N,18315,+,
23,Friday Apr 27,boxscore,CHW,@,KCR,W,7,4,11,7-16,4,6.5,Infante,Hill,Soria,3:34,N,15395,++,
24,Saturday Apr 28 (1),boxscore,CHW,@,KCR,W,8,0,,8-16,4,6.0,Fulmer,Oaks,,2:49,D,16971,+++,
25,Saturday Apr 28 (2),boxscore,CHW,@,KCR,L,2,5,,8-17,4,6.0,Skoglund,Covey,Herrera,2:39,N,16070,-,
26,Sunday Apr 29,boxscore,CHW,@,KCR,L,4,5,,8-18,4,6.0,McCarthy,Rondon,Boyer,3:19,D,23892,--,
27,Tuesday May 1,boxscore,CHW,@,STL,L-wo,2,3,,8-19,4,6.5,Norris,Soria,,2:56,N,38800,---,
28,Wednesday May 2,boxscore,CHW,@,STL,L,2,3,,8-20,4,7.5,Martinez,Giolito,Norris,2:37,D,37298,----,
29,Thursday May 3,boxscore,CHW,,MIN,W-wo,6,5,,9-20,4,7.0,Jones,Reed,,2:54,N,13260,+,
30,Friday May 4,boxscore,CHW,,MIN,L,4,6,,9-21,4,7.0,Berrios,Fulmer,Rodney,3:19,N,15935,-,
31,Saturday May 5,boxscore,CHW,,MIN,L,4,8,,9-22,4,7.0,Lynn,Santiago,,3:23,N,23765,--,
32,Sunday May 6,boxscore,CHW,,MIN,L,3,5,,9-23,5,7.0,Duke,Rondon,Rodney,2:56,D,17424,---,
33,Tuesday May 8,boxscore,CHW,,PIT,L,6,10,,9-24,5,7.0,Glasnow,Volstad,,3:53,N,12871,----,
34,Wednesday May 9,boxscore,CHW,,PIT,L,5,6,,9-25,5,8.0,Rodriguez,Jones,Vazquez,2:46,D,12476,-----,
35,Friday May 11,boxscore,CHW,@,CHC,L,2,11,,9-26,5,8.0,Chatwood,Fulmer,,3:45,D,39585,------,
36,Saturday May 12,boxscore,CHW,@,CHC,L,4,8,,9-27,5,9.0,Lester,Shields,Morrow,3:20,D,41099,-------,
37,Sunday May 13,boxscore,CHW,@,CHC,W,5,3,,10-27,5,9.0,Giolito,Hendricks,Rondon,2:47,D,40537,+,
38,Tuesday May 15,boxscore,CHW,@,PIT,L,0,7,,10-28,5,8.5,Williams,Lopez,,3:03,N,11847,-,
39,Wednesday May 16,boxscore,CHW,@,PIT,L,2,3,,10-29,5,9.5,Santana,Soria,Vazquez,2:45,D,20286,--,
40,Thursday May 17,boxscore,CHW,,TEX,W,4,2,,11-29,5,9.0,Avilan,Leclerc,Jones,2:54,N,17666,+,
41,Friday May 18,boxscore,CHW,,TEX,L,5,12,,11-30,5,9.0,Chavez,Fulmer,,3:52,N,16373,-,
42,Saturday May 19,boxscore,CHW,,TEX,W,5,3,,12-30,5,9.0,Giolito,Jurado,Jones,2:58,N,25611,+,
43,Sunday May 20,boxscore,CHW,,TEX,W,3,0,,13-30,4,8.0,Lopez,Minor,Fry,2:28,D,16829,++,
44,Monday May 21,boxscore,CHW,,BAL,L,2,3,,13-31,4,8.5,Cashner,Santiago,Brach,3:02,N,11628,-,
45,Tuesday May 22,boxscore,CHW,,BAL,W,3,2,,14-31,4,8.5,Rondon,Givens,Jones,3:03,N,12590,+,
46,Wednesday May 23,boxscore,CHW,,BAL,W,11,1,,15-31,4,8.5,Covey,Cobb,,2:54,N,17056,++,
47,Thursday May 24,boxscore,CHW,,BAL,L,3,9,,15-32,5,8.5,Bundy,Giolito,,3:00,D,19147,-,
48,Friday May 25,boxscore,CHW,@,DET,L,4,5,,15-33,5,8.5,Farmer,Rondon,Greene,2:51,N,24648,--,
49,Saturday May 26,boxscore,CHW,@,DET,W,8,4,,16-33,4,8.5,Santiago,Liriano,,3:16,D,27032,+,
50,Sunday May 27,boxscore,CHW,@,DET,L,2,3,,16-34,5,9.5,Hardy,Shields,Greene,2:17,D,23419,-,
51,Monday May 28,boxscore,CHW,@,CLE,L,6,9,,16-35,5,10.5,Plutko,Volstad,,3:12,D,23729,--,
52,Tuesday May 29,boxscore,CHW,@,CLE,L,3,7,,16-36,5,11.5,Clevinger,Giolito,,2:58,N,30441,---,
53,Wednesday May 30,boxscore,CHW,@,CLE,L,1,9,,16-37,5,12.5,Kluber,Lopez,,3:09,D,17930,----,
54,Friday Jun 1,boxscore,CHW,,MIL,W,8,3,,17-37,5,12.0,Avilan,Anderson,,3:00,N,20004,+,
