Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Friday Mar 30,boxscore,CIN,,WSN,L,0,2,,0-1,4,1.5,Scherzer,Bailey,Doolittle,3:09,D,43878,-,
2,Saturday Mar 31,boxscore,CIN,,WSN,L,7,13,,0-2,4,2.5,Strasburg,Castillo,,3:16,D,27341,--,
3,Sunday Apr 1,boxscore,CIN,,WSN,L,5,6,,0-3,5,3.0,Gonzalez,Romano,Doolittle,2:47,D,10355,---,
4,Monday Apr 2,boxscore,CIN,,CHC,W,1,0,,1-3,5,3.0,Mahle,Chatwood,Iglesias,2:33,D,18963,+,
5,Thursday Apr 5,boxscore,CIN,@,PIT,L,2,5,,1-4,5,3.5,Brault,Bailey,Vazquez,2:47,N,9227,-,
6,Friday Apr 6,boxscore,CIN,@,PIT,L,3,14,,1-5,5,4.5,Williams,Castillo,,3:26,N,11115,--,
7,Saturday Apr 7,boxscore,CIN,@,PIT,W,7,4,,2-5,5,3.5,Peralta,Kontos,Iglesias,3:09,N,14336,+,
8,Sunday Apr 8,boxscore,CIN,@,PIT,L,0,5,,2-6,5,4.5,Taillon,Mahle,,2:28,D,11251,-,
9,Monday Apr 9,boxscore,CIN,@,PHI,L,5,6,,2-7,5,5.0,Garcia,Quackenbush,Neris,3:22,N,18127,--,
10,Tuesday Apr 10,boxscore,CIN,@,PHI,L,1,6,,2-8,5,6.0,Nola,Hughes,,2:44,N,20895,---,
11,Wednesday Apr 11,boxscore,CIN,@,PHI,L-wo,3,4,12,2-9,5,6.0,Rios,Brice,,3:48,N,19099,----,
12,Thursday Apr 12,boxscore,CIN,,STL,L,4,13,,2-10,5,7.0,Wacha,Brice,Mayers,3:32,N,11128,-----,
13,Friday Apr 13,boxscore,CIN,,STL,L,3,5,,2-11,5,7.0,Weaver,Mahle,Norris,3:05,N,19561,------,
14,Saturday Apr 14,boxscore,CIN,,STL,L,1,6,,2-12,5,8.0,Mikolas,Finnegan,,2:43,D,19213,-------,
15,Sunday Apr 15,boxscore,CIN,,STL,L,2,3,,2-13,5,9.0,Martinez,Bailey,Norris,2:40,D,15557,--------,
16,Monday Apr 16,boxscore,CIN,@,MIL,W,10,4,,3-13,5,8.0,Castillo,Suter,,2:51,N,28677,+,
17,Tuesday Apr 17,boxscore,CIN,@,MIL,L,0,2,,3-14,5,8.0,Jennings,Romano,Hader,2:56,N,31345,-,
18,Wednesday Apr 18,boxscore,CIN,@,MIL,L,0,2,,3-15,5,9.0,Davies,Mahle,Barnes,2:42,D,27343,--,
19,Friday Apr 20,boxscore,CIN,@,STL,L,2,4,,3-16,5,8.5,Wacha,Finnegan,Norris,3:02,N,43303,---,
20,Saturday Apr 21,boxscore,CIN,@,STL,L,3,4,,3-17,5,9.0,Hicks,Hughes,,2:57,D,42382,----,
21,Sunday Apr 22,boxscore,CIN,@,STL,L,2,9,,3-18,5,10.0,Mikolas,Castillo,,2:37,D,44430,-----,
22,Monday Apr 23,boxscore,CIN,,ATL,W,10,4,,4-18,5,9.5,Romano,Freeman,Iglesias,3:11,N,9463,+,
23,Tuesday Apr 24,boxscore,CIN,,ATL,W-wo,9,7,12,5-18,5,9.5,Hughes,Fried,,4:06,N,14139,++,
24,Wednesday Apr 25,boxscore,CIN,,ATL,L,4,5,,5-19,5,10.5,Winkler,Shackelford,Minter,3:07,N,13113,-,
25,Thursday Apr 26,boxscore,CIN,,ATL,L,4,7,,5-20,5,10.5,Freeman,Peralta,Vizcaino,2:41,D,11919,--,
26,Friday Apr 27,boxscore,CIN,@,MIN,W,15,9,,6-20,5,9.5,Hernandez,Duffey,,4:00,N,25002,+,
27,Saturday Apr 28,boxscore,CIN,@,MIN,L,1,3,,6-21,5,10.0,Odorizzi,Romano,Rodney,2:58,D,27115,-,
28,Sunday Apr 29,boxscore,CIN,@,MIN,W,8,2,,7-21,5,10.0,Mahle,Berrios,,3:07,D,25677,+,
29,Monday Apr 30,boxscore,CIN,,MIL,L,5,6,,7-22,5,10.5,Woodruff,Peralta,Hader,3:02,N,9536,-,
30,Tuesday May 1,boxscore,CIN,,MIL,L,6,7,,7-23,5,10.5,Anderson,Bailey,Jeffress,3:18,N,12933,--,
31,Wednesday May 2,boxscore,CIN,,MIL,L,1,3,,7-24,5,11.5,Miley,Castillo,Jeffress,2:48,N,10346,---,
32,Friday May 4,boxscore,CIN,,MIA,W,4,1,,8-24,5,11.0,Romano,Chen,Iglesias,2:55,N,22610,+,
33,Saturday May 5,boxscore,CIN,,MIA,L,0,6,,8-25,5,12.0,Smith,Mahle,,2:40,N,19609,-,
34,Sunday May 6,boxscore,CIN,,MIA,L,5,8,,8-26,5,13.0,Wittgren,Finnegan,Ziegler,3:36,D,19800,--,
35,Monday May 7,boxscore,CIN,,NYM,L,6,7,,8-27,5,13.0,Gsellman,Bailey,Familia,2:47,N,15187,---,
36,Tuesday May 8,boxscore,CIN,,NYM,W,7,2,,9-27,5,12.0,Castillo,Vargas,,2:55,N,14804,+,
37,Wednesday May 9,boxscore,CIN,,NYM,W-wo,2,1,10,10-27,5,11.5,Iglesias,Ramos,,2:30,D,16452,++,
38,Thursday May 10,boxscore,CIN,@,LAD,W,4,1,,11-27,5,11.5,Mahle,Buehler,Iglesias,2:59,N,47383,+++,
39,Friday May 11,boxscore,CIN,@,LAD,W,6,2,,12-27,5,11.5,Brice,Maeda,Iglesias,3:28,N,46979,++++,
40,Saturday May 12,boxscore,CIN,@,LAD,W,5,3,,13-27,5,10.5,Bailey,Chargois,Hughes,3:17,N,49911,+++++,
41,Sunday May 13,boxscore,CIN,@,LAD,W,5,3,,14-27,5,10.0,Castillo,Hill,Iglesias,2:55,D,44787,++++++,
42,Monday May 14,boxscore,CIN,@,SFG,L,7,10,,14-28,5,11.0,Stratton,Romano,,3:02,N,36156,-,
43,Tuesday May 15,boxscore,CIN,@,SFG,L,3,5,,14-29,5,11.0,Johnson,Mahle,Strickland,2:53,N,37809,--,
44,Wednesday May 16,boxscore,CIN,@,SFG,W,6,3,,15-29,5,11.0,Hughes,Suarez,Iglesias,2:41,D,38662,+,
45,Friday May 18,boxscore,CIN,,CHC,L,1,8,,15-30,5,12.0,Lester,Bailey,,3:17,N,22060,-,
46,Saturday May 19 (1),boxscore,CIN,,CHC,W-wo,5,4,11,16-30,5,12.5,Floro,Wilson,,3:38,D,19046,+,
47,Saturday May 19 (2),boxscore,CIN,,CHC,L,0,10,,16-31,5,12.5,Quintana,Romano,,2:57,N,26082,-,
48,Sunday May 20,boxscore,CIN,,CHC,L,1,6,,16-32,5,12.5,Darvish,Mahle,,2:51,D,26988,--,
49,Tuesday May 22,boxscore,CIN,,PIT,W,7,2,,17-32,5,13.0,Harvey,Taillon,,2:49,N,16144,+,
50,Wednesday May 23,boxscore,CIN,,PIT,L,4,5,12,17-33,5,14.0,Brault,Floro,Crick,4:21,N,18659,-,
