Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,CLE,@,SEA,L,1,2,,0-1,3,1.0,Hernandez,Kluber,Diaz,2:35,N,47149,-,
2,Saturday Mar 31,boxscore,CLE,@,SEA,W,6,5,,1-1,2,1.0,Carrasco,Paxton,Allen,2:47,D,35881,+,
3,Sunday Apr 1,boxscore,CLE,@,SEA,L,4,5,,1-2,3,1.5,Leake,Otero,Diaz,2:57,D,24506,-,
4,Monday Apr 2,boxscore,CLE,@,LAA,W,6,0,,2-2,2,0.5,Clevinger,Ramirez,,3:25,N,43904,+,
5,Tuesday Apr 3,boxscore,CLE,@,LAA,L,2,13,,2-3,3,0.5,Richards,Tomlin,,2:49,N,35007,-,
6,Wednesday Apr 4,boxscore,CLE,@,LAA,L-wo,2,3,13,2-4,3,1.5,Ramirez,McAllister,,4:28,D,32412,--,
7,Friday Apr 6,boxscore,CLE,,KCR,W,3,2,,3-4,3,1.5,Carrasco,Duffy,Allen,2:41,D,34720,+,
8,Saturday Apr 7,boxscore,CLE,,KCR,L,0,1,,3-5,4,1.5,Kennedy,Bauer,Herrera,2:29,D,17362,-,
9,Sunday Apr 8,boxscore,CLE,,KCR,W-wo,3,1,,4-5,3,1.0,Allen,Maurer,,2:55,D,14240,+,
10,Monday Apr 9,boxscore,CLE,,DET,W,2,0,,5-5,1,Tied,Kluber,Liriano,Miller,2:39,N,9843,++,
11,Tuesday Apr 10,boxscore,CLE,,DET,W,2,1,,6-5,1,Tied,Miller,Wilson,Allen,2:47,N,10078,+++,
12,Wednesday Apr 11,boxscore,CLE,,DET,W,5,1,,7-5,1,Tied,Carrasco,Norris,,2:44,N,10872,++++,
13,Thursday Apr 12,boxscore,CLE,,DET,W,9,3,,8-5,1,Tied,Bauer,Fulmer,,2:58,N,12901,+++++,
14,Friday Apr 13,boxscore,CLE,,TOR,L,4,8,,8-6,2,0.5,Barnes,McAllister,,3:12,N,25592,-,
15,Tuesday Apr 17,boxscore,CLE,@,MIN,W,6,1,,9-6,1,up 0.5,Kluber,Odorizzi,,3:24,N,19516,+,
16,Wednesday Apr 18,boxscore,CLE,@,MIN,L-wo,1,2,16,9-7,2,0.5,Busenitz,Tomlin,,5:13,N,19537,-,
17,Friday Apr 20,boxscore,CLE,@,BAL,L,1,3,,9-8,2,0.5,Bundy,Bauer,O'Day,2:52,N,20004,--,
18,Saturday Apr 21,boxscore,CLE,@,BAL,W,4,0,,10-8,1,up 0.5,Clevinger,Tillman,,2:21,D,29187,+,
19,Sunday Apr 22,boxscore,CLE,@,BAL,W,7,3,,11-8,1,up 1.5,Kluber,Cashner,,2:54,D,27394,++,
20,Monday Apr 23,boxscore,CLE,@,BAL,W,2,1,,12-8,1,up 2.5,Carrasco,Gausman,Allen,2:21,N,10614,+++,
21,Tuesday Apr 24,boxscore,CLE,,CHC,L,3,10,,12-9,1,up 2.5,Chatwood,Tomlin,,3:00,N,16408,-,
22,Wednesday Apr 25,boxscore,CLE,,CHC,W,4,1,,13-9,1,up 3.0,Bauer,Lester,Allen,2:50,N,15712,+,
23,Thursday Apr 26,boxscore,CLE,,SEA,L,4,5,,13-10,1,up 3.0,Altavilla,Goody,Diaz,2:46,N,12133,-,
24,Friday Apr 27,boxscore,CLE,,SEA,W,6,5,,14-10,1,up 4.0,Kluber,Ramirez,,2:36,N,16335,+,
25,Saturday Apr 28,boxscore,CLE,,SEA,L,4,12,,14-11,1,up 3.0,Leake,Carrasco,,3:00,D,19172,-,
26,Sunday Apr 29,boxscore,CLE,,SEA,L,4,10,,14-12,1,up 3.0,Gonzales,Tomlin,,3:01,D,17878,--,
27,Monday Apr 30,boxscore,CLE,,TEX,W,7,5,,15-12,1,up 4.0,Allen,Martin,Beliveau,3:56,N,12851,+,
28,Tuesday May 1,boxscore,CLE,,TEX,L,6,8,12,15-13,1,up 3.0,Claudio,Goody,,4:05,N,16356,-,
29,Wednesday May 2,boxscore,CLE,,TEX,W,12,4,,16-13,1,up 3.0,Kluber,Moore,,2:41,D,15637,+,
30,Thursday May 3 (1),boxscore,CLE,,TOR,L,11,13,11,16-14,1,up 3.5,Mayza,Olson,,4:47,D,,-,
31,Thursday May 3 (2),boxscore,CLE,,TOR,W,13,4,,17-14,1,up 3.5,Plutko,Biagini,,3:11,D,19008,+,
32,Friday May 4,boxscore,CLE,@,NYY,L-wo,6,7,,17-15,1,up 3.5,Chapman,Ogando,,3:22,N,46869,-,
33,Saturday May 5,boxscore,CLE,@,NYY,L,2,5,,17-16,1,up 2.5,Gray,Bauer,Robertson,2:31,D,43075,--,
34,Sunday May 6,boxscore,CLE,@,NYY,L-wo,4,7,,17-17,1,up 2.0,Shreve,Allen,,3:05,D,40107,---,
35,Tuesday May 8,boxscore,CLE,@,MIL,L,2,3,,17-18,1,up 0.5,Suter,Kluber,Hader,2:49,N,35314,----,
36,Wednesday May 9,boxscore,CLE,@,MIL,W,6,2,,18-18,1,up 1.0,Carrasco,Guerra,,2:41,D,26345,+,
37,Friday May 11,boxscore,CLE,,KCR,L,9,10,,18-19,1,up 0.5,Keller,Miller,Herrera,3:34,N,24408,-,
38,Saturday May 12,boxscore,CLE,,KCR,W,6,2,,19-19,1,up 0.5,Clevinger,Junis,,2:31,D,24587,+,
39,Sunday May 13,boxscore,CLE,,KCR,W,11,2,,20-19,1,up 1.5,Kluber,Duffy,,2:54,D,22105,++,
40,Monday May 14,boxscore,CLE,@,DET,L,3,6,,20-20,1,up 1.5,Fiers,Carrasco,,3:10,N,17775,-,
41,Tuesday May 15,boxscore,CLE,@,DET,L,8,9,,20-21,1,up 0.5,Coleman,Miller,Greene,3:21,N,20997,--,
42,Wednesday May 16,boxscore,CLE,@,DET,W,6,0,,21-21,1,up 1.5,Bauer,Carpenter,,2:33,D,24771,+,
43,Friday May 18,boxscore,CLE,@,HOU,L,1,4,,21-22,1,up 1.5,Morton,Clevinger,Giles,2:50,N,35959,-,
44,Saturday May 19,boxscore,CLE,@,HOU,W,5,4,,22-22,1,up 2.5,Kluber,Keuchel,Allen,3:09,D,39926,+,
45,Sunday May 20,boxscore,CLE,@,HOU,L,1,3,,22-23,1,up 1.5,McCullers,Carrasco,Giles,2:48,N,30770,-,
