Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,COL,@,ARI,L,2,8,,0-1,3,1.0,Corbin,Gray,,3:36,N,48703,-,
2,Friday Mar 30,boxscore,COL,@,ARI,L,8,9,,0-2,3,2.0,Ray,Senzatela,Boxberger,3:22,N,23937,--,
3,Saturday Mar 31,boxscore,COL,@,ARI,W,2,1,,1-2,3,1.0,Shaw,Salas,Davis,2:54,N,33346,+,
4,Monday Apr 2,boxscore,COL,@,SDP,W,7,4,,2-2,2,1.0,Bettis,Mitchell,Davis,3:11,N,16899,++,
5,Tuesday Apr 3,boxscore,COL,@,SDP,L,4,8,,2-3,2,2.0,Ross,Freeland,Hand,2:47,N,19283,-,
6,Wednesday Apr 4,boxscore,COL,@,SDP,W,5,2,,3-3,2,2.0,Gray,Richard,Davis,2:41,N,19698,+,
7,Thursday Apr 5,boxscore,COL,@,SDP,W,3,1,,4-3,2,2.0,Ottavino,Hand,Davis,2:58,D,20509,++,
8,Friday Apr 6,boxscore,COL,,ATL,L,3,8,,4-4,2,2.5,McCarthy,Marquez,,2:56,D,48216,-,
9,Saturday Apr 7,boxscore,COL,,ATL,W-wo,3,2,10,5-4,2,1.5,Ottavino,Vizcaino,,3:28,N,40120,+,
10,Sunday Apr 8,boxscore,COL,,ATL,L,0,4,,5-5,2,2.5,Newcomb,Freeland,,2:26,D,42031,-,
11,Monday Apr 9,boxscore,COL,,SDP,L,6,7,,5-6,2,3.5,Richard,Gray,Hand,2:46,N,20291,--,
12,Tuesday Apr 10,boxscore,COL,,SDP,L,2,5,,5-7,3,3.5,Lucchesi,Shaw,Hand,2:39,N,22446,---,
13,Wednesday Apr 11,boxscore,COL,,SDP,W,6,4,,6-7,2,3.5,Senzatela,Baumann,Davis,2:56,D,21248,+,
14,Thursday Apr 12,boxscore,COL,@,WSN,W,5,1,,7-7,2,3.0,Bettis,Gonzalez,,2:43,N,24213,++,
15,Friday Apr 13,boxscore,COL,@,WSN,W,2,1,,8-7,2,3.0,Oberg,Roark,Davis,3:04,N,32702,+++,
16,Saturday Apr 14,boxscore,COL,@,WSN,L,2,6,,8-8,2,4.0,Scherzer,Gray,,2:53,D,31700,-,
17,Sunday Apr 15,boxscore,COL,@,WSN,W,6,5,,9-8,2,3.0,Ottavino,Doolittle,Davis,3:14,D,25462,+,
18,Monday Apr 16,boxscore,COL,@,PIT,W,6,2,,10-8,2,2.5,Marquez,Brault,,2:35,N,8958,++,
19,Tuesday Apr 17,boxscore,COL,@,PIT,W,2,0,,11-8,2,2.5,Bettis,Williams,Davis,2:31,N,8869,+++,
20,Wednesday Apr 18,boxscore,COL,@,PIT,L,2,10,,11-9,2,2.5,Kuhl,Freeland,,3:04,D,8970,-,
21,Friday Apr 20,boxscore,COL,,CHC,L,5,16,,11-10,2,3.0,Hendricks,Gray,,3:30,N,35290,--,
22,Saturday Apr 21,boxscore,COL,,CHC,W,5,2,,12-10,2,3.0,Anderson,Darvish,Davis,3:03,N,40107,+,
23,Sunday Apr 22,boxscore,COL,,CHC,L,7,9,,12-11,2,4.0,Quintana,Marquez,Morrow,3:47,D,48137,-,
24,Monday Apr 23,boxscore,COL,,SDP,L,5,13,,12-12,3,4.5,Erlin,McGee,,3:24,N,24419,--,
25,Tuesday Apr 24,boxscore,COL,,SDP,W,8,0,,13-12,2,4.5,Freeland,Lauer,,2:24,N,23727,+,
26,Wednesday Apr 25,boxscore,COL,,SDP,W,5,2,,14-12,2,3.5,Gray,Ross,,3:06,D,32989,++,
27,Friday Apr 27,boxscore,COL,@,MIA,W,1,0,,15-12,2,4.0,Senzatela,Urena,Davis,3:16,N,5931,+++,
28,Saturday Apr 28,boxscore,COL,@,MIA,L,1,4,,15-13,2,5.0,Chen,Marquez,Barraclough,2:44,N,9659,-,
29,Sunday Apr 29,boxscore,COL,@,MIA,L,0,3,,15-14,2,5.0,Smith,Bettis,Ziegler,2:28,D,11203,--,
30,Monday Apr 30,boxscore,COL,@,CHC,L,2,3,,15-15,3,6.0,Farrell,Freeland,Cishek,2:57,N,35922,---,
31,Tuesday May 1,boxscore,COL,@,CHC,W,3,1,,16-15,2,6.0,Gray,Hendricks,Davis,2:24,N,40077,+,
32,Wednesday May 2,boxscore,COL,@,CHC,W,11,2,,17-15,2,5.0,Anderson,Darvish,,3:05,D,32909,++,
33,Friday May 4,boxscore,COL,@,NYM,W,8,7,,18-15,2,3.5,Marquez,Wheeler,Davis,3:14,N,34030,+++,
34,Saturday May 5,boxscore,COL,@,NYM,W,2,0,,19-15,2,3.5,Bettis,Matz,Davis,2:28,N,37550,++++,
35,Sunday May 6,boxscore,COL,@,NYM,W,3,2,,20-15,2,3.5,Freeland,Robles,Ottavino,3:02,D,33580,+++++,
36,Tuesday May 8,boxscore,COL,,LAA,W,4,2,,21-15,2,3.5,Gray,Heaney,Davis,2:42,N,33144,++++++,
37,Wednesday May 9,boxscore,COL,,LAA,L,0,8,,21-16,2,3.5,Barria,Anderson,,3:10,D,33689,-,
38,Thursday May 10,boxscore,COL,,MIL,L,2,5,,21-17,2,3.5,Chacin,Marquez,Jeffress,3:00,N,31093,--,
39,Friday May 11,boxscore,COL,,MIL,L,10,11,10,21-18,2,3.5,Jeffress,McGee,Hader,4:20,N,36139,---,
