Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Friday Mar 30,boxscore,DET,,PIT,L,10,13,13,0-1,2,1.0,Brault,Wilson,,5:27,D,42516,-,
2,Sunday Apr 1 (1),boxscore,DET,,PIT,L,0,1,,0-2,5,2.5,Williams,Fulmer,Vazquez,2:30,D,14858,--,
3,Sunday Apr 1 (2),boxscore,DET,,PIT,L,6,8,,0-3,5,2.5,Kuhl,Farmer,Vazquez,3:14,N,18438,---,
4,Monday Apr 2,boxscore,DET,,KCR,W,6,1,,1-3,4,1.5,Liriano,Hammel,,2:46,D,15476,+,
5,Tuesday Apr 3,boxscore,DET,,KCR,L,0,1,,1-4,5,1.5,Junis,Boyd,Herrera,2:17,D,15083,-,
6,Thursday Apr 5,boxscore,DET,@,CHW,W,9,7,10,2-4,3,2.0,Jimenez,Infante,Greene,4:03,D,33318,+,
7,Saturday Apr 7,boxscore,DET,@,CHW,W,6,1,,3-4,2,1.0,Fulmer,Giolito,,3:39,D,16625,++,
8,Sunday Apr 8,boxscore,DET,@,CHW,W,1,0,,4-4,2,0.5,Fiers,Lopez,Greene,2:38,D,11131,+++,
9,Monday Apr 9,boxscore,DET,@,CLE,L,0,2,,4-5,3,0.5,Kluber,Liriano,Miller,2:39,N,9843,-,
10,Tuesday Apr 10,boxscore,DET,@,CLE,L,1,2,,4-6,3,1.5,Miller,Wilson,Allen,2:47,N,10078,--,
11,Wednesday Apr 11,boxscore,DET,@,CLE,L,1,5,,4-7,3,2.5,Carrasco,Norris,,2:44,N,10872,---,
12,Thursday Apr 12,boxscore,DET,@,CLE,L,3,9,,4-8,3,3.5,Bauer,Fulmer,,2:58,N,12901,----,
13,Friday Apr 13,boxscore,DET,,NYY,L,6,8,,4-9,4,4.0,Montgomery,Fiers,Chapman,3:28,N,21363,-----,
14,Tuesday Apr 17,boxscore,DET,,BAL,W,4,2,,5-9,3,3.5,Liriano,Cashner,Greene,2:44,N,15530,+,
15,Wednesday Apr 18,boxscore,DET,,BAL,W-wo,6,5,,6-9,3,3.0,Greene,Araujo,,2:46,D,15178,++,
16,Thursday Apr 19,boxscore,DET,,BAL,W,13,8,,7-9,3,2.5,Zimmermann,Cobb,,3:11,D,15916,+++,
17,Friday Apr 20 (1),boxscore,DET,,KCR,W-wo,3,2,10,8-9,3,2.0,Jimenez,Keller,,2:46,D,15406,++++,
18,Friday Apr 20 (2),boxscore,DET,,KCR,L,2,3,,8-10,3,2.0,Junis,Greene,Herrera,2:34,N,17194,-,
19,Saturday Apr 21,boxscore,DET,,KCR,W,12,4,,9-10,3,1.5,Fiers,Duffy,Saupold,3:04,D,19302,+,
20,Sunday Apr 22,boxscore,DET,,KCR,L,5,8,,9-11,3,2.5,McCarthy,VerHagen,Herrera,3:09,D,19034,-,
21,Wednesday Apr 25 (1),boxscore,DET,@,PIT,W,13,10,,10-11,2,3.0,Stumpf,Taillon,Greene,3:51,N,,+,
22,Wednesday Apr 25 (2),boxscore,DET,@,PIT,L,3,8,,10-12,2,3.0,Kuhl,Boyd,,3:09,N,9396,-,
23,Thursday Apr 26,boxscore,DET,@,PIT,L-wo,0,1,,10-13,2,3.0,Vazquez,Wilson,,2:36,D,12049,--,
24,Friday Apr 27,boxscore,DET,@,BAL,L,0,6,,10-14,2,4.0,Tillman,Fiers,,2:26,N,14223,---,
25,Saturday Apr 28,boxscore,DET,@,BAL,W,9,5,,11-14,2,3.0,Liriano,Cashner,,3:13,N,20896,+,
26,Sunday Apr 29,boxscore,DET,@,BAL,L,3,5,,11-15,2,3.0,Gausman,Norris,O'Day,3:01,D,28089,-,
27,Monday Apr 30,boxscore,DET,,TBR,L,2,3,,11-16,2,4.0,Faria,Greene,Alvarado,2:52,N,19398,--,
28,Tuesday May 1,boxscore,DET,,TBR,W,2,1,,12-16,2,3.0,Boyd,Archer,Greene,2:28,N,17255,+,
29,Wednesday May 2,boxscore,DET,,TBR,W-wo,3,2,12,13-16,2,3.0,Saupold,Andriese,,3:28,D,20866,++,
30,Thursday May 3,boxscore,DET,@,KCR,L,6,10,,13-17,2,3.5,McCarthy,Bell,,3:07,D,28866,-,
31,Friday May 4,boxscore,DET,@,KCR,L,2,4,,13-18,2,3.5,Boyer,Stumpf,Herrera,2:49,N,24648,--,
32,Saturday May 5,boxscore,DET,@,KCR,W,3,2,,14-18,2,2.5,Zimmermann,Hammel,Greene,3:06,D,20708,+,
33,Sunday May 6,boxscore,DET,@,KCR,L,2,4,,14-19,3,2.5,Junis,Boyd,Herrera,2:16,D,18424,-,
34,Monday May 7,boxscore,DET,@,TEX,L,6,7,,14-20,3,3.0,Leclerc,Stumpf,Kela,3:08,N,20057,--,
35,Tuesday May 8,boxscore,DET,@,TEX,W,7,4,,15-20,3,2.0,Fiers,Minor,Greene,3:04,N,18634,+,
36,Wednesday May 9,boxscore,DET,@,TEX,L-wo,4,5,10,15-21,3,3.0,Kela,Saupold,,3:22,D,30387,-,
37,Saturday May 12 (1),boxscore,DET,,SEA,W,4,3,,16-21,3,3.0,Boyd,Gonzales,Greene,2:35,N,,+,
38,Saturday May 12 (2),boxscore,DET,,SEA,L,5,9,,16-22,3,3.0,Hernandez,Fulmer,,3:35,N,25506,-,
39,Sunday May 13,boxscore,DET,,SEA,W-wo,5,4,,17-22,3,3.0,Greene,Nicasio,,2:57,D,24718,+,
40,Monday May 14,boxscore,DET,,CLE,W,6,3,,18-22,3,2.0,Fiers,Carrasco,,3:10,N,17775,++,
41,Tuesday May 15,boxscore,DET,,CLE,W,9,8,,19-22,3,1.0,Coleman,Miller,Greene,3:21,N,20997,+++,
42,Wednesday May 16,boxscore,DET,,CLE,L,0,6,,19-23,3,2.0,Bauer,Carpenter,,2:33,D,24771,-,
43,Thursday May 17,boxscore,DET,@,SEA,W,3,2,,20-23,2,1.5,Saupold,Vincent,Greene,3:08,N,15169,+,
44,Friday May 18,boxscore,DET,@,SEA,L,4,5,,20-24,2,1.5,Altavilla,Farmer,Diaz,2:48,N,34932,-,
45,Saturday May 19,boxscore,DET,@,SEA,L,2,7,,20-25,2,2.5,Paxton,Fiers,,2:34,N,35739,--,
46,Sunday May 20,boxscore,DET,@,SEA,L-wo,2,3,11,20-26,3,2.5,Vincent,Farmer,,3:21,D,34252,---,
47,Monday May 21,boxscore,DET,@,MIN,L,2,4,,20-27,3,3.0,Berrios,Stumpf,Rodney,2:35,N,17161,----,
48,Tuesday May 22,boxscore,DET,@,MIN,L,0,6,,20-28,3,4.0,Lynn,Boyd,,3:01,N,25559,-----,
49,Wednesday May 23,boxscore,DET,@,MIN,W,4,1,,21-28,3,4.0,Fulmer,Gibson,Greene,2:59,D,23891,+,
50,Friday May 25,boxscore,DET,,CHW,W,5,4,,22-28,3,2.5,Farmer,Rondon,Greene,2:51,N,24648,++,
51,Saturday May 26,boxscore,DET,,CHW,L,4,8,,22-29,3,3.5,Santiago,Liriano,,3:16,D,27032,-,
52,Sunday May 27,boxscore,DET,,CHW,W,3,2,,23-29,2,3.5,Hardy,Shields,Greene,2:17,D,23419,+,
53,Monday May 28,boxscore,DET,,LAA,W,9,3,,24-29,2,3.5,Boyd,Skaggs,,3:17,D,20857,++,
54,Tuesday May 29,boxscore,DET,,LAA,L,2,9,,24-30,2,4.5,Tropeano,Fulmer,,3:25,N,17397,-,
55,Wednesday May 30,boxscore,DET,,LAA,W,6,1,,25-30,2,4.5,Coleman,Bedrosian,,2:53,N,19494,+,
56,Thursday May 31,boxscore,DET,,LAA,W,6,2,,26-30,2,4.5,Saupold,Heaney,,3:09,D,24696,++,
57,Friday Jun 1,boxscore,DET,,TOR,W,5,2,,27-30,2,3.5,Hardy,Garcia,Greene,2:52,N,22192,+++,
58,Saturday Jun 2,boxscore,DET,,TOR,W,7,4,,28-30,2,2.5,Coleman,Oh,Jimenez,2:37,D,34674,++++,
59,Sunday Jun 3,boxscore,DET,,TOR,L,4,8,,28-31,2,2.5,Sanchez,Fulmer,,3:02,D,24658,-,
60,Monday Jun 4 (1),boxscore,DET,,NYY,L,4,7,,28-32,2,2.5,Severino,VerHagen,Chapman,2:46,D,28016,--,
61,Monday Jun 4 (2),boxscore,DET,,NYY,W,4,2,,29-32,2,2.5,Fiers,German,Greene,3:07,N,24165,+,
62,Tuesday Jun 5,boxscore,DET,@,BOS,L,0,6,,29-33,2,3.5,Wright,Lewicki,,2:41,N,34762,-,
63,Wednesday Jun 6,boxscore,DET,@,BOS,L,1,7,,29-34,2,4.5,Rodriguez,Hardy,,3:20,N,35182,--,
64,Thursday Jun 7,boxscore,DET,@,BOS,W,7,2,,30-34,2,4.0,Boyd,Beeks,,2:55,N,36556,+,
65,Friday Jun 8,boxscore,DET,,CLE,L,1,4,,30-35,2,5.0,Bauer,Greene,Allen,2:43,N,21766,-,
66,Saturday Jun 9,boxscore,DET,,CLE,W-wo,4,2,12,31-35,2,4.0,Saupold,Allen,,3:46,D,27038,+,
67,Sunday Jun 10,boxscore,DET,,CLE,L,2,9,,31-36,2,5.0,Kluber,Lewicki,,2:49,D,22862,-,
68,Tuesday Jun 12,boxscore,DET,,MIN,L,4,6,,31-37,3,5.5,Pressly,Coleman,Rodney,3:24,N,20340,--,
69,Wednesday Jun 13,boxscore,DET,,MIN,W,5,2,,32-37,2,4.5,Jimenez,Reed,Greene,3:08,N,19206,+,
70,Thursday Jun 14,boxscore,DET,,MIN,W,3,1,,33-37,2,4.5,Fulmer,Lynn,Greene,2:32,D,27573,++,
71,Friday Jun 15,boxscore,DET,@,CHW,W,4,3,,34-37,2,3.5,Farmer,Minaya,Greene,3:23,N,22813,+++,
72,Saturday Jun 16,boxscore,DET,@,CHW,W,7,5,,35-37,2,2.5,Farmer,Fry,Greene,3:03,D,23195,++++,
73,Sunday Jun 17,boxscore,DET,@,CHW,W,3,1,,36-37,2,2.5,Hardy,Shields,Jimenez,2:59,D,26746,+++++,
74,Tuesday Jun 19,boxscore,DET,@,CIN,L,5,9,,36-38,2,4.0,Romano,Boyd,,3:32,N,31085,-,
75,Wednesday Jun 20,boxscore,DET,@,CIN,L,3,5,,36-39,2,5.0,Mahle,Fulmer,Iglesias,3:04,D,19177,--,
76,Friday Jun 22,boxscore,DET,@,CLE,L,0,10,,36-40,2,6.0,Bieber,Fiers,,2:43,N,30926,---,
77,Saturday Jun 23,boxscore,DET,@,CLE,L,1,4,,36-41,2,7.0,Bauer,Liriano,Allen,2:51,N,34435,----,
78,Sunday Jun 24,boxscore,DET,@,CLE,L,2,12,,36-42,2,8.0,Plutko,Boyd,,2:55,D,31208,-----,
79,Monday Jun 25,boxscore,DET,,OAK,L,4,5,,36-43,3,8.0,Trivino,Greene,Treinen,3:17,D,19127,------,
80,Tuesday Jun 26,boxscore,DET,,OAK,L,7,9,,36-44,3,8.0,Buchter,Greene,Treinen,3:47,N,22809,-------,
