Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,HOU,@,TEX,W,4,1,,1-0,1,Tied,Verlander,Hamels,,2:59,D,47253,+,
2,Friday Mar 30,boxscore,HOU,@,TEX,L,1,5,,1-1,2,0.5,Fister,Keuchel,,3:02,N,35469,-,
3,Saturday Mar 31,boxscore,HOU,@,TEX,W,9,3,,2-1,1,Tied,McCullers,Moore,,3:19,D,36892,+,
4,Sunday Apr 1,boxscore,HOU,@,TEX,W,8,2,,3-1,1,Tied,Cole,Minor,,3:13,D,26758,++,
5,Monday Apr 2,boxscore,HOU,,BAL,W,6,1,,4-1,1,up 1.0,Morton,Tillman,,2:52,N,42675,+++,
6,Tuesday Apr 3,boxscore,HOU,,BAL,W,10,6,,5-1,1,up 1.0,Rondon,Araujo,,3:19,N,40081,++++,
7,Wednesday Apr 4,boxscore,HOU,,BAL,W,3,2,,6-1,1,up 1.0,Peacock,Castro,,2:42,D,27698,+++++,
8,Friday Apr 6,boxscore,HOU,,SDP,L,1,4,,6-2,1,Tied,Perdomo,McCullers,Hand,3:11,N,41138,-,
9,Saturday Apr 7,boxscore,HOU,,SDP,W-wo,1,0,10,7-2,1,up 1.0,Devenski,Erlin,,3:27,N,42306,+,
10,Sunday Apr 8,boxscore,HOU,,SDP,W,4,1,,8-2,1,up 1.0,Morton,Ross,Peacock,2:25,D,37093,++,
11,Monday Apr 9,boxscore,HOU,@,MIN,W,2,0,,9-2,1,up 1.0,Verlander,Rogers,Giles,3:28,N,15521,+++,
12,Tuesday Apr 10,boxscore,HOU,@,MIN,L,1,4,,9-3,1,Tied,Odorizzi,Keuchel,Rodney,3:21,N,15500,-,
13,Wednesday Apr 11,boxscore,HOU,@,MIN,L-wo,8,9,,9-4,2,1.0,Rodney,Peacock,,3:35,D,15438,--,
14,Friday Apr 13,boxscore,HOU,,TEX,W,3,2,,10-4,2,1.5,Smith,Jepsen,Devenski,2:50,N,32129,+,
15,Saturday Apr 14,boxscore,HOU,,TEX,L,5,6,10,10-5,2,2.5,Kela,Harris,Claudio,3:26,D,40679,-,
16,Sunday Apr 15,boxscore,HOU,,TEX,L,1,3,10,10-6,2,3.0,Kela,Rondon,Diekman,3:06,N,31803,--,
