Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn?,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
161,Saturday Sep 29,boxscore,KCR,,CLE,W,9,4,,58-103,5,32.0,Junis,Miller,,3:07,N,23324,+,
155,Saturday Sep 22,boxscore,KCR,@,DET,L,4,5,,53-102,5,33.5,Jimenez,Hammel,Greene,2:42,N,24815,-,
153,Thursday Sep 20,boxscore,KCR,@,DET,L,8,11,,52-101,5,33.5,Reininger,Lopez,,3:12,N,20282,-----,
152,Wednesday Sep 19,boxscore,KCR,@,PIT,L,1,2,,52-100,5,33.5,Archer,Fillmyer,Vazquez,2:22,N,13073,----,
148,Saturday Sep 15,boxscore,KCR,,MIN,W,10,3,,52-96,5,31.0,Kennedy,De Jong,,3:04,N,19505,+++,
146,Thursday Sep 13,boxscore,KCR,,MIN,W,6,4,,50-96,5,32.0,Fillmyer,Busenitz,Peralta,3:12,N,18745,+,
144,Tuesday Sep 11,boxscore,KCR,,CHW,W,6,3,,49-95,5,32.5,Keller,Covey,Peralta,2:55,N,17613,++,
140,Friday Sep 7,boxscore,KCR,@,MIN,L,6,10,,46-94,5,33.5,May,Sparkman,,3:36,N,19944,---,
139,Wednesday Sep 5,boxscore,KCR,@,CLE,L,1,3,,46-93,5,33.0,Kluber,Keller,Hand,2:31,D,18435,--,
138,Tuesday Sep 4,boxscore,KCR,@,CLE,L,3,9,,46-92,5,32.0,Clevinger,Duffy,,2:59,N,17041,-,
136,Sunday Sep 2,boxscore,KCR,,BAL,W,9,1,,45-91,5,32.0,Lopez,Hess,,2:48,D,18463,+++++,
134,Friday Aug 31,boxscore,KCR,,BAL,W,9,2,,43-91,5,34.0,Keller,Cashner,,2:39,N,15394,+++,
133,Wednesday Aug 29,boxscore,KCR,,DET,W,9,2,,42-91,5,33.5,Duffy,Fulmer,,2:38,D,17091,++,
132,Tuesday Aug 28,boxscore,KCR,,DET,W,6,2,,41-91,5,34.5,Junis,Boyd,,2:24,N,16888,+,
