Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,LAA,@,OAK,L-wo,5,6,11,0-1,4,1.0,Hatcher,Ramirez,,4:02,D,27764,-,
2,Friday Mar 30,boxscore,LAA,@,OAK,W,2,1,,1-1,2,0.5,Skaggs,Manaea,Parker,2:48,N,27665,+,
3,Saturday Mar 31,boxscore,LAA,@,OAK,W,8,3,,2-1,1,Tied,Shoemaker,Mengden,,3:23,D,17012,++,
4,Sunday Apr 1,boxscore,LAA,@,OAK,W,7,4,,3-1,1,Tied,Ohtani,Gossett,Middleton,3:07,D,14644,+++,
5,Monday Apr 2,boxscore,LAA,,CLE,L,0,6,,3-2,2,1.0,Clevinger,Ramirez,,3:25,N,43904,-,
6,Tuesday Apr 3,boxscore,LAA,,CLE,W,13,2,,4-2,2,1.0,Richards,Tomlin,,2:49,N,35007,+,
7,Wednesday Apr 4,boxscore,LAA,,CLE,W-wo,3,2,13,5-2,2,1.0,Ramirez,McAllister,,4:28,D,32412,++,
8,Friday Apr 6,boxscore,LAA,,OAK,W,13,9,,6-2,1,Tied,Johnson,Treinen,,3:35,N,36023,+++,
9,Saturday Apr 7,boxscore,LAA,,OAK,L,3,7,,6-3,2,1.0,Triggs,Ramirez,Treinen,3:20,N,40129,-,
10,Sunday Apr 8,boxscore,LAA,,OAK,W,6,1,,7-3,2,1.0,Ohtani,Graveman,,2:53,D,44742,+,
11,Monday Apr 9,boxscore,LAA,@,TEX,W,8,3,,8-3,2,1.0,Alvarez,Fister,,3:28,N,16718,++,
12,Tuesday Apr 10,boxscore,LAA,@,TEX,W,11,1,,9-3,1,Tied,Skaggs,Perez,,3:07,N,18697,+++,
13,Wednesday Apr 11,boxscore,LAA,@,TEX,W,7,2,,10-3,1,up 1.0,Barria,Moore,Middleton,3:27,N,20363,++++,
14,Thursday Apr 12,boxscore,LAA,@,KCR,W,7,1,,11-3,1,up 1.5,Tropeano,Kennedy,,3:00,N,14714,+++++,
15,Friday Apr 13,boxscore,LAA,@,KCR,W,5,4,,12-3,1,up 1.5,Wood,Grimm,Middleton,3:24,N,15011,++++++,
16,Saturday Apr 14,boxscore,LAA,@,KCR,W,5,3,,13-3,1,up 2.5,Richards,Junis,Middleton,3:03,N,15876,+++++++,
17,Tuesday Apr 17,boxscore,LAA,,BOS,L,1,10,,13-4,1,up 2.5,Price,Ohtani,,3:15,N,44822,-,
18,Wednesday Apr 18,boxscore,LAA,,BOS,L,0,9,,13-5,1,up 1.5,Porcello,Skaggs,,3:18,N,34508,--,
19,Thursday Apr 19,boxscore,LAA,,BOS,L,2,8,,13-6,1,up 0.5,Rodriguez,Tropeano,,3:35,N,36253,---,
20,Friday Apr 20,boxscore,LAA,,SFG,L,1,8,,13-7,2,0.5,Samardzija,Heaney,,2:50,N,37494,----,
21,Saturday Apr 21,boxscore,LAA,,SFG,W,4,3,,14-7,2,0.5,Richards,Holland,Middleton,2:58,N,42666,+,
22,Sunday Apr 22,boxscore,LAA,,SFG,L,2,4,,14-8,2,1.5,Cueto,Barria,Strickland,3:45,D,44544,-,
23,Monday Apr 23,boxscore,LAA,@,HOU,W,2,0,,15-8,2,0.5,Skaggs,Cole,Middleton,2:59,N,29606,+,
24,Tuesday Apr 24,boxscore,LAA,@,HOU,W,8,7,,16-8,1,up 0.5,Johnson,Smith,Bedrosian,3:48,N,36457,++,
25,Wednesday Apr 25,boxscore,LAA,@,HOU,L,2,5,,16-9,2,0.5,Verlander,Tropeano,Giles,2:44,D,29777,-,
26,Friday Apr 27,boxscore,LAA,,NYY,L,3,4,10,16-10,2,0.5,Robertson,Parker,Chapman,3:15,N,40416,--,
27,Saturday Apr 28,boxscore,LAA,,NYY,L,1,11,,16-11,2,1.5,Tanaka,Richards,,3:09,N,44649,---,
28,Sunday Apr 29,boxscore,LAA,,NYY,L,1,2,,16-12,3,2.5,Sabathia,Skaggs,Chapman,3:00,N,44593,----,
29,Tuesday May 1,boxscore,LAA,,BAL,W-wo,3,2,,17-12,3,2.0,Bedrosian,Brach,,2:58,N,32345,+,
30,Wednesday May 2,boxscore,LAA,,BAL,W,10,7,,18-12,2,1.0,Heaney,Bundy,,3:14,N,32156,++,
31,Thursday May 3,boxscore,LAA,,BAL,W,12,3,,19-12,1,Tied,Barria,Tillman,,3:02,N,35879,+++,
32,Friday May 4,boxscore,LAA,@,SEA,W,5,0,,20-12,1,Tied,Richards,Leake,,3:10,N,41705,++++,
33,Saturday May 5,boxscore,LAA,@,SEA,L-wo,8,9,11,20-13,1,Tied,Goeddel,Johnson,,4:29,N,36977,-,
34,Sunday May 6,boxscore,LAA,@,SEA,W,8,2,,21-13,1,up 1.0,Ohtani,Hernandez,,3:11,D,40142,+,
35,Tuesday May 8,boxscore,LAA,@,COL,L,2,4,,21-14,2,0.5,Gray,Heaney,Davis,2:42,N,33144,-,
36,Wednesday May 9,boxscore,LAA,@,COL,W,8,0,,22-14,2,0.5,Barria,Anderson,,3:10,D,33689,+,
37,Thursday May 10,boxscore,LAA,,MIN,W,7,4,,23-14,1,Tied,Alvarez,Berrios,Johnson,3:08,N,30127,++,
38,Friday May 11,boxscore,LAA,,MIN,L,4,5,,23-15,1,Tied,Magill,Anderson,Rodney,3:23,N,43521,-,
39,Saturday May 12,boxscore,LAA,,MIN,L,3,5,12,23-16,2,1.0,Hildenberger,Ramirez,Rodney,4:21,N,40117,--,
40,Sunday May 13,boxscore,LAA,,MIN,W-wo,2,1,,24-16,2,1.0,Parker,Duke,,3:28,D,38029,+,
41,Monday May 14,boxscore,LAA,,HOU,W,2,1,,25-16,1,Tied,Heaney,McCullers,Anderson,2:27,N,28229,++,
42,Tuesday May 15,boxscore,LAA,,HOU,L,3,5,,25-17,2,1.0,McHugh,Alvarez,Giles,3:18,N,28358,-,
43,Wednesday May 16,boxscore,LAA,,HOU,L,0,2,,25-18,2,2.0,Verlander,Richards,,2:39,N,28078,--,
44,Thursday May 17,boxscore,LAA,,TBR,L,1,7,,25-19,2,2.5,Archer,Skaggs,,3:06,N,30487,---,
45,Friday May 18,boxscore,LAA,,TBR,L,3,8,,25-20,3,3.5,Snell,Tropeano,,3:32,N,40067,----,
46,Saturday May 19,boxscore,LAA,,TBR,L,3,5,,25-21,3,3.5,Yarbrough,Heaney,Colome,3:00,N,37232,-----,
47,Sunday May 20,boxscore,LAA,,TBR,W,5,2,,26-21,3,3.5,Ohtani,Andriese,Parker,3:15,D,38560,+,
48,Tuesday May 22,boxscore,LAA,@,TOR,L,3,5,,26-22,3,4.5,Happ,Richards,Clippard,2:31,N,21480,-,
49,Wednesday May 23,boxscore,LAA,@,TOR,W,5,4,,27-22,3,4.5,Anderson,Clippard,Parker,3:45,N,25504,+,
