Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,MIL,@,SDP,W,2,1,12,1-0,1,Tied,Jeffress,Cimber,Barnes,3:36,D,44649,+,
2,Friday Mar 30,boxscore,MIL,@,SDP,W,8,6,,2-0,1,up 0.5,Drake,Hand,Knebel,3:08,N,31513,++,
3,Saturday Mar 31,boxscore,MIL,@,SDP,W,7,3,,3-0,1,up 1.0,Suter,Perdomo,,2:51,N,35106,+++,
4,Monday Apr 2,boxscore,MIL,,STL,L,4,8,,3-1,2,1.0,Mikolas,Davies,,2:59,D,45393,-,
5,Tuesday Apr 3,boxscore,MIL,,STL,W-wo,5,4,,4-1,2,0.5,Jennings,Leone,,3:11,N,27760,+,
6,Wednesday Apr 4,boxscore,MIL,,STL,L,0,6,,4-2,2,0.5,Martinez,Chacin,,2:48,N,27674,-,
7,Thursday Apr 5,boxscore,MIL,,CHC,L,0,8,,4-3,2,1.5,Lester,Suter,,2:52,N,24310,--,
8,Friday Apr 6,boxscore,MIL,,CHC,W-wo,5,4,,5-3,2,1.5,Albers,Montgomery,,3:45,N,37758,+,
9,Saturday Apr 7,boxscore,MIL,,CHC,L,2,5,,5-4,2,1.5,Strop,Barnes,Morrow,3:26,D,43331,-,
10,Sunday Apr 8,boxscore,MIL,,CHC,L,0,3,,5-5,3,2.5,Quintana,Anderson,Morrow,2:41,D,39282,--,
11,Monday Apr 9,boxscore,MIL,@,STL,W,5,4,10,6-5,2,2.0,Albers,Holland,,3:41,N,35189,+,
12,Tuesday Apr 10,boxscore,MIL,@,STL,L-wo,3,5,11,6-6,2,3.0,Leone,Hoover,,4:02,N,35220,-,
13,Wednesday Apr 11,boxscore,MIL,@,STL,W,3,2,,7-6,2,2.0,Guerra,Wainwright,Albers,3:00,D,35814,+,
14,Friday Apr 13,boxscore,MIL,@,NYM,L,5,6,,7-7,2,2.5,Matz,Davies,Familia,3:10,N,34921,-,
15,Saturday Apr 14,boxscore,MIL,@,NYM,W,5,1,,8-7,2,2.5,Anderson,Harvey,Hader,2:46,N,40965,+,
16,Sunday Apr 15,boxscore,MIL,@,NYM,L-wo,2,3,,8-8,3,3.5,Familia,Albers,,3:28,D,26035,-,
17,Monday Apr 16,boxscore,MIL,,CIN,L,4,10,,8-9,4,3.5,Castillo,Suter,,2:51,N,28677,--,
18,Tuesday Apr 17,boxscore,MIL,,CIN,W,2,0,,9-9,3,2.5,Jennings,Romano,Hader,2:56,N,31345,+,
19,Wednesday Apr 18,boxscore,MIL,,CIN,W,2,0,,10-9,3,2.5,Davies,Mahle,Barnes,2:42,D,27343,++,
20,Thursday Apr 19,boxscore,MIL,,MIA,W,12,3,,11-9,2,1.5,Anderson,Peters,,3:19,N,26087,+++,
21,Friday Apr 20,boxscore,MIL,,MIA,W,8,0,,12-9,2,0.5,Chacin,Richards,,3:17,N,28233,++++,
