Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,MIN,@,BAL,L-wo,2,3,11,0-1,3,1.0,Bleier,Rodney,,3:31,D,45469,-,
2,Saturday Mar 31,boxscore,MIN,@,BAL,W,6,2,,1-1,2,1.0,Gibson,Cashner,,2:50,N,17763,+,
3,Sunday Apr 1,boxscore,MIN,@,BAL,W,7,0,,2-1,2,0.5,Berrios,Gausman,,2:35,D,17212,++,
4,Monday Apr 2,boxscore,MIN,@,PIT,L,4,5,,2-2,2,0.5,Taillon,Lynn,Kontos,3:26,D,30186,-,
5,Wednesday Apr 4,boxscore,MIN,@,PIT,W,7,3,,3-2,1,Tied,Rogers,Nova,,3:25,N,20690,+,
6,Thursday Apr 5,boxscore,MIN,,SEA,W,4,2,,4-2,1,up 1.0,Duke,Altavilla,Rodney,3:09,D,39214,++,
7,Saturday Apr 7,boxscore,MIN,,SEA,L,4,11,,4-3,1,up 1.0,Leake,Berrios,,3:36,D,18416,-,
8,Monday Apr 9,boxscore,MIN,,HOU,L,0,2,,4-4,1,Tied,Verlander,Rogers,Giles,3:28,N,15521,--,
9,Tuesday Apr 10,boxscore,MIN,,HOU,W,4,1,,5-4,1,Tied,Odorizzi,Keuchel,Rodney,3:21,N,15500,+,
10,Wednesday Apr 11,boxscore,MIN,,HOU,W-wo,9,8,,6-4,1,Tied,Rodney,Peacock,,3:35,D,15438,++,
11,Thursday Apr 12,boxscore,MIN,,CHW,W,4,0,,7-4,1,Tied,Berrios,Giolito,,2:55,N,15474,+++,
12,Tuesday Apr 17,boxscore,MIN,,CLE,L,1,6,,7-5,2,0.5,Kluber,Odorizzi,,3:24,N,19516,-,
13,Wednesday Apr 18,boxscore,MIN,,CLE,W-wo,2,1,16,8-5,1,up 0.5,Busenitz,Tomlin,,5:13,N,19537,+,
14,Friday Apr 20,boxscore,MIN,@,TBR,L-wo,7,8,10,8-6,1,up 0.5,Colome,Duke,,3:30,N,9786,-,
15,Saturday Apr 21,boxscore,MIN,@,TBR,L,1,10,,8-7,2,0.5,Snell,Gibson,,2:53,N,10106,--,
16,Sunday Apr 22,boxscore,MIN,@,TBR,L-wo,6,8,,8-8,2,1.5,Colome,Reed,,3:39,D,12515,---,
17,Monday Apr 23,boxscore,MIN,@,NYY,L,1,14,,8-9,2,2.5,Tanaka,Odorizzi,,3:38,N,39249,----,
18,Tuesday Apr 24,boxscore,MIN,@,NYY,L,3,8,,8-10,2,2.5,Sabathia,Berrios,,3:11,N,39025,-----,
19,Wednesday Apr 25,boxscore,MIN,@,NYY,L,4,7,,8-11,3,3.5,Green,Lynn,Chapman,3:40,N,39243,------,
20,Thursday Apr 26,boxscore,MIN,@,NYY,L-wo,3,4,,8-12,3,3.5,Betances,Rodney,,3:05,D,40758,-------,
21,Friday Apr 27,boxscore,MIN,,CIN,L,9,15,,8-13,3,4.5,Hernandez,Duffey,,4:00,N,25002,--------,
22,Saturday Apr 28,boxscore,MIN,,CIN,W,3,1,,9-13,3,3.5,Odorizzi,Romano,Rodney,2:58,D,27115,+,
23,Sunday Apr 29,boxscore,MIN,,CIN,L,2,8,,9-14,3,3.5,Mahle,Berrios,,3:07,D,25677,-,
24,Monday Apr 30,boxscore,MIN,,TOR,L,5,7,,9-15,3,4.5,Sanchez,Lynn,Osuna,3:13,N,16456,--,
25,Tuesday May 1,boxscore,MIN,,TOR,L,4,7,10,9-16,3,4.5,Clippard,Curtiss,Osuna,3:32,N,16245,---,
26,Wednesday May 2,boxscore,MIN,,TOR,W,4,0,,10-16,3,4.5,Romero,Stroman,,2:47,D,16420,+,
27,Thursday May 3,boxscore,MIN,@,CHW,L-wo,5,6,,10-17,3,5.0,Jones,Reed,,2:54,N,13260,-,
28,Friday May 4,boxscore,MIN,@,CHW,W,6,4,,11-17,3,4.0,Berrios,Fulmer,Rodney,3:19,N,15935,+,
29,Saturday May 5,boxscore,MIN,@,CHW,W,8,4,,12-17,3,3.0,Lynn,Santiago,,3:23,N,23765,++,
30,Sunday May 6,boxscore,MIN,@,CHW,W,5,3,,13-17,2,2.0,Duke,Rondon,Rodney,2:56,D,17424,+++,
31,Monday May 7,boxscore,MIN,@,STL,W,6,0,,14-17,2,1.5,Romero,Gant,,2:55,N,40182,++++,
32,Tuesday May 8,boxscore,MIN,@,STL,W,7,1,,15-17,2,0.5,Odorizzi,Martinez,,2:54,D,39253,+++++,
33,Thursday May 10,boxscore,MIN,@,LAA,L,4,7,,15-18,2,1.5,Alvarez,Berrios,Johnson,3:08,N,30127,-,
34,Friday May 11,boxscore,MIN,@,LAA,W,5,4,,16-18,2,0.5,Magill,Anderson,Rodney,3:23,N,43521,+,
35,Saturday May 12,boxscore,MIN,@,LAA,W,5,3,12,17-18,2,0.5,Hildenberger,Ramirez,Rodney,4:21,N,40117,++,
36,Sunday May 13,boxscore,MIN,@,LAA,L-wo,1,2,,17-19,2,1.5,Parker,Duke,,3:28,D,38029,-,
37,Monday May 14,boxscore,MIN,,SEA,L,0,1,,17-20,2,1.5,Pazos,Hildenberger,Diaz,2:53,N,16581,--,
38,Tuesday May 15,boxscore,MIN,,STL,W,4,1,,18-20,2,0.5,Berrios,Cecil,Rodney,2:45,N,24259,+,
39,Wednesday May 16,boxscore,MIN,,STL,L,5,7,,18-21,2,1.5,Hicks,Lynn,Norris,3:50,D,25180,-,
40,Friday May 18,boxscore,MIN,,MIL,L,3,8,,18-22,2,1.5,Suter,Gibson,,2:52,N,29349,--,
41,Saturday May 19,boxscore,MIN,,MIL,L,4,5,,18-23,2,2.5,Hader,Reed,,3:02,N,30182,---,
42,Sunday May 20,boxscore,MIN,,MIL,W,3,1,,19-23,2,1.5,Reed,Williams,Rodney,3:23,D,28577,+,
43,Monday May 21,boxscore,MIN,,DET,W,4,2,,20-23,2,1.0,Berrios,Stumpf,Rodney,2:35,N,17161,++,
44,Tuesday May 22,boxscore,MIN,,DET,W,6,0,,21-23,2,1.0,Lynn,Boyd,,3:01,N,25559,+++,
45,Wednesday May 23,boxscore,MIN,,DET,L,1,4,,21-24,2,2.0,Fulmer,Gibson,Greene,2:59,D,23891,-,
46,Friday May 25,boxscore,MIN,@,SEA,L,1,2,,21-25,2,1.5,Paxton,Romero,Diaz,2:14,N,19924,--,
47,Saturday May 26,boxscore,MIN,@,SEA,L-wo,3,4,12,21-26,2,2.5,Bradford,Magill,,3:40,N,23986,---,
48,Sunday May 27,boxscore,MIN,@,SEA,L,1,3,,21-27,2,3.5,Leake,Berrios,Colome,2:18,D,31340,----,
49,Monday May 28,boxscore,MIN,@,KCR,W,8,5,,22-27,2,3.5,Lynn,Junis,Rodney,3:13,N,18572,+,
50,Tuesday May 29,boxscore,MIN,@,KCR,L-wo,1,2,14,22-28,2,4.5,Barlow,Rogers,,4:12,N,20533,-,
51,Wednesday May 30,boxscore,MIN,@,KCR,L,8,11,,22-29,3,5.5,McCarthy,Romero,Herrera,3:01,N,21343,--,
52,Thursday May 31,boxscore,MIN,,CLE,L,8,9,,22-30,3,6.5,Olson,Reed,Allen,3:29,N,19148,---,
53,Friday Jun 1,boxscore,MIN,,CLE,W,7,4,,23-30,3,5.5,Berrios,Carrasco,Rodney,2:39,N,30171,+,
54,Saturday Jun 2,boxscore,MIN,,CLE,W,7,1,,24-30,3,4.5,Lynn,Bauer,,3:12,D,23476,++,
55,Sunday Jun 3,boxscore,MIN,,CLE,W-wo,7,5,,25-30,3,3.5,Rodney,Allen,,3:14,D,26096,+++,
56,Tuesday Jun 5 (1),boxscore,MIN,,CHW,W,4,2,,26-30,3,4.0,Duffey,Jones,Rodney,2:37,D,,++++,
57,Tuesday Jun 5 (2),boxscore,MIN,,CHW,L,3,6,,26-31,3,4.0,Giolito,Littell,Soria,3:07,D,26261,-,
58,Wednesday Jun 6,boxscore,MIN,,CHW,L,2,5,,26-32,3,5.0,Santiago,Odorizzi,Soria,3:27,N,20393,--,
59,Thursday Jun 7,boxscore,MIN,,CHW,W,7,2,,27-32,3,4.5,Berrios,Shields,,2:14,D,21469,+,
60,Friday Jun 8,boxscore,MIN,,LAA,L,2,4,,27-33,3,5.5,Ramirez,Pressly,Parker,3:21,N,28383,-,
61,Saturday Jun 9,boxscore,MIN,,LAA,L,1,2,,27-34,3,5.5,Skaggs,Gibson,Parker,2:53,D,24061,--,
62,Sunday Jun 10,boxscore,MIN,,LAA,W,7,5,,28-34,3,5.5,Romero,Tropeano,,3:08,D,28656,+,
