Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,NYM,,STL,W,9,4,,1-0,1,Tied,Syndergaard,Martinez,,3:01,D,44189,+,
2,Saturday Mar 31,boxscore,NYM,,STL,W,6,2,,2-0,1,Tied,deGrom,Wacha,Familia,3:22,D,36098,++,
3,Sunday Apr 1,boxscore,NYM,,STL,L,1,5,,2-1,2,1.0,Weaver,Matz,,3:15,D,22486,-,
4,Tuesday Apr 3,boxscore,NYM,,PHI,W,2,0,,3-1,2,0.5,Blevins,Lively,Familia,2:51,N,21397,+,
5,Wednesday Apr 4,boxscore,NYM,,PHI,W,4,2,,4-1,1,up 0.5,Gsellman,Hutchison,Familia,3:05,D,21328,++,
6,Thursday Apr 5,boxscore,NYM,@,WSN,W,8,2,,5-1,1,up 1.0,deGrom,Strasburg,,2:57,D,42477,+++,
7,Saturday Apr 7,boxscore,NYM,@,WSN,W,3,2,,6-1,1,up 1.5,Robles,Kintzler,Familia,2:59,D,28952,++++,
8,Sunday Apr 8,boxscore,NYM,@,WSN,W,6,5,12,7-1,1,up 1.5,Lugo,Kintzler,Rhame,4:03,N,21579,+++++,
9,Monday Apr 9,boxscore,NYM,@,MIA,W,4,2,,8-1,1,up 2.5,Syndergaard,Urena,Familia,3:10,N,7003,++++++,
10,Tuesday Apr 10,boxscore,NYM,@,MIA,W,8,6,,9-1,1,up 3.5,Robles,Ziegler,Familia,2:59,N,6516,+++++++,
11,Wednesday Apr 11,boxscore,NYM,@,MIA,W,4,1,,10-1,1,up 3.5,Wheeler,O'Grady,,2:27,N,6150,++++++++,
12,Friday Apr 13,boxscore,NYM,,MIL,W,6,5,,11-1,1,up 3.5,Matz,Davies,Familia,3:10,N,34921,+++++++++,
13,Saturday Apr 14,boxscore,NYM,,MIL,L,1,5,,11-2,1,up 3.0,Anderson,Harvey,Hader,2:46,N,40965,-,
14,Sunday Apr 15,boxscore,NYM,,MIL,W-wo,3,2,,12-2,1,up 3.0,Familia,Albers,,3:28,D,26035,+,
15,Monday Apr 16,boxscore,NYM,,WSN,L,6,8,,12-3,1,up 3.0,Cole,Ramos,Madson,3:25,N,22829,-,
16,Tuesday Apr 17,boxscore,NYM,,WSN,L,2,5,,12-4,1,up 2.0,Gonzalez,Wheeler,Doolittle,3:11,N,22724,--,
17,Wednesday Apr 18,boxscore,NYM,,WSN,W,11,5,,13-4,1,up 3.0,Ramos,Madson,,2:51,N,23117,+,
18,Thursday Apr 19,boxscore,NYM,@,ATL,L,4,12,,13-5,1,up 2.0,Wisler,Harvey,,3:00,N,23610,-,
19,Friday Apr 20,boxscore,NYM,@,ATL,W,5,3,12,14-5,1,up 2.0,Gsellman,Ravin,Familia,3:51,N,39016,+,
20,Saturday Apr 21,boxscore,NYM,@,ATL,L-wo,3,4,,14-6,1,up 1.0,Biddle,Familia,,3:07,N,41396,-,
21,Tuesday Apr 24,boxscore,NYM,@,STL,W,6,5,10,15-6,1,up 1.5,Gsellman,Bowman,Familia,3:28,N,36237,+,
22,Wednesday Apr 25,boxscore,NYM,@,STL,L,1,9,,15-7,1,up 0.5,Wacha,Matz,Brebbia,2:47,N,38045,-,
23,Thursday Apr 26,boxscore,NYM,@,STL,L-wo,3,4,13,15-8,1,up 0.5,Gant,Sewald,,4:11,D,37762,--,
24,Friday Apr 27,boxscore,NYM,@,SDP,W,5,1,,16-8,1,up 0.5,deGrom,Richard,,2:40,N,29977,+,
25,Saturday Apr 28,boxscore,NYM,@,SDP,L,2,12,,16-9,1,up 0.5,Lucchesi,Vargas,,2:50,N,42778,-,
26,Sunday Apr 29,boxscore,NYM,@,SDP,W,14,2,,17-9,1,up 1.5,Wheeler,Mitchell,,3:29,D,34639,+,
27,Tuesday May 1,boxscore,NYM,,ATL,L,2,3,,17-10,1,up 0.5,Soroka,Syndergaard,Vizcaino,2:43,N,22527,-,
28,Wednesday May 2,boxscore,NYM,,ATL,L,0,7,,17-11,2,0.5,Newcomb,Sewald,,2:24,N,23528,--,
29,Thursday May 3,boxscore,NYM,,ATL,L,0,11,,17-12,2,1.5,Teheran,Vargas,,2:40,D,26882,---,
30,Friday May 4,boxscore,NYM,,COL,L,7,8,,17-13,2,1.5,Marquez,Wheeler,Davis,3:14,N,34030,----,
31,Saturday May 5,boxscore,NYM,,COL,L,0,2,,17-14,3,1.5,Bettis,Matz,Davis,2:28,N,37550,-----,
32,Sunday May 6,boxscore,NYM,,COL,L,2,3,,17-15,3,1.5,Freeland,Robles,Ottavino,3:02,D,33580,------,
33,Monday May 7,boxscore,NYM,@,CIN,W,7,6,,18-15,3,1.0,Gsellman,Bailey,Familia,2:47,N,15187,+,
34,Tuesday May 8,boxscore,NYM,@,CIN,L,2,7,,18-16,4,2.0,Castillo,Vargas,,2:55,N,14804,-,
35,Wednesday May 9,boxscore,NYM,@,CIN,L-wo,1,2,10,18-17,4,3.0,Iglesias,Ramos,,2:30,D,16452,--,
36,Friday May 11,boxscore,NYM,@,PHI,W,3,1,,19-17,4,2.5,Ramos,Neris,Familia,2:49,N,29247,+,
37,Sunday May 13,boxscore,NYM,@,PHI,L,2,4,,19-18,4,4.0,Nola,Sewald,Ramos,3:19,D,34091,-,
38,Tuesday May 15,boxscore,NYM,,TOR,W,12,2,,20-18,4,3.5,Syndergaard,Garcia,,3:02,N,28967,+,
39,Wednesday May 16,boxscore,NYM,,TOR,L,1,12,,20-19,4,4.5,Happ,Wheeler,,3:34,D,28400,-,
40,Friday May 18,boxscore,NYM,,ARI,W,3,1,,21-19,4,3.5,deGrom,Godley,Familia,2:36,N,31285,+,
