Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,PHI,@,ATL,L-wo,5,8,,0-1,4,1.0,Vizcaino,Neris,,3:28,D,40208,-,
2,Friday Mar 30,boxscore,PHI,@,ATL,W,5,4,11,1-1,3,0.5,Hutchison,Carle,,4:16,N,35123,+,
3,Saturday Mar 31,boxscore,PHI,@,ATL,L,2,15,,1-2,4,1.5,McCarthy,Velasquez,,3:21,N,37777,-,
4,Tuesday Apr 3,boxscore,PHI,@,NYM,L,0,2,,1-3,4,2.5,Blevins,Lively,Familia,2:51,N,21397,--,
5,Wednesday Apr 4,boxscore,PHI,@,NYM,L,2,4,,1-4,5,3.0,Gsellman,Hutchison,Familia,3:05,D,21328,---,
6,Thursday Apr 5,boxscore,PHI,,MIA,W,5,0,,2-4,4,3.0,Pivetta,Smith,,3:03,D,44488,+,
7,Saturday Apr 7,boxscore,PHI,,MIA,W,20,1,,3-4,4,3.0,Velasquez,Peters,Thompson,3:21,N,33660,++,
8,Sunday Apr 8,boxscore,PHI,,MIA,L,3,6,,3-5,4,4.0,Despaigne,Garcia,Ziegler,3:04,D,34326,-,
9,Monday Apr 9,boxscore,PHI,,CIN,W,6,5,,4-5,4,4.0,Garcia,Quackenbush,Neris,3:22,N,18127,+,
10,Tuesday Apr 10,boxscore,PHI,,CIN,W,6,1,,5-5,4,4.0,Nola,Hughes,,2:44,N,20895,++,
11,Wednesday Apr 11,boxscore,PHI,,CIN,W-wo,4,3,12,6-5,3,4.0,Rios,Brice,,3:48,N,19099,+++,
12,Friday Apr 13,boxscore,PHI,@,TBR,W,2,1,,7-5,3,4.0,Ramos,Colome,Neris,2:53,N,13372,++++,
13,Saturday Apr 14,boxscore,PHI,@,TBR,W,9,4,,8-5,2,3.0,Arrieta,Archer,,2:46,N,20934,+++++,
14,Sunday Apr 15,boxscore,PHI,@,TBR,W,10,4,,9-5,2,3.0,Rios,Yarbrough,,3:34,D,19841,++++++,
15,Monday Apr 16,boxscore,PHI,@,ATL,L,1,2,,9-6,2,3.0,Teheran,Nola,Vizcaino,2:40,N,17812,-,
16,Tuesday Apr 17,boxscore,PHI,@,ATL,W,5,1,10,10-6,2,2.0,Neris,Ramirez,,3:36,N,17913,+,
17,Wednesday Apr 18,boxscore,PHI,@,ATL,L,3,7,,10-7,2,3.0,McCarthy,Velasquez,,3:08,N,22135,-,
18,Thursday Apr 19,boxscore,PHI,,PIT,W,7,0,,11-7,2,2.0,Arrieta,Taillon,,2:53,N,19071,+,
19,Friday Apr 20,boxscore,PHI,,PIT,W,2,1,,12-7,2,2.0,Garcia,Kontos,Neris,2:42,N,20183,++,
20,Saturday Apr 21,boxscore,PHI,,PIT,W,6,2,,13-7,2,1.0,Nola,Feliz,Neris,3:11,D,28161,+++,
21,Sunday Apr 22,boxscore,PHI,,PIT,W-wo,3,2,11,14-7,2,0.5,Rios,Rodriguez,,3:35,D,29199,++++,
22,Tuesday Apr 24,boxscore,PHI,,ARI,L,4,8,,14-8,2,1.5,Salas,Velasquez,,3:49,N,18195,-,
23,Wednesday Apr 25,boxscore,PHI,,ARI,W,5,3,,15-8,2,0.5,Arrieta,Greinke,Neris,2:55,N,21349,+,
24,Thursday Apr 26,boxscore,PHI,,ARI,L,2,8,,15-9,2,0.5,Koch,Lively,,3:12,D,20335,-,
25,Friday Apr 27,boxscore,PHI,,ATL,W,7,3,,16-9,2,0.5,Nola,Fried,,2:50,N,27076,+,
26,Saturday Apr 28,boxscore,PHI,,ATL,L,1,4,,16-10,2,0.5,Foltynewicz,Pivetta,Vizcaino,3:10,N,27794,-,
27,Sunday Apr 29,boxscore,PHI,,ATL,L,1,10,,16-11,2,1.5,McCarthy,Velasquez,,3:26,D,31010,--,
28,Monday Apr 30,boxscore,PHI,@,MIA,L,4,8,,16-12,3,2.0,Gonzalez,Arrieta,,3:06,N,5415,---,
29,Tuesday May 1,boxscore,PHI,@,MIA,L-wo,1,2,10,16-13,3,2.0,Tazawa,Rios,,2:54,N,5844,----,
30,Wednesday May 2,boxscore,PHI,@,MIA,W,6,0,,17-13,3,1.5,Nola,Urena,,2:54,N,5941,+,
31,Friday May 4,boxscore,PHI,@,WSN,L,3,7,,17-14,3,2.0,Gonzalez,Pivetta,,2:49,N,35497,-,
32,Saturday May 5,boxscore,PHI,@,WSN,W,3,1,,18-14,2,1.0,Velasquez,Roark,Neris,3:13,D,34687,+,
33,Sunday May 6,boxscore,PHI,@,WSN,L-wo,4,5,,18-15,2,1.0,Doolittle,Neris,,3:33,D,30611,-,
34,Monday May 7,boxscore,PHI,,SFG,W,11,0,,19-15,2,0.5,Eflin,Samardzija,,3:05,N,17050,+,
35,Tuesday May 8,boxscore,PHI,,SFG,W,4,2,,20-15,2,0.5,Nola,Holland,Neris,2:53,N,22456,++,
36,Wednesday May 9,boxscore,PHI,,SFG,W,11,3,,21-15,2,0.5,Pivetta,Stratton,,3:19,N,18448,+++,
37,Thursday May 10,boxscore,PHI,,SFG,W,6,3,,22-15,2,0.5,Velasquez,Blach,Neris,2:47,D,30204,++++,
38,Friday May 11,boxscore,PHI,,NYM,L,1,3,,22-16,2,0.5,Ramos,Neris,Familia,2:49,N,29247,-,
39,Sunday May 13,boxscore,PHI,,NYM,W,4,2,,23-16,2,1.0,Nola,Sewald,Ramos,3:19,D,34091,+,
40,Wednesday May 16,boxscore,PHI,@,BAL,W,4,1,,24-16,2,1.0,Pivetta,Cashner,,2:42,D,29706,++,
41,Thursday May 17,boxscore,PHI,@,STL,W,6,2,,25-16,2,0.5,Velasquez,Weaver,,3:33,N,41039,+++,
42,Friday May 18,boxscore,PHI,@,STL,L,4,12,,25-17,2,0.5,Wacha,Arrieta,,3:26,N,42050,-,
43,Saturday May 19,boxscore,PHI,@,STL,W,7,6,,26-17,2,0.5,Hunter,Holland,Dominguez,3:42,D,44431,+,
44,Sunday May 20,boxscore,PHI,@,STL,L,1,5,,26-18,2,1.5,Flaherty,Nola,,2:53,D,43560,-,
45,Monday May 21,boxscore,PHI,,ATL,W,3,0,,27-18,2,0.5,Pivetta,Foltynewicz,Neris,2:33,N,21284,+,
46,Tuesday May 22,boxscore,PHI,,ATL,L,1,3,,27-19,2,1.5,McCarthy,Velasquez,Vizcaino,3:18,N,18545,-,
47,Wednesday May 23,boxscore,PHI,,ATL,W,4,0,,28-19,2,0.5,Arrieta,Gohara,,2:51,N,27647,+,
48,Friday May 25,boxscore,PHI,,TOR,L,5,6,,28-20,2,0.5,Gaviglio,Eflin,Tepera,2:59,N,21374,-,
49,Saturday May 26,boxscore,PHI,,TOR,W,2,1,,29-20,1,up 0.5,Dominguez,Biagini,Garcia,2:25,D,26788,+,
50,Sunday May 27,boxscore,PHI,,TOR,L,3,5,,29-21,2,0.5,Happ,Pivetta,Tepera,2:50,D,24182,-,
51,Monday May 28,boxscore,PHI,@,LAD,L,4,5,,29-22,3,1.0,Garcia,Morgan,Jansen,3:32,N,39759,--,
52,Tuesday May 29,boxscore,PHI,@,LAD,W,6,1,,30-22,3,1.0,Arrieta,Maeda,,3:26,N,40044,+,
53,Wednesday May 30,boxscore,PHI,@,LAD,L,2,8,,30-23,3,2.0,Stripling,Eflin,,3:03,N,43302,-,
54,Thursday May 31,boxscore,PHI,@,LAD,W,2,1,,31-23,3,1.0,Nola,Fields,Dominguez,2:40,D,40986,+,
55,Friday Jun 1,boxscore,PHI,@,SFG,L,0,4,,31-24,3,2.0,Stratton,Pivetta,,2:49,N,38119,-,
56,Saturday Jun 2,boxscore,PHI,@,SFG,L,0,2,,31-25,3,2.0,Suarez,Velasquez,Strickland,2:24,N,39208,--,
57,Sunday Jun 3,boxscore,PHI,@,SFG,L,1,6,,31-26,3,3.0,Rodriguez,Arrieta,,2:28,D,40491,---,
58,Tuesday Jun 5,boxscore,PHI,@,CHC,W,6,1,,32-26,3,2.5,Eflin,Hendricks,,2:46,N,40553,+,
59,Wednesday Jun 6,boxscore,PHI,@,CHC,L-wo,5,7,,32-27,3,3.0,Mazzoni,Morgan,,3:20,N,40275,-,
60,Thursday Jun 7,boxscore,PHI,@,CHC,L,3,4,,32-28,3,3.5,Duensing,Pivetta,Morrow,3:20,D,40057,--,
61,Friday Jun 8,boxscore,PHI,,MIL,L,4,12,,32-29,3,3.5,Chacin,Velasquez,,3:27,N,22196,---,
62,Saturday Jun 9,boxscore,PHI,,MIL,L,3,12,,32-30,3,4.5,Suter,Arrieta,,3:31,D,25304,----,
63,Sunday Jun 10,boxscore,PHI,,MIL,W,4,3,,33-30,3,3.5,Eflin,Jennings,Hunter,2:57,D,31175,+,
64,Tuesday Jun 12,boxscore,PHI,,COL,W,5,4,,34-30,3,3.0,Nola,Gray,Dominguez,3:07,N,19556,++,
65,Wednesday Jun 13,boxscore,PHI,,COL,L,2,7,,34-31,3,4.0,Anderson,Pivetta,,2:55,N,20075,-,
66,Thursday Jun 14,boxscore,PHI,,COL,W,9,3,,35-31,3,4.0,Velasquez,Marquez,,3:21,D,22500,+,
67,Friday Jun 15,boxscore,PHI,@,MIL,L,2,13,,35-32,3,4.0,Suter,Arrieta,,2:51,N,40945,-,
68,Saturday Jun 16,boxscore,PHI,@,MIL,W,4,1,,36-32,3,4.0,Eflin,Guerra,Neris,3:32,D,40531,+,
69,Sunday Jun 17,boxscore,PHI,@,MIL,W,10,9,,37-32,3,4.0,Hunter,Anderson,Thompson,4:02,D,40985,++,
70,Monday Jun 18,boxscore,PHI,,STL,W-wo,6,5,10,38-32,2,3.5,Thompson,Bowman,,3:39,N,22083,+++,
71,Tuesday Jun 19,boxscore,PHI,,STL,L,6,7,,38-33,3,4.5,Hicks,Dominguez,,3:16,N,21122,-,
72,Wednesday Jun 20,boxscore,PHI,,STL,W,4,3,,39-33,2,3.5,Ramos,Tuivailala,Morgan,3:08,D,26120,+,
73,Friday Jun 22,boxscore,PHI,@,WSN,W,12,2,,40-33,2,2.5,Eflin,Roark,,3:30,N,35630,++,
74,Saturday Jun 23,boxscore,PHI,@,WSN,W,5,3,,41-33,2,1.5,Nola,Fedde,Dominguez,3:03,D,40341,+++,
75,Sunday Jun 24,boxscore,PHI,@,WSN,L,6,8,,41-34,2,2.5,Madson,Dominguez,Doolittle,3:47,N,29314,-,
76,Monday Jun 25,boxscore,PHI,,NYY,L,2,4,,41-35,2,3.5,Loaisiga,Velasquez,Chapman,3:20,N,44136,--,
77,Tuesday Jun 26,boxscore,PHI,,NYY,L,0,6,,41-36,2,3.5,Severino,Arrieta,,2:38,N,43568,---,
78,Wednesday Jun 27,boxscore,PHI,,NYY,W,3,0,,42-36,2,2.5,Eflin,Cessa,Dominguez,2:43,N,42028,+,
79,Thursday Jun 28,boxscore,PHI,,WSN,W,4,3,,43-36,2,2.0,Nola,Roark,Dominguez,3:09,N,25026,++,
80,Friday Jun 29,boxscore,PHI,,WSN,L,7,17,,43-37,2,3.0,Fedde,Pivetta,,3:43,N,36903,-,
81,Saturday Jun 30,boxscore,PHI,,WSN,W,3,2,,44-37,2,3.0,Arano,Hellickson,Dominguez,3:20,N,42746,+,
82,Sunday Jul 1,boxscore,PHI,,WSN,W-wo,4,3,13,45-37,2,3.0,Pivetta,Miller,,4:28,D,22051,++,
83,Tuesday Jul 3,boxscore,PHI,,BAL,W,3,2,,46-37,2,2.5,Eflin,Cobb,Dominguez,2:45,N,28204,+++,
84,Wednesday Jul 4,boxscore,PHI,,BAL,W,4,1,,47-37,2,1.5,Nola,Ramirez,Arano,2:55,D,30943,++++,
85,Friday Jul 6,boxscore,PHI,@,PIT,W,17,5,,48-37,1,Tied,Ramos,Williams,,4:30,N,24846,+++++,
86,Saturday Jul 7,boxscore,PHI,@,PIT,W,3,2,,49-37,1,Tied,Arrieta,Taillon,Arano,2:48,D,28150,++++++,
87,Sunday Jul 8,boxscore,PHI,@,PIT,L,1,4,,49-38,1,Tied,Kingham,Anderson,Vazquez,2:42,D,19542,-,
88,Monday Jul 9 (1),boxscore,PHI,@,NYM,L-wo,3,4,10,49-39,1,Tied,Peterson,Arano,,3:24,N,,--,
89,Monday Jul 9 (2),boxscore,PHI,@,NYM,W,3,1,,50-39,1,Tied,Nola,Oswalt,Arano,2:41,N,24139,+,
90,Tuesday Jul 10,boxscore,PHI,@,NYM,W,7,3,,51-39,1,up 1.0,De Los Santos,Gagnon,,2:50,N,22416,++,
91,Wednesday Jul 11,boxscore,PHI,@,NYM,L-wo,0,3,10,51-40,1,Tied,Gsellman,Leiter,,3:07,N,22137,-,
92,Thursday Jul 12,boxscore,PHI,@,BAL,W,5,4,,52-40,1,up 0.5,Pivetta,Gausman,Dominguez,3:04,N,20100,+,
