Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Friday Mar 30,boxscore,PIT,@,DET,W,13,10,13,1-0,2,0.5,Brault,Wilson,,5:27,D,42516,+,
2,Sunday Apr 1 (1),boxscore,PIT,@,DET,W,1,0,,2-0,1,Tied,Williams,Fulmer,Vazquez,2:30,D,14858,++,
3,Sunday Apr 1 (2),boxscore,PIT,@,DET,W,8,6,,3-0,1,Tied,Kuhl,Farmer,Vazquez,3:14,N,18438,+++,
4,Monday Apr 2,boxscore,PIT,,MIN,W,5,4,,4-0,1,up 1.0,Taillon,Lynn,Kontos,3:26,D,30186,++++,
5,Wednesday Apr 4,boxscore,PIT,,MIN,L,3,7,,4-1,1,up 0.5,Rogers,Nova,,3:25,N,20690,-,
6,Thursday Apr 5,boxscore,PIT,,CIN,W,5,2,,5-1,1,up 1.5,Brault,Bailey,Vazquez,2:47,N,9227,+,
7,Friday Apr 6,boxscore,PIT,,CIN,W,14,3,,6-1,1,up 1.5,Williams,Castillo,,3:26,N,11115,++,
8,Saturday Apr 7,boxscore,PIT,,CIN,L,4,7,,6-2,1,up 1.5,Peralta,Kontos,Iglesias,3:09,N,14336,-,
9,Sunday Apr 8,boxscore,PIT,,CIN,W,5,0,,7-2,1,up 2.0,Taillon,Mahle,,2:28,D,11251,+,
10,Tuesday Apr 10,boxscore,PIT,@,CHC,W,8,5,,8-2,1,up 3.0,Nova,Chatwood,Vazquez,3:05,D,40144,++,
11,Wednesday Apr 11,boxscore,PIT,@,CHC,L,5,13,,8-3,1,up 2.0,Duensing,Glasnow,,2:59,N,35596,-,
12,Thursday Apr 12,boxscore,PIT,@,CHC,W,6,1,,9-3,1,up 2.5,Williams,Hendricks,,2:57,D,29949,+,
13,Friday Apr 13,boxscore,PIT,@,MIA,L,2,7,,9-4,1,up 2.5,Peters,Kuhl,,2:48,N,6852,-,
14,Saturday Apr 14,boxscore,PIT,@,MIA,W,1,0,,10-4,1,up 2.5,Kontos,Ziegler,Vazquez,2:31,N,26816,+,
15,Sunday Apr 15,boxscore,PIT,@,MIA,W,7,3,,11-4,1,up 2.5,Nova,Urena,,3:03,D,10621,++,
16,Monday Apr 16,boxscore,PIT,,COL,L,2,6,,11-5,1,up 2.0,Marquez,Brault,,2:35,N,8958,-,
17,Tuesday Apr 17,boxscore,PIT,,COL,L,0,2,,11-6,1,up 1.0,Bettis,Williams,Davis,2:31,N,8869,--,
18,Wednesday Apr 18,boxscore,PIT,,COL,W,10,2,,12-6,1,up 1.5,Kuhl,Freeland,,3:04,D,8970,+,
19,Thursday Apr 19,boxscore,PIT,@,PHI,L,0,7,,12-7,1,up 1.5,Arrieta,Taillon,,2:53,N,19071,-,
20,Friday Apr 20,boxscore,PIT,@,PHI,L,1,2,,12-8,1,up 0.5,Garcia,Kontos,Neris,2:42,N,20183,--,
21,Saturday Apr 21,boxscore,PIT,@,PHI,L,2,6,,12-9,3,0.5,Nola,Feliz,Neris,3:11,D,28161,---,
22,Sunday Apr 22,boxscore,PIT,@,PHI,L-wo,2,3,11,12-10,3,1.5,Rios,Rodriguez,,3:35,D,29199,----,
23,Wednesday Apr 25 (1),boxscore,PIT,,DET,L,10,13,,12-11,3,2.5,Stumpf,Taillon,Greene,3:51,N,,-----,
24,Wednesday Apr 25 (2),boxscore,PIT,,DET,W,8,3,,13-11,3,2.5,Kuhl,Boyd,,3:09,N,9396,+,
25,Thursday Apr 26,boxscore,PIT,,DET,W-wo,1,0,,14-11,3,1.5,Vazquez,Wilson,,2:36,D,12049,++,
26,Friday Apr 27,boxscore,PIT,,STL,W-wo,6,5,11,15-11,3,0.5,Kontos,Hicks,,3:34,N,15748,+++,
27,Saturday Apr 28,boxscore,PIT,,STL,W,6,2,,16-11,1,up 0.5,Williams,Flaherty,,3:14,N,18568,++++,
28,Sunday Apr 29,boxscore,PIT,,STL,W,5,0,,17-11,1,up 0.5,Kingham,Weaver,,2:51,D,14378,+++++,
29,Monday Apr 30,boxscore,PIT,@,WSN,L,2,3,,17-12,2,0.5,Roark,Taillon,Kintzler,2:34,N,20879,-,
