Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,SDP,,MIL,L,1,2,12,0-1,3,1.0,Jeffress,Cimber,Barnes,3:36,D,44649,-,
2,Friday Mar 30,boxscore,SDP,,MIL,L,6,8,,0-2,3,2.0,Drake,Hand,Knebel,3:08,N,31513,--,
3,Saturday Mar 31,boxscore,SDP,,MIL,L,3,7,,0-3,5,2.0,Suter,Perdomo,,2:51,N,35106,---,
4,Monday Apr 2,boxscore,SDP,,COL,L,4,7,,0-4,5,3.0,Bettis,Mitchell,Davis,3:11,N,16899,----,
5,Tuesday Apr 3,boxscore,SDP,,COL,W,8,4,,1-4,5,3.0,Ross,Freeland,Hand,2:47,N,19283,+,
6,Wednesday Apr 4,boxscore,SDP,,COL,L,2,5,,1-5,5,4.0,Gray,Richard,Davis,2:41,N,19698,-,
7,Thursday Apr 5,boxscore,SDP,,COL,L,1,3,,1-6,5,5.0,Ottavino,Hand,Davis,2:58,D,20509,--,
8,Friday Apr 6,boxscore,SDP,@,HOU,W,4,1,,2-6,5,4.5,Perdomo,McCullers,Hand,3:11,N,41138,+,
9,Saturday Apr 7,boxscore,SDP,@,HOU,L-wo,0,1,10,2-7,5,4.5,Devenski,Erlin,,3:27,N,42306,-,
10,Sunday Apr 8,boxscore,SDP,@,HOU,L,1,4,,2-8,5,5.5,Morton,Ross,Peacock,2:25,D,37093,--,
11,Monday Apr 9,boxscore,SDP,@,COL,W,7,6,,3-8,5,5.5,Richard,Gray,Hand,2:46,N,20291,+,
12,Tuesday Apr 10,boxscore,SDP,@,COL,W,5,2,,4-8,5,4.5,Lucchesi,Shaw,Hand,2:39,N,22446,++,
13,Wednesday Apr 11,boxscore,SDP,@,COL,L,4,6,,4-9,5,5.5,Senzatela,Baumann,Davis,2:56,D,21248,-,
14,Thursday Apr 12,boxscore,SDP,,SFG,L,0,7,,4-10,5,6.0,Stratton,Mitchell,,2:47,N,22288,--,
15,Friday Apr 13,boxscore,SDP,,SFG,W,5,1,,5-10,5,6.0,Ross,Blach,Hand,2:32,N,31675,+,
16,Saturday Apr 14,boxscore,SDP,,SFG,W,5,4,,6-10,4,6.0,Cimber,Gearrin,Hand,2:59,N,41117,++,
17,Sunday Apr 15,boxscore,SDP,,SFG,W,10,1,,7-10,3,5.0,Lucchesi,Beede,,3:09,D,34316,+++,
18,Monday Apr 16,boxscore,SDP,,LAD,L,3,10,,7-11,5,5.5,Ryu,Erlin,,2:50,N,23082,-,
19,Tuesday Apr 17,boxscore,SDP,,LAD,L,3,7,12,7-12,5,6.5,Alexander,Webb,,4:12,N,22959,--,
20,Wednesday Apr 18,boxscore,SDP,,LAD,L,4,13,,7-13,5,6.5,Maeda,Perdomo,,3:26,N,23748,---,
21,Friday Apr 20,boxscore,SDP,@,ARI,W,4,1,,8-13,5,6.0,Hand,Boxberger,,2:54,N,24902,+,
22,Saturday Apr 21,boxscore,SDP,@,ARI,L,2,6,,8-14,5,7.0,Godley,Richard,,2:55,N,38820,-,
23,Sunday Apr 22,boxscore,SDP,@,ARI,L,2,4,,8-15,5,8.0,Corbin,Lucchesi,Bradley,2:42,D,31061,--,
