Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,SFG,@,LAD,W,1,0,,1-0,1,Tied,Blach,Kershaw,Strickland,2:55,D,53595,+,
2,Friday Mar 30,boxscore,SFG,@,LAD,W,1,0,,2-0,1,Tied,Watson,Jansen,Strickland,2:23,N,53478,++,
3,Saturday Mar 31,boxscore,SFG,@,LAD,L,0,5,,2-1,1,Tied,Maeda,Holland,,2:43,N,45938,-,
4,Sunday Apr 1,boxscore,SFG,@,LAD,L,0,9,,2-2,2,0.5,Hill,Stratton,,2:47,N,41866,--,
5,Tuesday Apr 3,boxscore,SFG,,SEA,L,4,6,,2-3,2,2.0,Gonzales,Blach,Diaz,3:02,D,40901,---,
6,Wednesday Apr 4,boxscore,SFG,,SEA,W,10,1,,3-3,2,2.0,Cueto,Hernandez,,2:52,D,42582,+,
7,Saturday Apr 7,boxscore,SFG,,LAD,W-wo,7,5,14,4-3,2,1.5,Gomez,Font,,5:16,D,42308,++,
8,Sunday Apr 8,boxscore,SFG,,LAD,L,1,2,10,4-4,2,2.5,Fields,Johnson,Jansen,3:04,D,42374,-,
9,Monday Apr 9,boxscore,SFG,,ARI,L,1,2,,4-5,2,3.5,Godley,Holland,Bradley,2:33,N,36997,--,
10,Tuesday Apr 10,boxscore,SFG,,ARI,W-wo,5,4,,5-5,2,2.5,Strickland,De La Rosa,,3:24,N,37869,+,
11,Wednesday Apr 11,boxscore,SFG,,ARI,L,3,7,,5-6,2,3.5,Salas,Suarez,,3:09,D,35041,-,
12,Thursday Apr 12,boxscore,SFG,@,SDP,W,7,0,,6-6,2,3.0,Stratton,Mitchell,,2:47,N,22288,+,
13,Friday Apr 13,boxscore,SFG,@,SDP,L,1,5,,6-7,3,4.0,Ross,Blach,Hand,2:32,N,31675,-,
14,Saturday Apr 14,boxscore,SFG,@,SDP,L,4,5,,6-8,3,5.0,Cimber,Gearrin,Hand,2:59,N,41117,--,
15,Sunday Apr 15,boxscore,SFG,@,SDP,L,1,10,,6-9,3,5.0,Lucchesi,Beede,,3:09,D,34316,---,
16,Tuesday Apr 17,boxscore,SFG,@,ARI,L,0,1,,6-10,4,6.0,Corbin,Watson,,2:05,N,19669,----,
17,Wednesday Apr 18,boxscore,SFG,@,ARI,W,4,3,10,7-10,4,5.0,Strickland,Boxberger,Gearrin,3:44,N,16976,+,
18,Thursday Apr 19,boxscore,SFG,@,ARI,L,1,3,,7-11,4,6.0,Greinke,Blach,Boxberger,2:23,N,18736,-,
19,Friday Apr 20,boxscore,SFG,@,LAA,W,8,1,,8-11,4,5.0,Samardzija,Heaney,,2:50,N,37494,+,
20,Saturday Apr 21,boxscore,SFG,@,LAA,L,3,4,,8-12,4,6.0,Richards,Holland,Middleton,2:58,N,42666,-,
21,Sunday Apr 22,boxscore,SFG,@,LAA,W,4,2,,9-12,4,6.0,Cueto,Barria,Strickland,3:45,D,44544,+,
22,Monday Apr 23,boxscore,SFG,,WSN,W,4,2,,10-12,4,5.5,Stratton,Gonzalez,Strickland,2:44,N,36983,++,
23,Tuesday Apr 24,boxscore,SFG,,WSN,W,4,3,,11-12,4,5.5,Moronta,Roark,Strickland,2:27,N,37147,+++,
24,Wednesday Apr 25,boxscore,SFG,,WSN,L,2,15,,11-13,4,5.5,Scherzer,Samardzija,,3:13,D,35126,-,
25,Friday Apr 27,boxscore,SFG,,LAD,W,6,4,,12-13,3,6.0,Dyson,Cingrani,Strickland,3:27,N,41936,+,
26,Saturday Apr 28 (1),boxscore,SFG,,LAD,L,6,15,,12-14,3,6.5,Buehler,Stratton,,3:53,D,41809,-,
27,Saturday Apr 28 (2),boxscore,SFG,,LAD,W,8,3,,13-14,3,6.5,Cueto,Wood,,2:58,N,40608,+,
28,Sunday Apr 29,boxscore,SFG,,LAD,W,4,2,,14-14,3,5.5,Blach,Maeda,Strickland,2:40,D,42020,++,
29,Monday Apr 30,boxscore,SFG,,SDP,W-wo,6,5,,15-14,2,5.5,Johnson,Hand,,3:19,N,35470,+++,
30,Tuesday May 1,boxscore,SFG,,SDP,L,2,3,,15-15,3,6.5,Yates,Strickland,Hand,2:24,N,36735,-,
31,Wednesday May 2,boxscore,SFG,,SDP,W,9,4,,16-15,3,5.5,Holland,Richard,,3:02,D,36475,+,
32,Friday May 4,boxscore,SFG,@,ATL,W,9,4,,17-15,3,4.0,Stratton,Foltynewicz,,2:45,N,41807,++,
33,Saturday May 5,boxscore,SFG,@,ATL,W,11,2,,18-15,3,4.0,Blach,McCarthy,,2:58,N,38264,+++,
34,Sunday May 6,boxscore,SFG,@,ATL,W,4,3,,19-15,3,4.0,Suarez,Soroka,Strickland,3:09,D,37896,++++,
35,Monday May 7,boxscore,SFG,@,PHI,L,0,11,,19-16,3,4.5,Eflin,Samardzija,,3:05,N,17050,-,
36,Tuesday May 8,boxscore,SFG,@,PHI,L,2,4,,19-17,3,5.5,Nola,Holland,Neris,2:53,N,22456,--,
37,Wednesday May 9,boxscore,SFG,@,PHI,L,3,11,,19-18,3,5.5,Pivetta,Stratton,,3:19,N,18448,---,
38,Thursday May 10,boxscore,SFG,@,PHI,L,3,6,,19-19,3,5.5,Velasquez,Blach,Neris,2:47,D,30204,----,
39,Friday May 11,boxscore,SFG,@,PIT,L,2,11,,19-20,3,5.5,Brault,Suarez,,3:20,N,34720,-----,
40,Saturday May 12,boxscore,SFG,@,PIT,L,5,6,,19-21,3,5.5,Vazquez,Watson,,3:14,N,27502,------,
41,Sunday May 13,boxscore,SFG,@,PIT,W,5,0,,20-21,3,4.5,Holland,Nova,,3:04,D,22649,+,
42,Monday May 14,boxscore,SFG,,CIN,W,10,7,,21-21,3,3.5,Stratton,Romano,,3:02,N,36156,++,
43,Tuesday May 15,boxscore,SFG,,CIN,W,5,3,,22-21,3,3.5,Johnson,Mahle,Strickland,2:53,N,37809,+++,
44,Wednesday May 16,boxscore,SFG,,CIN,L,3,6,,22-22,3,3.5,Hughes,Suarez,Iglesias,2:41,D,38662,-,
45,Thursday May 17,boxscore,SFG,,COL,L,3,5,12,22-23,3,4.0,McGee,Johnson,Davis,4:00,N,37224,--,
46,Friday May 18,boxscore,SFG,,COL,L,1,6,,22-24,3,4.0,Freeland,Holland,,3:00,N,40970,---,
47,Saturday May 19,boxscore,SFG,,COL,W,9,4,,23-24,3,3.0,Stratton,Gray,,3:05,D,39195,+,
48,Sunday May 20,boxscore,SFG,,COL,W,9,5,,24-24,3,2.0,Dyson,Shaw,,3:25,D,40334,++,
49,Tuesday May 22,boxscore,SFG,@,HOU,L,2,11,,24-25,3,2.0,Cole,Suarez,,3:05,N,35638,-,
50,Wednesday May 23,boxscore,SFG,@,HOU,L,1,4,,24-26,3,2.0,Verlander,Samardzija,Giles,2:56,D,31929,--,
51,Friday May 25,boxscore,SFG,@,CHC,L,2,6,,24-27,3,3.0,Hendricks,Holland,Morrow,2:46,D,41177,---,
52,Saturday May 26,boxscore,SFG,@,CHC,W,5,4,,25-27,3,2.0,Stratton,Quintana,Strickland,3:04,N,41250,+,
53,Sunday May 27,boxscore,SFG,@,CHC,L,3,8,,25-28,3,3.0,Rosario,Blach,,3:31,N,41587,-,
54,Monday May 28,boxscore,SFG,@,COL,L-wo,5,6,10,25-29,4,4.0,Shaw,Strickland,,3:31,N,32409,--,
55,Tuesday May 29,boxscore,SFG,@,COL,L,4,11,,25-30,4,5.0,Freeland,Samardzija,,3:17,N,27348,---,
56,Wednesday May 30,boxscore,SFG,@,COL,W,7,4,,26-30,4,4.0,Holland,Musgrave,Strickland,3:11,N,29400,+,
57,Friday Jun 1,boxscore,SFG,,PHI,W,4,0,,27-30,3,3.0,Stratton,Pivetta,,2:49,N,38119,++,
58,Saturday Jun 2,boxscore,SFG,,PHI,W,2,0,,28-30,3,2.5,Suarez,Velasquez,Strickland,2:24,N,39208,+++,
59,Sunday Jun 3,boxscore,SFG,,PHI,W,6,1,,29-30,3,2.5,Rodriguez,Arrieta,,2:28,D,40491,++++,
60,Monday Jun 4,boxscore,SFG,,ARI,W,10,3,,30-30,3,1.5,Johnson,Godley,,3:11,N,36542,+++++,
61,Tuesday Jun 5,boxscore,SFG,,ARI,L,2,3,,30-31,4,2.5,Corbin,Bumgarner,Boxberger,3:05,N,36925,-,
62,Wednesday Jun 6,boxscore,SFG,,ARI,W-wo,5,4,10,31-31,3,1.5,Strickland,Chafin,,3:38,D,41042,+,
63,Friday Jun 8,boxscore,SFG,@,WSN,W,9,5,,32-31,2,1.5,Moronta,Strasburg,,3:04,N,41591,++,
64,Saturday Jun 9,boxscore,SFG,@,WSN,L,5,7,,32-32,2,2.5,Miller,Rodriguez,Doolittle,3:23,D,37701,-,
65,Sunday Jun 10,boxscore,SFG,@,WSN,W,2,0,,33-32,2,2.5,Holland,Scherzer,Strickland,2:51,D,35705,+,
66,Monday Jun 11,boxscore,SFG,@,MIA,L,5,7,,33-33,3,3.5,Conley,Dyson,Barraclough,3:03,N,6023,-,
67,Tuesday Jun 12,boxscore,SFG,@,MIA,L,1,3,,33-34,3,4.5,Richards,Stratton,Barraclough,2:35,N,5928,--,
68,Wednesday Jun 13,boxscore,SFG,@,MIA,L-wo,4,5,,33-35,4,4.5,Steckenrider,Moronta,,3:13,N,6075,---,
69,Thursday Jun 14,boxscore,SFG,@,MIA,W,6,3,16,34-35,3,4.5,Blach,Hernandez,Dyson,4:49,D,9726,+,
70,Friday Jun 15,boxscore,SFG,@,LAD,L,2,3,,34-36,4,5.5,Stripling,Holland,Jansen,2:53,N,53433,-,
71,Saturday Jun 16,boxscore,SFG,@,LAD,L,1,3,,34-37,4,5.5,Wood,Bumgarner,Jansen,2:50,N,53706,--,
72,Sunday Jun 17,boxscore,SFG,@,LAD,W,4,1,,35-37,3,4.5,Stratton,Ferguson,,2:54,D,49541,+,
