Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,TBR,,BOS,W,6,4,,1-0,1,Tied,Pruitt,Smith,Colome,3:00,D,31042,+,
2,Friday Mar 30,boxscore,TBR,,BOS,L,0,1,,1-1,3,1.0,Price,Roe,Kimbrel,2:46,N,19203,-,
3,Saturday Mar 31,boxscore,TBR,,BOS,L,2,3,,1-2,4,1.0,Porcello,Kittredge,Kimbrel,3:21,N,17838,--,
4,Sunday Apr 1,boxscore,TBR,,BOS,L,1,2,,1-3,5,2.0,Velazquez,Alvarado,Kelly,3:24,D,14256,---,
5,Tuesday Apr 3,boxscore,TBR,@,NYY,L,4,11,,1-4,4,3.5,Kahnle,Pruitt,,3:29,D,46776,----,
6,Wednesday Apr 4,boxscore,TBR,@,NYY,L,2,7,,1-5,4,4.0,Severino,Snell,,2:44,D,40028,-----,
7,Thursday Apr 5,boxscore,TBR,@,BOS,L-wo,2,3,12,1-6,5,5.0,Poyner,Kittredge,,3:55,D,36134,------,
8,Saturday Apr 7,boxscore,TBR,@,BOS,L,3,10,,1-7,5,6.0,Porcello,Faria,,2:48,D,31821,-------,
9,Sunday Apr 8,boxscore,TBR,@,BOS,L,7,8,,1-8,5,7.0,Smith,Colome,Kimbrel,3:50,D,31979,--------,
10,Monday Apr 9,boxscore,TBR,@,CHW,W,5,4,,2-8,5,6.5,Archer,Gonzalez,Colome,3:47,D,10377,+,
11,Tuesday Apr 10,boxscore,TBR,@,CHW,W,6,5,,3-8,5,6.5,Snell,Fulmer,Colome,3:44,D,10069,++,
12,Wednesday Apr 11,boxscore,TBR,@,CHW,L,1,2,,3-9,5,6.5,Rondon,Pruitt,Jones,3:02,D,10431,-,
13,Friday Apr 13,boxscore,TBR,,PHI,L,1,2,,3-10,5,8.0,Ramos,Colome,Neris,2:53,N,13372,--,
14,Saturday Apr 14,boxscore,TBR,,PHI,L,4,9,,3-11,5,9.0,Arrieta,Archer,,2:46,N,20934,---,
15,Sunday Apr 15,boxscore,TBR,,PHI,L,4,10,,3-12,5,10.0,Rios,Yarbrough,,3:34,D,19841,----,
16,Monday Apr 16,boxscore,TBR,,TEX,W,8,4,,4-12,5,9.5,Snell,Perez,,2:49,N,9363,+,
17,Tuesday Apr 17,boxscore,TBR,,TEX,L,2,7,,4-13,5,10.5,Moore,Chirinos,,2:44,N,8972,-,
18,Wednesday Apr 18,boxscore,TBR,,TEX,W,4,2,,5-13,4,10.5,Faria,Hamels,Colome,2:36,D,8657,+,
19,Friday Apr 20,boxscore,TBR,,MIN,W-wo,8,7,10,6-13,4,11.0,Colome,Duke,,3:30,N,9786,++,
20,Saturday Apr 21,boxscore,TBR,,MIN,W,10,1,,7-13,4,10.0,Snell,Gibson,,2:53,N,10106,+++,
21,Sunday Apr 22,boxscore,TBR,,MIN,W-wo,8,6,,8-13,4,9.0,Colome,Reed,,3:39,D,12515,++++,
22,Wednesday Apr 25,boxscore,TBR,@,BAL,W,8,4,,9-13,4,8.5,Kittredge,Cobb,,2:53,N,8730,+++++,
23,Thursday Apr 26,boxscore,TBR,@,BAL,W,9,5,,10-13,4,8.5,Archer,Bundy,,3:20,N,9596,++++++,
24,Friday Apr 27,boxscore,TBR,@,BOS,W,4,3,,11-13,4,7.5,Snell,Pomeranz,Colome,3:10,N,32620,+++++++,
25,Saturday Apr 28,boxscore,TBR,@,BOS,W,12,6,,12-13,4,6.5,Yarbrough,Price,,3:52,D,35795,++++++++,
26,Sunday Apr 29,boxscore,TBR,@,BOS,L,3,4,,12-14,4,7.5,Kimbrel,Colome,,3:01,D,32888,-,
27,Monday Apr 30,boxscore,TBR,@,DET,W,3,2,,13-14,4,7.5,Faria,Greene,Alvarado,2:52,N,19398,+,
28,Tuesday May 1,boxscore,TBR,@,DET,L,1,2,,13-15,4,7.5,Boyd,Archer,Greene,2:28,N,17255,-,
29,Wednesday May 2,boxscore,TBR,@,DET,L-wo,2,3,12,13-16,4,8.5,Saupold,Andriese,,3:28,D,20866,--,
30,Friday May 4,boxscore,TBR,,TOR,W,6,2,,14-16,4,8.0,Yarbrough,Happ,,2:39,N,11117,+,
31,Saturday May 5,boxscore,TBR,,TOR,W,5,3,,15-16,4,8.0,Faria,Sanchez,Colome,2:52,N,16297,++,
32,Sunday May 6,boxscore,TBR,,TOR,L,1,2,,15-17,4,9.0,Tepera,Colome,Osuna,2:56,D,14032,-,
33,Tuesday May 8,boxscore,TBR,,ATL,L,0,1,,15-18,4,9.0,Newcomb,Snell,Vizcaino,2:55,N,15382,--,
34,Wednesday May 9,boxscore,TBR,,ATL,L,2,5,,15-19,4,10.0,Teheran,Yarbrough,Vizcaino,2:51,N,12082,---,
35,Friday May 11,boxscore,TBR,@,BAL,L,4,9,,15-20,4,9.5,Gausman,Faria,Brach,2:36,N,28170,----,
36,Saturday May 12 (1),boxscore,TBR,@,BAL,L,3,6,,15-21,4,10.0,Hess,Archer,Givens,2:27,D,,-----,
