"","X1","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"1",7,7,"Thursday Apr 5","boxscore","ARI","@","STL","W",3,1,NA,"6-1",1,"up 2.0","Ray","Wainwright","Boxberger",03:32:00,"N",46512,"++++",NA
"2",8,8,"Saturday Apr 7","boxscore","ARI","@","STL","L",3,5,NA,"6-2",1,"up 1.5","Wacha","Greinke","Norris",02:58:00,"D",41113,"-",NA
"3",9,9,"Sunday Apr 8","boxscore","ARI","@","STL","W",4,1,NA,"7-2",1,"up 2.5","Hirano","Leone","Boxberger",02:53:00,"D",40468,"+",NA
"4",10,10,"Monday Apr 9","boxscore","ARI","@","SFG","W",2,1,NA,"8-2",1,"up 3.5","Godley","Holland","Bradley",02:33:00,"N",36997,"++",NA
"5",11,11,"Tuesday Apr 10","boxscore","ARI","@","SFG","L-wo",4,5,NA,"8-3",1,"up 2.5","Strickland","De La Rosa",NA,03:24:00,"N",37869,"-",NA
"6",12,12,"Wednesday Apr 11","boxscore","ARI","@","SFG","W",7,3,NA,"9-3",1,"up 3.5","Salas","Suarez",NA,03:09:00,"D",35041,"+",NA
"7",13,13,"Friday Apr 13","boxscore","ARI","@","LAD","W",8,7,NA,"10-3",1,"up 3.0","Greinke","Maeda","Boxberger",03:30:00,"N",43791,"++",NA
"8",14,14,"Saturday Apr 14","boxscore","ARI","@","LAD","W",9,1,NA,"11-3",1,"up 4.0","McFarland","Hill",NA,03:10:00,"N",44306,"+++",NA
"9",15,15,"Sunday Apr 15","boxscore","ARI","@","LAD","L",2,7,NA,"11-4",1,"up 3.0","Kershaw","Godley",NA,03:09:00,"D",47527,"-",NA
"10",22,22,"Tuesday Apr 24","boxscore","ARI","@","PHI","W",8,4,NA,"16-6",1,"up 4.5","Salas","Velasquez",NA,03:49:00,"N",18195,"+++",NA
"11",23,23,"Wednesday Apr 25","boxscore","ARI","@","PHI","L",3,5,NA,"16-7",1,"up 3.5","Arrieta","Greinke","Neris",02:55:00,"N",21349,"-",NA
"12",24,24,"Thursday Apr 26","boxscore","ARI","@","PHI","W",8,2,NA,"17-7",1,"up 4.0","Koch","Lively",NA,03:12:00,"D",20335,"+",NA
"13",25,25,"Friday Apr 27","boxscore","ARI","@","WSN","W",5,4,NA,"18-7",1,"up 4.0","Godley","Strasburg","Boxberger",03:02:00,"N",26517,"++",NA
"14",26,26,"Saturday Apr 28","boxscore","ARI","@","WSN","W",4,3,10,"19-7",1,"up 5.0","Hirano","Solis","Boxberger",03:16:00,"D",32963,"+++",NA
"15",27,27,"Sunday Apr 29","boxscore","ARI","@","WSN","L",1,3,NA,"19-8",1,"up 5.0","Gonzalez","McFarland","Doolittle",02:49:00,"D",30285,"-",NA
"16",35,35,"Tuesday May 8","boxscore","ARI","@","LAD","W",8,5,12,"24-11",1,"up 3.5","McFarland","Garcia",NA,04:29:00,"N",45894,"+++",NA
"17",36,36,"Wednesday May 9","boxscore","ARI","@","LAD","L",3,6,NA,"24-12",1,"up 3.5","Baez","Salas","Jansen",03:48:00,"N",45600,"-",NA
"18",44,44,"Friday May 18","boxscore","ARI","@","NYM","L",1,3,NA,"25-19",1,"up 0.5","deGrom","Godley","Familia",02:36:00,"N",31285,"--",NA
"19",45,45,"Saturday May 19","boxscore","ARI","@","NYM","L-wo",4,5,NA,"25-20",1,"up 0.5","Familia","Chafin",NA,03:04:00,"N",39515,"---",NA
"20",46,46,"Sunday May 20","boxscore","ARI","@","NYM","L",1,4,NA,"25-21",1,"up 0.5","Syndergaard","De La Rosa","Gsellman",02:41:00,"D",34894,"----",NA
"21",47,47,"Monday May 21","boxscore","ARI","@","MIL","L",2,4,NA,"25-22",2,"0.5","Anderson","Greinke","Knebel",02:31:00,"N",27094,"-----",NA
"22",48,48,"Tuesday May 22","boxscore","ARI","@","MIL","L",0,1,NA,"25-23",2,"0.5","Albers","Koch","Knebel",02:40:00,"N",27065,"------",NA
"23",49,49,"Wednesday May 23","boxscore","ARI","@","MIL","L",2,9,NA,"25-24",2,"0.5","Suter","Godley",NA,03:04:00,"D",29237,"-------",NA
"24",50,50,"Friday May 25","boxscore","ARI","@","OAK","W",7,1,NA,"26-24",2,"0.5","Corbin","Manaea",NA,03:02:00,"N",22691,"+",NA
"25",51,51,"Saturday May 26","boxscore","ARI","@","OAK","L",0,3,NA,"26-25",2,"0.5","Mengden","Buchholz",NA,02:15:00,"D",17580,"-",NA
"26",52,52,"Sunday May 27","boxscore","ARI","@","OAK","L",1,2,NA,"26-26",2,"1.5","Montas","Greinke","Treinen",02:38:00,"D",13947,"--",NA
"27",59,59,"Monday Jun 4","boxscore","ARI","@","SFG","L",3,10,NA,"31-28",1,"up 1.0","Johnson","Godley",NA,03:11:00,"N",36542,"-",NA
"28",60,60,"Tuesday Jun 5","boxscore","ARI","@","SFG","W",3,2,NA,"32-28",1,"up 1.0","Corbin","Bumgarner","Boxberger",03:05:00,"N",36925,"+",NA
"29",61,61,"Wednesday Jun 6","boxscore","ARI","@","SFG","L-wo",4,5,10,"32-29",1,"Tied","Strickland","Chafin",NA,03:38:00,"D",41042,"-",NA
"30",62,62,"Friday Jun 8","boxscore","ARI","@","COL","W",9,4,NA,"33-29",1,"up 1.5","Greinke","Marquez",NA,02:51:00,"N",38917,"+",NA
"31",63,63,"Saturday Jun 9","boxscore","ARI","@","COL","W",12,7,NA,"34-29",1,"up 2.5","Bracho","Shaw",NA,03:34:00,"N",43197,"++",NA
"32",64,64,"Sunday Jun 10","boxscore","ARI","@","COL","W",8,3,NA,"35-29",1,"up 2.5","Godley","Freeland",NA,03:23:00,"D",36433,"+++",NA
"33",72,72,"Monday Jun 18","boxscore","ARI","@","LAA","W",7,4,NA,"40-32",1,"up 2.0","Greinke","Barria","Bradley",03:21:00,"N",33809,"+",NA
"34",73,73,"Tuesday Jun 19","boxscore","ARI","@","LAA","L",4,5,NA,"40-33",1,"up 1.5","Alvarez","Koch","Parker",03:11:00,"N",33088,"-",NA
"35",74,74,"Thursday Jun 21","boxscore","ARI","@","PIT","W",9,3,NA,"41-33",1,"up 2.5","Godley","Kuhl",NA,03:11:00,"N",20554,"+",NA
"36",75,75,"Friday Jun 22","boxscore","ARI","@","PIT","W",2,1,13,"42-33",1,"up 2.5","Chafin","Glasnow","McFarland",03:51:00,"N",24843,"++",NA
"37",76,76,"Saturday Jun 23","boxscore","ARI","@","PIT","W",7,2,NA,"43-33",1,"up 2.5","Greinke","Musgrove",NA,02:52:00,"D",21121,"+++",NA
"38",77,77,"Sunday Jun 24","boxscore","ARI","@","PIT","W",3,0,NA,"44-33",1,"up 2.5","Buchholz","Williams","Boxberger",02:32:00,"D",19207,"++++",NA
"39",78,78,"Monday Jun 25","boxscore","ARI","@","MIA","L",5,9,NA,"44-34",1,"up 1.5","Straily","Miller",NA,03:14:00,"N",6105,"-",NA
"40",79,79,"Tuesday Jun 26","boxscore","ARI","@","MIA","W",5,3,NA,"45-34",1,"up 2.5","Godley","Hernandez","Boxberger",03:24:00,"N",6159,"+",NA
"41",80,80,"Wednesday Jun 27","boxscore","ARI","@","MIA","W",2,1,NA,"46-34",1,"up 2.5","Ray","Chen","Boxberger",02:52:00,"N",6382,"++",NA
"42",81,81,"Thursday Jun 28","boxscore","ARI","@","MIA","W",4,0,NA,"47-34",1,"up 3.5","Greinke","Richards",NA,03:06:00,"D",12715,"+++",NA
"43",92,92,"Tuesday Jul 10","boxscore","ARI","@","COL","W",5,3,NA,"51-41",1,"up 1.5","Delgado","McGee","Boxberger",03:40:00,"N",43405,"+",NA
"44",93,93,"Wednesday Jul 11","boxscore","ARI","@","COL","L",2,19,NA,"51-42",1,"up 0.5","Marquez","Miller",NA,03:05:00,"N",33919,"-",NA
"45",94,94,"Thursday Jul 12","boxscore","ARI","@","COL","L",1,5,NA,"51-43",2,"0.5","Oberg","Ray",NA,03:17:00,"D",41410,"--",NA
"46",95,95,"Friday Jul 13","boxscore","ARI","@","ATL","W",2,1,NA,"52-43",2,"0.5","Godley","Freeman","Boxberger",03:05:00,"N",42130,"+",NA
"47",96,96,"Saturday Jul 14","boxscore","ARI","@","ATL","W",3,0,NA,"53-43",1,"up 0.5","Greinke","Newcomb","Boxberger",02:53:00,"D",40862,"++",NA
"48",97,97,"Sunday Jul 15","boxscore","ARI","@","ATL","L",1,5,NA,"53-44",2,"0.5","Teheran","Corbin",NA,02:42:00,"D",27323,"-",NA
"49",101,101,"Monday Jul 23","boxscore","ARI","@","CHC","W",7,1,NA,"55-46",2,"1.5","Corbin","Farrell",NA,02:55:00,"N",40859,"++",NA
"50",102,102,"Tuesday Jul 24","boxscore","ARI","@","CHC","W",5,1,NA,"56-46",2,"0.5","Buchholz","Hendricks",NA,03:13:00,"N",40869,"+++",NA
"51",103,103,"Wednesday Jul 25","boxscore","ARI","@","CHC","L",1,2,NA,"56-47",2,"0.5","Edwards","McFarland","Strop",02:39:00,"D",35548,"-",NA
"52",104,104,"Thursday Jul 26","boxscore","ARI","@","CHC","L-wo",6,7,NA,"56-48",2,"1.5","Butler","Boxberger",NA,03:22:00,"D",38979,"--",NA
"53",105,105,"Friday Jul 27","boxscore","ARI","@","SDP","W",6,2,NA,"57-48",2,"1.5","Greinke","Perdomo",NA,02:37:00,"N",34725,"+",NA
