Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,TEX,,HOU,L,1,4,,0-1,4,1.0,Verlander,Hamels,,2:59,D,47253,-,
2,Friday Mar 30,boxscore,TEX,,HOU,W,5,1,,1-1,2,0.5,Fister,Keuchel,,3:02,N,35469,+,
3,Saturday Mar 31,boxscore,TEX,,HOU,L,3,9,,1-2,4,1.0,McCullers,Moore,,3:19,D,36892,-,
4,Sunday Apr 1,boxscore,TEX,,HOU,L,2,8,,1-3,4,2.0,Cole,Minor,,3:13,D,26758,--,
5,Monday Apr 2,boxscore,TEX,@,OAK,L,1,3,,1-4,5,3.0,Hatcher,Jepsen,Treinen,3:10,N,7416,---,
6,Tuesday Apr 3,boxscore,TEX,@,OAK,W,4,1,,2-4,4,3.0,Hamels,Graveman,Kela,2:50,N,9157,+,
7,Wednesday Apr 4,boxscore,TEX,@,OAK,L,2,6,,2-5,5,4.0,Manaea,Fister,,2:23,N,7908,-,
8,Thursday Apr 5,boxscore,TEX,@,OAK,W,6,3,,3-5,4,3.5,Perez,Mengden,Kela,3:10,D,10132,+,
9,Friday Apr 6,boxscore,TEX,,TOR,L,5,8,,3-6,4,3.5,Estrada,Moore,Osuna,3:06,N,21670,-,
10,Saturday Apr 7,boxscore,TEX,,TOR,W,5,1,,4-6,4,3.5,Minor,Stroman,,2:37,N,26229,+,
11,Sunday Apr 8,boxscore,TEX,,TOR,L,4,7,,4-7,4,4.5,Garcia,Hamels,Osuna,3:16,D,26902,-,
12,Monday Apr 9,boxscore,TEX,,LAA,L,3,8,,4-8,5,5.5,Alvarez,Fister,,3:28,N,16718,--,
13,Tuesday Apr 10,boxscore,TEX,,LAA,L,1,11,,4-9,5,5.5,Skaggs,Perez,,3:07,N,18697,---,
14,Wednesday Apr 11,boxscore,TEX,,LAA,L,2,7,,4-10,5,6.5,Barria,Moore,Middleton,3:27,N,20363,----,
15,Friday Apr 13,boxscore,TEX,@,HOU,L,2,3,,4-11,5,8.0,Smith,Jepsen,Devenski,2:50,N,32129,-----,
16,Saturday Apr 14,boxscore,TEX,@,HOU,W,6,5,10,5-11,5,8.0,Kela,Harris,Claudio,3:26,D,40679,+,
