Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,TOR,,NYY,L,1,6,,0-1,4,1.0,Severino,Happ,,2:51,D,48115,-,
2,Friday Mar 30,boxscore,TOR,,NYY,L,2,4,,0-2,5,2.0,Tanaka,Sanchez,Chapman,2:49,N,33716,--,
3,Saturday Mar 31,boxscore,TOR,,NYY,W,5,3,,1-2,4,1.0,Tepera,Betances,Osuna,2:37,D,37692,+,
4,Sunday Apr 1,boxscore,TOR,,NYY,W,7,4,,2-2,2,1.0,Clippard,Robertson,Oh,3:03,D,29091,++,
5,Monday Apr 2,boxscore,TOR,,CHW,W,4,2,,3-2,2,1.0,Oh,Farquhar,Osuna,2:51,N,16629,+++,
6,Tuesday Apr 3,boxscore,TOR,,CHW,W,14,5,,4-2,2,1.0,Happ,Gonzalez,,3:27,N,17451,++++,
7,Wednesday Apr 4,boxscore,TOR,,CHW,L,3,4,,4-3,3,1.5,Jones,Tepera,Soria,2:56,N,17268,-,
8,Friday Apr 6,boxscore,TOR,@,TEX,W,8,5,,5-3,2,1.5,Estrada,Moore,Osuna,3:06,N,21670,+,
9,Saturday Apr 7,boxscore,TOR,@,TEX,L,1,5,,5-4,2,2.5,Minor,Stroman,,2:37,N,26229,-,
10,Sunday Apr 8,boxscore,TOR,@,TEX,W,7,4,,6-4,2,2.5,Garcia,Hamels,Osuna,3:16,D,26902,+,
11,Monday Apr 9,boxscore,TOR,@,BAL,W,7,1,,7-4,2,2.0,Happ,Bundy,,2:56,N,7915,++,
12,Tuesday Apr 10,boxscore,TOR,@,BAL,W,2,1,,8-4,2,2.0,Sanchez,O'Day,Osuna,2:37,N,8640,+++,
13,Wednesday Apr 11,boxscore,TOR,@,BAL,L,3,5,,8-5,2,2.0,Gausman,Estrada,Brach,2:57,N,10399,-,
14,Friday Apr 13,boxscore,TOR,@,CLE,W,8,4,,9-5,2,2.5,Barnes,McAllister,,3:12,N,25592,+,
15,Tuesday Apr 17 (1),boxscore,TOR,,KCR,W,11,3,,10-5,2,3.0,Garcia,Skoglund,,2:56,D,,++,
16,Tuesday Apr 17 (2),boxscore,TOR,,KCR,W-wo,5,4,10,11-5,2,3.0,Clippard,Flynn,,3:37,D,18645,+++,
17,Wednesday Apr 18,boxscore,TOR,,KCR,W,15,5,,12-5,2,3.0,Happ,Kennedy,,3:05,D,28803,++++,
18,Thursday Apr 19,boxscore,TOR,@,NYY,L,3,4,,12-6,2,4.0,Green,Sanchez,Chapman,3:00,N,36665,-,
19,Friday Apr 20,boxscore,TOR,@,NYY,W,8,5,,13-6,2,4.0,Estrada,German,Osuna,3:22,N,39197,+,
20,Saturday Apr 21,boxscore,TOR,@,NYY,L,1,9,,13-7,2,4.0,Montgomery,Stroman,,2:50,D,40986,-,
21,Sunday Apr 22,boxscore,TOR,@,NYY,L,1,5,,13-8,2,4.0,Severino,Garcia,,2:47,D,43628,--,
22,Tuesday Apr 24,boxscore,TOR,,BOS,W-wo,4,3,10,14-8,2,3.0,Clippard,Kimbrel,,2:51,N,20070,+,
23,Wednesday Apr 25,boxscore,TOR,,BOS,L,3,4,,14-9,2,4.0,Rodriguez,Barnes,Kimbrel,3:04,N,18914,-,
24,Thursday Apr 26,boxscore,TOR,,BOS,L,4,5,,14-10,3,5.0,Sale,Estrada,Kimbrel,3:08,N,23571,--,
25,Friday Apr 27,boxscore,TOR,,TEX,L,4,6,,14-11,3,5.0,Minor,Stroman,Kela,2:50,N,26312,---,
26,Saturday Apr 28,boxscore,TOR,,TEX,L,4,7,,14-12,3,5.0,Colon,Garcia,Kela,3:00,D,39176,----,
27,Sunday Apr 29,boxscore,TOR,,TEX,W,7,2,,15-12,3,5.0,Happ,Perez,,2:37,D,31669,+,
28,Monday Apr 30,boxscore,TOR,@,MIN,W,7,5,,16-12,3,5.0,Sanchez,Lynn,Osuna,3:13,N,16456,++,
29,Tuesday May 1,boxscore,TOR,@,MIN,W,7,4,10,17-12,3,4.0,Clippard,Curtiss,Osuna,3:32,N,16245,+++,
30,Wednesday May 2,boxscore,TOR,@,MIN,L,0,4,,17-13,3,5.0,Romero,Stroman,,2:47,D,16420,-,
31,Thursday May 3 (1),boxscore,TOR,@,CLE,W,13,11,11,18-13,3,4.5,Mayza,Olson,,4:47,D,,+,
