Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Friday Mar 30,boxscore,WSN,@,CIN,W,2,0,,1-0,1,Tied,Scherzer,Bailey,Doolittle,3:09,D,43878,+,
2,Saturday Mar 31,boxscore,WSN,@,CIN,W,13,7,,2-0,1,Tied,Strasburg,Castillo,,3:16,D,27341,++,
3,Sunday Apr 1,boxscore,WSN,@,CIN,W,6,5,,3-0,1,up 1.0,Gonzalez,Romano,Doolittle,2:47,D,10355,+++,
4,Monday Apr 2,boxscore,WSN,@,ATL,W,8,1,,4-0,1,up 1.5,Roark,Newcomb,,2:55,N,25054,++++,
5,Tuesday Apr 3,boxscore,WSN,@,ATL,L,6,13,,4-1,1,up 0.5,Carle,Cole,,3:10,N,26782,-,
6,Wednesday Apr 4,boxscore,WSN,@,ATL,L,1,7,,4-2,2,0.5,Foltynewicz,Scherzer,,3:06,D,29834,--,
7,Thursday Apr 5,boxscore,WSN,,NYM,L,2,8,,4-3,3,1.5,deGrom,Strasburg,,2:57,D,42477,---,
8,Saturday Apr 7,boxscore,WSN,,NYM,L,2,3,,4-4,3,2.5,Robles,Kintzler,Familia,2:59,D,28952,----,
9,Sunday Apr 8,boxscore,WSN,,NYM,L,5,6,12,4-5,3,3.5,Lugo,Kintzler,Rhame,4:03,N,21579,-----,
10,Monday Apr 9,boxscore,WSN,,ATL,W,2,0,,5-5,3,3.5,Scherzer,Teheran,,2:21,N,19528,+,
11,Tuesday Apr 10,boxscore,WSN,,ATL,W,4,1,,6-5,2,3.5,Strasburg,Foltynewicz,Madson,2:44,N,19357,++,
12,Wednesday Apr 11,boxscore,WSN,,ATL,L,3,5,12,6-6,4,4.5,Carle,Madson,,3:43,D,21109,-,
13,Thursday Apr 12,boxscore,WSN,,COL,L,1,5,,6-7,4,5.0,Bettis,Gonzalez,,2:43,N,24213,--,
14,Friday Apr 13,boxscore,WSN,,COL,L,1,2,,6-8,4,6.0,Oberg,Roark,Davis,3:04,N,32702,---,
15,Saturday Apr 14,boxscore,WSN,,COL,W,6,2,,7-8,4,5.0,Scherzer,Gray,,2:53,D,31700,+,
16,Sunday Apr 15,boxscore,WSN,,COL,L,5,6,,7-9,4,6.0,Ottavino,Doolittle,Davis,3:14,D,25462,-,
17,Monday Apr 16,boxscore,WSN,@,NYM,W,8,6,,8-9,4,5.0,Cole,Ramos,Madson,3:25,N,22829,+,
18,Tuesday Apr 17,boxscore,WSN,@,NYM,W,5,2,,9-9,4,4.0,Gonzalez,Wheeler,Doolittle,3:11,N,22724,++,
19,Wednesday Apr 18,boxscore,WSN,@,NYM,L,5,11,,9-10,4,5.0,Ramos,Madson,,2:51,N,23117,-,
20,Friday Apr 20,boxscore,WSN,@,LAD,W,5,2,,10-10,4,4.5,Scherzer,Kershaw,Doolittle,3:09,N,50211,+,
21,Saturday Apr 21,boxscore,WSN,@,LAD,L,0,4,,10-11,4,4.5,Ryu,Strasburg,,2:29,N,50908,-,
22,Sunday Apr 22,boxscore,WSN,@,LAD,L,3,4,,10-12,4,5.0,Fields,Gott,Jansen,3:21,N,51297,--,
23,Monday Apr 23,boxscore,WSN,@,SFG,L,2,4,,10-13,4,5.5,Stratton,Gonzalez,Strickland,2:44,N,36983,---,
24,Tuesday Apr 24,boxscore,WSN,@,SFG,L,3,4,,10-14,4,6.5,Moronta,Roark,Strickland,2:27,N,37147,----,
25,Wednesday Apr 25,boxscore,WSN,@,SFG,W,15,2,,11-14,4,5.5,Scherzer,Samardzija,,3:13,D,35126,+,
26,Friday Apr 27,boxscore,WSN,,ARI,L,4,5,,11-15,4,6.0,Godley,Strasburg,Boxberger,3:02,N,26517,-,
27,Saturday Apr 28,boxscore,WSN,,ARI,L,3,4,10,11-16,4,6.0,Hirano,Solis,Boxberger,3:16,D,32963,--,
28,Sunday Apr 29,boxscore,WSN,,ARI,W,3,1,,12-16,4,6.0,Gonzalez,McFarland,Doolittle,2:49,D,30285,+,
29,Monday Apr 30,boxscore,WSN,,PIT,W,3,2,,13-16,4,5.5,Roark,Taillon,Kintzler,2:34,N,20879,++,
30,Tuesday May 1,boxscore,WSN,,PIT,W,12,4,,14-16,4,4.5,Scherzer,Kuhl,,2:58,N,23534,+++,
31,Wednesday May 2,boxscore,WSN,,PIT,W,9,3,,15-16,4,4.0,Strasburg,Nova,,2:55,N,27086,++++,
32,Thursday May 3,boxscore,WSN,,PIT,W,3,1,,16-16,4,4.0,Solis,Williams,Doolittle,2:42,D,30434,+++++,
33,Friday May 4,boxscore,WSN,,PHI,W,7,3,,17-16,4,3.0,Gonzalez,Pivetta,,2:49,N,35497,++++++,
34,Saturday May 5,boxscore,WSN,,PHI,L,1,3,,17-17,4,3.0,Velasquez,Roark,Neris,3:13,D,34687,-,
35,Sunday May 6,boxscore,WSN,,PHI,W-wo,5,4,,18-17,4,2.0,Doolittle,Neris,,3:33,D,30611,+,
36,Monday May 7,boxscore,WSN,@,SDP,W,8,5,,19-17,4,1.5,Strasburg,Ross,,3:00,N,17296,++,
37,Tuesday May 8,boxscore,WSN,@,SDP,W,4,0,,20-17,3,1.5,Hellickson,Richard,,2:31,N,18989,+++,
38,Wednesday May 9,boxscore,WSN,@,SDP,L,1,2,,20-18,3,2.5,Stammen,Gott,Hand,2:50,N,18804,-,
39,Thursday May 10,boxscore,WSN,@,ARI,W,2,1,11,21-18,3,2.5,Kintzler,Salas,Doolittle,3:42,N,17397,+,
40,Friday May 11,boxscore,WSN,@,ARI,W,3,1,,22-18,3,1.5,Scherzer,Koch,Doolittle,2:24,N,22901,++,
41,Saturday May 12,boxscore,WSN,@,ARI,W,2,1,,23-18,3,1.5,Strasburg,Scribner,Madson,3:17,D,29428,+++,
42,Sunday May 13,boxscore,WSN,@,ARI,W,6,4,,24-18,3,1.5,Madson,Bradley,Doolittle,3:09,N,31906,++++,
43,Tuesday May 15,boxscore,WSN,,NYY,W,5,3,,25-18,2,1.0,Suero,Green,Doolittle,2:55,N,41567,+++++,
44,Saturday May 19 (1),boxscore,WSN,,LAD,L,1,4,,25-19,3,2.5,Stripling,Roark,Jansen,3:00,D,26740,-,
45,Saturday May 19 (2),boxscore,WSN,,LAD,L,4,5,,25-20,3,2.5,Goeddel,Doolittle,Jansen,3:27,N,32378,--,
46,Sunday May 20,boxscore,WSN,,LAD,L,2,7,,25-21,3,3.5,Wood,Strasburg,Fields,3:08,D,40201,---,
47,Monday May 21,boxscore,WSN,,SDP,W,10,2,,26-21,3,2.5,Gonzalez,Erlin,,2:27,N,27890,+,
48,Tuesday May 22,boxscore,WSN,,SDP,W-wo,2,1,,27-21,3,2.5,Doolittle,Strahm,,2:48,N,25700,++,
49,Wednesday May 23,boxscore,WSN,,SDP,L,1,3,,27-22,3,2.5,Ross,Fedde,Hand,3:00,D,31076,-,
50,Friday May 25,boxscore,WSN,@,MIA,W,9,5,,28-22,3,1.5,Scherzer,Wittgren,Doolittle,3:37,N,7512,+,
51,Saturday May 26,boxscore,WSN,@,MIA,W,4,1,,29-22,3,1.0,Miller,Ziegler,Doolittle,2:56,D,11646,++,
52,Sunday May 27,boxscore,WSN,@,MIA,W,5,2,,30-22,2,0.5,Strasburg,Hernandez,Kintzler,3:08,D,11651,+++,
53,Monday May 28,boxscore,WSN,@,BAL,W,6,0,,31-22,1,Tied,Gonzalez,Cobb,,2:44,D,36139,++++,
54,Tuesday May 29,boxscore,WSN,@,BAL,W,3,2,,32-22,1,Tied,Hellickson,Bundy,Doolittle,3:14,N,13935,+++++,
55,Wednesday May 30,boxscore,WSN,@,BAL,W,2,0,,33-22,1,up 1.0,Scherzer,Hess,Doolittle,2:34,N,20370,++++++,
56,Thursday May 31,boxscore,WSN,@,ATL,L,2,4,,33-23,1,Tied,Newcomb,Roark,Vizcaino,2:39,N,22380,-,
57,Friday Jun 1,boxscore,WSN,@,ATL,L,0,4,,33-24,2,1.0,Foltynewicz,Strasburg,,2:24,N,33845,--,
58,Saturday Jun 2,boxscore,WSN,@,ATL,W,5,3,14,34-24,1,Tied,Miller,Socolovich,Doolittle,4:00,D,39578,+,
59,Sunday Jun 3,boxscore,WSN,@,ATL,L-wo,2,4,,34-25,2,1.0,Vizcaino,Roark,,2:47,D,33132,-,
60,Tuesday Jun 5,boxscore,WSN,,TBR,W,4,2,,35-25,2,0.5,Scherzer,Eovaldi,Doolittle,2:16,N,32165,+,
