X,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
0,23-Sep,LAD,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,0
0.5,23-Sep,LAD,BOS,0,2,0.40,5,5,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-2
1,23-Sep,LAD,BOS,1,2,0.40,5,5,2,0,0,1,2,0,0,0,0,0,0.25,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,0,0,0,1,1,0,2,0,0,0,0,9,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-1
1.5,23-Sep,LAD,BOS,1,2,0.25,8,8,2,0,0,1,2,0,0,0,0,0,0.25,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,0,0,0,1,1,0,2,0,0,0,0,9,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-1
2,23-Sep,LAD,BOS,1,2,0.25,8,8,2,0,0,1,2,0,0,0,0,0,0.25,8,8,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,18,0,0,0,3,1,0,3,0,0,0,0,18,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-1
2.5,24-Sep,LAD,BOS,1,2,0.18,11,11,2,0,0,1,2,0,0,0,0,0,0.25,8,8,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,18,0,0,0,3,1,0,3,0,0,0,0,18,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-1
3,24-Sep,LAD,BOS,1,2,0.18,11,11,2,0,0,1,2,0,0,0,0,0,0.25,12,12,3,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,27,0,0,0,3,1,0,3,0,0,0,0,27,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-1
3.5,25-Sep,LAD,BOS,1,2,0.21,14,14,3,0,0,1,2,0,0,0,0,0,0.25,12,12,3,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,27,0,0,0,3,1,0,3,0,0,0,0,27,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-1
4,25-Sep,LAD,BOS,1,2,0.21,14,14,3,0,0,1,2,0,0,0,0,0,0.20,15,15,3,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,36,0,0,0,4,1,0,3,0,0,0,0,36,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-1
4.5,26-Sep,LAD,BOS,1,2,0.18,17,17,3,0,0,1,2,0,0,0,0,0,0.20,15,15,3,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,36,0,0,0,4,1,0,3,0,0,0,0,36,1.997820025,-0.581364597,0.418960927,-1.365379159,0.685398949,-1.330009582,-0.971015031,-1.635104142,-1
