Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,COL,W8-2,42,36,8,12,2,1,0,8,6,0,11,0,0,0,0,0,2,0,.333,.429,.444,.873,10,17,R,J.Gray (39)
2,2,Mar 30,,COL,W9-8,38,32,9,8,1,1,1,9,5,0,9,1,0,0,0,0,1,0,.294,.400,.441,.841,5,16,L,T.Anderson (18)
3,3,Mar 31,,COL,L1-2,34,29,1,5,1,0,0,1,5,0,8,0,0,0,1,2,0,0,.258,.368,.371,.740,6,14,R,G.Marquez (57)
4,4,Apr 2,,LAD,W8-7,63,53,8,14,4,2,1,8,10,1,11,0,0,0,0,2,0,1,.260,.373,.407,.780,12,20,L,H.Ryu (36)
5,5,Apr 3,,LAD,W6-1,38,33,6,8,0,0,3,6,5,0,8,0,0,0,1,0,0,0,.257,.367,.426,.794,8,13,L,C.Kershaw (61)
6,6,Apr 4,,LAD,W3-0,29,27,3,7,4,0,0,3,0,0,7,0,1,1,0,1,2,0,.257,.354,.424,.778,2,12,L,A.Wood (53)
7,7,Apr 5,@,STL,W3-1,42,34,3,9,3,1,0,3,5,1,9,1,1,1,1,0,0,0,.258,.356,.422,.778,12,14,R,A.Wainwright (40)
8,8,Apr 7,@,STL,L3-5,39,31,3,5,2,0,0,3,7,0,12,0,1,0,1,1,0,0,.247,.351,.400,.751,9,13,R,M.Wacha (51)
9,9,Apr 8,@,STL,W4-1,35,33,4,7,0,0,2,4,2,0,9,0,0,0,0,0,1,0,.244,.342,.399,.741,4,15,R,L.Weaver (69)
10,10,Apr 9,@,SFG,W2-1,32,30,2,5,0,1,0,2,1,0,11,0,0,1,0,0,0,1,.237,.329,.385,.714,3,12,L,D.Holland (67)
11,11,Apr 10,@,SFG,L4-5,40,32,4,6,3,0,1,4,7,0,9,1,0,0,0,1,1,0,.232,.331,.384,.715,9,13,R,T.Beede (46)
12,12,Apr 11,@,SFG,W7-3,37,36,7,9,4,0,2,7,1,0,9,0,0,0,0,0,1,0,.234,.326,.397,.723,3,16,L,A.Suarez (51)
13,13,Apr 13,@,LAD,W8-7,40,36,8,10,3,0,2,6,3,0,14,0,0,1,1,1,0,0,.238,.326,.407,.733,5,13,R,K.Maeda (34)
14,14,Apr 14,@,LAD,W9-1,38,36,9,10,2,0,4,9,2,0,7,0,0,0,0,0,0,0,.241,.325,.427,.752,2,16,L,R.Hill (28)
15,15,Apr 15,@,LAD,L2-7,33,32,2,4,2,0,1,2,1,0,14,0,0,0,1,0,0,0,.233,.315,.418,.733,4,13,L,C.Kershaw (81)
16,16,Apr 17,,SFG,W1-0,29,26,1,3,0,0,0,1,1,0,12,1,1,0,0,0,0,0,.228,.309,.403,.712,4,9,R,J.Cueto (84)
17,17,Apr 18,,SFG,L3-4,42,39,3,10,6,1,0,3,3,1,10,0,0,0,1,2,0,0,.230,.309,.407,.716,9,16,R,C.Stratton (71)
18,18,Apr 19,,SFG,W3-1,34,30,3,7,1,0,2,3,3,0,4,0,1,0,0,0,0,0,.230,.309,.410,.719,7,12,L,T.Blach (53)
19,19,Apr 20,,SDP,L1-4,32,28,1,1,1,0,0,1,4,0,14,0,0,0,0,0,2,0,.221,.302,.395,.697,4,15,R,T.Ross (80)
20,20,Apr 21,,SDP,W6-2,37,32,6,10,1,2,1,6,5,0,10,0,0,0,0,0,0,2,.226,.307,.403,.710,7,13,L,C.Richard (48)
21,21,Apr 22,,SDP,W4-2,33,29,4,6,0,0,1,3,4,0,6,0,0,0,0,0,2,0,.225,.307,.399,.706,5,13,L,J.Lucchesi (41)
22,22,Apr 24,@,PHI,W8-4,41,35,8,11,1,0,3,8,6,0,12,0,0,0,0,3,2,0,.229,.312,.409,.721,6,16,R,V.Velasquez (44)
