Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,COL,W8-2,9.0,9,2,2,0,2,12,2,0,2.00,36,147,92,4,0,0,0,33,0,0,0,1,0,0,2,6,Gary Cederstrom,P.Corbin (99-54-W) J.De La Rosa (99-H) Y.Hirano (99) A.Chafin (99) A.Bradley (99-H) F.Salas (99)
2,2,Mar 30,,COL,W9-8,9.0,10,8,7,1,5,11,3,0,4.50,41,157,99,0,0,1,0,36,1,0,0,0,0,1,2,5,Eric Cooper,R.Ray (99-32-W) J.De La Rosa (0-H) A.Bradley (0-H) Y.Hirano (0-H) B.Boxberger (99-Sv)
3,3,Mar 31,,COL,L1-2,9.0,6,2,2,0,0,11,2,0,3.67,33,143,99,1,0,1,0,33,1,0,0,0,0,0,0,4,Cory Blaser,Z.Greinke (99-64) J.De La Rosa (0) F.Salas (1-L) A.Chafin (1)
4,4,Apr 2,,LAD,W8-7,15.0,19,7,7,0,8,11,2,0,3.86,71,280,173,0,0,0,0,61,2,0,1,2,0,0,1,8,Pat Hoberg,T.Walker (99-41) Y.Hirano (2) A.Chafin (1) T.McFarland (99) J.De La Rosa (1) B.Boxberger (2) A.Bradley (2) F.Salas (1-W)
5,5,Apr 3,,LAD,W6-1,9.0,4,1,1,0,1,4,0,0,3.35,32,123,76,0,0,0,0,29,2,0,0,1,1,0,0,3,Gerry Davis,Z.Godley (99-67-W) Y.Hirano (0) T.McFarland (0)
6,6,Apr 4,,LAD,W3-0,9.0,1,0,0,0,3,15,0,0,2.85,31,134,82,1,0,0,0,28,1,0,0,0,0,0,0,3,Mark Carlson,P.Corbin (5-87-W) A.Bradley (1-H) B.Boxberger (1-Sv)
7,7,Apr 5,@,STL,W3-1,9.0,2,1,1,0,5,13,0,0,2.61,34,144,83,1,0,0,0,29,1,0,0,0,0,1,1,5,Mike Muchlinski,R.Ray (5-68-W) Y.Hirano (1-H) A.Chafin (2-H) A.Bradley (0-H) B.Boxberger (0-Sv)
8,8,Apr 7,@,STL,L3-5,8.0,10,5,5,0,0,9,1,0,2.92,34,136,91,1,0,0,0,33,1,0,0,0,1,0,0,3,Mike Winters,Z.Greinke (6-34-L) M.Koch (99) F.Salas (4)
9,9,Apr 8,@,STL,W4-1,9.0,5,1,1,0,2,6,0,0,2.72,32,125,79,0,0,0,0,30,0,0,0,0,0,0,1,4,Tim Timmons,T.Walker (5-63) Y.Hirano (2-W) A.Bradley (2-H) B.Boxberger (2-Sv)
10,10,Apr 9,@,SFG,W2-1,9.0,5,1,1,0,0,12,0,0,2.56,30,139,89,0,0,0,0,30,1,0,0,0,0,0,2,3,Kerwin Danley,Z.Godley (5-78-W) Y.Hirano (0-H) A.Bradley (0-Sv)
11,11,Apr 10,@,SFG,L4-5,8.1,8,5,4,1,7,12,0,0,2.70,39,139,83,3,1,4,0,29,0,0,2,1,2,0,0,4,Paul Nauert,P.Corbin (5-53) F.Salas (2) A.Chafin (4) J.De La Rosa (7-L)
12,12,Apr 11,@,SFG,W7-3,9.0,6,3,3,0,4,10,1,0,2.72,36,158,100,0,0,0,0,32,1,0,1,0,0,0,1,6,Scott Barry,R.Ray (5-45) F.Salas (0-W) J.De La Rosa (0-H) Y.Hirano (1) A.Bradley (1) B.Boxberger (2)
13,13,Apr 13,@,LAD,W8-7,9.0,11,7,7,0,3,8,2,1,3.04,41,146,93,4,3,0,0,37,1,0,0,0,0,0,1,4,Dan Iassogna,Z.Greinke (5-53-W) T.McFarland (9) A.Bradley (1-H) B.Boxberger (1-Sv)
14,14,Apr 14,@,LAD,W9-1,9.0,8,1,1,0,2,5,0,0,2.90,36,164,102,0,0,0,1,34,3,0,0,0,0,0,0,5,Adrian Johnson,T.Walker (5-45) T.McFarland (0-W) F.Salas (2) A.Chafin (3) J.De La Rosa (2)
15,15,Apr 15,@,LAD,L2-7,8.0,8,7,6,1,7,13,1,0,3.12,40,164,101,1,1,0,0,32,2,0,0,0,1,1,0,3,Tripp Gibson,Z.Godley (5-28-L) S.Bracho (99) J.De La Rosa (0)
