Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,PHI,W8-5,40,34,8,9,1,0,3,7,4,1,6,1,1,0,0,0,0,0,.265,.359,.559,.918,6,19,R,A.Nola (60)
2,2,Mar 30,,PHI,L4-5,46,37,4,9,2,0,0,4,5,0,9,2,1,1,0,1,0,1,.254,.357,.423,.780,9,19,R,N.Pivetta (41)
3,3,Mar 31,,PHI,W15-2,51,43,15,19,5,1,1,14,5,1,5,0,2,1,3,0,0,0,.325,.406,.518,.924,12,14,R,V.Velasquez (20)
4,4,Apr 2,,WSN,L1-8,31,30,1,4,0,0,0,1,1,0,9,0,0,0,1,1,1,0,.285,.360,.438,.797,3,15,R,T.Roark (70)
5,5,Apr 3,,WSN,W13-6,44,36,13,15,4,0,2,13,5,0,9,1,2,0,0,1,1,0,.311,.388,.489,.877,7,15,R,A.Cole (2)
6,6,Apr 4,,WSN,W7-1,36,32,7,7,4,0,1,6,4,0,11,0,0,0,1,0,0,0,.297,.376,.481,.857,5,16,R,M.Scherzer (46)
7,7,Apr 6,@,COL,W8-3,44,36,8,11,3,1,1,8,7,2,2,0,0,1,0,1,1,0,.298,.381,.488,.869,9,14,R,G.Marquez (18)
8,8,Apr 7,@,COL,L2-3,40,34,2,8,2,0,0,2,4,0,5,1,1,0,0,3,2,0,.291,.375,.465,.840,8,16,R,C.Bettis (58)
9,9,Apr 8,@,COL,W4-0,36,34,4,8,2,0,3,4,2,0,9,0,0,0,0,1,1,0,.285,.366,.475,.840,5,13,L,K.Freeland (49)
10,10,Apr 9,@,WSN,L0-2,28,28,0,2,0,0,0,0,0,0,10,0,0,0,0,1,0,0,.267,.344,.442,.786,1,12,R,M.Scherzer (93)
11,11,Apr 10,@,WSN,L1-4,34,31,1,5,3,0,0,1,3,0,9,0,0,0,0,0,0,1,.259,.336,.427,.762,6,15,R,S.Strasburg (82)
12,12,Apr 11,@,WSN,W5-3,54,46,5,11,3,0,3,5,7,2,16,1,0,0,1,1,3,1,.257,.338,.435,.772,13,19,R,A.Cole (57)
13,13,Apr 13,@,CHC,W4-0,44,39,4,12,4,0,1,3,5,0,7,0,0,0,1,0,0,1,.261,.342,.439,.781,13,14,R,Y.Darvish (30)
14,14,Apr 14,@,CHC,L10-14,49,40,10,15,4,0,1,10,8,0,6,0,1,0,2,2,0,0,.270,.353,.448,.801,12,15,L,J.Quintana (12)
15,15,Apr 16,,PHI,W2-1,28,25,2,4,0,0,0,1,1,0,3,0,1,1,0,1,1,0,.265,.346,.434,.780,2,14,R,A.Nola (57)
16,16,Apr 17,,PHI,L1-5,43,38,1,8,0,0,0,1,4,1,6,1,0,0,1,1,0,0,.261,.343,.419,.762,12,18,R,N.Pivetta (55)
17,17,Apr 18,,PHI,W7-3,36,33,7,11,0,0,2,6,2,1,10,1,0,0,0,0,0,0,.265,.345,.424,.770,5,16,R,V.Velasquez (52)
18,18,Apr 19,,NYM,W12-4,42,34,12,13,6,0,1,12,5,0,5,0,1,2,0,0,0,0,.271,.351,.437,.787,6,15,R,M.Harvey (35)
19,19,Apr 20,,NYM,L3-5,45,41,3,8,2,0,1,3,3,0,12,0,0,1,0,0,2,2,.267,.344,.429,.773,6,17,R,N.Syndergaard (52)
20,20,Apr 21,,NYM,W4-3,37,32,4,8,2,1,0,4,5,0,14,0,0,0,0,0,2,1,.266,.345,.427,.771,8,15,R,J.deGrom (77)
21,21,Apr 23,@,CIN,L4-10,35,34,4,7,1,0,1,3,1,0,7,0,0,0,0,0,0,0,.263,.340,.422,.762,4,14,R,S.Romano (62)
22,22,Apr 24,@,CIN,L7-9,51,46,7,11,2,0,3,7,4,0,15,1,0,0,0,1,0,0,.262,.338,.425,.764,8,19,R,T.Mahle (63)
23,23,Apr 25,@,CIN,W5-4,43,40,5,13,2,0,1,4,2,1,8,1,0,0,0,0,2,0,.265,.340,.426,.766,11,14,L,B.Finnegan (46)
24,24,Apr 26,@,CIN,W7-4,40,37,7,13,5,0,2,7,2,2,4,0,1,0,0,0,0,1,.269,.342,.436,.778,6,14,R,H.Bailey (37)
25,25,Apr 27,@,PHI,L3-7,37,36,3,9,3,0,0,2,1,0,8,0,0,0,1,1,3,0,.268,.339,.432,.771,7,14,R,A.Nola (54)
26,26,Apr 28,@,PHI,W4-1,40,34,4,9,0,1,1,4,5,0,7,0,0,1,0,1,2,0,.268,.339,.431,.771,9,14,R,N.Pivetta (42)
27,27,Apr 29,@,PHI,W10-1,46,39,10,11,6,1,2,10,6,0,10,1,0,0,1,0,3,0,.268,.342,.440,.781,9,13,R,V.Velasquez (26)
28,28,May 1,@,NYM,W3-2,42,40,3,15,2,0,0,3,1,0,5,1,0,0,0,0,0,0,.273,.344,.439,.783,12,14,R,N.Syndergaard (42)
29,29,May 2,@,NYM,W7-0,38,38,7,11,3,0,3,7,0,0,10,0,0,0,0,0,0,0,.273,.342,.445,.787,4,13,R,J.deGrom (64)
30,30,May 3,@,NYM,W11-0,46,39,11,15,2,0,4,11,5,0,5,0,1,1,0,0,0,1,.277,.346,.456,.802,8,12,L,J.Vargas (19)
31,31,May 4,,SFG,L4-9,36,32,4,8,1,0,2,4,3,0,8,0,0,1,0,2,0,0,.276,.345,.456,.801,5,14,R,C.Stratton (52)
32,32,May 5,,SFG,L2-11,36,34,2,7,2,0,0,2,2,0,2,0,0,0,2,1,0,0,.274,.342,.451,.793,7,15,L,T.Blach (61)
33,33,May 6,,SFG,L3-4,37,35,3,9,1,0,0,3,2,0,7,0,0,0,2,3,0,0,.274,.341,.446,.787,7,17,L,A.Suarez (57)
34,34,May 8,@,TBR,W1-0,36,32,1,4,0,1,1,1,4,0,9,0,0,0,0,0,1,0,.270,.338,.441,.779,8,9,L,B.Snell (64)
35,35,May 9,@,TBR,W5-2,34,32,5,6,0,0,1,5,0,0,11,1,0,1,0,0,2,0,.268,.335,.437,.772,2,9,L,R.Yarbrough (42)
36,36,May 10,@,MIA,W9-2,47,42,9,16,2,0,2,9,5,2,6,0,0,0,0,0,1,1,.271,.338,.442,.780,11,13,L,C.Smith (49)
37,37,May 11,@,MIA,L3-6,37,33,3,5,1,0,1,3,3,0,8,1,0,0,1,0,1,0,.268,.336,.437,.773,7,13,R,D.Straily (53)
38,38,May 12,@,MIA,W10-5,43,37,10,12,0,1,4,9,6,0,7,0,0,0,0,1,1,0,.270,.338,.445,.783,6,17,L,J.Garcia (42)
39,39,May 13,@,MIA,W4-3,37,34,4,8,1,0,1,4,3,0,8,0,0,0,0,0,1,1,.269,.337,.442,.780,6,15,R,J.Urena (55)
40,40,May 14,@,CHC,W6-5,45,36,6,9,1,0,3,6,8,0,9,0,1,0,1,0,1,1,.269,.339,.445,.783,12,14,L,J.Quintana (25)
41,41,May 15,,CHC,L2-3,33,30,2,5,0,0,2,2,3,0,7,0,0,0,1,0,3,0,.267,.337,.443,.780,4,14,R,Y.Darvish (55)
42,42,May 16,,CHC,W4-1,35,28,4,7,2,1,0,4,7,1,5,0,0,0,0,3,0,0,.266,.338,.442,.780,7,13,R,T.Chatwood (56)
43,43,May 18,,MIA,L0-2,32,29,0,4,1,0,0,0,3,1,6,0,0,0,0,1,0,0,.264,.336,.437,.773,5,13,R,D.Straily (74)
44,44,May 19,,MIA,W8-1,33,28,8,9,1,0,2,8,3,0,2,0,2,0,0,2,0,1,.265,.337,.439,.776,1,13,R,J.Urena (47)
45,45,May 20,,MIA,W10-9,44,37,10,12,0,0,0,9,6,0,7,0,0,1,0,0,1,0,.266,.338,.437,.775,8,16,L,W.Chen (54)
46,46,May 21,@,PHI,L0-3,33,32,0,5,0,0,0,0,1,0,9,0,0,0,1,0,1,1,.264,.336,.431,.767,6,12,R,N.Pivetta (75)
47,47,May 22,@,PHI,W3-1,39,36,3,10,1,0,1,2,3,0,14,0,0,0,0,1,0,0,.264,.335,.430,.766,9,14,R,V.Velasquez (51)
48,48,May 23,@,PHI,L0-4,35,33,0,8,2,0,0,0,2,0,9,0,0,0,0,1,0,1,.264,.335,.428,.762,8,15,R,J.Arrieta (66)
49,49,May 25,@,BOS,L2-6,38,34,2,7,2,0,0,2,4,0,12,0,0,0,0,0,0,0,.263,.334,.424,.758,9,9,L,E.Rodriguez (53)
50,50,May 26,@,BOS,L6-8,41,36,6,11,3,0,2,6,4,0,5,0,0,1,0,1,0,0,.264,.334,.427,.761,8,9,L,D.Pomeranz (28)
51,51,May 27,@,BOS,W7-1,42,36,7,9,3,0,1,6,6,0,10,0,0,0,0,0,0,0,.263,.335,.427,.762,8,10,L,C.Sale (34)
52,52,May 28 (1),,NYM,W4-3,36,31,4,8,0,0,2,4,4,0,10,0,0,1,0,1,0,0,.263,.335,.427,.762,7,15,R,J.deGrom (68)
53,53,May 28 (2),,NYM,L5-8,42,38,5,13,4,0,1,5,2,1,10,1,0,1,0,0,0,0,.265,.336,.429,.765,10,15,L,P.Conlon (25)
54,54,May 29,,NYM,W7-6,42,36,7,11,3,1,1,6,5,2,5,1,0,0,0,0,0,0,.266,.337,.431,.768,10,13,L,S.Matz (57)
55,55,May 30,,NYM,L1-4,34,32,1,5,1,0,1,1,2,1,2,0,0,0,1,1,0,0,.264,.335,.429,.764,6,14,L,J.Vargas (64)
56,56,May 31,,WSN,W4-2,35,28,4,7,4,0,0,3,6,2,5,1,0,0,0,2,0,1,.264,.336,.428,.764,7,13,R,T.Roark (42)
57,57,Jun 1,,WSN,W4-0,33,32,4,9,0,0,1,4,1,0,10,0,0,0,1,2,0,0,.264,.336,.427,.763,5,10,R,S.Strasburg (56)
