Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,PHI,W8-5,9.0,6,5,5,0,6,11,1,1,5.00,38,171,100,7,3,1,0,31,2,0,0,0,0,0,2,6,Jerry Layne,J.Teheran (99-45) R.Brothers (99) D.Winkler (99) P.Moylan (99) S.Freeman (99) A.Vizcaino (99-W)
2,2,Mar 30,,PHI,L4-5,11.0,10,5,4,1,5,10,2,0,4.05,48,212,126,2,0,3,0,40,2,0,0,0,2,0,1,7,Greg Gibson,M.Foltynewicz (99-53) J.Ramirez (99) S.Freeman (0) P.Moylan (0) A.Minter (99) A.Vizcaino (0) S.Carle (99-L)
3,3,Mar 31,,PHI,W15-2,9.0,6,2,2,0,4,9,0,0,3.41,36,142,90,2,0,0,1,31,3,0,0,1,0,0,0,4,Vic Carapazza,B.McCarthy (99-50-W) D.Winkler (1) M.Socolovich (99) J.Ravin (99)
4,4,Apr 2,,WSN,L1-8,9.0,10,8,7,1,10,10,1,1,4.26,48,196,120,4,1,1,0,37,3,0,1,0,0,1,1,5,Mike Winters,S.Newcomb (99-33-L) P.Moylan (2) A.Sanchez (99) J.Ramirez (2) S.Freeman (2)
5,5,Apr 3,,WSN,W13-6,9.0,9,6,5,1,6,5,3,0,4.40,42,154,96,4,0,2,0,36,1,0,0,0,0,1,0,5,Tim Timmons,J.Teheran (4-24) S.Carle (3-W) S.Freeman (0) A.Minter (3) D.Winkler (2)
6,6,Apr 4,,WSN,W7-1,9.0,6,1,1,0,6,12,0,2,3.86,40,172,91,5,0,1,0,32,1,0,0,0,0,0,0,6,Rob Drake,M.Foltynewicz (4-62-W) P.Moylan (1) S.Freeman (0-H) A.Minter (0) D.Winkler (0) A.Vizcaino (4)
7,7,Apr 6,@,COL,W8-3,9.0,7,3,3,0,2,8,2,0,3.74,36,147,95,1,0,1,0,34,2,1,0,0,0,0,0,4,Nic Lentz,B.McCarthy (5-53-W) P.Moylan (1) J.Ramirez (3) S.Carle (2)
8,8,Apr 7,@,COL,L2-3,9.2,10,3,3,0,7,11,1,0,3.62,44,173,108,0,0,0,1,37,2,0,1,0,0,0,0,5,Bill Welke,A.Sanchez (4-49) S.Freeman (2) D.Winkler (2) A.Minter (2) A.Vizcaino (2-L)
9,9,Apr 8,@,COL,W4-0,9.0,6,0,0,0,0,10,0,0,3.23,31,113,70,3,0,0,0,31,1,0,0,0,0,0,2,4,Tony Randazzo,S.Newcomb (5-71-W) S.Carle (1-H) S.Freeman (0) A.Vizcaino (0)
10,10,Apr 9,@,WSN,L0-2,8.0,6,2,2,0,7,10,0,0,3.14,36,133,88,0,0,1,0,29,4,0,2,0,0,0,0,3,CB Bucknor,J.Teheran (5-57-L) P.Moylan (2) L.Jackson (99)
11,11,Apr 10,@,WSN,L1-4,8.0,8,4,2,2,2,7,0,0,3.07,35,155,98,0,0,0,1,32,2,1,0,1,0,2,0,4,Brian O'Nora,M.Foltynewicz (5-48-L) S.Carle (1) J.Ramirez (3) A.Minter (2)
12,12,Apr 11,@,WSN,W5-3,12.0,10,3,3,0,3,11,1,1,2.98,46,158,101,0,0,0,0,41,1,0,0,1,0,1,3,7,Chad Whitson,B.McCarthy (4-56) S.Freeman (2-H) D.Winkler (3-H) A.Minter (0-H) A.Vizcaino (2-BSv) J.Ramirez (0) S.Carle (0-BW)
13,13,Apr 13,@,CHC,W4-0,9.0,4,0,0,0,1,9,0,1,2.76,32,137,94,0,0,0,0,30,1,0,0,0,0,0,1,4,Bruce Dreckman,A.Sanchez (5-71-W) S.Freeman (1) A.Minter (1) A.Vizcaino (1)
14,14,Apr 14,@,CHC,L10-14,8.0,10,14,12,2,10,12,1,2,3.43,47,196,111,10,6,0,0,35,2,1,1,0,0,1,0,6,Chad Fairchild,S.Newcomb (5-49) D.Winkler (2) L.Jackson (4) J.Ramirez (2-L) S.Freeman (0) P.Moylan (4)
