Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,MIN,W3-2,11.0,8,2,2,0,3,11,0,0,1.64,43,162,112,2,0,2,0,40,0,0,0,0,0,0,1,5,Joe West,D.Bundy (99-73) D.O'Day (99-H) B.Brach (99-BSv) M.Givens (99) R.Bleier (99-W)
2,2,Mar 31,,MIN,L2-6,9.0,9,6,5,1,4,9,3,0,3.15,38,142,91,0,0,0,0,34,3,0,0,0,0,0,2,4,Doug Eddings,A.Cashner (99-40-L) N.Cortes (99) P.Araujo (99) M.Castro (99)
3,3,Apr 1,,MIN,L0-7,9.0,10,7,7,0,3,10,4,0,4.34,41,150,94,1,0,1,0,38,2,0,0,0,0,1,0,5,Marty Foster,K.Gausman (99-27-L) P.Araujo (0) R.Bleier (2) B.Brach (2) M.Givens (2)
4,4,Apr 2,@,HOU,L1-6,8.0,11,6,6,0,5,6,1,1,4.86,40,145,87,1,0,0,1,33,3,1,0,0,1,0,0,4,Bill Welke,C.Tillman (99-28-L) M.Castro (1) R.Bleier (0) D.O'Day (3)
5,5,Apr 3,@,HOU,L6-10,8.0,10,10,10,0,3,11,3,2,6.00,38,159,93,3,3,1,0,32,1,0,0,0,1,0,0,4,Tony Randazzo,M.Wright (99-52) M.Givens (1-BSv) P.Araujo (1-L) N.Cortes (2)
6,6,Apr 4,@,HOU,L2-3,8.0,7,3,2,1,3,10,0,0,5.43,34,130,84,0,0,1,0,30,1,0,0,1,0,0,0,3,Lance Barrett,D.Bundy (5-62) M.Castro (1-L) B.Brach (2)
7,7,Apr 5,@,NYY,W5-2,9.0,4,2,2,0,6,8,1,2,4.94,37,171,98,2,0,0,1,29,2,0,0,0,0,0,1,4,Ron Kulpa,A.Cashner (4-66-W) M.Givens (1) D.O'Day (2-H) B.Brach (0-Sv)
8,8,Apr 6,@,NYY,W7-3,14.0,7,3,3,0,5,10,1,1,4.38,53,218,138,2,0,2,0,47,1,0,1,0,0,0,1,6,Ed Hickox,K.Gausman (4-51) R.Bleier (3-H) M.Castro (1-BSv) M.Givens (0) P.Araujo (2-W) B.Brach (0)
9,9,Apr 7,@,NYY,L3-8,8.0,11,8,8,0,7,3,0,0,4.82,37,160,94,2,0,1,1,29,3,0,1,0,1,0,2,4,Jerry Meals,C.Tillman (4-31-L) R.Bleier (0) J.Yacabonis (99) N.Cortes (3)
10,10,Apr 8,@,NYY,W8-7,12.0,16,7,4,3,6,12,0,0,4.59,57,225,136,4,1,0,1,50,3,0,1,1,0,2,1,7,Ben May,M.Wright (4-28) P.Araujo (1) M.Castro (1) T.Scott (99) D.O'Day (2-BSv) R.Bleier (0-W) B.Brach (1-Sv)
11,11,Apr 9,,TOR,L1-7,9.0,10,7,7,0,5,11,2,1,4.80,41,157,96,3,3,0,0,35,1,0,0,0,0,0,1,3,Chris Segal,D.Bundy (4-69-L) M.Givens (2) N.Cortes (1)
