Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,TBR,L4-6,35,33,4,8,4,0,1,4,2,0,6,0,0,0,0,0,0,0,.242,.286,.455,.740,4,10,R,C.Archer (49)
2,2,Mar 30,@,TBR,W1-0,34,32,1,7,2,0,0,1,2,0,6,0,0,0,0,1,0,0,.231,.275,.369,.645,6,10,L,B.Snell (63)
3,3,Mar 31,@,TBR,W3-2,39,33,3,7,4,0,1,2,6,0,5,0,0,0,1,1,1,1,.224,.296,.388,.684,9,9,R,A.Kittredge (48)
4,4,Apr 1,@,TBR,W2-1,40,33,2,6,0,0,0,2,4,0,6,3,0,0,1,0,2,0,.214,.304,.336,.640,11,10,R,J.Faria (49)
5,5,Apr 2,@,MIA,W7-3,41,38,7,12,3,0,2,7,3,0,6,0,0,0,0,0,1,1,.237,.317,.385,.702,7,13,R,T.Richards (31)
6,6,Apr 3,@,MIA,W4-2,50,48,4,12,4,0,0,4,2,1,9,0,0,0,0,2,1,1,.240,.310,.373,.683,7,18,R,J.Urena (71)
7,7,Apr 5,,TBR,W3-2,48,41,3,10,2,1,0,3,6,3,9,0,1,0,0,1,1,0,.240,.315,.368,.683,11,10,R,Y.Chirinos (65)
8,8,Apr 7,,TBR,W10-3,39,32,10,9,3,0,3,10,6,0,3,0,0,1,0,0,0,0,.245,.323,.400,.723,5,11,R,J.Faria (8)
9,9,Apr 8,,TBR,W8-7,39,35,8,11,4,0,0,8,4,0,6,0,0,0,0,0,0,0,.252,.330,.403,.733,7,10,R,A.Kittredge (49)
10,10,Apr 10,,NYY,W14-1,44,34,14,11,4,1,1,13,7,0,10,1,0,2,1,0,1,0,.259,.341,.421,.761,6,11,R,L.Severino (34)
11,11,Apr 11,,NYY,L7-10,38,36,7,10,3,0,2,6,2,0,8,0,0,0,0,1,0,0,.261,.339,.430,.769,4,10,R,M.Tanaka (30)
12,12,Apr 12,,NYY,W6-3,38,33,6,8,2,0,0,6,3,0,9,1,0,1,0,0,0,0,.259,.337,.421,.757,8,11,R,S.Gray (22)
13,13,Apr 13,,BAL,W7-3,42,34,7,11,4,0,1,5,6,0,6,1,0,1,0,0,0,0,.264,.344,.429,.773,11,9,R,C.Tillman (16)
14,14,Apr 14,,BAL,W10-3,41,39,10,15,4,0,2,9,2,0,3,0,0,0,2,1,0,0,.273,.349,.445,.794,7,10,R,A.Cobb (10)
15,15,Apr 15,,BAL,W3-1,36,34,3,10,4,1,0,2,2,0,8,0,0,0,1,0,2,0,.275,.348,.447,.795,9,9,R,D.Bundy (51)
16,16,Apr 17,@,LAA,W10-1,45,38,10,15,0,0,6,10,5,0,3,1,0,1,0,1,0,0,.283,.356,.475,.831,8,12,R,S.Ohtani (35)
17,17,Apr 18,@,LAA,W9-0,44,41,9,14,3,0,3,9,3,0,12,0,0,0,1,1,0,0,.287,.358,.485,.844,8,10,L,T.Skaggs (26)
18,18,Apr 19,@,LAA,W8-2,42,37,8,14,5,0,2,8,3,1,5,1,0,1,1,3,0,0,.292,.362,.496,.859,7,10,R,N.Tropeano (35)
19,19,Apr 20,@,OAK,W7-3,36,35,7,11,1,0,2,7,1,0,6,0,0,0,0,2,0,1,.293,.361,.497,.858,2,9,R,K.Graveman (35)
20,20,Apr 21,@,OAK,L0-3,30,28,0,0,0,0,0,0,2,0,10,0,0,0,1,0,0,0,.282,.350,.478,.828,3,10,L,S.Manaea (95)
21,21,Apr 22,@,OAK,L1-4,35,34,1,6,2,0,0,1,1,0,10,0,0,0,1,0,1,0,.277,.344,.467,.810,7,9,R,D.Mengden (62)
22,22,Apr 24,@,TOR,L3-4,39,37,3,9,1,0,0,3,2,0,14,0,0,0,0,1,1,0,.275,.341,.457,.798,6,11,L,J.Happ (75)
23,23,Apr 25,@,TOR,W4-3,41,33,4,6,1,0,2,4,6,0,10,2,0,0,1,1,2,0,.271,.341,.455,.796,10,9,R,A.Sanchez (64)
24,24,Apr 26,@,TOR,W5-4,37,33,5,8,3,0,1,5,3,0,9,0,0,1,0,0,1,0,.270,.339,.454,.793,5,11,R,M.Estrada (35)
25,25,Apr 27,,TBR,L3-4,35,34,3,8,5,0,0,3,1,0,11,0,0,0,1,2,1,0,.269,.336,.451,.787,5,12,L,B.Snell (68)
26,26,Apr 28,,TBR,L6-12,43,38,6,12,3,0,1,5,3,0,14,1,0,1,1,1,0,0,.271,.338,.452,.790,10,10,R,Y.Chirinos (33)
27,27,Apr 29,,TBR,W4-3,36,30,4,7,0,0,0,4,3,0,7,2,0,1,0,0,2,0,.270,.338,.445,.783,8,9,R,M.Andriese (59)
28,28,Apr 30,,KCR,W10-6,41,37,10,13,3,0,2,9,3,0,3,0,0,1,1,0,0,0,.273,.340,.451,.790,7,9,R,J.Hammel (15)
29,29,May 1,,KCR,L6-7,54,51,6,12,3,0,2,5,2,0,10,1,0,0,0,0,0,0,.271,.337,.449,.785,9,11,R,J.Junis (54)
30,30,May 2,,KCR,W5-4,33,32,5,10,1,0,4,5,1,0,6,0,0,0,0,1,0,0,.272,.337,.457,.793,4,9,L,D.Duffy (39)
31,31,May 3,@,TEX,L5-11,41,36,5,9,2,0,1,5,4,0,6,0,0,1,1,0,0,0,.271,.336,.454,.790,9,11,L,M.Minor (47)
32,32,May 4,@,TEX,W5-1,35,34,5,7,1,0,4,5,1,0,7,0,0,0,0,0,0,0,.269,.333,.458,.792,3,9,R,B.Colon (55)
33,33,May 5,@,TEX,W6-5,40,35,6,9,2,1,1,5,3,0,6,0,1,1,2,1,0,0,.269,.332,.458,.791,7,10,L,C.Hamels (55)
34,34,May 6,@,TEX,W6-1,39,36,6,10,2,0,2,6,2,0,7,1,0,0,0,0,0,0,.269,.332,.460,.792,6,10,R,D.Fister (34)
35,35,May 8,@,NYY,L2-3,36,35,2,8,2,1,0,2,0,0,14,1,0,0,1,1,1,0,.268,.330,.456,.787,7,9,R,L.Severino (63)
36,36,May 9,@,NYY,L6-9,42,36,6,12,2,0,3,6,5,1,10,0,0,1,0,2,0,0,.270,.332,.461,.794,9,11,R,M.Tanaka (37)
37,37,May 10,@,NYY,W5-4,38,37,5,10,2,0,2,5,1,0,11,0,0,0,0,0,1,0,.270,.331,.462,.793,6,9,L,C.Sabathia (33)
38,38,May 11,@,TOR,L3-5,47,42,3,6,1,0,1,2,4,0,12,1,0,0,1,1,2,0,.266,.328,.455,.784,8,11,R,A.Sanchez (48)
39,39,May 12,@,TOR,W5-2,39,38,5,12,4,0,1,5,1,0,11,0,0,0,0,0,0,1,.267,.328,.456,.785,7,9,R,M.Estrada (46)
