Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,TBR,L4-6,8.0,4,6,6,0,7,11,0,0,6.75,35,154,87,3,3,0,0,28,1,1,0,0,0,0,0,4,Jeff Nelson,C.Sale (99-76) M.Barnes (99) J.Kelly (99) C.Smith (99-BL)
2,2,Mar 30,@,TBR,W1-0,9.0,4,0,0,0,1,9,0,0,3.18,31,109,74,0,0,0,0,30,0,0,0,0,0,0,1,3,Laz Diaz,D.Price (99-74-W) M.Barnes (0-H) C.Kimbrel (99-Sv)
3,3,Mar 31,@,TBR,W3-2,9.0,8,2,2,0,3,7,1,0,2.77,37,148,96,3,1,1,0,33,1,0,0,0,1,0,0,5,Andy Fletcher,R.Porcello (99-55-W) H.Hembree (99-H) B.Poyner (99-H) C.Smith (1-H) C.Kimbrel (0-Sv)
4,4,Apr 1,@,TBR,W2-1,9.0,8,1,1,0,2,9,1,0,2.31,37,128,89,1,0,0,0,35,1,0,0,0,0,0,0,5,Manny Gonzalez,H.Velazquez (99-59-W) M.Walden (99-H) B.Poyner (0-H) M.Barnes (1-H) J.Kelly (2-Sv)
5,5,Apr 2,@,MIA,W7-3,9.0,10,3,3,0,3,7,1,1,2.45,40,137,82,0,0,0,0,36,1,0,0,0,0,0,1,3,Jerry Meals,B.Johnson (99-59-W) H.Hembree (1) M.Walden (0)
6,6,Apr 3,@,MIA,W4-2,13.0,9,2,2,0,4,16,0,0,2.21,49,227,150,1,0,2,0,45,2,0,0,0,0,0,1,7,Ben May,C.Sale (4-59) B.Poyner (1) C.Smith (2) J.Kelly (1) C.Kimbrel (2) M.Barnes (1-BSv) H.Hembree (0-W)
7,7,Apr 5,,TBR,W3-2,12.0,6,2,2,0,6,11,1,0,2.09,47,183,113,0,0,0,0,40,1,0,0,1,0,0,1,5,Todd Tichenor,D.Price (5-73) C.Smith (1) H.Velazquez (3) C.Kimbrel (1) B.Poyner (1-W)
8,8,Apr 7,,TBR,W10-3,9.0,6,3,3,0,0,9,0,0,2.19,32,106,76,1,0,0,0,32,2,0,0,0,0,0,1,2,Alan Porter,R.Porcello (6-61-W) M.Walden (4)
9,9,Apr 8,,TBR,W8-7,9.0,11,7,7,0,6,11,1,0,2.69,44,190,116,4,2,1,0,37,1,2,0,0,1,0,0,7,Bill Miller,E.Rodriguez (99-44) H.Velazquez (2) B.Poyner (2) B.Johnson (5) H.Hembree (4) C.Smith (2-W) C.Kimbrel (2-Sv)
10,10,Apr 10,,NYY,W14-1,9.0,10,1,1,0,1,10,1,0,2.53,37,142,97,0,0,0,0,36,1,0,0,0,0,0,1,3,Larry Vanover,C.Sale (6-60-W) J.Kelly (6) B.Johnson (1)
