Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,MIA,W8-4,9.0,8,4,3,1,6,7,0,1,3.00,40,157,93,2,0,0,0,33,2,1,0,0,0,0,2,6,Larry Vanover,J.Lester (99-31) S.Cishek (99-W) B.Duensing (99-H) P.Strop (99) J.Wilson (99) M.Montgomery (99)
2,2,Mar 30,@,MIA,L1-2,16.2,12,2,2,0,8,14,0,1,1.75,70,259,162,3,1,0,1,61,0,0,0,0,0,1,1,6,Hunter Wendelstedt,K.Hendricks (99-62) M.Montgomery (0) C.Edwards (99) J.Wilson (0) E.Butler (99-L) B.Morrow (99)
3,3,Mar 31,@,MIA,W10-6,10.0,10,6,6,0,3,7,1,2,2.78,42,178,107,4,1,0,1,37,0,0,0,0,0,0,2,6,Chris Guccione,Y.Darvish (99-35) B.Duensing (1) S.Cishek (1-H) C.Edwards (0-H) P.Strop (1-BW) M.Montgomery (0)
4,4,Apr 1,@,MIA,L0-6,8.0,8,6,6,0,5,5,0,0,3.50,36,136,80,0,0,0,0,30,4,0,1,1,0,0,0,2,Carlos Torres,J.Quintana (99-34-L) B.Duensing (0)
5,5,Apr 2,@,CIN,L0-1,8.0,5,1,1,0,6,7,0,0,3.14,35,124,73,0,0,0,0,28,1,1,0,1,0,1,1,3,Kerwin Danley,T.Chatwood (99-58-L) J.Wilson (2) P.Strop (1)
6,6,Apr 5,@,MIL,W8-0,9.0,4,0,0,0,1,11,0,1,2.67,32,122,87,0,0,1,1,30,2,0,0,0,0,0,0,4,Brian O'Nora,J.Lester (6-71-W) C.Edwards (4) S.Cishek (4) E.Butler (5)
7,7,Apr 6,@,MIL,L4-5,8.1,12,5,5,0,6,8,2,0,3.00,44,158,95,7,0,0,0,37,1,0,0,1,0,1,0,7,Chad Whitson,K.Hendricks (6-33) B.Duensing (4) P.Strop (3) J.Wilson (3) S.Cishek (0) C.Edwards (0) M.Montgomery (5-L)
8,8,Apr 7,@,MIL,W5-2,9.0,4,2,2,0,1,13,1,1,2.88,33,139,89,2,1,0,0,30,1,0,0,0,1,0,0,5,Chris Conroy,Y.Darvish (6-72) B.Duensing (0) S.Cishek (0) P.Strop (0-W) B.Morrow (7-Sv)
9,9,Apr 8,@,MIL,W3-0,9.0,3,0,0,0,2,9,0,0,2.59,31,126,80,0,0,0,1,29,1,0,0,0,0,0,0,4,Fieldin Culbreth,J.Quintana (6-70-W) J.Wilson (1-H) C.Edwards (1-H) B.Morrow (0-Sv)
10,10,Apr 10,,PIT,L5-8,9.0,12,8,8,0,2,9,2,0,3.09,41,154,104,0,0,0,0,39,2,0,0,0,0,0,0,4,Tom Hallion,T.Chatwood (7-35-L) M.Montgomery (3) E.Butler (4) B.Duensing (2)
11,11,Apr 11,,PIT,W13-5,9.0,8,5,5,0,3,6,2,0,3.26,37,133,91,0,0,1,0,34,1,0,0,0,0,0,1,4,Dan Bellino,J.Lester (5-37) B.Duensing (0-W) P.Strop (3) E.Butler (0)
12,12,Apr 12,,PIT,L1-6,9.0,9,6,6,0,7,10,4,0,3.47,44,169,100,2,0,1,0,37,2,1,3,0,0,1,0,4,Ramon De Jesus,K.Hendricks (5-58-L) J.Wilson (3) S.Cishek (4) C.Edwards (3)
