Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,KCR,W14-7,47,39,14,14,3,0,6,14,7,0,7,1,0,0,0,1,0,0,.359,.468,.897,1.366,6,10,L,D.Duffy (31)
2,2,Mar 31,@,KCR,W4-3,37,34,4,8,1,0,1,4,3,0,8,0,0,0,0,1,1,0,.301,.393,.644,1.037,6,11,R,I.Kennedy (63)
3,3,Apr 2,@,TOR,L2-4,35,30,2,6,1,0,2,2,3,0,10,2,0,0,0,2,1,0,.272,.370,.583,.952,6,9,L,J.Garcia (65)
4,4,Apr 3,@,TOR,L5-14,40,37,5,10,0,0,3,5,2,0,14,1,0,0,1,1,2,0,.271,.358,.564,.923,8,10,L,J.Happ (46)
5,5,Apr 4,@,TOR,W4-3,36,31,4,8,1,0,2,4,2,0,11,3,0,0,0,4,0,0,.269,.359,.550,.909,5,10,R,A.Sanchez (53)
6,6,Apr 5,,DET,L7-9,46,39,7,11,4,2,0,7,5,0,12,1,0,1,0,0,1,0,.271,.361,.538,.899,9,11,R,J.Zimmermann (23)
7,7,Apr 7,,DET,L1-6,39,34,1,8,3,0,0,1,4,0,7,0,0,1,1,1,0,0,.266,.354,.508,.862,11,9,R,M.Fulmer (57)
8,8,Apr 8,,DET,L0-1,31,28,0,3,0,0,0,0,2,0,9,1,0,0,1,2,1,1,.250,.338,.467,.805,4,9,R,M.Fiers (71)
9,9,Apr 9,,TBR,L4-5,43,35,4,9,2,0,1,4,5,0,12,1,1,1,1,0,3,0,.251,.340,.459,.799,12,11,R,C.Archer (48)
10,10,Apr 10,,TBR,L5-6,41,33,5,6,3,0,1,5,7,0,11,0,0,1,1,0,1,0,.244,.338,.450,.788,9,12,L,B.Snell (71)
11,11,Apr 11,,TBR,W2-1,35,31,2,8,1,0,1,2,2,0,9,2,0,0,1,0,0,1,.245,.338,.445,.783,9,10,R,Y.Chirinos (64)
12,12,Apr 12,@,MIN,L0-4,31,30,0,3,0,0,0,0,0,0,13,1,0,0,1,1,0,0,.234,.324,.419,.743,4,9,R,J.Berrios (82)
13,13,Apr 16,@,OAK,L1-8,33,31,1,6,0,0,1,1,1,0,8,0,1,0,0,0,1,0,.231,.317,.410,.727,5,11,R,D.Mengden (71)
14,14,Apr 17,@,OAK,L2-10,37,34,2,8,1,0,1,2,3,0,14,0,0,0,0,2,2,0,.232,.316,.406,.721,8,10,R,T.Cahill (73)
15,15,Apr 18,@,OAK,L11-12,65,58,11,17,3,0,1,11,6,0,11,1,0,0,0,1,5,0,.239,.322,.405,.726,12,11,R,A.Triggs (18)
16,16,Apr 20,,HOU,L0-10,31,28,0,2,0,0,0,0,3,0,8,0,0,0,0,0,1,1,.230,.314,.388,.701,4,10,R,J.Verlander (70)
17,17,Apr 21,,HOU,L1-10,35,31,1,4,1,0,1,1,4,0,9,0,0,0,0,0,0,0,.225,.309,.381,.690,7,11,L,D.Keuchel (64)
18,18,Apr 22,,HOU,L1-7,35,31,1,9,2,0,0,1,2,0,5,2,0,0,0,4,0,0,.228,.312,.379,.692,7,9,R,L.McCullers (54)
19,19,Apr 23,,SEA,W10-4,41,41,10,18,3,2,3,9,0,0,7,0,0,0,0,0,2,0,.241,.319,.408,.727,7,10,R,M.Leake (5)
20,20,Apr 24,,SEA,L0-1,33,32,0,5,1,0,0,0,1,0,12,0,0,0,2,1,0,2,.237,.313,.397,.711,6,10,L,M.Gonzales (69)
21,21,Apr 25,,SEA,L3-4,35,33,3,7,1,0,1,3,2,0,12,0,0,0,0,1,1,0,.236,.311,.394,.705,5,10,R,F.Hernandez (50)
22,22,Apr 26,@,KCR,W6-3,38,35,6,9,0,0,5,6,2,0,6,1,0,0,0,1,1,0,.237,.311,.408,.719,5,9,R,J.Junis (36)
23,23,Apr 27,@,KCR,W7-4,44,42,7,12,2,2,2,7,1,0,6,0,1,0,0,1,0,0,.240,.311,.417,.727,4,9,L,D.Duffy (46)
24,24,Apr 28 (1),@,KCR,W8-0,43,40,8,15,3,0,1,8,3,0,8,0,0,0,0,1,0,0,.246,.316,.422,.737,8,10,R,T.Oaks (26)
25,25,Apr 28 (2),@,KCR,L2-5,32,31,2,6,1,0,1,2,1,0,11,0,0,0,0,2,1,0,.244,.313,.418,.731,3,10,L,E.Skoglund (77)
26,26,Apr 29,@,KCR,L4-5,42,36,4,10,3,2,0,4,5,0,6,1,0,0,0,1,1,0,.246,.315,.420,.736,11,11,R,I.Kennedy (53)
27,27,May 1,@,STL,L2-3,37,33,2,6,1,0,0,2,4,0,7,0,0,0,0,0,2,0,.243,.314,.413,.727,8,14,R,M.Wacha (49)
28,28,May 2,@,STL,L2-3,34,30,2,6,1,0,0,2,3,0,7,0,0,1,0,2,1,0,.242,.312,.407,.720,5,13,R,C.Martinez (67)
29,29,May 3,,MIN,W6-5,34,30,6,7,2,0,2,5,2,0,14,1,1,0,0,0,1,2,.242,.312,.410,.722,2,9,R,J.Odorizzi (46)
30,30,May 4,,MIN,L4-6,39,36,4,9,0,1,2,4,3,0,5,0,0,0,0,0,1,0,.242,.312,.412,.724,8,10,R,J.Berrios (44)
31,31,May 5,,MIN,L4-8,36,36,4,11,4,0,2,3,0,0,11,0,0,0,0,2,1,0,.244,.312,.418,.730,5,10,R,L.Lynn (55)
32,32,May 6,,MIN,L3-5,35,30,3,5,2,0,0,2,2,0,12,0,2,1,1,0,0,0,.242,.309,.413,.722,5,9,R,K.Gibson (60)
33,33,May 8,,PIT,L6-10,38,36,6,11,1,1,2,6,2,0,10,0,0,0,0,2,0,0,.244,.310,.418,.728,5,10,R,I.Nova (24)
34,34,May 9,,PIT,L5-6,38,35,5,10,3,0,2,5,3,1,8,0,0,0,0,1,1,0,.245,.311,.421,.732,6,11,R,T.Williams (38)
35,35,May 11,@,CHC,L2-11,36,29,2,5,1,0,0,2,7,0,8,0,0,0,0,1,0,0,.244,.311,.416,.728,7,17,R,T.Chatwood (54)
36,36,May 12,@,CHC,L4-8,39,35,4,8,2,0,1,4,4,0,9,0,0,0,1,1,0,0,.243,.311,.415,.726,8,15,L,J.Lester (59)
