Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,KCR,W14-7,9.0,9,7,6,1,2,2,1,1,6.00,39,168,100,0,0,0,0,36,3,0,0,0,0,0,0,5,Brian Gorman,J.Shields (99-45-W) G.Infante (99) L.Avilan (99) J.Minaya (99) A.Bummer (99)
2,2,Mar 31,@,KCR,W4-3,9.0,6,3,3,0,5,5,0,1,4.50,38,133,76,0,0,1,0,31,0,1,0,0,1,0,1,4,Dan Iassogna,L.Giolito (99-49) D.Farquhar (99-W) N.Jones (99-H) J.Soria (99-Sv)
3,3,Apr 2,@,TOR,L2-4,8.0,4,4,4,0,4,6,3,0,4.50,32,144,90,1,1,0,0,28,0,0,0,0,0,1,1,4,Jordan Baker,R.Lopez (99-68) L.Avilan (3-H) D.Farquhar (1-BL) A.Bummer (3)
4,4,Apr 3,@,TOR,L5-14,8.0,15,14,13,1,5,6,2,1,6.88,45,167,102,3,3,0,0,38,7,1,1,0,1,1,0,4,Jerry Layne,M.Gonzalez (99-31-L) H.Santiago (99) G.Infante (4) J.Minaya (4)
5,5,Apr 4,@,TOR,W4-3,9.0,6,3,2,1,1,10,0,0,5.86,35,131,87,4,2,0,0,34,2,0,0,0,0,1,0,5,Greg Gibson,C.Fulmer (99-53) A.Bummer (1-BSv) D.Farquhar (1) N.Jones (3-W) J.Soria (3-Sv)
6,6,Apr 5,,DET,L7-9,10.0,17,9,9,0,2,6,1,0,6.28,48,198,119,2,2,1,1,45,3,0,0,0,1,1,2,7,Marvin Hudson,J.Shields (6-39) D.Farquhar (0-H) L.Avilan (2-H) N.Jones (0) J.Soria (0-BSv) G.Infante (1-L) A.Bummer (0)
7,7,Apr 7,,DET,L1-6,9.0,6,6,6,0,8,9,0,4,6.24,45,174,94,4,0,4,0,33,2,0,0,0,0,0,0,4,James Hoye,L.Giolito (6-42-L) H.Santiago (3) J.Minaya (3) G.Infante (1)
8,8,Apr 8,,DET,L0-1,9.0,2,1,0,1,5,9,0,0,5.45,33,117,72,0,0,2,1,27,0,0,0,0,1,0,0,3,Jeff Kellogg,R.Lopez (5-71-L) L.Avilan (2) B.Rondon (99)
9,9,Apr 9,,TBR,L4-5,9.0,14,5,5,0,3,7,1,0,5.40,42,179,107,2,0,3,1,39,2,1,0,0,0,0,0,6,Stu Scheurwater,M.Gonzalez (5-29-L) G.Infante (1) A.Bummer (3) D.Farquhar (3) L.Avilan (0) J.Soria (3)
10,10,Apr 10,,TBR,L5-6,9.0,11,6,5,1,10,9,1,2,5.36,47,169,93,7,0,0,2,34,0,0,0,0,1,0,1,4,Gary Cederstrom,C.Fulmer (5-38-L) H.Santiago (2) G.Infante (0) A.Bummer (0)
