Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 30,,WSN,L0-2,36,34,0,7,1,0,0,0,2,0,14,0,0,0,0,0,1,0,.206,.250,.235,.485,9,16,R,M.Scherzer (71)
2,2,Mar 31,,WSN,L7-13,42,39,7,12,1,0,3,7,2,0,11,0,0,1,1,0,0,0,.260,.295,.411,.706,8,16,R,S.Strasburg (55)
3,3,Apr 1,,WSN,L5-6,37,32,5,7,3,0,1,4,3,0,8,2,0,0,0,2,0,0,.248,.304,.410,.714,5,13,L,G.Gonzalez (64)
4,4,Apr 2,,CHC,W1-0,35,28,1,5,1,1,0,1,6,0,7,0,1,0,1,1,0,0,.233,.309,.383,.692,10,14,R,T.Chatwood (58)
5,5,Apr 5,@,PIT,L2-5,36,31,2,5,0,0,1,1,5,0,7,0,0,0,0,1,0,0,.220,.303,.360,.662,7,14,L,S.Brault (57)
6,6,Apr 6,@,PIT,L3-14,40,37,3,13,1,0,0,3,3,0,6,0,0,0,0,2,0,0,.244,.320,.363,.683,10,15,R,T.Williams (43)
7,7,Apr 7,@,PIT,W7-4,43,34,7,11,2,0,1,7,5,0,10,1,2,1,0,1,1,0,.255,.335,.379,.713,9,15,R,C.Kuhl (53)
8,8,Apr 8,@,PIT,L0-5,30,27,0,1,0,0,0,0,2,0,7,1,0,0,0,1,0,0,.233,.314,.344,.658,3,14,R,J.Taillon (90)
9,9,Apr 9,@,PHI,L5-6,41,36,5,11,1,0,1,5,5,1,11,0,0,0,0,1,3,0,.242,.323,.352,.676,9,15,R,B.Lively (36)
10,10,Apr 10,@,PHI,L1-6,32,29,1,3,0,0,0,1,3,0,8,0,0,0,0,1,2,0,.229,.312,.330,.642,4,12,R,A.Nola (75)
11,11,Apr 11,@,PHI,L3-4,47,44,3,11,2,0,0,3,1,0,13,0,2,0,1,0,1,1,.232,.307,.326,.633,8,20,R,N.Pivetta (66)
12,12,Apr 12,,STL,L4-13,38,34,4,7,2,0,0,3,4,0,9,0,0,0,0,0,1,0,.230,.305,.321,.626,7,17,R,M.Wacha (45)
13,13,Apr 13,,STL,L3-5,36,32,3,7,0,0,1,3,3,0,13,0,1,0,0,0,0,0,.229,.304,.320,.624,6,15,R,L.Weaver (62)
14,14,Apr 14,,STL,L1-6,36,33,1,7,0,0,1,1,3,0,6,0,0,0,0,1,0,0,.228,.302,.319,.621,8,14,R,M.Mikolas (67)
15,15,Apr 15,,STL,L2-3,37,31,2,5,2,0,2,2,4,0,13,2,0,0,1,2,0,0,.224,.302,.325,.627,8,14,R,C.Martinez (80)
16,16,Apr 16,@,MIL,W10-4,44,39,10,14,6,0,0,10,4,1,7,0,1,0,0,1,0,0,.233,.310,.339,.649,7,14,L,B.Suter (47)
17,17,Apr 17,@,MIL,L0-2,34,30,0,3,2,0,0,0,3,0,11,1,0,0,0,0,0,0,.226,.305,.330,.634,7,14,R,J.Guerra (71)
18,18,Apr 18,@,MIL,L0-2,35,31,0,3,1,0,0,0,3,1,5,1,0,0,2,1,0,0,.220,.299,.319,.619,8,14,R,Z.Davies (67)
19,19,Apr 20,@,STL,L2-4,35,32,2,9,1,0,0,2,2,0,5,0,0,1,0,2,0,0,.223,.300,.319,.619,6,15,R,M.Wacha (60)
20,20,Apr 21,@,STL,L3-4,40,29,3,7,0,0,0,3,6,0,7,3,2,0,0,2,0,0,.224,.306,.316,.622,10,16,R,C.Martinez (70)
21,21,Apr 22,@,STL,L2-9,33,33,2,5,1,0,0,2,0,0,8,0,0,0,1,0,0,0,.220,.299,.309,.609,4,13,R,M.Mikolas (67)
22,22,Apr 23,,ATL,W10-4,42,34,10,10,1,0,1,10,8,0,11,0,0,0,0,0,1,0,.224,.306,.314,.620,8,13,R,M.Foltynewicz (53)
23,23,Apr 24,,ATL,W9-7,49,42,9,12,1,0,3,8,4,1,7,0,2,1,1,0,2,0,.227,.308,.326,.634,7,15,R,B.McCarthy (39)
24,24,Apr 25,,ATL,L4-5,41,37,4,12,3,0,1,4,4,1,3,0,0,0,0,2,0,0,.231,.312,.333,.645,10,15,R,M.Wisler (30)
25,25,Apr 26,,ATL,L4-7,37,33,4,6,1,0,1,4,4,0,10,0,0,0,0,0,0,0,.229,.310,.332,.642,6,18,L,S.Newcomb (50)
26,26,Apr 27,@,MIN,W15-9,54,45,15,20,5,1,3,14,6,0,8,1,0,2,1,1,0,0,.240,.320,.356,.676,12,9,R,P.Hughes (36)
27,27,Apr 28,@,MIN,L1-3,37,32,1,6,2,0,1,1,5,1,4,0,0,0,0,1,0,0,.239,.319,.355,.675,9,11,R,J.Odorizzi (59)
28,28,Apr 29,@,MIN,W8-2,45,41,8,14,3,0,1,8,4,0,6,0,0,0,0,0,1,0,.243,.323,.361,.684,10,10,R,J.Berrios (30)
29,29,Apr 30,,MIL,L5-6,38,31,5,7,4,0,0,5,5,0,12,1,0,1,0,1,0,1,.242,.324,.361,.684,6,15,R,J.Chacin (35)
30,30,May 1,,MIL,L6-7,43,35,6,11,0,0,2,6,6,0,6,0,1,1,1,0,2,1,.245,.326,.365,.691,10,16,R,C.Anderson (40)
31,31,May 2,,MIL,L1-3,35,30,1,4,1,0,0,1,5,0,4,0,0,0,0,1,0,0,.242,.324,.359,.684,7,15,L,W.Miley (63)
32,32,May 4,,MIA,W4-1,37,30,4,7,2,0,2,4,7,0,6,0,0,0,0,1,0,0,.241,.326,.363,.689,9,15,L,W.Chen (34)
33,33,May 5,,MIA,L0-6,31,29,0,4,1,0,0,0,2,0,10,0,0,0,2,4,0,0,.239,.323,.358,.681,4,14,L,C.Smith (69)
34,34,May 6,,MIA,L5-8,42,36,5,9,4,0,1,5,5,0,8,0,1,0,1,0,0,0,.239,.323,.361,.684,10,17,R,D.Straily (46)
35,35,May 7,,NYM,L6-7,37,34,6,8,3,0,3,6,2,0,3,0,0,1,0,0,0,0,.239,.322,.367,.689,4,15,L,P.Conlon (40)
36,36,May 8,,NYM,W7-2,39,34,7,12,2,1,1,7,3,0,3,1,1,0,0,1,0,0,.242,.325,.373,.697,8,15,L,J.Vargas (33)
37,37,May 9,,NYM,W2-1,35,31,2,5,0,0,1,2,3,0,9,0,1,0,0,0,0,0,.240,.322,.370,.692,6,14,R,Z.Wheeler (64)
38,38,May 10,@,LAD,W4-1,37,36,4,9,2,1,1,4,0,0,9,0,1,0,1,0,0,0,.240,.321,.372,.693,6,14,R,W.Buehler (62)
39,39,May 11,@,LAD,W6-2,43,36,6,10,3,0,1,6,5,0,7,1,0,1,0,0,1,0,.241,.322,.374,.696,10,16,R,K.Maeda (29)
40,40,May 12,@,LAD,W5-3,41,40,5,13,2,0,1,5,0,0,10,0,1,0,1,0,0,0,.244,.322,.376,.698,9,14,R,R.Stripling (55)
41,41,May 13,@,LAD,W5-3,43,36,5,9,1,0,2,5,6,1,7,0,1,0,2,1,4,0,.244,.323,.378,.701,11,12,L,R.Hill (47)
42,42,May 14,@,SFG,L7-10,40,37,7,13,3,0,3,7,2,0,5,1,0,0,0,2,0,1,.247,.325,.386,.711,6,15,R,C.Stratton (32)
43,43,May 15,@,SFG,L3-5,35,32,3,7,2,0,1,3,1,0,9,1,1,0,1,1,0,1,.246,.324,.385,.709,5,15,L,T.Blach (44)
44,44,May 16,@,SFG,W6-3,37,35,6,9,1,0,2,5,1,0,7,0,1,0,0,0,0,0,.247,.323,.387,.710,4,13,L,A.Suarez (42)
45,45,May 18,,CHC,L1-8,31,28,1,2,0,0,1,1,3,0,15,0,0,0,0,1,0,0,.243,.320,.383,.703,3,13,L,J.Lester (71)
46,46,May 19 (1),,CHC,W5-4,45,36,5,8,3,0,0,5,7,1,12,0,1,1,1,1,2,0,.243,.320,.381,.702,10,18,R,K.Hendricks (45)
47,47,May 19 (2),,CHC,L0-10,32,28,0,3,0,0,0,0,4,0,10,0,0,0,0,2,0,0,.240,.319,.377,.695,5,14,L,J.Quintana (78)
48,48,May 20,,CHC,L1-6,34,29,1,3,0,0,0,1,3,0,13,2,0,0,0,1,0,0,.238,.317,.372,.689,6,14,R,Y.Darvish (68)
49,49,May 22,,PIT,W7-2,35,32,7,9,4,0,1,7,1,1,12,1,0,1,0,0,1,0,.239,.317,.374,.691,4,15,R,J.Taillon (39)
50,50,May 23,,PIT,L4-5,53,46,4,11,1,0,1,4,5,1,11,1,0,1,0,0,0,0,.239,.317,.373,.690,13,18,R,C.Kuhl (63)
51,51,May 24,,PIT,W5-4,35,32,5,8,1,0,2,5,3,0,6,0,0,0,1,1,0,0,.239,.317,.375,.692,6,14,R,I.Nova (38)
52,52,May 25,@,COL,L4-5,38,34,4,8,1,0,1,4,3,0,11,1,0,0,0,1,1,0,.239,.317,.374,.691,7,13,R,J.Gray (49)
53,53,May 26,@,COL,W6-5,39,36,6,11,0,1,2,5,3,0,4,0,0,0,0,1,0,1,.240,.318,.377,.695,6,15,L,T.Anderson (47)
54,54,May 27,@,COL,L2-8,38,33,2,9,2,0,0,1,5,0,7,0,0,0,0,2,0,0,.241,.319,.377,.695,9,16,R,G.Marquez (67)
55,55,May 28,@,ARI,L5-12,41,37,5,16,2,0,0,5,1,0,1,1,2,0,0,3,0,0,.245,.321,.379,.700,9,15,R,M.Koch (24)
56,56,May 29,@,ARI,L2-5,35,32,2,7,1,0,1,2,2,0,10,1,0,0,1,3,0,0,.244,.321,.378,.699,6,13,R,Z.Godley (57)
57,57,May 30,@,ARI,W7-4,43,39,7,12,0,0,2,7,3,0,11,0,1,0,1,1,1,0,.245,.322,.380,.701,9,15,L,P.Corbin (41)
58,58,Jun 1,@,SDP,W7-2,41,34,7,8,2,0,1,6,7,0,4,0,0,0,0,1,1,0,.245,.322,.380,.702,7,12,R,W.Lockett (34)
