Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 30,,WSN,L0-2,9.0,6,2,2,0,4,6,0,0,2.00,37,152,99,0,0,1,0,32,1,0,0,0,1,0,0,5,Jeff Kellogg,H.Bailey (99-60-L) A.Garrett (99) W.Peralta (99) K.Quackenbush (99) J.Hughes (99)
2,2,Mar 31,,WSN,L7-13,9.0,14,13,13,0,4,8,4,1,7.50,45,179,114,0,0,0,1,38,2,0,1,0,2,0,0,5,Quinn Wolcott,L.Castillo (99-36-L) A.Brice (99) J.Stephens (99) K.Quackenbush (0) J.Hughes (0)
3,3,Apr 1,,WSN,L5-6,9.0,8,6,6,0,6,6,4,1,7.00,41,151,87,0,0,2,0,34,0,0,1,0,0,0,1,4,Marvin Hudson,S.Romano (99-50-L) Y.Gallardo (99) W.Peralta (1) R.Iglesias (99)
4,4,Apr 2,,CHC,W1-0,9.0,2,0,0,0,5,11,0,1,5.25,33,141,83,2,0,0,1,27,0,1,0,0,0,0,1,4,Kerwin Danley,T.Mahle (99-75-W) J.Hughes (1-H) W.Peralta (0-H) R.Iglesias (0-Sv)
5,5,Apr 5,@,PIT,L2-5,8.0,9,5,4,1,4,4,1,0,5.11,38,127,78,2,0,0,0,33,3,1,1,0,1,1,0,4,Vic Carapazza,H.Bailey (5-31-L) K.Quackenbush (4) A.Garrett (5) A.Brice (4)
6,6,Apr 6,@,PIT,L3-14,8.0,15,14,13,1,6,5,0,1,6.58,45,173,98,2,2,2,0,38,6,1,0,0,0,1,0,4,Jordan Baker,L.Castillo (5-39-L) Y.Gallardo (4) A.Brice (0) J.Hughes (3)
7,7,Apr 7,@,PIT,W7-4,9.0,8,4,4,0,1,5,0,0,6.20,36,121,88,0,0,0,1,33,1,0,0,1,1,1,0,4,Jerry Layne,S.Romano (5-37) K.Quackenbush (1) W.Peralta (4-W) R.Iglesias (4-Sv)
8,8,Apr 8,@,PIT,L0-5,8.0,11,5,5,0,2,4,2,0,6.13,35,147,95,0,0,0,0,33,2,0,0,0,0,0,0,3,Greg Gibson,T.Mahle (5-27-L) A.Garrett (2) Y.Gallardo (1)
9,9,Apr 9,@,PHI,L5-6,8.0,6,6,4,2,4,6,3,0,5.96,35,163,94,0,0,0,0,30,1,0,0,0,1,1,0,5,Ron Kulpa,C.Reed (99-38) A.Brice (2) J.Hughes (2) W.Peralta (1) K.Quackenbush (1-L)
10,10,Apr 10,@,PHI,L1-6,8.0,6,6,6,0,2,11,1,1,6.04,34,138,87,0,0,1,0,30,3,0,1,1,0,1,0,3,Gabe Morales,H.Bailey (4-71) J.Hughes (0-L) T.Rainey (99)
11,11,Apr 11,@,PHI,L3-4,11.2,6,4,3,1,6,12,2,0,5.59,47,182,121,2,0,0,1,39,0,0,2,1,1,1,0,7,Jerry Meals,L.Castillo (4-54) A.Garrett (2) R.Iglesias (3) W.Peralta (1) J.Hughes (0) K.Quackenbush (1) A.Brice (1-L)
12,12,Apr 12,,STL,L4-13,9.0,13,13,13,0,11,8,4,1,6.22,52,220,117,6,2,0,0,39,2,0,0,0,1,1,1,7,Bill Miller,S.Romano (4-35) A.Brice (0-L) A.Garrett (0) Z.Weiss (99) T.Rainey (1) C.Reed (2) C.Pennington (99)
13,13,Apr 13,,STL,L3-5,9.0,13,5,5,0,2,9,2,0,6.12,40,133,87,1,0,1,1,38,2,0,1,0,0,2,2,4,Angel Hernandez,T.Mahle (4-35-L) K.Quackenbush (1) J.Hughes (1) W.Peralta (1)
14,14,Apr 14,,STL,L1-6,9.0,8,6,6,0,5,9,2,1,6.11,40,159,97,2,0,3,0,33,3,0,0,0,1,0,1,4,Todd Tichenor,B.Finnegan (99-31-L) A.Brice (1) D.Floro (99) R.Iglesias (2)
15,15,Apr 15,,STL,L2-3,9.0,5,3,3,0,2,6,1,0,5.90,31,111,66,0,0,0,2,29,1,0,0,0,0,0,0,3,Alan Porter,H.Bailey (4-59-L) A.Garrett (2) J.Hughes (1)
16,16,Apr 16,@,MIL,W10-4,9.0,7,4,4,0,4,11,0,0,5.78,37,146,94,3,2,0,0,33,1,0,0,0,0,0,1,5,James Hoye,L.Castillo (4-53-W) C.Reed (3) K.Quackenbush (2) W.Peralta (2) R.Iglesias (1)
17,17,Apr 17,@,MIL,L0-2,8.0,8,2,2,0,2,6,1,0,5.59,33,140,82,2,0,0,0,31,1,0,0,0,0,0,1,4,Quinn Wolcott,S.Romano (4-53-L) A.Garrett (1) D.Floro (2) C.Reed (0)
