Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,SEA,L1-2,35,30,1,5,1,0,0,1,2,0,8,2,0,0,0,2,2,0,.167,.265,.200,.465,7,10,R,F.Hernandez (66)
2,2,Mar 31,@,SEA,W6-5,37,33,6,6,1,0,2,6,4,0,8,0,0,0,0,0,0,0,.175,.268,.302,.569,4,10,L,J.Paxton (28)
3,3,Apr 1,@,SEA,L4-5,37,34,4,7,1,0,2,4,3,1,8,0,0,0,1,1,1,0,.186,.269,.340,.609,6,9,R,M.Leake (60)
4,4,Apr 2,@,LAA,W6-0,40,34,6,7,1,0,3,5,6,0,8,0,0,0,0,0,1,0,.191,.284,.382,.665,7,11,R,J.Ramirez (37)
5,5,Apr 3,@,LAA,L2-13,34,29,2,1,0,0,1,2,4,0,12,1,0,0,1,0,0,0,.163,.264,.338,.601,5,12,R,G.Richards (64)
6,6,Apr 4,@,LAA,L2-3,51,45,2,7,0,0,0,2,6,1,14,0,0,0,0,1,2,0,.161,.262,.298,.559,10,12,L,T.Skaggs (49)
7,7,Apr 6,,KCR,W3-2,34,30,3,4,2,0,0,3,4,1,3,0,0,0,1,0,1,0,.157,.258,.285,.544,7,9,L,D.Duffy (51)
8,8,Apr 7,,KCR,L0-1,33,32,0,6,1,0,0,0,1,0,10,0,0,0,0,0,2,1,.161,.253,.277,.530,6,10,R,I.Kennedy (72)
9,9,Apr 8,,KCR,W3-1,34,29,3,4,0,0,1,3,4,0,6,0,1,0,1,0,1,0,.159,.252,.274,.526,6,11,R,J.Hammel (69)
10,10,Apr 9,,DET,W2-0,31,26,2,4,1,0,1,2,5,0,7,0,0,0,0,1,0,1,.158,.255,.276,.532,5,10,L,F.Liriano (59)
11,11,Apr 10,,DET,W2-1,29,27,2,4,0,0,2,2,1,0,6,1,0,0,0,1,0,0,.158,.252,.284,.536,3,10,L,M.Boyd (70)
12,12,Apr 11,,DET,W5-1,38,34,5,10,2,0,0,5,4,0,6,0,0,0,0,0,2,0,.170,.262,.290,.552,9,11,R,J.Zimmermann (52)
