Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,SEA,L1-2,8.0,6,2,2,0,1,8,1,0,2.25,29,91,66,,,0,0,28,1,0,0,0,0,0,2,1,Sam Holbrook,C.Kluber (99-69-L)
2,2,Mar 31,@,SEA,W6-5,9.0,10,5,5,0,1,8,2,0,3.71,37,121,83,0,0,0,0,36,1,0,1,0,0,0,0,4,Alfonso Marquez,C.Carrasco (99-39-W) Z.McAllister (99-H) A.Miller (99-H) C.Allen (99-Sv)
3,3,Apr 1,@,SEA,L4-5,8.0,8,5,5,0,4,8,2,1,4.32,37,150,95,0,0,0,0,31,4,0,0,1,0,0,0,4,Jim Wolf,T.Bauer (99-53) D.Otero (99-L) T.Olson (99) N.Goody (99)
4,4,Apr 2,@,LAA,W6-0,9.0,6,0,0,0,2,7,0,2,3.18,37,155,103,1,0,0,0,33,1,0,0,0,0,0,0,5,Mark Wegner,M.Clevinger (99-63-W) T.Olson (0) N.Goody (0) Z.McAllister (1) M.Belisle (99)
5,5,Apr 3,@,LAA,L2-13,8.0,13,13,13,0,3,5,5,0,5.36,39,158,101,0,0,0,0,36,2,0,0,0,0,0,1,4,Jim Reynolds,J.Tomlin (99-11-L) D.Otero (1) M.Belisle (0) Z.McAllister (0)
6,6,Apr 4,@,LAA,L2-3,12.1,6,3,3,0,4,11,2,1,4.64,46,177,112,0,0,0,0,41,0,0,0,0,0,0,1,6,Mike DiMuro,C.Kluber (5-67) A.Miller (3) C.Allen (3) N.Goody (1) T.Olson (1) Z.McAllister (0-L)
7,7,Apr 6,,KCR,W3-2,9.0,7,2,2,0,3,9,0,0,4.26,35,143,94,0,0,0,0,31,1,0,1,1,0,0,2,4,Roberto Ortiz,C.Carrasco (5-57-W) N.Goody (1-H) A.Miller (1-H) C.Allen (1-Sv)
8,8,Apr 7,,KCR,L0-1,9.0,3,1,1,0,2,9,1,0,3.86,32,111,75,0,0,2,0,30,0,0,0,0,0,0,0,2,Will Little,T.Bauer (5-77-L) T.Olson (2)
9,9,Apr 8,,KCR,W3-1,9.0,10,1,1,0,2,8,0,0,3.54,34,134,89,0,0,0,1,32,1,1,0,0,0,0,2,3,Ted Barrett,M.Clevinger (5-56) T.Olson (0) C.Allen (1-W)
10,10,Apr 9,,DET,W2-0,9.0,2,0,0,0,1,14,0,1,3.19,30,112,78,0,0,0,0,28,0,0,0,0,0,0,1,2,Jeff Nelson,C.Kluber (4-90-W) A.Miller (2-Sv)
11,11,Apr 10,,DET,W2-1,9.0,6,1,1,0,2,7,0,1,2.99,36,155,98,1,1,1,0,33,3,0,0,0,0,0,0,6,Laz Diaz,J.Tomlin (6-60) Z.McAllister (5-H) T.Olson (1-H) D.Otero (6-BSv) A.Miller (0-W) C.Allen (1-Sv)
12,12,Apr 11,,DET,W5-1,9.0,3,1,1,0,2,6,1,0,2.82,31,110,76,,,0,1,29,1,0,0,0,0,0,0,1,Andy Fletcher,C.Carrasco (4-81-W)
13,13,Apr 12,,DET,W9-3,9.0,9,3,3,0,2,7,0,1,2.84,41,143,100,0,0,0,0,38,3,0,0,0,0,2,0,3,Manny Gonzalez,T.Bauer (4-60-W) N.Goody (5) M.Belisle (8)
14,14,Apr 13,,TOR,L4-8,9.0,7,8,7,1,3,10,1,1,3.13,40,170,105,2,1,3,0,36,4,0,0,0,0,1,0,6,Gerry Davis,M.Clevinger (4-43) D.Otero (2) Z.McAllister (2-L) A.Miller (2) M.Belisle (0) T.Olson (2)
15,15,Apr 17,@,MIN,W6-1,9.0,6,1,1,0,4,9,0,0,2.99,38,153,100,1,0,0,0,34,2,0,0,0,0,1,0,3,Cory Blaser,C.Kluber (7-64-W) A.Miller (3) C.Allen (6)
16,16,Apr 18,@,MIN,L1-2,15.0,13,2,1,1,2,15,1,0,2.75,61,233,164,0,0,1,0,59,1,0,1,0,0,1,0,9,Stu Scheurwater,C.Carrasco (6-77) A.Miller (0) Z.McAllister (4) T.Olson (4) D.Otero (4) C.Allen (0) N.Goody (5) M.Belisle (4-BSv) J.Tomlin (7-L)
17,17,Apr 20,@,BAL,L1-3,8.0,6,3,3,0,3,6,1,1,2.79,33,144,90,0,0,0,0,29,3,0,1,0,0,0,1,2,Gabe Morales,T.Bauer (7-58-L) Z.McAllister (1)
18,18,Apr 21,@,BAL,W4-0,9.0,2,0,0,0,2,3,0,0,2.64,31,107,70,,,0,0,29,0,0,0,0,0,1,1,1,Ed Hickox,M.Clevinger (7-84-W)
19,19,Apr 22,@,BAL,W7-3,9.0,6,3,3,0,0,7,2,0,2.65,32,120,82,1,0,0,0,32,1,0,0,0,0,0,1,3,John Tumpane,C.Kluber (4-57-W) A.Miller (3-H) C.Allen (3)
20,20,Apr 23,@,BAL,W2-1,9.0,7,1,1,0,2,11,0,0,2.57,34,108,77,1,0,1,0,32,1,0,1,0,0,0,0,3,Jerry Meals,C.Carrasco (4-67-W) A.Miller (0-H) C.Allen (0-Sv)
