Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,ARI,L2-8,36,33,2,9,0,0,2,2,2,0,12,0,1,0,0,2,0,0,.273,.314,.455,.769,7,15,L,P.Corbin (54)
2,2,Mar 30,@,ARI,L8-9,41,36,8,10,1,0,3,8,5,0,11,0,0,0,1,2,1,0,.275,.342,.507,.849,6,15,L,R.Ray (32)
3,3,Mar 31,@,ARI,W2-1,33,33,2,6,1,0,2,2,0,0,11,0,0,0,0,0,1,0,.245,.294,.471,.764,4,15,R,Z.Greinke (64)
4,4,Apr 2,@,SDP,W7-4,44,37,7,12,4,0,3,7,6,0,3,0,0,1,0,0,1,0,.266,.327,.525,.852,10,16,R,B.Mitchell (28)
5,5,Apr 3,@,SDP,L4-8,36,31,4,6,2,0,0,4,5,0,5,0,0,0,0,0,0,0,.253,.323,.476,.799,5,14,R,T.Ross (49)
6,6,Apr 4,@,SDP,W5-2,38,35,5,9,2,0,0,5,3,1,11,0,0,0,0,0,0,0,.254,.322,.449,.770,6,13,L,C.Richard (34)
7,7,Apr 5,@,SDP,W3-1,39,31,3,4,0,0,0,3,7,1,11,0,1,0,2,0,1,1,.237,.317,.407,.724,9,13,L,J.Lucchesi (69)
8,8,Apr 6,,ATL,L3-8,36,34,3,7,2,1,2,3,2,0,8,0,0,0,0,0,1,0,.233,.309,.419,.727,6,15,R,B.McCarthy (53)
9,9,Apr 7,,ATL,W3-2,44,37,3,10,2,0,1,3,7,1,11,0,0,0,0,0,0,1,.238,.319,.417,.736,12,17,R,A.Sanchez (49)
10,10,Apr 8,,ATL,L0-4,31,31,0,6,1,0,0,0,0,0,10,0,0,0,0,2,0,0,.234,.309,.399,.708,4,13,L,S.Newcomb (71)
11,11,Apr 9,,SDP,L6-7,38,33,6,7,1,0,3,6,5,0,8,0,0,0,0,1,0,0,.232,.309,.410,.719,5,16,L,C.Richard (41)
12,12,Apr 10,,SDP,L2-5,31,30,2,5,0,1,1,2,1,0,10,0,0,0,1,3,1,0,.227,.301,.404,.705,2,14,L,J.Lucchesi (67)
13,13,Apr 11,,SDP,W6-4,37,30,6,9,1,0,0,5,3,0,11,1,2,1,1,1,1,0,.232,.306,.399,.705,7,16,R,L.Perdomo (48)
14,14,Apr 12,@,WSN,W5-1,40,37,5,9,3,0,2,4,3,0,10,0,0,0,1,0,0,0,.233,.306,.406,.712,8,12,L,G.Gonzalez (51)
