Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,ARI,L2-8,8.0,12,8,8,0,6,11,0,0,9.00,42,169,103,5,2,2,0,36,2,1,0,0,0,0,0,5,Gary Cederstrom,J.Gray (99-39-L) C.Rusin (99) S.Oberg (99) M.Dunn (99) A.Ottavino (99)
2,2,Mar 30,@,ARI,L8-9,8.0,8,9,9,0,5,9,1,1,9.56,38,155,96,2,0,1,0,32,1,1,0,0,0,0,0,5,Eric Cooper,T.Anderson (99-18) A.Senzatela (99-L) A.Ottavino (0) J.McGee (99) B.Shaw (99)
3,3,Mar 31,@,ARI,W2-1,9.0,5,1,0,1,5,8,0,0,6.12,34,140,86,0,0,0,0,29,1,0,0,0,0,1,2,5,Cory Blaser,G.Marquez (99-57) C.Rusin (1) B.Shaw (0-W) J.McGee (0-H) W.Davis (99-Sv)
4,4,Apr 2,@,SDP,W7-4,9.0,8,4,4,0,5,8,2,1,5.56,41,156,94,1,0,0,0,35,3,1,0,0,0,0,0,6,Alfonso Marquez,C.Bettis (99-49-W) A.Ottavino (2-H) B.Shaw (1-H) J.McGee (1-H) C.Rusin (1) W.Davis (1-Sv)
5,5,Apr 3,@,SDP,L4-8,8.0,8,8,8,0,4,7,3,1,6.21,36,149,89,2,2,1,0,31,1,0,0,0,0,0,2,4,Bruce Dreckman,K.Freeland (99-46-L) S.Oberg (4-BSv) A.Senzatela (3) M.Dunn (4)
6,6,Apr 4,@,SDP,W5-2,9.0,6,2,1,1,2,7,0,1,5.29,35,124,83,1,1,0,0,32,1,0,0,0,0,0,1,4,Chad Fairchild,J.Gray (5-76-W) J.McGee (1) B.Shaw (1) W.Davis (1-Sv)
7,7,Apr 5,@,SDP,W3-1,9.0,6,1,1,0,0,8,1,0,4.65,31,123,88,1,0,0,1,31,0,0,0,0,0,0,0,3,Mike Estabrook,T.Anderson (5-68) A.Ottavino (2-W) W.Davis (0-Sv)
8,8,Apr 6,,ATL,L3-8,9.0,11,8,8,0,7,2,1,0,5.09,44,152,90,1,0,1,0,36,3,1,2,0,1,0,1,4,Nic Lentz,G.Marquez (5-18-L) M.Dunn (2) C.Rusin (3) S.Oberg (2)
9,9,Apr 7,,ATL,W3-2,10.0,8,2,2,0,4,5,0,1,4.67,40,144,80,1,0,2,0,34,2,0,0,1,0,0,3,6,Bill Welke,C.Bettis (4-58) M.Dunn (0-H) B.Shaw (2-H) J.McGee (2-H) W.Davis (1-BSv) A.Ottavino (1-W)
10,10,Apr 8,,ATL,L0-4,9.0,8,4,4,0,2,9,3,0,4.60,36,127,82,0,0,1,0,34,2,0,0,0,0,0,1,3,Tony Randazzo,K.Freeland (4-49-L) C.Rusin (1) S.Oberg (1)
11,11,Apr 9,,SDP,L6-7,9.0,13,7,7,0,1,10,2,0,4.82,40,141,94,2,0,1,0,38,2,1,1,1,0,0,1,5,Adrian Johnson,J.Gray (4-24-L) A.Senzatela (5) M.Dunn (1) B.Shaw (1) A.Ottavino (1)
12,12,Apr 10,,SDP,L2-5,9.0,10,5,5,0,3,10,2,1,4.84,39,133,87,0,0,0,0,35,2,0,0,0,0,0,1,4,Tripp Gibson,T.Anderson (4-56) B.Shaw (0-L) M.Dunn (0) S.Oberg (1)
13,13,Apr 11,,SDP,W6-4,9.0,6,4,3,1,1,13,2,1,4.70,35,125,90,0,0,0,0,33,1,0,0,0,0,0,0,5,Brian Gorman,G.Marquez (4-61) A.Senzatela (1-W) A.Ottavino (1-H) J.McGee (3-H) W.Davis (3-Sv)
14,14,Apr 12,@,WSN,W5-1,9.0,4,1,1,0,2,7,1,0,4.43,31,125,77,0,0,0,0,29,1,0,0,0,0,0,2,3,Ben May,C.Bettis (4-70-W) B.Shaw (1) J.McGee (0)
15,15,Apr 13,@,WSN,W2-1,9.0,4,1,1,0,4,10,0,0,4.20,35,167,102,2,0,0,0,30,1,0,0,0,1,0,0,6,Ron Kulpa,K.Freeland (4-53) S.Oberg (2-W) B.Shaw (0-H) M.Dunn (2-H) A.Ottavino (1-H) W.Davis (1-Sv)
16,16,Apr 14,@,WSN,L2-6,8.0,12,6,6,0,3,7,1,0,4.34,37,139,91,2,1,2,0,34,2,0,0,0,0,0,1,3,Gabe Morales,J.Gray (4-38-L) A.Senzatela (2) C.Rusin (5)
17,17,Apr 15,@,WSN,W6-5,9.0,5,5,3,2,10,10,2,1,4.26,40,173,90,6,2,1,1,28,2,0,0,1,0,0,1,6,Jerry Meals,T.Anderson (4-52) A.Senzatela (0) B.Shaw (1-BSv) J.McGee (2) A.Ottavino (1-BW) W.Davis (1-Sv)
18,18,Apr 16,@,PIT,W6-2,9.0,4,2,2,0,2,10,0,0,4.13,32,130,91,0,0,1,0,29,0,2,0,0,1,0,1,3,Dan Iassogna,G.Marquez (4-64-W) C.Rusin (1-H) A.Ottavino (0)
19,19,Apr 17,@,PIT,W2-0,9.0,5,0,0,0,2,4,0,0,3.91,32,107,67,2,0,0,0,30,1,0,0,0,0,0,1,4,Jeremie Rehak,C.Bettis (4-69-W) B.Shaw (1-H) J.McGee (1-H) W.Davis (1-Sv)
20,20,Apr 18,@,PIT,L2-10,8.0,13,10,10,0,4,8,1,0,4.24,41,189,120,2,2,0,0,36,5,0,0,0,1,0,0,4,Gerry Davis,K.Freeland (4-30-L) S.Oberg (4) A.Senzatela (2) M.Dunn (4)
21,21,Apr 20,,CHC,L5-16,9.0,18,16,15,1,5,4,2,0,4.77,49,174,108,1,1,0,0,44,4,1,0,0,0,1,2,4,Vic Carapazza,J.Gray (5-23-L) B.Shaw (2) S.Oberg (1) A.Senzatela (1)
22,22,Apr 21,,CHC,W5-2,9.0,6,2,2,0,2,7,0,0,4.64,33,120,81,0,0,0,1,31,3,0,0,0,0,0,0,4,Jordan Baker,T.Anderson (5-56-W) J.McGee (3-H) A.Ottavino (4-H) W.Davis (3-Sv)
23,23,Apr 22,,CHC,L7-9,9.0,13,9,9,0,4,15,1,2,4.83,47,182,119,5,3,0,0,40,1,0,0,1,0,0,0,7,Cory Blaser,G.Marquez (5-24-L) C.Rusin (5) B.Shaw (1) M.Dunn (3) S.Oberg (1) J.McGee (0) A.Ottavino (0)
24,24,Apr 23,,SDP,L5-13,9.0,16,13,13,0,6,9,2,0,5.18,49,208,125,4,4,2,0,43,3,0,0,0,0,0,0,5,Tom Hallion,C.Bettis (5-44) H.Musgrave (99-H) J.McGee (0-BL) S.Oberg (0) A.Senzatela (2)
25,25,Apr 24,,SDP,W8-0,9.0,4,0,0,0,2,12,0,0,4.97,32,113,74,0,0,0,0,30,1,0,0,0,0,0,1,3,Adam Hamari,K.Freeland (5-77-W) B.Shaw (1) B.Pounders (99)
26,26,Apr 25,,SDP,W5-2,9.0,4,2,2,0,4,16,0,0,4.85,33,165,102,0,0,0,2,28,1,0,0,0,1,0,0,4,Hunter Wendelstedt,J.Gray (4-76-W) B.Shaw (0) A.Ottavino (2-H) W.Davis (3)
27,27,Apr 27,@,MIA,W1-0,9.0,6,0,0,0,4,10,0,0,4.67,37,162,106,4,0,0,0,33,2,0,0,0,0,0,0,6,Chris Conroy,T.Anderson (5-52) A.Senzatela (3-W) B.Shaw (1-H) J.McGee (3-H) A.Ottavino (1-H) W.Davis (1-Sv)
28,28,Apr 28,@,MIA,L1-4,8.0,8,4,2,2,3,7,1,0,4.59,35,143,90,0,0,1,0,32,2,0,0,0,0,1,1,3,Brian O'Nora,G.Marquez (5-55-L) M.Dunn (5) B.Pounders (3)
29,29,Apr 29,@,MIA,L0-3,8.0,5,3,3,0,3,6,1,0,4.55,31,128,80,0,0,0,1,27,0,0,0,0,1,0,0,2,Fieldin Culbreth,C.Bettis (5-65-L) B.Shaw (1)
30,30,Apr 30,@,CHC,L2-3,8.0,6,3,3,0,2,7,0,0,4.52,31,117,72,0,0,0,0,29,1,1,0,0,0,1,2,2,Jeff Nelson,K.Freeland (5-57-L) A.Ottavino (2)
31,31,May 1,@,CHC,W3-1,9.0,3,1,1,0,2,9,1,0,4.40,32,128,85,0,0,0,0,30,0,1,0,0,0,0,0,3,Laz Diaz,J.Gray (5-72-W) A.Ottavino (0-H) W.Davis (3-Sv)
32,32,May 2,@,CHC,W11-2,9.0,4,2,2,0,2,10,2,0,4.32,33,122,85,0,0,0,0,31,1,0,0,0,0,1,1,3,Andy Fletcher,T.Anderson (4-71-W) J.McGee (4) H.Musgrave (8)
33,33,May 4,@,NYM,W8-7,9.0,12,7,7,0,3,12,2,0,4.41,42,179,113,1,1,1,0,39,1,1,0,0,0,1,0,5,Bruce Dreckman,G.Marquez (5-60-W) B.Shaw (4) C.Rusin (11) J.McGee (1) W.Davis (2-Sv)
34,34,May 5,@,NYM,W2-0,9.0,6,0,0,0,2,3,0,0,4.27,34,125,79,0,0,1,0,32,1,0,0,0,0,0,0,3,Mike Estabrook,C.Bettis (5-66-W) A.Ottavino (3-H) W.Davis (0-Sv)
35,35,May 6,@,NYM,W3-2,9.0,5,2,2,0,3,13,0,0,4.21,35,142,88,0,0,0,0,31,0,0,0,0,1,0,0,4,Eric Cooper,K.Freeland (5-68-W) B.Shaw (1-H) J.McGee (1-H) A.Ottavino (0-Sv)
36,36,May 8,,LAA,W4-2,9.0,6,2,2,0,2,8,1,0,4.15,34,129,77,0,0,1,0,32,0,0,0,0,0,0,1,3,Jordan Baker,J.Gray (6-76-W) A.Ottavino (1) W.Davis (2-Sv)
37,37,May 9,,LAA,L0-8,9.0,12,8,8,0,5,4,3,0,4.25,42,164,100,0,0,0,0,37,3,0,0,0,0,0,2,4,Jerry Layne,T.Anderson (6-41-L) C.Rusin (4) B.Pounders (10) M.Dunn (10)
38,38,May 10,,MIL,L2-5,9.0,12,5,5,0,5,6,1,1,4.27,42,151,91,2,0,0,1,35,2,0,0,0,1,0,1,5,Nic Lentz,G.Marquez (5-20-L) M.Dunn (0) H.Musgrave (7) B.Shaw (3) J.McGee (3)
39,39,May 11,,MIL,L10-11,10.0,17,11,11,0,6,7,2,0,4.43,50,183,109,1,1,2,0,43,4,0,0,0,1,0,2,6,Lance Barksdale,C.Bettis (5-19) C.Rusin (1-H) B.Shaw (0-H) A.Ottavino (2-H) W.Davis (2-BSv) J.McGee (0-L)
40,40,May 12,,MIL,W4-0,9.0,5,0,0,0,4,10,0,0,4.32,36,131,83,4,0,0,0,32,1,0,0,0,0,1,1,5,Will Little,K.Freeland (5-67-W) B.Shaw (0-H) M.Dunn (1-H) A.Ottavino (0) W.Davis (0)
41,41,May 13,,MIL,L3-7,9.0,13,7,7,0,2,15,2,1,4.39,43,189,120,2,2,0,0,40,4,0,0,0,0,0,0,3,Ted Barrett,J.Gray (4-33-L) H.Musgrave (2) B.Pounders (3)
