Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 30,,PIT,L10-13,62,53,10,14,7,0,0,9,9,0,9,0,0,0,2,1,0,0,.264,.371,.396,.767,13,10,R,I.Nova (48)
2,2,Apr 1 (1),,PIT,L0-1,32,26,0,2,1,0,0,0,6,0,5,0,0,0,0,2,0,1,.203,.330,.304,.634,5,9,R,T.Williams (68)
3,3,Apr 1 (2),,PIT,L6-8,41,39,6,12,4,2,1,6,2,0,9,0,0,0,0,0,0,0,.237,.333,.398,.732,8,10,R,C.Kuhl (41)
4,4,Apr 2,,KCR,W6-1,38,34,6,10,2,1,0,6,3,2,6,0,0,1,1,0,0,0,.250,.335,.401,.737,8,9,R,J.Hammel (33)
5,5,Apr 3,,KCR,L0-1,31,30,0,3,0,0,0,0,1,0,8,0,0,0,1,0,0,0,.225,.304,.352,.656,4,9,R,J.Junis (76)
6,6,Apr 5,@,CHW,W9-7,48,45,9,17,3,0,1,9,2,0,6,0,0,1,1,2,1,1,.256,.321,.383,.705,9,11,R,J.Shields (39)
7,7,Apr 7,@,CHW,W6-1,45,33,6,6,2,0,0,6,8,0,9,4,0,0,0,0,4,0,.246,.333,.365,.699,12,11,R,L.Giolito (42)
8,8,Apr 8,@,CHW,W1-0,33,27,1,2,0,0,0,1,5,0,9,0,0,1,0,0,2,1,.230,.321,.338,.659,5,9,R,R.Lopez (71)
9,9,Apr 9,@,CLE,L0-2,30,28,0,2,0,0,0,0,1,0,14,1,0,0,0,1,0,0,.216,.306,.314,.620,3,10,R,C.Kluber (90)
10,10,Apr 10,@,CLE,L1-2,36,33,1,6,3,0,0,1,2,0,7,1,0,0,0,0,1,0,.213,.301,.310,.611,8,10,R,J.Tomlin (60)
11,11,Apr 11,@,CLE,L1-5,31,29,1,3,1,0,1,1,2,0,6,0,0,0,0,0,0,1,.204,.290,.305,.595,3,10,R,C.Carrasco (81)
12,12,Apr 12,@,CLE,L3-9,41,38,3,9,3,0,0,3,2,0,7,1,0,0,2,0,0,0,.207,.291,.306,.597,11,10,R,T.Bauer (60)
13,13,Apr 13,,NYY,L6-8,39,38,6,12,3,0,2,6,0,0,11,0,0,1,0,0,0,0,.216,.292,.327,.619,6,11,L,J.Montgomery (54)
14,14,Apr 17,,BAL,W4-2,36,31,4,9,1,1,1,3,5,1,7,0,0,0,0,2,0,0,.221,.298,.337,.635,8,11,R,A.Cashner (48)
15,15,Apr 18,,BAL,W6-5,36,36,6,13,2,0,4,6,0,0,7,0,0,0,0,1,0,0,.231,.302,.365,.668,6,10,R,K.Gausman (50)
16,16,Apr 19,,BAL,W13-8,45,42,13,18,3,2,2,13,2,0,7,1,0,0,1,0,0,0,.246,.314,.393,.707,8,11,R,A.Cobb (19)
17,17,Apr 20 (1),,KCR,W3-2,34,31,3,6,3,0,1,3,2,0,4,0,0,1,0,1,1,0,.243,.310,.393,.703,3,10,R,J.Hammel (71)
18,18,Apr 20 (2),,KCR,L2-3,33,31,2,5,1,1,0,2,1,0,4,0,0,1,0,0,1,0,.239,.304,.386,.690,4,11,R,J.Junis (69)
19,19,Apr 21,,KCR,W12-4,48,39,12,16,2,0,2,12,8,0,4,0,0,1,1,1,0,0,.249,.317,.400,.716,12,10,L,D.Duffy (20)
20,20,Apr 22,,KCR,L5-8,36,32,5,8,2,0,0,5,2,0,6,1,0,1,0,2,0,0,.249,.316,.396,.712,4,9,L,E.Skoglund (44)
21,21,Apr 25 (1),@,PIT,W13-10,52,48,13,20,6,0,4,11,3,2,11,0,0,1,2,0,0,0,.260,.324,.421,.745,12,18,R,J.Taillon (16)
22,22,Apr 25 (2),@,PIT,L3-8,34,32,3,7,2,1,1,3,2,0,9,0,0,0,0,0,2,0,.258,.322,.422,.744,4,15,R,C.Kuhl (55)
23,23,Apr 26,@,PIT,L0-1,35,34,0,8,1,1,0,0,1,0,5,0,0,0,1,1,0,1,.257,.319,.418,.737,8,15,R,I.Nova (75)
24,24,Apr 27,@,BAL,L0-6,32,29,0,2,1,0,0,0,2,0,7,1,0,0,0,0,0,0,.251,.314,.407,.720,5,9,R,C.Tillman (78)
25,25,Apr 28,@,BAL,W9-5,45,41,9,13,3,0,2,9,4,1,10,0,0,0,1,0,1,0,.254,.317,.413,.730,9,9,R,A.Cashner (23)
26,26,Apr 29,@,BAL,L3-5,37,34,3,8,3,0,1,3,3,0,11,0,0,0,0,0,0,0,.253,.316,.413,.729,7,11,R,K.Gausman (56)
27,27,Apr 30,,TBR,L2-3,34,30,2,5,2,0,0,2,2,0,7,2,0,0,0,1,1,0,.250,.314,.407,.721,5,11,R,J.Faria (81)
28,28,May 1,,TBR,W2-1,32,30,2,7,2,0,0,2,2,1,7,0,0,0,0,0,0,0,.250,.313,.404,.717,6,9,R,C.Archer (57)
29,29,May 2,,TBR,W3-2,42,40,3,9,1,1,1,3,1,0,8,0,1,0,0,0,0,0,.249,.311,.403,.713,6,11,L,B.Snell (59)
30,30,May 3,@,KCR,L6-10,44,41,6,15,3,0,1,6,3,0,11,0,0,0,0,0,0,0,.253,.314,.407,.721,11,10,L,E.Skoglund (31)
31,31,May 4,@,KCR,L2-4,36,34,2,9,2,0,0,2,2,1,8,0,0,0,0,1,0,1,.254,.314,.404,.719,7,10,R,I.Kennedy (66)
32,32,May 5,@,KCR,W3-2,40,37,3,12,5,1,0,3,3,0,6,0,0,0,0,1,0,1,.256,.316,.408,.724,10,9,R,J.Hammel (46)
33,33,May 6,@,KCR,L2-4,38,36,2,10,1,0,1,2,2,0,8,0,0,0,0,1,0,0,.257,.316,.407,.723,9,10,R,J.Junis (60)
