Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,TEX,W4-1,37,30,4,6,2,0,2,4,6,0,13,0,0,1,0,2,0,0,.200,.324,.467,.791,6,9,L,C.Hamels (50)
2,2,Mar 30,@,TEX,L1-5,36,31,1,5,2,0,0,1,5,0,6,0,0,0,1,3,0,0,.180,.301,.344,.646,8,10,R,D.Fister (55)
3,3,Mar 31,@,TEX,W9-3,45,40,9,14,4,0,2,9,4,0,9,0,0,1,0,0,0,0,.248,.339,.446,.785,9,10,L,M.Moore (38)
4,4,Apr 1,@,TEX,W8-2,43,39,8,13,5,1,0,8,2,0,11,1,0,1,0,0,2,0,.271,.348,.464,.812,8,10,L,M.Minor (53)
5,5,Apr 2,,BAL,W6-1,40,33,6,11,3,1,1,6,5,0,6,1,0,1,0,0,0,1,.283,.363,.486,.849,10,10,R,C.Tillman (28)
6,6,Apr 3,,BAL,W10-6,38,32,10,10,1,0,3,10,3,0,11,2,0,1,0,0,1,0,.288,.368,.507,.876,4,12,R,M.Wright (52)
7,7,Apr 4,,BAL,W3-2,34,30,3,7,1,0,0,3,3,0,10,0,1,0,0,0,1,0,.281,.360,.477,.837,7,9,R,D.Bundy (62)
8,8,Apr 6,,SDP,L1-4,35,30,1,4,0,0,0,1,4,0,12,0,0,1,0,0,0,0,.264,.345,.438,.783,7,10,R,L.Perdomo (56)
9,9,Apr 7,,SDP,W1-0,38,32,1,6,0,0,0,1,6,0,8,0,0,0,0,2,2,0,.256,.342,.411,.753,8,10,R,B.Mitchell (58)
10,10,Apr 8,,SDP,W4-1,30,30,4,6,0,0,2,4,0,0,10,0,0,0,0,0,0,0,.251,.331,.410,.740,2,10,R,T.Ross (51)
11,11,Apr 9,@,MIN,W2-0,37,33,2,7,2,0,0,2,4,0,13,0,0,0,0,0,0,1,.247,.328,.397,.725,8,9,R,L.Lynn (66)
12,12,Apr 10,@,MIN,L1-4,37,31,1,7,0,0,0,1,5,0,5,1,0,0,0,2,0,0,.246,.330,.384,.713,9,11,R,J.Odorizzi (57)
13,13,Apr 11,@,MIN,L8-9,47,38,8,13,1,0,1,7,7,0,8,1,0,1,0,1,0,0,.254,.341,.389,.730,12,11,R,K.Gibson (29)
