Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,TEX,W4-1,9.0,6,1,1,0,2,9,0,1,1.00,34,133,83,0,0,0,0,31,1,0,0,0,0,0,1,4,Jerry Meals,J.Verlander (99-67-W) C.Devenski (99-H) B.Peacock (99) K.Giles (99)
2,2,Mar 30,@,TEX,L1-5,8.0,10,5,5,0,2,6,1,0,3.18,35,137,85,0,0,0,0,31,3,0,0,0,2,1,2,3,Ron Kulpa,D.Keuchel (99-49-L) J.Smith (99) H.Rondon (99)
3,3,Mar 31,@,TEX,W9-3,9.0,5,3,3,0,4,13,1,0,3.12,36,151,93,3,0,0,0,32,1,0,0,0,0,0,0,4,Ed Hickox,L.McCullers (99-61-W) W.Harris (99) T.Sipp (99) C.McHugh (99)
4,4,Apr 1,@,TEX,W8-2,9.0,4,2,2,0,3,12,2,0,2.83,33,134,88,0,0,0,0,30,1,0,0,0,0,0,1,3,Gabe Morales,G.Cole (99-77-W) C.Devenski (2) K.Giles (2)
5,5,Apr 2,,BAL,W6-1,9.0,6,1,1,0,2,9,1,1,2.45,36,131,80,0,0,0,0,33,2,0,0,0,0,0,0,4,Bill Welke,C.Morton (99-70-W) B.Peacock (3) W.Harris (1) C.McHugh (1)
6,6,Apr 3,,BAL,W10-6,9.0,12,6,4,2,2,13,2,0,2.72,41,155,109,1,0,1,0,38,3,0,0,0,1,1,1,5,Tony Randazzo,J.Verlander (4-51) C.Devenski (1) H.Rondon (3-BW) W.Harris (0) J.Smith (3)
7,7,Apr 4,,BAL,W3-2,9.0,8,2,1,1,4,10,0,0,2.47,39,158,102,0,0,1,0,35,1,0,0,0,0,1,1,3,Lance Barrett,D.Keuchel (4-50) H.Rondon (0) B.Peacock (1-W)
8,8,Apr 6,,SDP,L1-4,9.0,13,4,3,1,3,11,0,1,2.54,42,157,104,1,0,0,1,38,5,0,0,0,0,0,0,4,D.J. Reyburn,L.McCullers (5-47-L) T.Sipp (5) C.McHugh (3) K.Giles (4)
9,9,Apr 7,,SDP,W1-0,10.0,6,0,0,0,1,14,0,0,2.22,37,149,101,1,0,0,0,35,3,0,0,1,0,0,0,4,Sam Holbrook,G.Cole (5-78) W.Harris (3) K.Giles (0) C.Devenski (3-W)
10,10,Apr 8,,SDP,W4-1,9.0,4,1,0,1,4,9,0,1,2.00,36,135,93,0,0,1,0,31,0,0,0,0,0,1,1,4,Ryan Blakney,C.Morton (5-66-W) W.Harris (0-H) J.Smith (4-H) B.Peacock (3-Sv)
11,11,Apr 9,@,MIN,W2-0,9.0,6,0,0,0,2,10,0,0,1.82,35,149,93,4,0,0,0,33,3,0,0,0,0,0,1,4,Chad Fairchild,J.Verlander (5-77-W) B.Peacock (0-H) C.Devenski (1-H) K.Giles (1-Sv)
12,12,Apr 10,@,MIN,L1-4,8.0,8,4,4,0,7,13,0,0,2.02,39,176,107,0,0,0,0,31,1,0,0,0,1,0,0,4,Mike Estabrook,D.Keuchel (5-40-L) C.McHugh (3) H.Rondon (5) J.Smith (1)
13,13,Apr 11,@,MIN,L8-9,8.2,9,9,9,0,7,12,2,0,2.57,42,175,98,2,0,0,0,35,1,1,0,0,0,0,0,6,Alfonso Marquez,L.McCullers (4-15) J.Hoyt (99) C.Devenski (1) W.Harris (2) H.Rondon (0) B.Peacock (1-L)
14,14,Apr 13,,TEX,W3-2,9.0,6,2,2,0,1,17,2,2,2.53,36,129,93,2,0,0,0,33,0,0,0,0,0,0,0,4,Phil Cuzzi,G.Cole (5-76) W.Harris (1) J.Smith (2-W) C.Devenski (1-Sv)
15,15,Apr 14,,TEX,L5-6,10.0,11,6,6,0,3,15,4,0,2.74,43,175,109,0,0,0,0,40,2,0,1,0,0,0,1,6,Tom Hallion,C.Morton (5-63) H.Rondon (2-H) B.Peacock (2-BSv) J.Smith (0) K.Giles (4) W.Harris (0-L)
16,16,Apr 15,,TEX,L1-3,10.0,5,3,3,0,1,12,1,1,2.74,37,141,99,0,0,0,0,35,2,0,0,0,0,0,0,3,Adam Hamari,J.Verlander (5-86) C.Devenski (1) H.Rondon (0-L)
17,17,Apr 16,@,SEA,L1-2,8.0,6,2,2,0,1,6,1,0,2.71,31,96,62,,,0,0,30,3,0,0,0,0,0,0,1,Brian Gorman,D.Keuchel (5-67-L)
18,18,Apr 17,@,SEA,W4-1,9.0,3,1,1,0,1,14,1,0,2.62,30,127,88,0,0,0,0,29,0,0,0,0,0,0,0,3,Sean Barber,L.McCullers (5-81-W) W.Harris (2-H) C.Devenski (1-Sv)
19,19,Apr 18,@,SEA,W7-1,9.0,5,1,0,1,2,8,0,0,2.48,32,124,85,0,0,3,0,30,0,0,0,0,0,0,1,3,Adrian Johnson,G.Cole (4-68-W) J.Smith (3) C.McHugh (7)
20,20,Apr 19,@,SEA,W9-2,9.0,7,2,2,0,1,10,0,0,2.45,35,133,91,1,1,0,0,34,2,0,0,0,0,0,0,4,Tripp Gibson,C.Morton (4-79-W) T.Sipp (12) H.Rondon (3) B.Peacock (4)
21,21,Apr 20,@,CHW,W10-0,9.0,2,0,0,0,3,8,0,0,2.34,31,129,89,0,0,1,1,28,0,0,0,0,0,0,0,4,Laz Diaz,J.Verlander (4-70-W) J.Smith (1) C.McHugh (1) K.Giles (5)
22,22,Apr 21,@,CHW,W10-1,9.0,4,1,1,0,4,9,1,0,2.28,35,145,83,0,0,0,0,31,1,0,0,0,0,0,0,4,Andy Fletcher,D.Keuchel (4-64-W) H.Rondon (1) B.Peacock (1) T.Sipp (1)
