Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,CHW,L7-14,39,36,7,9,3,0,1,6,2,0,2,1,0,0,0,0,0,0,.250,.308,.417,.724,5,10,R,J.Shields (45)
2,2,Mar 31,,CHW,L3-4,38,31,3,6,0,1,0,3,5,0,5,1,0,1,0,1,1,0,.224,.312,.343,.655,8,10,R,L.Giolito (49)
3,3,Apr 2,@,DET,L1-6,33,30,1,5,1,1,0,1,2,0,4,0,0,1,0,0,0,1,.206,.282,.320,.601,5,10,L,F.Liriano (63)
4,4,Apr 3,@,DET,W1-0,32,30,1,5,1,0,0,1,1,0,3,0,0,1,0,1,0,0,.197,.261,.291,.552,4,9,L,M.Boyd (61)
5,5,Apr 6,@,CLE,L2-3,35,31,2,7,1,0,0,2,3,1,9,0,1,0,0,2,0,0,.203,.267,.285,.552,6,9,R,C.Carrasco (57)
6,6,Apr 7,@,CLE,W1-0,32,30,1,3,0,0,1,1,2,0,9,0,0,0,0,0,2,0,.186,.250,.271,.521,4,9,R,T.Bauer (77)
7,7,Apr 8,@,CLE,L1-3,34,32,1,10,1,1,0,1,2,0,8,0,0,0,0,2,0,1,.205,.264,.291,.555,6,9,R,M.Clevinger (56)
8,8,Apr 9,,SEA,W10-0,44,37,10,13,4,0,1,9,5,0,8,2,0,0,0,0,1,0,.226,.294,.327,.621,10,9,L,M.Gonzales (28)
9,9,Apr 10,,SEA,L3-8,36,33,3,7,3,0,1,3,2,0,9,1,0,0,0,1,0,0,.224,.292,.334,.626,6,10,R,F.Hernandez (47)
10,10,Apr 11,,SEA,L2-4,37,34,2,7,1,0,0,2,2,0,12,1,0,0,1,0,0,1,.222,.290,.324,.614,8,10,L,J.Paxton (61)
11,11,Apr 12,,LAA,L1-7,36,34,1,9,2,0,0,1,2,0,8,0,0,0,0,1,0,0,.226,.291,.324,.615,8,9,R,N.Tropeano (66)
12,12,Apr 13,,LAA,L4-5,38,35,4,11,2,0,0,3,3,0,8,0,0,0,0,2,0,1,.234,.298,.328,.626,7,10,L,A.Heaney (45)
13,13,Apr 14,,LAA,L3-5,37,32,3,6,0,0,1,2,5,0,11,0,0,0,0,1,0,0,.231,.298,.325,.623,7,9,R,G.Richards (63)
14,14,Apr 17 (1),@,TOR,L3-11,37,35,3,11,2,0,2,2,1,0,7,1,0,0,0,1,0,2,.237,.302,.341,.643,7,11,L,J.Garcia (43)
15,15,Apr 17 (2),@,TOR,L4-5,46,40,4,10,2,0,2,4,4,0,8,2,0,0,0,0,0,0,.238,.306,.350,.656,12,9,R,J.Biagini (46)
16,16,Apr 18,@,TOR,L5-15,40,36,5,8,1,0,2,5,3,0,10,1,0,0,1,0,0,0,.237,.305,.354,.660,8,9,L,J.Happ (52)
17,17,Apr 20 (1),@,DET,L2-3,42,41,2,12,0,0,1,2,1,0,7,0,0,0,0,1,0,0,.241,.306,.355,.661,10,9,R,M.Fulmer (56)
18,18,Apr 20 (2),@,DET,W3-2,40,34,3,6,1,0,1,2,6,1,11,0,0,0,2,1,0,0,.237,.305,.352,.657,10,12,L,D.Norris (56)
19,19,Apr 21,@,DET,L4-12,39,37,4,11,2,0,0,4,1,0,1,0,0,1,1,1,0,0,.241,.305,.352,.657,8,9,R,M.Fiers (35)
20,20,Apr 22,@,DET,W8-5,41,33,8,7,1,0,3,8,8,0,7,0,0,0,0,1,1,0,.239,.309,.360,.668,6,9,L,F.Liriano (54)
21,21,Apr 24,,MIL,L2-5,35,30,2,6,1,0,1,2,4,0,4,0,0,1,0,1,0,0,.238,.308,.359,.666,6,9,R,Z.Davies (55)
22,22,Apr 25,,MIL,L2-6,35,33,2,7,2,0,1,2,2,0,7,0,0,0,0,1,1,0,.237,.305,.359,.664,6,9,R,J.Chacin (55)
23,23,Apr 26,,CHW,L3-6,41,38,3,12,3,0,1,3,2,0,6,1,0,0,0,1,0,0,.240,.308,.364,.673,11,9,R,L.Giolito (49)
24,24,Apr 27,,CHW,L4-7,47,44,4,12,2,0,1,2,1,0,4,2,0,0,1,2,0,0,.242,.309,.366,.674,10,9,R,R.Lopez (43)
25,25,Apr 28 (1),,CHW,L0-8,35,32,0,6,1,0,0,0,3,0,5,0,0,0,0,1,0,0,.240,.307,.360,.667,8,9,R,C.Fulmer (69)
26,26,Apr 28 (2),,CHW,W5-2,38,31,5,8,3,0,0,5,7,0,7,0,0,0,1,0,2,1,.241,.310,.360,.670,9,9,R,D.Covey (42)
27,27,Apr 29,,CHW,W5-4,39,33,5,12,1,0,2,5,4,0,7,1,1,0,0,2,1,0,.245,.315,.368,.683,10,11,L,H.Santiago (48)
28,28,Apr 30,@,BOS,L6-10,40,35,6,9,4,0,0,6,3,0,13,2,0,0,0,1,0,0,.246,.317,.368,.685,7,10,L,E.Rodriguez (35)
29,29,May 1,@,BOS,W7-6,58,51,7,15,2,0,2,6,3,0,11,2,0,2,1,1,1,1,.248,.318,.372,.690,12,12,L,C.Sale (65)
30,30,May 2,@,BOS,L4-5,37,33,4,10,3,0,1,4,2,0,10,1,0,1,0,2,0,0,.250,.319,.376,.695,6,10,L,D.Pomeranz (45)
31,31,May 3,,DET,W10-6,40,36,10,13,2,0,3,10,3,0,4,0,0,1,0,0,0,0,.253,.322,.385,.707,6,9,R,M.Fiers (30)
32,32,May 4,,DET,W4-2,30,26,4,6,0,0,0,3,3,1,5,0,0,1,0,3,1,0,.253,.321,.382,.703,2,10,L,F.Liriano (70)
33,33,May 5,,DET,L2-3,37,34,2,5,2,0,1,1,3,0,10,0,0,0,2,0,0,0,.250,.318,.379,.697,8,9,R,J.Zimmermann (65)
34,34,May 6,,DET,W4-2,30,28,4,7,2,0,0,4,1,0,6,0,0,1,0,2,4,0,.250,.317,.378,.695,2,10,L,M.Boyd (53)
35,35,May 8,@,BAL,W15-7,48,43,15,20,0,0,5,15,3,0,6,0,0,2,0,2,0,0,.257,.323,.393,.716,6,10,R,D.Bundy (10)
36,36,May 9,@,BAL,L3-5,37,34,3,8,2,0,1,3,3,1,5,0,0,0,1,2,2,0,.257,.322,.393,.715,7,10,R,A.Cashner (49)
37,37,May 10,@,BAL,L6-11,40,34,6,10,2,0,1,6,5,0,5,0,1,0,1,3,1,0,.258,.324,.394,.718,7,10,R,C.Tillman (21)
38,38,May 11,@,CLE,W10-9,47,43,10,15,6,0,1,10,4,0,8,0,0,0,2,1,0,0,.261,.327,.400,.726,10,9,R,T.Bauer (25)
39,39,May 12,@,CLE,L2-6,33,33,2,8,3,0,0,2,0,0,7,0,0,0,0,1,0,0,.260,.325,.398,.723,4,9,R,M.Clevinger (60)
40,40,May 13,@,CLE,L2-11,37,36,2,9,1,0,0,2,1,0,7,0,0,0,1,1,0,0,.260,.323,.395,.718,8,11,R,C.Kluber (61)
41,41,May 14,,TBR,L1-2,34,31,1,6,0,1,1,1,3,0,6,0,0,0,0,2,0,0,.259,.322,.394,.716,6,10,L,R.Yarbrough (54)
42,42,May 15,,TBR,L5-6,37,35,5,11,2,0,0,5,1,0,4,0,1,0,0,1,0,0,.260,.322,.393,.716,5,9,L,A.Banda (44)
43,43,May 16,,TBR,L3-5,39,32,3,8,3,0,0,3,4,0,8,1,0,2,1,1,1,0,.260,.323,.392,.715,9,9,R,J.Faria (41)
44,44,May 18,,NYY,W5-2,36,31,5,6,2,0,1,4,5,0,7,0,0,0,1,0,3,0,.258,.322,.392,.714,7,9,L,C.Sabathia (48)
45,45,May 19,,NYY,L3-8,36,32,3,9,4,0,0,3,3,0,10,0,1,0,0,1,0,0,.259,.323,.392,.715,6,10,R,L.Severino (48)
46,46,May 20,,NYY,L1-10,32,30,1,4,0,0,0,1,1,0,7,1,0,0,0,1,0,0,.256,.320,.387,.707,4,9,R,S.Gray (74)
47,47,May 21,@,STL,L0-6,31,29,0,4,0,0,0,0,1,0,9,1,0,0,0,2,0,0,.254,.318,.382,.700,4,12,R,M.Mikolas (87)
48,48,May 22,@,STL,W5-1,40,35,5,10,1,0,2,5,4,0,9,0,1,0,0,1,0,0,.255,.319,.385,.704,8,12,R,L.Weaver (58)
49,49,May 23,@,STL,W5-2,40,35,5,8,0,0,1,5,2,1,10,0,2,1,1,0,1,0,.254,.318,.383,.701,5,16,R,M.Wacha (66)
50,50,May 24,@,TEX,W8-2,42,37,8,11,2,0,0,6,2,0,8,2,1,0,0,0,0,0,.255,.319,.383,.701,7,9,R,A.Bibens-Dirkx (42)
51,51,May 25,@,TEX,L4-8,40,37,4,10,3,0,2,4,3,0,8,0,0,0,0,0,0,0,.256,.319,.385,.704,9,9,L,M.Minor (45)
52,52,May 26,@,TEX,L3-4,38,35,3,6,2,0,0,3,3,1,5,0,0,0,0,1,0,0,.254,.317,.382,.700,5,9,R,B.Colon (57)
53,53,May 27,@,TEX,W5-3,37,34,5,9,0,0,2,5,3,0,2,0,0,0,0,2,2,0,.254,.317,.383,.701,5,9,L,C.Hamels (36)
54,54,May 28,,MIN,L5-8,44,40,5,13,4,0,1,4,3,0,8,1,0,0,0,0,0,0,.256,.319,.386,.705,12,9,R,L.Lynn (54)
55,55,May 29,,MIN,W2-1,53,49,2,9,2,0,1,2,3,0,13,1,0,0,0,1,0,0,.254,.317,.383,.700,10,9,R,K.Gibson (74)
56,56,May 30,,MIN,W11-8,42,39,11,16,2,1,3,11,2,0,6,0,0,1,0,0,2,0,.257,.319,.390,.710,7,9,R,F.Romero (5)
57,57,Jun 1,,OAK,L0-16,34,32,0,8,2,1,0,0,0,0,4,2,0,0,0,3,0,0,.257,.319,.390,.709,7,12,R,F.Montas (70)
58,58,Jun 2,,OAK,W5-4,34,29,5,8,3,1,1,5,3,0,10,2,0,0,0,1,0,2,.257,.320,.393,.712,5,9,R,T.Cahill (38)
59,59,Jun 3,,OAK,L1-5,32,29,1,3,1,0,1,1,3,0,6,0,0,0,0,1,2,0,.255,.318,.390,.708,4,9,R,D.Gossett (58)
60,60,Jun 4,@,LAA,L6-9,41,39,6,12,4,0,1,6,2,0,7,0,0,0,0,0,1,0,.256,.318,.392,.711,8,9,R,N.Tropeano (30)
61,61,Jun 5,@,LAA,L0-1,30,28,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,.253,.316,.387,.703,3,9,L,A.Heaney (88)
62,62,Jun 6,@,LAA,L3-4,38,33,3,8,1,0,0,3,5,0,13,0,0,0,0,1,0,1,.253,.316,.386,.702,8,9,R,S.Ohtani (51)
