Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,CHW,L7-14,9.0,14,14,14,0,7,7,6,1,14.00,47,183,103,6,2,0,0,39,3,0,0,0,0,0,1,9,Brian Gorman,D.Duffy (99-31-L) B.Boyer (99) B.Keller (99) J.Grimm (99) T.Hill (99) B.Smith (99) B.Flynn (99) B.Maurer (99) K.Herrera (99)
2,2,Mar 31,,CHW,L3-4,9.0,8,4,4,0,3,8,1,0,9.00,37,151,104,0,0,1,0,34,1,0,0,0,0,0,1,4,Dan Iassogna,I.Kennedy (99-63) J.Grimm (1-H) B.Maurer (1-BL) T.Hill (1)
3,3,Apr 2,@,DET,L1-6,8.0,10,6,6,0,3,6,0,0,8.31,38,143,100,0,0,0,0,34,2,1,2,0,1,1,0,4,Tom Hallion,J.Hammel (99-33-L) B.Keller (3) B.Boyer (3) K.Herrera (3)
4,4,Apr 3,@,DET,W1-0,9.0,3,0,0,0,1,8,0,0,6.17,31,104,74,1,0,0,0,30,0,0,0,0,0,1,0,3,Phil Cuzzi,J.Junis (99-76-W) J.Grimm (2-H) K.Herrera (0-Sv)
5,5,Apr 6,@,CLE,L2-3,8.0,4,3,3,0,4,3,0,0,5.65,34,128,74,1,0,1,0,30,2,0,1,0,0,1,0,3,Roberto Ortiz,D.Duffy (7-51-L) B.Keller (3) T.Hill (5)
6,6,Apr 7,@,CLE,W1-0,9.0,6,0,0,0,1,10,0,0,4.67,33,138,100,0,0,2,1,32,1,0,0,0,0,0,0,4,Will Little,I.Kennedy (6-72-W) B.Boyer (4-H) J.Grimm (3-H) K.Herrera (3-Sv)
7,7,Apr 8,@,CLE,L1-3,8.1,4,3,2,1,4,6,1,0,4.33,34,146,86,1,1,1,0,29,0,0,0,1,0,1,0,4,Ted Barrett,J.Hammel (5-69) T.Hill (1-H) J.Grimm (0-BSv) B.Maurer (7-L)
8,8,Apr 9,,SEA,W10-0,9.0,2,0,0,0,2,6,0,3,3.76,32,113,71,0,0,0,0,27,0,0,0,0,0,0,2,3,Mark Carlson,J.Junis (5-76-W) B.Maurer (0) B.Flynn (10)
9,9,Apr 10,,SEA,L3-8,9.0,9,8,8,0,5,4,1,3,4.25,43,146,90,2,2,2,1,34,4,1,1,0,1,1,1,4,Brian Knight,E.Skoglund (99-31-L) B.Boyer (2) B.Flynn (0) B.Smith (11)
10,10,Apr 11,,SEA,L2-4,9.0,6,4,3,1,4,10,1,0,4.12,36,148,93,2,0,0,0,31,1,0,0,0,1,0,1,4,Jeremie Rehak,D.Duffy (4-58) B.Keller (4) J.Grimm (2-L) T.Hill (2)
11,11,Apr 12,,LAA,L1-7,9.0,15,7,7,0,3,3,2,0,4.39,45,171,111,4,3,0,0,42,2,1,1,0,0,0,0,5,Jeff Kellogg,I.Kennedy (4-55-L) B.Boyer (1) B.Maurer (2) K.Herrera (4) B.Smith (1)
12,12,Apr 13,,LAA,L4-5,9.0,13,5,5,0,1,8,1,0,4.44,41,156,106,1,0,2,0,38,1,0,0,1,1,0,0,5,Chris Segal,J.Hammel (4-48) T.Hill (1-H) B.Keller (1-H) J.Grimm (1-BL) K.McCarthy (99)
13,13,Apr 14,,LAA,L3-5,9.0,9,5,4,1,2,11,3,0,4.41,39,166,104,2,0,0,0,36,1,0,0,0,1,1,0,3,Marvin Hudson,J.Junis (4-40-L) B.Flynn (3) B.Smith (1)
14,14,Apr 17(1),@,TOR,L3-11,8.0,13,11,7,4,3,10,2,1,4.63,41,150,102,3,3,0,0,36,3,0,1,0,1,2,0,3,Ed Hickox,E.Skoglund (6-36-L) B.Boyer (4) B.Smith (2)
15,15,Apr 17(2),@,TOR,L4-5,9.1,9,5,5,0,7,13,0,1,4.65,44,191,117,7,3,0,0,36,1,0,1,0,0,0,1,7,John Tumpane,D.Duffy (5-73) J.Grimm (3) B.Keller (3-BSv) T.Hill (3) K.McCarthy (3) K.Herrera (4) B.Flynn (2-L)
16,16,Apr 18,@,TOR,L5-15,8.0,15,15,13,2,7,9,3,1,5.22,48,182,111,2,2,0,0,40,4,1,0,0,0,2,1,5,Ron Kulpa,I.Kennedy (5-34-L) K.McCarthy (0) B.Keller (0) J.Grimm (0) B.Flynn (0)
17,17,Apr 20(1),@,DET,L2-3,9.1,6,3,3,0,2,4,1,0,5.07,34,109,68,0,0,1,0,31,3,0,0,0,1,0,1,2,Scott Barry,J.Hammel (6-71) B.Keller (1-L)
18,18,Apr 20(2),@,DET,W3-2,9.0,5,2,2,0,1,4,0,0,4.90,33,120,82,0,0,1,0,31,1,1,0,0,1,0,0,2,Carlos Torres,J.Junis (5-69-W) K.Herrera (2-Sv)
19,19,Apr 21,@,DET,L4-12,8.0,16,12,12,0,8,4,2,0,5.31,48,186,108,7,3,0,0,39,2,0,0,0,1,1,1,6,Ramon De Jesus,D.Duffy (3-20-L) T.Hill (3) K.McCarthy (2) B.Boyer (3) J.Grimm (2) B.Smith (3)
20,20,Apr 22,@,DET,W8-5,9.0,8,5,4,1,2,6,0,1,5.25,36,152,92,2,2,0,0,32,2,0,0,0,1,0,2,4,Kerwin Danley,E.Skoglund (4-44) K.McCarthy (0-BW) B.Flynn (3-H) K.Herrera (1-Sv)
