Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,OAK,L5-6,47,46,5,13,2,1,3,5,1,0,7,0,0,0,0,0,0,0,.283,.298,.565,.863,9,11,R,K.Graveman (34)
2,2,Mar 30,@,OAK,W2-1,32,32,2,6,0,0,1,1,0,0,7,0,0,0,0,1,0,0,.244,.253,.449,.702,3,10,L,S.Manaea (74)
3,3,Mar 31,@,OAK,W8-3,43,41,8,12,6,1,0,8,1,0,6,1,0,0,1,0,1,0,.261,.279,.462,.741,8,9,R,D.Mengden (37)
4,4,Apr 1,@,OAK,W7-4,40,37,7,13,4,0,0,7,2,0,3,0,0,1,0,1,0,0,.282,.302,.462,.764,6,9,R,D.Gossett (32)
5,5,Apr 2,,CLE,L0-6,37,33,0,6,1,0,0,0,2,0,7,2,0,0,0,0,0,0,.265,.296,.418,.714,10,9,R,M.Clevinger (63)
6,6,Apr 3,,CLE,W13-2,39,36,13,13,2,0,5,12,3,0,5,0,0,0,0,1,0,0,.280,.315,.484,.800,2,12,R,J.Tomlin (11)
7,7,Apr 4,,CLE,W3-2,46,41,3,6,0,0,2,3,4,0,11,1,0,0,0,1,0,0,.259,.303,.455,.758,6,13,R,C.Kluber (67)
8,8,Apr 6,,OAK,W13-9,44,38,13,14,3,0,2,10,5,2,7,1,0,0,1,1,1,0,.273,.323,.474,.797,7,11,R,D.Gossett (32)
9,9,Apr 7,,OAK,L3-7,35,33,3,7,1,0,2,3,2,0,11,0,0,0,0,1,0,0,.267,.317,.469,.786,5,10,R,A.Triggs (57)
10,10,Apr 8,,OAK,W6-1,36,30,6,7,1,0,2,6,4,0,8,1,0,1,0,1,1,0,.264,.318,.469,.787,6,10,R,K.Graveman (29)
11,11,Apr 9,@,TEX,W8-3,43,40,8,13,1,0,1,8,2,0,7,1,0,0,1,1,0,0,.270,.324,.464,.788,8,10,R,D.Fister (48)
12,12,Apr 10,@,TEX,W11-1,46,41,11,18,1,0,2,10,4,0,6,0,0,1,0,2,0,0,.286,.338,.478,.816,8,12,L,M.Perez (7)
13,13,Apr 11,@,TEX,W7-2,43,34,7,9,0,2,0,7,6,0,2,2,0,1,1,1,3,0,.284,.343,.471,.814,9,10,L,M.Moore (40)
14,14,Apr 12,@,KCR,W7-1,45,42,7,15,2,1,2,7,3,1,3,0,0,0,0,0,0,0,.290,.347,.481,.828,11,10,R,I.Kennedy (55)
15,15,Apr 13,@,KCR,W5-4,41,38,5,13,1,0,1,5,1,0,8,0,1,1,0,0,2,0,.294,.347,.479,.826,9,11,R,J.Hammel (48)
16,16,Apr 14,@,KCR,W5-3,39,36,5,9,1,0,3,5,2,0,11,0,0,1,1,0,0,0,.291,.344,.482,.825,7,9,R,J.Junis (40)
17,17,Apr 17,,BOS,L1-10,36,30,1,4,0,0,0,1,6,0,10,0,0,0,1,2,0,0,.283,.340,.465,.805,8,12,L,D.Price (59)
18,18,Apr 18,,BOS,L0-9,35,33,0,6,0,0,0,0,1,0,8,1,0,0,0,0,0,0,.278,.335,.451,.786,8,9,R,R.Porcello (66)
19,19,Apr 19,,BOS,L2-8,35,32,2,4,0,0,1,2,3,0,9,0,0,0,1,0,0,0,.271,.329,.440,.769,6,12,L,E.Rodriguez (60)
