Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,OAK,L5-6,10.1,12,6,6,0,5,11,2,0,5.23,47,198,128,4,0,0,0,42,1,1,1,0,0,0,1,7,Ted Barrett,G.Richards (99-38) B.Wood (99-H) C.Bedrosian (99-BSv) J.Alvarez (99) K.Middleton (99) J.Johnson (99) N.Ramirez (99-L)
2,2,Mar 30,@,OAK,W2-1,9.0,7,1,1,0,1,8,0,2,3.26,36,150,93,0,0,0,0,33,1,0,0,0,0,0,0,4,Lance Barksdale,T.Skaggs (99-72-W) B.Wood (0-H) K.Middleton (0-H) B.Parker (99-Sv)
3,3,Mar 31,@,OAK,W8-3,9.0,8,3,3,0,5,9,0,0,3.18,39,154,96,4,1,0,0,34,4,0,0,0,0,0,1,5,Chad Fairchild,M.Shoemaker (99-49-W) C.Bedrosian (1) J.Alvarez (1) J.Johnson (1-H) L.Bard (99)
4,4,Apr 1,@,OAK,W7-4,9.0,5,4,4,0,5,8,1,0,3.38,36,150,92,2,0,0,0,31,0,0,0,0,0,0,1,5,Will Little,S.Ohtani (99-59-W) C.Bedrosian (0) B.Wood (1) B.Parker (1) K.Middleton (1-Sv)
5,5,Apr 2,,CLE,L0-6,9.0,7,6,5,1,6,8,3,0,3.69,40,163,96,3,1,1,0,34,1,0,0,0,0,0,0,4,Mark Wegner,J.Ramirez (99-37-L) J.Alvarez (1) L.Bard (1) N.Ramirez (3)
6,6,Apr 3,,CLE,W13-2,9.0,1,2,2,0,4,12,1,1,3.42,34,138,82,1,0,0,0,29,0,0,0,0,0,1,0,4,Jim Reynolds,G.Richards (4-64-W) J.Johnson (2) B.Parker (1) B.Wood (1)
7,7,Apr 4,,CLE,W3-2,13.0,7,2,2,0,6,14,0,0,3.03,51,229,145,3,0,2,0,45,0,0,1,0,0,0,1,9,Mike DiMuro,T.Skaggs (4-49) J.Johnson (0) J.Alvarez (1) C.Bedrosian (2) K.Middleton (2) B.Wood (0) B.Parker (0) L.Bard (1) N.Ramirez (1-W)
8,8,Apr 6,,OAK,W13-9,9.0,13,9,9,0,1,5,5,0,3.72,39,156,100,1,0,0,1,37,1,0,0,0,1,0,0,7,Brian Knight,P.Bridwell (99-17) N.Ramirez (1) B.Wood (1) C.Bedrosian (1) J.Alvarez (1) J.Johnson (1-W) K.Middleton (1)
9,9,Apr 7,,OAK,L3-7,9.0,7,7,7,0,10,8,1,1,4.07,42,184,101,0,0,1,0,31,1,1,0,0,0,0,3,5,Pat Hoberg,J.Ramirez (4-36-L) A.Morris (99) L.Bard (2) B.Parker (2) N.Ramirez (0)
10,10,Apr 8,,OAK,W6-1,9.0,3,1,1,0,2,12,1,0,3.78,31,128,79,0,0,0,0,29,0,0,0,0,0,0,1,3,Gerry Davis,S.Ohtani (6-86-W) B.Wood (1) F.Pena (99)
11,11,Apr 9,@,TEX,W8-3,9.0,8,3,3,0,6,10,1,0,3.71,41,161,94,3,0,1,0,35,1,0,0,0,0,0,0,6,Angel Hernandez,G.Richards (5-52) J.Alvarez (2-W) N.Ramirez (1) J.Johnson (2) B.Parker (1) C.Bedrosian (2)
12,12,Apr 10,@,TEX,W11-1,9.0,7,1,1,0,4,10,0,0,3.49,39,166,102,0,0,0,0,35,1,0,0,0,0,1,0,3,Todd Tichenor,T.Skaggs (5-56-W) L.Bard (2) E.Paredes (99)
