Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,SFG,L0-1,36,31,0,6,0,0,0,0,5,0,10,0,0,0,0,2,2,0,.194,.306,.194,.499,9,15,L,T.Blach (61)
2,2,Mar 30,,SFG,L0-1,27,27,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,.121,.190,.121,.311,0,11,R,J.Cueto (79)
3,3,Mar 31,,SFG,W5-0,31,26,5,4,1,1,0,3,3,0,5,0,0,2,2,2,0,0,.131,.202,.167,.369,2,13,L,D.Holland (46)
4,4,Apr 1,,SFG,W9-0,37,36,9,13,3,0,1,8,0,0,7,1,0,0,0,0,0,1,.200,.252,.275,.527,4,14,R,C.Stratton (50)
5,5,Apr 2,@,ARI,L7-8,71,61,7,19,2,0,2,7,8,1,11,0,2,0,0,1,0,0,.238,.300,.331,.631,19,21,R,T.Walker (41)
6,6,Apr 3,@,ARI,L1-6,32,29,1,4,2,0,0,1,1,0,4,0,1,1,0,0,0,0,.224,.281,.314,.596,4,13,R,Z.Godley (67)
7,7,Apr 4,@,ARI,L0-3,31,28,0,1,1,0,0,0,3,0,15,0,0,0,0,0,0,0,.202,.263,.286,.549,4,12,L,P.Corbin (87)
8,8,Apr 7,@,SFG,L5-7,62,53,5,12,1,0,1,4,9,1,10,0,0,0,1,2,0,0,.206,.278,.289,.566,15,24,R,C.Stratton (48)
9,9,Apr 8,@,SFG,W2-1,41,37,2,10,2,0,0,2,4,1,5,0,0,0,0,2,1,1,.213,.285,.293,.578,9,17,L,T.Blach (58)
10,10,Apr 10,,OAK,W4-0,35,33,4,11,2,0,3,4,2,0,9,0,0,0,0,1,0,0,.224,.293,.327,.619,7,14,L,S.Manaea (49)
11,11,Apr 11,,OAK,L6-16,40,39,6,12,3,0,2,6,0,0,5,0,0,1,1,0,0,0,.233,.293,.348,.641,7,18,R,D.Mengden (44)
12,12,Apr 13,,ARI,L7-8,41,37,7,11,1,0,2,7,3,0,8,1,0,0,0,1,0,0,.238,.299,.359,.659,7,19,R,Z.Greinke (53)
13,13,Apr 14,,ARI,L1-9,36,34,1,8,3,0,0,1,2,0,5,0,0,0,0,0,0,1,.238,.298,.357,.655,8,15,R,T.Walker (45)
14,14,Apr 15,,ARI,W7-2,40,32,7,8,2,0,1,7,7,0,13,0,0,1,1,0,0,0,.239,.303,.360,.663,9,13,R,Z.Godley (28)
15,15,Apr 16,@,SDP,W10-3,43,36,10,9,2,1,2,10,7,1,11,0,0,0,2,1,0,0,.239,.308,.371,.679,6,14,L,R.Erlin (25)
16,16,Apr 17,@,SDP,W7-3,54,46,7,11,3,1,1,7,6,2,8,1,0,1,1,1,1,0,.239,.310,.374,.685,11,20,R,B.Mitchell (51)
17,17,Apr 18,@,SDP,W13-4,48,44,13,18,5,0,1,11,3,0,11,0,1,0,0,0,0,0,.251,.320,.390,.709,8,15,R,L.Perdomo (9)
18,18,Apr 20,,WSN,L2-5,38,32,2,6,1,1,0,2,4,0,12,2,0,0,0,1,0,0,.248,.319,.384,.704,9,13,R,M.Scherzer (66)
19,19,Apr 21,,WSN,W4-0,33,29,4,7,0,0,3,4,3,1,10,1,0,0,0,1,1,1,.248,.320,.391,.711,5,13,R,S.Strasburg (67)
20,20,Apr 22,,WSN,W4-3,32,26,4,5,4,0,0,4,4,0,8,1,0,1,0,0,0,2,.246,.320,.390,.709,4,15,R,J.Hellickson (53)
21,21,Apr 23,,MIA,W2-1,32,29,2,6,2,0,1,2,2,0,11,0,0,1,0,0,0,0,.244,.317,.389,.706,6,16,L,J.Garcia (66)
22,22,Apr 24,,MIA,L2-3,37,32,2,5,3,0,0,2,5,0,7,0,0,0,0,0,0,0,.241,.315,.384,.699,8,15,L,D.Peters (58)
23,23,Apr 25,,MIA,L6-8,40,36,6,9,1,1,2,6,4,0,12,0,0,0,0,0,0,0,.241,.315,.389,.704,7,17,R,T.Richards (69)
24,24,Apr 27,@,SFG,L4-6,41,33,4,8,3,0,0,4,7,0,7,0,1,0,0,0,2,1,.241,.318,.387,.704,10,16,L,D.Holland (35)
25,25,Apr 28 (1),@,SFG,W15-6,55,46,15,20,6,2,1,14,6,0,8,3,0,0,0,0,1,0,.251,.329,.404,.733,13,17,R,C.Stratton (17)
26,26,Apr 28 (2),@,SFG,L3-8,36,30,3,5,1,0,1,2,5,0,6,0,1,0,0,1,0,0,.248,.328,.400,.728,6,13,R,J.Cueto (59)
27,27,Apr 29,@,SFG,L2-4,34,33,2,8,2,0,0,2,1,0,6,0,0,0,0,1,1,0,.248,.326,.397,.723,5,14,L,T.Blach (55)
28,28,Apr 30,@,ARI,L5-8,37,33,5,7,3,1,1,5,1,0,11,2,0,1,0,0,0,0,.247,.324,.399,.723,5,17,R,Z.Greinke (65)
29,29,May 1,@,ARI,L3-4,38,30,3,4,1,0,1,3,7,1,7,1,0,0,1,2,0,0,.244,.324,.395,.719,8,14,R,M.Koch (49)
30,30,May 2,@,ARI,W2-1,34,29,2,6,2,0,0,2,3,0,6,1,0,1,0,3,0,0,.243,.323,.392,.715,5,17,R,Z.Godley (60)
31,31,May 3,@,ARI,W5-2,38,32,5,7,3,0,1,3,4,1,8,1,0,1,0,1,1,0,.242,.323,.392,.715,6,17,L,P.Corbin (65)
32,32,May 4,@,SDP,W4-0,37,34,4,9,1,1,2,4,3,0,9,0,0,0,0,1,0,0,.243,.323,.396,.719,6,15,L,J.Lucchesi (47)
33,33,May 5,@,SDP,L4-7,40,33,4,10,2,0,1,4,5,0,10,1,1,0,0,2,1,0,.244,.325,.398,.723,9,15,R,B.Mitchell (34)
34,34,May 6,@,SDP,L0-3,40,37,0,9,1,0,0,0,3,0,12,0,0,0,1,0,0,0,.244,.325,.394,.719,13,18,L,E.Lauer (62)
35,35,May 8,,ARI,L5-8,52,43,5,9,2,0,2,5,7,1,11,1,1,0,0,1,0,0,.243,.325,.394,.719,11,22,R,Z.Godley (41)
36,36,May 9,,ARI,W6-3,38,30,6,8,1,0,0,4,6,0,10,1,0,1,0,0,1,0,.244,.327,.392,.719,8,16,L,P.Corbin (60)
37,37,May 10,,CIN,L1-4,36,31,1,4,0,0,0,1,4,0,7,0,1,0,1,1,0,0,.241,.324,.385,.710,8,16,R,T.Mahle (57)
38,38,May 11,,CIN,L2-6,34,32,2,5,1,2,1,2,1,0,9,1,0,0,0,0,0,0,.239,.322,.386,.708,5,16,R,M.Harvey (62)
