Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,SFG,L0-1,9.0,8,1,1,0,2,11,1,0,1.00,36,131,92,0,0,0,0,34,2,0,0,0,0,0,1,4,Mark Wegner,C.Kershaw (99-57-L) J.Chargois (99) J.Fields (99) T.Cingrani (99)
2,2,Mar 30,,SFG,L0-1,9.0,2,1,1,0,0,5,1,0,1.00,32,102,73,0,0,0,0,31,0,0,0,1,0,4,0,2,Jim Reynolds,A.Wood (99-85) K.Jansen (99-L)
3,3,Mar 31,,SFG,W5-0,9.0,9,0,0,0,3,11,0,0,0.67,37,146,96,0,0,1,0,34,1,0,0,0,0,0,2,4,Mike DiMuro,K.Maeda (99-66-W) R.Stripling (99) P.Baez (99) S.Alexander (99)
4,4,Apr 1,,SFG,W9-0,9.0,6,0,0,0,3,7,0,0,0.50,35,126,83,0,0,1,0,31,2,0,1,1,0,0,1,4,John Tumpane,R.Hill (99-64-W) T.Cingrani (2) J.Fields (2) W.Font (99)
5,5,Apr 2,@,ARI,L7-8,14.1,14,8,8,0,10,11,1,0,1.79,63,250,150,1,0,0,1,53,4,2,1,0,0,0,2,9,Pat Hoberg,H.Ryu (99-36) P.Baez (1) S.Alexander (1-H) T.Cingrani (0-H) J.Chargois (3-H) J.Fields (0-H) K.Jansen (2-BSv) R.Stripling (1) W.Font (0-L)
6,6,Apr 3,@,ARI,L1-6,8.0,8,6,6,0,5,8,3,0,2.47,38,154,96,3,2,0,0,33,0,0,0,0,0,1,0,4,Gerry Davis,C.Kershaw (4-61-L) S.Alexander (0) P.Baez (0) Z.Neal (99)
7,7,Apr 4,@,ARI,L0-3,8.0,7,3,3,0,0,7,0,0,2.58,29,111,77,0,0,2,0,27,4,0,0,1,1,0,1,2,Mark Carlson,A.Wood (4-53-L) R.Stripling (1)
8,8,Apr 7,@,SFG,L5-7,13.0,17,7,7,0,2,18,2,0,2.95,57,243,158,2,1,2,1,55,3,0,1,0,0,0,0,10,Alfonso Marquez,R.Hill (5-44) P.Baez (3) T.Cingrani (4) K.Maeda (6) R.Stripling (2) J.Chargois (4) J.Fields (4) K.Jansen (4) S.Alexander (3) W.Font (4-BL)
9,9,Apr 8,@,SFG,W2-1,10.0,8,1,1,0,0,9,0,0,2.72,36,135,88,3,1,1,0,36,2,0,0,0,0,0,1,5,Bruce Dreckman,C.Kershaw (4-67) J.Chargois (0-BSv) T.Cingrani (0) J.Fields (0-W) K.Jansen (0-Sv)
10,10,Apr 10,,OAK,W4-0,9.0,5,0,0,0,2,11,0,0,2.47,34,152,99,2,0,0,0,32,1,0,0,0,0,0,0,4,Rob Drake,H.Ryu (7-77-W) T.Cingrani (1) R.Stripling (2) K.Jansen (1-Sv)
11,11,Apr 11,,OAK,L6-16,9.0,21,16,16,0,1,9,3,0,3.61,50,208,135,1,1,0,0,49,3,0,0,0,0,0,0,6,Mike Muchlinski,A.Wood (6-24-L) J.Chargois (2) P.Baez (3) S.Alexander (3) J.Fields (2) W.Font (3)
12,12,Apr 13,,ARI,L7-8,9.0,10,8,5,3,3,14,2,0,3.71,40,176,121,1,0,0,0,36,3,0,0,0,1,1,1,7,Dan Iassogna,K.Maeda (5-34-L) R.Stripling (2) P.Baez (1) J.Fields (1) T.Cingrani (2) J.Chargois (1) K.Jansen (2)
13,13,Apr 14,,ARI,L1-9,9.0,10,9,9,0,2,7,4,0,4.09,38,149,101,0,0,0,0,36,2,0,0,0,0,0,0,3,Adrian Johnson,R.Hill (6-28-L) S.Alexander (2) W.Font (2)
14,14,Apr 15,,ARI,W7-2,9.0,4,2,2,0,1,14,1,0,3.95,33,133,91,0,0,0,0,32,2,0,0,0,0,1,0,3,Tripp Gibson,C.Kershaw (6-81-W) P.Baez (1) R.Stripling (1)
15,15,Apr 16,@,SDP,W10-3,9.0,6,3,3,0,1,12,1,1,3.89,34,140,88,0,0,0,0,32,2,0,0,0,0,0,1,4,Carlos Torres,H.Ryu (5-67-W) T.Cingrani (2) J.Fields (2) S.Alexander (1)
16,16,Apr 17,@,SDP,W7-3,12.0,5,3,2,1,7,20,1,0,3.71,48,191,120,5,0,1,0,41,2,0,1,0,0,1,1,8,Kerwin Danley,A.Wood (5-68) T.Cingrani (0-H) J.Chargois (3-H) P.Baez (1-H) K.Jansen (3-BSv) R.Stripling (1) S.Alexander (0-W) J.Fields (0)
17,17,Apr 18,@,SDP,W13-4,9.0,8,4,4,0,3,13,0,1,3.72,39,150,107,2,0,0,0,34,1,0,0,0,1,0,0,4,Hunter Wendelstedt,K.Maeda (4-45-W) A.Liberatore (99) J.Chargois (0) W.Font (3)
18,18,Apr 20,,WSN,L2-5,9.0,10,5,5,0,3,6,0,0,3.79,39,127,88,3,0,0,0,36,3,0,0,0,0,0,1,3,Chris Segal,C.Kershaw (4-47-L) P.Baez (2) A.Liberatore (1)
19,19,Apr 21,,WSN,W4-0,9.0,2,0,0,0,4,11,0,0,3.60,33,117,77,0,0,0,0,29,0,0,0,0,0,0,0,3,Dan Bellino,H.Ryu (4-78-W) T.Cingrani (3-H) K.Jansen (3)
20,20,Apr 22,,WSN,W4-3,9.0,9,3,2,1,3,9,1,0,3.53,38,149,98,0,0,2,0,33,3,0,1,0,2,0,0,5,Phil Cuzzi,A.Wood (4-53) J.Fields (4-W) T.Cingrani (0-H) P.Baez (1-H) K.Jansen (0-Sv)
21,21,Apr 23,,MIA,W2-1,9.0,6,1,1,0,5,8,0,1,3.41,38,149,93,2,0,1,1,32,0,0,0,0,0,0,0,5,Marty Foster,W.Buehler (99-61) R.Stripling (5-H) J.Chargois (4-BSv) A.Liberatore (2-W) J.Fields (0-Sv)
22,22,Apr 24,,MIA,L2-3,9.0,8,3,3,0,1,12,1,0,3.40,36,138,91,0,0,0,0,35,3,0,0,0,0,0,0,4,Mark Ripperger,K.Maeda (5-66) D.Hudson (99) T.Cingrani (1-BSv) P.Baez (1-L)
23,23,Apr 25,,MIA,L6-8,9.0,11,8,6,2,7,15,3,0,3.50,47,199,121,1,0,1,0,40,2,0,0,0,0,2,0,6,Joe West,C.Kershaw (4-46-L) D.Hudson (0) A.Liberatore (1) J.Chargois (1) S.Alexander (7) K.Jansen (2)
24,24,Apr 27,@,SFG,L4-6,8.0,9,6,6,0,3,9,2,0,3.62,36,152,89,3,2,0,0,32,1,0,0,0,1,0,0,5,Adrian Johnson,H.Ryu (5-60) J.Fields (3-H) T.Cingrani (2-BL) P.Baez (2) S.Alexander (1)
25,25,Apr 28(1),@,SFG,W15-6,9.0,12,6,6,0,3,10,2,0,3.71,42,180,119,2,0,2,0,39,0,0,0,0,0,0,0,6,Tripp Gibson,W.Buehler (4-52-W) R.Stripling (4) P.Baez (0) A.Liberatore (2) J.Fields (0) S.Alexander (0)
26,26,Apr 28(2),@,SFG,L3-8,8.0,9,8,8,0,4,7,0,0,3.88,37,124,84,2,2,0,0,33,2,0,1,0,0,1,1,3,Brian Gorman,A.Wood (5-47-L) D.Hudson (2) J.Chargois (2)
27,27,Apr 29,@,SFG,L2-4,8.0,6,4,4,0,5,5,1,0,3.90,33,119,74,0,0,0,1,28,2,1,0,0,0,0,1,3,Dan Iassogna,K.Maeda (4-45-L) A.Liberatore (0) J.Chargois (0)
28,28,Apr 30,@,ARI,L5-8,8.0,13,8,7,1,5,6,4,1,4.03,43,157,102,3,2,0,1,37,3,0,1,0,0,1,0,5,Jerry Layne,R.Stripling (1-31-L) B.Stewart (99) D.Hudson (1) T.Cingrani (2) J.Fields (1)
29,29,May 1,@,ARI,L3-4,8.0,10,4,4,0,3,9,2,0,4.04,37,137,89,1,0,3,0,34,0,1,1,0,0,0,0,4,Greg Gibson,C.Kershaw (5-57) A.Liberatore (1-BL) J.Chargois (1) K.Jansen (5)
30,30,May 2,@,ARI,W2-1,9.0,6,1,1,0,4,11,0,0,3.94,36,147,89,0,0,1,0,32,3,0,0,0,0,0,1,6,Vic Carapazza,H.Ryu (4-53) P.Baez (3) D.Hudson (1-W) T.Cingrani (1-H) J.Fields (1-H) K.Jansen (0-Sv)
31,31,May 3,@,ARI,W5-2,9.0,6,2,1,1,2,9,0,1,3.85,36,157,96,2,0,2,0,33,0,0,0,0,0,1,1,6,Jordan Baker,A.Wood (4-61) Y.Garcia (99) E.Paredes (99) J.Chargois (1-W) R.Stripling (2-H) K.Jansen (0-Sv)
32,32,May 4,@,SDP,W4-0,9.0,0,0,0,0,5,13,0,0,3.73,31,146,93,0,0,0,0,26,0,0,0,0,0,0,0,4,John Tumpane,W.Buehler (5-77-W) T.Cingrani (1) Y.Garcia (0) A.Liberatore (2)
33,33,May 5,@,SDP,L4-7,8.0,9,7,7,0,5,10,2,0,3.84,36,148,87,3,0,0,0,30,1,1,0,0,1,0,2,4,Mark Wegner,K.Maeda (5-53) J.Fields (2-BL) A.Liberatore (0) D.Hudson (2)
34,34,May 6,@,SDP,L0-3,8.0,11,3,3,0,3,8,1,0,3.83,36,149,97,2,1,0,0,33,1,1,0,0,0,0,1,5,Alfonso Marquez,R.Stripling (2-57) T.Cingrani (1-L) P.Baez (3) Y.Garcia (1) B.Stewart (5)
35,35,May 8,,ARI,L5-8,12.0,12,8,8,0,5,11,4,0,3.91,51,196,117,0,0,0,1,45,1,0,0,1,0,0,0,8,Chris Guccione,R.Hill (23-31) J.Chargois (4) D.Hudson (2) J.Fields (2) A.Liberatore (2) K.Jansen (4) T.Cingrani (1) Y.Garcia (1-L)
36,36,May 9,,ARI,W6-3,9.0,8,3,3,0,5,7,1,0,3.88,39,157,98,2,0,0,0,34,1,0,0,0,0,0,1,5,David Rackley,A.Wood (5-54) P.Baez (2-W) J.Chargois (0-H) S.Alexander (10-H) K.Jansen (0-Sv)
37,37,May 10,,CIN,L1-4,9.0,9,4,4,0,0,9,1,0,3.89,37,139,100,0,0,0,0,36,2,1,0,1,0,1,0,4,Bill Miller,W.Buehler (5-62-L) P.Baez (0) D.Hudson (1) J.Fields (1)
38,38,May 11,,CIN,L2-6,9.0,10,6,6,0,5,7,1,1,3.94,43,174,104,1,0,1,0,36,3,0,0,0,1,0,0,4,Alan Porter,K.Maeda (5-29-L) A.Liberatore (2) S.Alexander (1) B.Stewart (4)
