Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,CHC,L4-8,40,33,4,8,2,1,0,4,6,0,7,1,0,0,0,2,0,0,.242,.375,.364,.739,9,16,L,J.Lester (31)
2,2,Mar 30,,CHC,W2-1,70,61,2,12,0,0,0,2,8,0,14,1,0,0,1,1,0,1,.213,.327,.255,.583,18,21,R,K.Hendricks (62)
3,3,Mar 31,,CHC,L6-10,42,37,6,10,0,0,1,6,3,0,7,2,0,0,0,2,0,1,.229,.336,.282,.618,6,16,R,Y.Darvish (35)
4,4,Apr 1,,CHC,W6-0,36,30,6,8,4,0,0,5,5,1,5,0,1,0,0,0,0,0,.236,.342,.304,.647,6,15,L,J.Quintana (34)
5,5,Apr 2,,BOS,L3-7,40,36,3,10,1,0,1,3,3,0,7,1,0,0,0,1,0,0,.244,.344,.320,.663,10,15,L,B.Johnson (59)
6,6,Apr 3,,BOS,L2-4,49,45,2,9,2,0,0,2,4,0,16,0,0,0,0,1,2,0,.236,.330,.306,.635,8,17,L,C.Sale (59)
7,7,Apr 5,@,PHI,L0-5,31,31,0,4,1,0,0,0,0,0,12,0,0,0,1,1,0,0,.223,.309,.289,.599,4,13,R,N.Pivetta (70)
8,8,Apr 7,@,PHI,L1-20,33,32,1,5,1,0,0,0,1,0,10,0,0,0,0,0,0,0,.216,.297,.279,.576,5,17,R,V.Velasquez (65)
9,9,Apr 8,@,PHI,W6-3,38,31,6,7,1,0,1,6,5,1,10,1,0,0,0,2,0,0,.217,.302,.286,.588,5,15,R,J.Arrieta (49)
10,10,Apr 9,,NYM,L2-4,39,35,2,9,2,0,0,2,3,0,9,1,0,0,1,1,1,0,.221,.305,.288,.594,10,16,R,N.Syndergaard (59)
11,11,Apr 10,,NYM,L6-8,41,36,6,11,1,0,2,6,2,1,9,1,1,1,0,0,0,0,.229,.309,.307,.616,8,16,R,J.deGrom (47)
12,12,Apr 11,,NYM,L1-4,30,28,1,2,0,0,1,1,2,0,10,0,0,0,0,1,0,0,.218,.298,.299,.597,2,17,R,Z.Wheeler (75)
13,13,Apr 13,,PIT,W7-2,38,34,7,14,0,1,1,4,2,0,4,0,1,1,0,2,1,0,.232,.308,.318,.626,7,14,R,C.Kuhl (28)
14,14,Apr 14,,PIT,L0-1,36,33,0,6,0,0,0,0,3,1,3,0,0,0,0,0,0,0,.229,.304,.309,.613,9,13,R,J.Taillon (63)
15,15,Apr 15,,PIT,L3-7,36,35,3,7,1,0,1,3,0,0,13,1,0,0,1,0,0,0,.227,.299,.309,.608,6,14,R,I.Nova (59)
16,16,Apr 16,@,NYY,L1-12,37,33,1,5,1,0,0,1,4,0,13,0,0,0,1,0,0,0,.223,.296,.302,.598,9,10,R,L.Severino (77)
17,17,Apr 17,@,NYY,W9-1,40,35,9,10,1,0,1,8,3,0,11,1,0,1,2,3,0,0,.226,.299,.307,.607,4,11,R,M.Tanaka (32)
18,18,Apr 19,@,MIL,L3-12,34,30,3,5,0,0,2,3,3,0,6,1,0,0,0,2,0,0,.224,.297,.310,.608,4,15,R,C.Anderson (47)
19,19,Apr 20,@,MIL,L0-8,37,33,0,6,0,0,0,0,4,0,10,0,0,0,0,0,0,0,.222,.296,.304,.600,10,16,R,J.Chacin (66)
20,20,Apr 21,@,MIL,L5-6,36,34,5,9,1,0,2,5,1,0,8,1,0,0,0,1,0,0,.224,.297,.312,.608,4,16,L,B.Suter (34)
21,21,Apr 22,@,MIL,L2-4,35,30,2,6,1,0,0,2,2,0,11,1,1,0,0,1,0,0,.223,.296,.309,.604,6,14,R,J.Guerra (58)
22,22,Apr 23,@,LAD,L1-2,38,32,1,6,0,0,0,1,5,0,8,1,0,0,0,0,1,1,.221,.296,.304,.600,10,14,R,W.Buehler (61)
23,23,Apr 24,@,LAD,W3-2,36,35,3,8,3,0,1,3,1,0,12,0,0,0,0,0,0,0,.222,.295,.308,.602,6,16,R,K.Maeda (66)
24,24,Apr 25,@,LAD,W8-6,47,40,8,11,2,0,3,6,7,0,15,0,0,0,2,0,1,0,.224,.299,.319,.618,12,14,L,C.Kershaw (46)
25,25,Apr 27,,COL,L0-1,37,33,0,6,2,0,0,0,4,0,10,0,0,0,0,0,0,0,.222,.298,.317,.614,10,14,L,T.Anderson (52)
26,26,Apr 28,,COL,W4-1,35,32,4,8,2,0,1,4,3,0,7,0,0,0,1,1,1,0,.223,.299,.320,.618,7,15,R,G.Marquez (55)
27,27,Apr 29,,COL,W3-0,31,27,3,5,0,0,1,3,3,0,6,0,0,1,0,0,0,1,.222,.297,.319,.616,4,12,R,C.Bettis (65)
28,28,Apr 30,,PHI,W8-4,37,35,8,13,5,0,1,8,2,0,6,0,0,0,0,1,1,1,.228,.301,.329,.630,5,16,R,J.Arrieta (21)
29,29,May 1,,PHI,W2-1,35,34,2,7,1,1,1,2,1,1,8,0,0,0,0,0,0,0,.227,.299,.331,.630,5,16,R,Z.Eflin (66)
30,30,May 2,,PHI,L0-6,30,29,0,5,0,0,0,0,1,0,7,0,0,0,0,1,0,1,.225,.296,.327,.623,3,14,R,A.Nola (76)
31,31,May 4,@,CIN,L1-4,33,29,1,5,0,0,1,1,3,0,4,1,0,0,0,3,0,0,.224,.295,.325,.621,5,14,R,S.Romano (58)
32,32,May 5,@,CIN,W6-0,36,34,6,8,1,0,2,6,0,0,8,1,1,0,1,0,0,0,.224,.294,.329,.623,3,15,R,T.Mahle (54)
33,33,May 6,@,CIN,W8-5,47,38,8,10,2,0,0,8,7,2,13,1,0,1,1,0,0,0,.226,.298,.328,.626,12,17,L,B.Finnegan (35)
34,34,May 7,@,CHC,L2-14,31,30,2,6,2,0,0,2,0,0,4,0,1,0,0,1,0,0,.225,.295,.327,.622,2,14,R,K.Hendricks (65)
35,35,May 8,@,CHC,L3-4,35,32,3,6,2,0,1,3,2,0,10,1,0,0,0,0,0,0,.224,.294,.327,.622,5,13,R,J.Tseng (39)
36,36,May 9,@,CHC,L4-13,38,34,4,8,0,1,2,4,4,0,7,0,0,0,0,0,0,1,.224,.295,.331,.626,7,14,L,J.Quintana (61)
37,37,May 10,,ATL,L2-9,37,32,2,5,0,0,1,2,4,0,7,0,1,0,1,0,0,0,.223,.294,.329,.623,8,15,R,M.Foltynewicz (61)
38,38,May 11,,ATL,W6-3,37,34,6,14,2,0,2,6,3,0,4,0,0,0,0,2,1,0,.228,.298,.337,.636,7,16,R,B.McCarthy (22)
39,39,May 12,,ATL,L5-10,39,37,5,10,4,0,0,4,2,0,10,0,0,0,1,1,0,0,.229,.298,.339,.637,7,15,R,M.Soroka (42)
40,40,May 13,,ATL,L3-4,36,30,3,4,1,0,1,3,4,0,10,1,1,0,1,1,0,0,.227,.297,.337,.634,6,15,L,S.Newcomb (72)
41,41,May 15,,LAD,W4-2,34,31,4,12,2,0,0,3,1,0,6,0,1,1,0,1,0,0,.230,.299,.340,.639,6,15,L,A.Wood (53)
42,42,May 16,,LAD,W6-5,40,34,6,11,2,0,2,6,4,1,9,1,0,1,1,0,0,0,.232,.302,.345,.647,10,16,R,W.Buehler (40)
43,43,May 17,,LAD,L0-7,31,31,0,4,1,0,0,0,0,0,11,0,0,0,0,0,0,0,.230,.299,.341,.640,4,15,R,K.Maeda (86)
