Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,CHC,L4-8,9.0,9,8,7,1,5,10,3,3,7.00,44,163,99,2,2,1,0,35,4,0,2,0,0,0,1,5,Larry Vanover,J.Urena (99-28-L) C.O'Grady (99) T.Guerrero (99) D.Steckenrider (99) J.Tazawa (99)
2,2,Mar 30,,CHC,W2-1,17.0,8,1,1,0,8,20,1,1,2.77,67,259,167,1,0,0,0,58,2,0,1,0,0,0,1,8,Hunter Wendelstedt,C.Smith (99-61) J.Turner (99) D.Steckenrider (0) K.Barraclough (99) B.Ziegler (99) J.Garcia (99) C.O'Grady (0) O.Despaigne (99-W)
3,3,Mar 31,,CHC,L6-10,10.0,13,10,9,1,5,11,1,0,4.25,48,185,115,1,0,0,0,41,4,0,0,1,1,0,1,5,Chris Guccione,O.Despaigne (0-41) J.Turner (0) J.Tazawa (1) B.Ziegler (0-L) C.O'Grady (0)
4,4,Apr 1,,CHC,W6-0,9.0,8,0,0,0,1,6,0,1,3.40,37,131,84,0,0,0,0,35,2,0,0,0,0,0,0,4,Carlos Torres,D.Peters (99-61-W) D.Steckenrider (1) T.Guerrero (2) K.Barraclough (1)
5,5,Apr 2,,BOS,L3-7,9.0,12,7,7,0,3,6,2,0,4.00,41,159,97,1,0,1,1,38,3,0,0,0,0,0,0,4,Jerry Meals,T.Richards (99-31-L) J.Tazawa (1) C.O'Grady (1) J.Turner (1)
6,6,Apr 3,,BOS,L2-4,13.0,12,4,4,0,2,9,0,0,3.76,50,196,130,0,0,1,1,48,4,0,1,0,0,0,2,6,Ben May,J.Urena (4-71) D.Steckenrider (1) K.Barraclough (1) B.Ziegler (2) O.Despaigne (2) T.Guerrero (1-L)
7,7,Apr 5,@,PHI,L0-5,8.0,6,5,5,0,9,9,1,0,3.96,39,177,105,0,0,4,1,30,0,1,2,0,0,1,0,3,Paul Nauert,C.Smith (5-41-L) J.Garcia (5) T.Guerrero (1)
8,8,Apr 7,@,PHI,L1-20,8.0,20,20,20,0,6,11,4,0,5.75,49,200,127,3,0,0,0,42,4,0,0,0,1,0,1,6,Scott Barry,D.Peters (5-4-L) J.Turner (4) C.O'Grady (4) T.Guerrero (1) J.Tazawa (4) B.Holaday (99)
9,9,Apr 8,@,PHI,W6-3,9.0,7,3,3,0,4,5,0,0,5.48,36,153,92,0,0,0,2,31,3,0,0,0,1,0,0,5,Carlos Torres,T.Richards (5-37) C.O'Grady (0) O.Despaigne (4-W) D.Steckenrider (4-H) B.Ziegler (4-Sv)
10,10,Apr 9,,NYM,L2-4,9.0,6,4,3,1,5,9,0,0,5.26,36,155,88,1,1,0,1,31,1,0,0,0,0,1,1,5,Jim Wolf,J.Urena (5-48-L) J.Tazawa (1) K.Barraclough (5) O.Despaigne (0) T.Guerrero (1)
