Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,SDP,W2-1,45,42,2,10,2,0,0,2,2,0,9,1,0,0,0,3,1,1,.238,.289,.286,.575,7,19,L,C.Richard (64)
2,2,Mar 30,@,SDP,W8-6,40,37,8,11,4,0,1,8,1,0,4,0,1,1,2,1,1,0,.266,.298,.380,.677,5,16,L,J.Lucchesi (39)
3,3,Mar 31,@,SDP,W7-3,45,39,7,12,3,0,0,7,6,1,9,0,0,0,0,0,3,0,.280,.333,.381,.715,11,15,R,L.Perdomo (31)
4,4,Apr 2,,STL,L4-8,36,35,4,8,2,0,3,4,1,0,9,0,0,0,1,1,0,0,.268,.315,.418,.733,5,13,R,M.Mikolas (44)
5,5,Apr 3,,STL,W5-4,39,37,5,12,2,0,2,5,2,0,13,0,0,0,0,0,0,0,.279,.324,.442,.766,8,16,R,J.Flaherty (59)
6,6,Apr 4,,STL,L0-6,34,31,0,5,0,0,0,0,2,0,10,1,0,0,1,2,1,0,.262,.311,.403,.714,7,14,R,C.Martinez (83)
7,7,Apr 5,,CHC,L0-8,32,30,0,4,2,0,0,0,1,0,11,1,0,0,0,0,1,1,.247,.296,.378,.675,5,16,L,J.Lester (71)
8,8,Apr 6,,CHC,W5-4,44,37,5,12,1,0,2,5,6,0,8,0,1,0,1,0,0,0,.257,.313,.396,.709,14,15,R,K.Hendricks (33)
9,9,Apr 7,,CHC,L2-5,33,30,2,4,1,0,1,2,1,0,13,1,0,1,0,0,0,0,.245,.301,.384,.684,4,15,R,Y.Darvish (72)
10,10,Apr 8,,CHC,L0-3,31,29,0,3,1,0,0,0,2,0,9,0,0,0,0,0,0,1,.233,.289,.363,.652,4,13,L,J.Quintana (70)
11,11,Apr 9,@,STL,W5-4,46,40,5,11,4,0,0,5,5,1,6,0,1,0,0,0,0,0,.238,.296,.364,.661,11,17,R,M.Mikolas (46)
12,12,Apr 10,@,STL,L3-5,49,43,3,11,1,0,1,3,5,1,10,1,0,0,0,1,0,0,.240,.301,.363,.664,13,18,R,C.Martinez (58)
13,13,Apr 11,@,STL,W3-2,34,33,3,8,2,0,2,3,1,0,5,0,0,0,0,2,0,0,.240,.299,.371,.671,4,13,R,A.Wainwright (53)
14,14,Apr 13,@,NYM,L5-6,38,34,5,10,1,0,3,5,2,0,6,1,1,0,1,2,1,0,.243,.303,.386,.689,6,15,L,S.Matz (51)
15,15,Apr 14,@,NYM,W5-1,37,35,5,9,1,0,3,5,1,0,13,0,1,0,0,0,1,0,.244,.301,.397,.698,5,13,R,M.Harvey (40)
16,16,Apr 15,@,NYM,L2-3,38,33,2,4,0,0,0,0,5,0,16,0,0,0,2,0,2,0,.237,.297,.381,.678,9,16,R,N.Syndergaard (72)
17,17,Apr 16,,CIN,L4-10,37,33,4,7,1,0,0,3,4,0,11,0,0,0,0,1,0,0,.236,.297,.373,.670,6,14,R,L.Castillo (53)
18,18,Apr 17,,CIN,W2-0,33,31,2,8,1,0,1,2,2,0,6,0,0,0,0,1,0,0,.237,.297,.374,.671,7,14,R,S.Romano (53)
19,19,Apr 18,,CIN,W2-0,35,29,2,8,0,0,1,2,5,1,8,0,1,0,0,2,1,0,.239,.301,.374,.675,9,12,R,T.Mahle (47)
20,20,Apr 19,,MIA,W12-3,43,36,12,13,5,0,3,10,7,1,6,0,0,0,1,1,0,1,.245,.311,.393,.704,7,16,L,D.Peters (41)
21,21,Apr 20,,MIA,W8-0,43,33,8,10,2,1,2,7,8,0,14,2,0,0,0,0,1,0,.248,.319,.403,.722,11,14,R,T.Richards (28)
22,22,Apr 21,,MIA,W6-5,34,29,6,7,1,0,2,5,4,0,5,0,0,1,2,1,0,1,.247,.319,.406,.725,4,16,R,J.Urena (44)
23,23,Apr 22,,MIA,W4-2,33,29,4,4,0,0,1,3,4,1,14,0,0,0,1,0,1,0,.243,.316,.400,.716,5,15,L,C.Smith (70)
24,24,Apr 24,@,KCR,W5-2,39,34,5,12,0,0,2,5,4,0,3,0,1,0,0,2,1,1,.248,.321,.405,.726,7,10,R,I.Kennedy (30)
25,25,Apr 25,@,KCR,W6-2,40,35,6,8,2,0,0,5,3,0,3,0,0,2,2,0,0,0,.247,.319,.400,.719,7,9,R,J.Hammel (49)
26,26,Apr 26,@,CHC,L0-1,31,31,0,6,2,0,0,0,0,0,6,0,0,0,0,1,1,1,.245,.315,.395,.710,4,11,R,K.Hendricks (74)
