Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,SDP,W2-1,12.0,6,1,1,0,6,15,0,0,0.75,45,198,123,0,0,1,1,39,0,0,1,0,0,0,2,6,Gerry Davis,C.Anderson (99-73) J.Hader (99-H) M.Albers (99-H) C.Knebel (99-BSv) J.Jeffress (99-W) J.Barnes (99-Sv)
2,2,Mar 30,@,SDP,W8-6,9.0,12,6,6,0,4,7,2,1,3.00,42,150,97,3,0,0,0,37,2,0,0,0,0,0,1,5,Mark Carlson,J.Chacin (99-29) D.Jennings (99) B.Woodruff (99) O.Drake (99-W) C.Knebel (0-Sv)
3,3,Mar 31,@,SDP,W7-3,9.0,6,3,3,0,1,8,1,0,3.00,32,128,79,0,0,0,0,31,2,1,0,0,0,0,1,4,Brian Knight,B.Suter (99-48-W) J.Hader (1-H) M.Albers (1) J.Barnes (1)
4,4,Apr 2,,STL,L4-8,9.0,13,8,7,1,1,8,2,1,3.92,40,145,91,2,2,0,2,37,1,0,0,0,1,0,0,3,James Hoye,Z.Davies (99-33-L) B.Woodruff (2) O.Drake (2)
5,5,Apr 3,,STL,W5-4,9.0,10,4,4,0,1,7,3,1,3.94,39,160,102,0,0,2,0,37,1,0,0,0,0,1,1,5,Jeff Kellogg,C.Anderson (4-35) J.Jeffress (4) J.Barnes (2) M.Albers (2) D.Jennings (3-W)
6,6,Apr 4,,STL,L0-6,9.0,9,6,3,3,4,9,1,0,3.79,39,157,92,1,0,0,0,34,2,0,0,0,1,0,1,4,Chris Segal,J.Chacin (4-40-L) O.Drake (1) J.Jeffress (0) D.Jennings (0)
7,7,Apr 5,,CHC,L0-8,9.0,13,8,7,1,4,9,1,1,4.23,47,166,108,0,0,1,0,42,2,1,2,0,0,2,0,5,Brian O'Nora,B.Suter (4-35-L) J.Barnes (1) D.Jennings (0) C.Knebel (5) H.Perez (99)
8,8,Apr 6,,CHC,W5-4,9.0,7,4,4,0,4,9,0,1,4.20,39,193,116,2,1,1,0,34,1,1,1,0,0,0,0,4,Chad Whitson,B.Woodruff (3-46) J.Hader (5) J.Jeffress (1-BSv) M.Albers (2-W)
9,9,Apr 7,,CHC,L2-5,9.0,8,5,3,2,7,9,1,0,4.07,41,166,99,3,0,0,1,33,1,1,1,1,0,1,1,6,Chris Conroy,Z.Davies (4-65) O.Drake (2) J.Jeffress (0) D.Jennings (1) J.Barnes (1-BL) J.Hoover (99)
10,10,Apr 8,,CHC,L0-3,9.0,7,3,2,1,2,8,1,1,3.87,36,146,90,0,0,0,0,32,2,1,0,1,0,1,1,3,Fieldin Culbreth,C.Anderson (4-56-L) T.Williams (99) A.Houser (99)
11,11,Apr 9,@,STL,W5-4,10.0,8,4,4,0,4,10,0,0,3.84,41,176,105,1,0,0,0,35,2,0,0,1,1,1,0,5,Lance Barrett,J.Chacin (4-40) J.Jeffress (1) J.Hader (2-H) J.Barnes (1-H) M.Albers (2-BW)
12,12,Apr 10,@,STL,L3-5,10.0,9,5,5,0,8,8,1,1,3.90,48,192,118,5,2,1,0,37,0,0,1,2,0,1,1,6,Nic Lentz,B.Suter (4-57) O.Drake (2-BSv) J.Jeffress (0) T.Williams (1) J.Barnes (0-BSv) J.Hoover (2-BL)
13,13,Apr 11,@,STL,W3-2,9.0,7,2,2,0,2,9,1,0,3.76,34,148,88,1,1,0,1,32,1,0,0,0,0,0,1,4,Bill Welke,J.Guerra (99-58-W) D.Jennings (3-H) J.Hader (1-H) M.Albers (1-Sv)
14,14,Apr 13,@,NYM,L5-6,8.0,9,6,6,0,3,9,2,0,3.95,35,155,99,2,2,0,0,31,2,1,0,0,1,1,2,4,David Rackley,Z.Davies (5-31-L) D.Jennings (1) O.Drake (2) J.Barnes (2)
15,15,Apr 14,@,NYM,W5-1,9.0,3,1,1,0,2,10,0,1,3.76,31,118,82,0,0,0,0,28,0,0,0,0,0,0,2,3,Larry Vanover,C.Anderson (5-68-W) J.Jeffress (3-H) J.Hader (2-Sv)
16,16,Apr 15,@,NYM,L2-3,8.2,7,3,3,0,6,11,2,1,3.72,41,168,99,1,0,0,0,34,1,1,2,0,0,1,0,5,Hunter Wendelstedt,J.Chacin (5-49) T.Williams (4) J.Jeffress (0) D.Jennings (1) M.Albers (3-L)
17,17,Apr 16,,CIN,L4-10,9.0,14,10,10,0,4,7,0,0,4.08,44,144,104,0,0,0,0,39,6,0,1,1,0,0,1,3,James Hoye,B.Suter (5-47-L) O.Drake (2) J.Lopez (99)
18,18,Apr 17,,CIN,W2-0,9.0,3,0,0,0,3,11,0,1,3.86,34,144,87,2,0,0,0,30,2,0,0,0,0,0,0,4,Quinn Wolcott,J.Guerra (5-71) D.Jennings (1-W) J.Jeffress (1-H) J.Hader (2-Sv)
19,19,Apr 18,,CIN,W2-0,9.0,3,0,0,0,3,5,0,1,3.66,35,127,77,2,0,0,0,31,1,0,1,0,0,2,1,3,Jeff Kellogg,Z.Davies (4-67-W) D.Jennings (0-H) J.Barnes (4-Sv)
20,20,Apr 19,,MIA,W12-3,9.0,5,3,3,0,3,6,2,1,3.63,34,150,85,1,0,0,0,30,0,0,0,0,0,0,2,5,Chad Fairchild,C.Anderson (4-47-W) J.Jeffress (1-H) T.Williams (3) O.Drake (2) M.Albers (3)
21,21,Apr 20,,MIA,W8-0,9.0,6,0,0,0,4,10,0,0,3.46,37,155,97,3,0,0,0,33,0,0,0,0,0,0,0,4,Mike Estabrook,J.Chacin (4-66-W) D.Jennings (1) T.Williams (0) O.Drake (0)
22,22,Apr 21,,MIA,W6-5,9.0,9,5,5,0,1,8,2,1,3.53,36,142,91,0,0,0,0,34,1,0,0,0,0,0,1,5,Alfonso Marquez,B.Suter (4-34) J.Barnes (2) J.Hader (3) M.Albers (1) J.Jeffress (1-W)
23,23,Apr 22,,MIA,W4-2,9.0,6,2,0,2,2,11,0,1,3.38,35,135,89,3,0,0,0,30,1,0,0,1,0,0,1,4,Bruce Dreckman,J.Guerra (4-58-W) J.Jeffress (0-H) M.Albers (0-H) J.Hader (0-Sv)
24,24,Apr 24,@,KCR,W5-2,9.0,6,2,2,0,4,4,1,0,3.32,35,143,86,0,0,0,0,30,1,0,0,0,1,0,1,4,Mark Wegner,Z.Davies (5-55-W) M.Albers (1-H) D.Jennings (3-H) J.Jeffress (1)
25,25,Apr 25,@,KCR,W6-2,9.0,7,2,2,0,2,7,1,0,3.27,35,121,78,3,0,1,0,33,2,0,0,0,0,0,1,5,Jim Reynolds,J.Chacin (4-55-W) D.Jennings (0-H) J.Barnes (3-H) J.Hader (2-H) T.Williams (4)
26,26,Apr 26,@,CHC,L0-1,8.0,7,1,1,0,1,3,1,0,3.19,29,95,68,0,0,0,2,28,0,0,0,0,0,0,1,2,Cory Blaser,C.Anderson (6-64-L) J.Barnes (0)
27,27,Apr 27,@,CHC,L2-3,8.0,7,3,2,1,1,6,0,0,3.16,33,148,96,2,1,1,0,30,2,0,0,2,0,1,0,5,Stu Scheurwater,B.Suter (5-51) T.Williams (1) D.Jennings (1-L) J.Jeffress (2) O.Drake (6)
28,28,Apr 28,@,CHC,L0-3,8.0,6,3,3,0,2,9,0,1,3.17,33,132,91,0,0,1,0,28,2,0,0,2,0,0,0,3,Eric Cooper,J.Guerra (5-66-L) O.Drake (0) B.Woodruff (21)
29,29,Apr 29,@,CHC,L0-2,8.0,5,2,2,0,2,5,0,1,3.14,32,119,78,2,0,0,0,28,1,1,1,0,1,0,0,4,Gary Cederstrom,Z.Davies (4-52-L) D.Jennings (1) M.Albers (4) T.Williams (1)
30,30,Apr 30,@,CIN,W6-5,9.0,7,5,5,0,5,12,0,1,3.20,38,135,83,4,2,0,1,31,4,0,0,0,1,0,1,5,Rob Drake,J.Chacin (4-35) D.Jennings (0) J.Barnes (3) B.Woodruff (1-W) J.Hader (4-Sv)
31,31,May 1,@,CIN,W7-6,9.0,11,6,5,1,6,6,2,0,3.26,43,143,80,3,1,2,1,35,0,0,0,1,1,1,0,4,Mike Muchlinski,C.Anderson (4-40-W) M.Albers (1-H) J.Barnes (0-H) J.Jeffress (3-Sv)
32,32,May 2,@,CIN,W3-1,9.0,4,1,1,0,5,4,0,0,3.19,35,137,81,0,0,0,0,30,1,0,0,0,0,0,1,3,Mike Winters,W.Miley (99-63-W) D.Jennings (1-H) J.Jeffress (0-Sv)
33,33,May 4,,PIT,L4-6,9.0,9,6,6,0,6,5,3,1,3.28,41,163,101,0,0,0,0,34,0,0,0,0,0,0,1,4,Quinn Wolcott,J.Guerra (5-35-L) B.Suter (6) M.Albers (2) T.Williams (4)
34,34,May 5,,PIT,W5-3,9.0,4,3,3,0,4,9,1,0,3.27,35,148,94,0,0,1,0,30,0,0,0,0,1,0,0,3,Jeff Kellogg,J.Chacin (4-64) J.Jeffress (2) J.Hader (4-BW)
35,35,May 6,,PIT,L0-9,9.0,13,9,8,1,4,9,3,0,3.40,44,184,113,1,1,0,0,39,1,1,0,0,1,0,0,4,Marvin Hudson,C.Anderson (4-39-L) J.Barnes (4) J.Lopez (19) T.Williams (1)
36,36,May 8,,CLE,W3-2,9.0,6,2,2,0,2,10,2,0,3.36,34,148,98,2,0,0,0,32,1,0,0,0,0,0,0,5,Manny Gonzalez,W.Miley (5-48) B.Suter (3-W) J.Jeffress (2-H) D.Jennings (5-H) J.Hader (2-Sv)
