Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,BAL,L2-3,10.0,5,3,3,0,5,13,1,0,2.70,40,156,98,2,0,1,0,34,1,1,2,1,0,0,1,5,Joe West,J.Odorizzi (99-73) Z.Duke (99) A.Reed (99) T.Hildenberger (99) F.Rodney (99-L)
2,2,Mar 31,@,BAL,W6-2,9.0,3,2,2,0,7,11,1,0,2.37,37,154,88,0,0,0,0,30,1,0,0,0,0,0,0,3,Doug Eddings,K.Gibson (99-73-W) R.Pressly (99) G.Moya (99)
3,3,Apr 1,@,BAL,W7-0,9.0,3,0,0,0,1,6,0,0,1.61,31,107,71,,,0,0,30,1,0,0,0,0,0,0,1,Marty Foster,J.Berrios (99-86-W)
4,4,Apr 2,@,PIT,L4-5,8.0,5,5,5,0,11,6,1,0,2.50,39,167,89,2,0,0,0,27,1,0,1,1,0,0,1,5,Chris Conroy,L.Lynn (99-33-L) T.Rogers (99) T.Hildenberger (3) Z.Duke (3) A.Reed (3)
5,5,Apr 4,@,PIT,W7-3,9.0,8,3,3,0,4,6,1,0,2.60,38,167,103,2,0,1,0,34,1,0,0,0,0,0,0,5,Fieldin Culbreth,J.Odorizzi (5-40) T.Rogers (1-W) T.Hildenberger (1-H) A.Reed (1) F.Rodney (5)
6,6,Apr 5,,SEA,W4-2,9.0,8,2,1,1,4,7,0,0,2.33,40,150,94,3,0,2,0,36,0,0,0,0,0,1,1,6,Dan Bellino,K.Gibson (4-45) T.Rogers (0) R.Pressly (4) Z.Duke (2-W) A.Reed (0-H) F.Rodney (0-Sv)
7,7,Apr 7,,SEA,L4-11,9.0,12,11,11,0,3,12,2,0,3.57,42,171,103,4,3,0,0,39,3,0,0,0,0,0,0,6,Adam Hamari,J.Berrios (5-39-L) G.Moya (6) R.Pressly (1) Z.Duke (1) T.Hildenberger (2) T.Kinley (99)
8,8,Apr 9,,HOU,L0-2,9.0,7,2,2,0,4,13,0,0,3.38,37,165,97,1,1,0,1,33,2,0,0,0,0,0,0,5,Chad Fairchild,L.Lynn (6-66) T.Rogers (3-L) T.Hildenberger (1) A.Reed (3) R.Pressly (1)
9,9,Apr 10,,HOU,W4-1,9.0,7,1,1,0,5,5,0,1,3.11,37,145,92,0,0,0,0,31,0,0,0,0,0,0,2,4,Mike Estabrook,J.Odorizzi (5-57-W) R.Pressly (0-H) Z.Duke (2-H) F.Rodney (4-Sv)
10,10,Apr 11,,HOU,W9-8,9.0,13,8,7,1,7,8,1,1,3.50,47,174,104,6,3,0,0,38,1,0,0,0,1,0,1,5,Alfonso Marquez,K.Gibson (5-29) T.Hildenberger (1) Z.Duke (0-H) A.Reed (1-H) F.Rodney (0-BW)
11,11,Apr 12,,CHW,W4-0,9.0,3,0,0,0,0,13,0,1,3.18,31,127,96,0,0,0,0,30,0,0,0,0,0,1,1,3,Tony Randazzo,J.Berrios (4-82-W) R.Pressly (1) G.Moya (4)
12,12,Apr 17,,CLE,L1-6,9.0,12,6,6,0,1,9,4,0,3.42,40,169,107,1,1,0,0,39,3,0,0,0,0,0,0,5,Cory Blaser,J.Odorizzi (6-44-L) T.Rogers (7) A.Busenitz (99) G.Moya (4) T.Kinley (9)
13,13,Apr 18,,CLE,W2-1,16.0,12,1,1,0,2,12,1,1,3.05,61,209,147,1,0,1,0,58,1,0,1,0,0,0,2,8,Stu Scheurwater,J.Berrios (5-76) A.Reed (6) F.Rodney (6) Z.Duke (6) R.Pressly (5) T.Rogers (0) T.Hildenberger (6) A.Busenitz (0-W)
14,14,Apr 20,@,TBR,L7-8,9.2,11,8,7,1,7,13,0,1,3.30,46,160,97,3,3,2,1,38,3,0,1,0,0,1,1,6,Marvin Hudson,L.Lynn (10-40) T.Rogers (1) R.Pressly (1) A.Reed (1) F.Rodney (1-BSv) Z.Duke (1-L)
15,15,Apr 21,@,TBR,L1-10,8.0,12,10,10,0,2,8,3,1,3.75,38,141,94,1,1,0,0,35,1,1,0,0,0,0,1,3,James Hoye,K.Gibson (9-53-L) G.Moya (3) T.Kinley (3)
16,16,Apr 22,@,TBR,L6-8,8.0,14,8,8,0,2,12,3,1,4.03,39,162,107,5,2,0,0,36,1,0,0,0,0,0,1,6,Quinn Wolcott,P.Hughes (99-42) R.Pressly (1) T.Rogers (1-BSv) A.Busenitz (3) T.Hildenberger (3) A.Reed (1-L)
17,17,Apr 23,@,NYY,L1-14,8.0,13,14,14,0,7,8,4,0,4.62,44,197,114,2,2,1,0,37,4,0,0,0,0,0,0,5,Sam Holbrook,J.Odorizzi (5-36-L) T.Hildenberger (0) A.Busenitz (0) T.Kinley (1) R.LaMarre (99)
18,18,Apr 24,@,NYY,L3-8,8.0,10,8,8,0,3,13,4,0,4.84,38,165,99,0,0,0,0,35,1,0,0,0,0,1,1,4,Ryan Blakney,J.Berrios (5-35-L) R.Pressly (1) T.Duffey (99) T.Rogers (1)
19,19,Apr 25,@,NYY,L4-7,8.0,11,7,7,0,7,8,2,0,4.98,42,179,108,2,0,0,0,32,3,0,2,1,2,0,0,6,Jim Wolf,L.Lynn (4-23-L) T.Hildenberger (1) R.Pressly (0) Z.Duke (4) A.Reed (2) T.Rogers (0)
20,20,Apr 26,@,NYY,L3-4,8.0,5,4,3,1,3,12,1,0,4.90,32,132,81,0,0,0,0,28,1,0,0,0,1,1,0,4,D.J. Reyburn,K.Gibson (4-77) A.Reed (0-H) Z.Duke (0-H) F.Rodney (5-BL)
21,21,Apr 27,,CIN,L9-15,9.0,20,15,14,1,6,8,3,1,5.33,54,176,103,7,4,0,0,45,5,1,0,0,2,1,1,6,Will Little,P.Hughes (4-36) T.Duffey (2-L) R.Pressly (1-BSv) T.Rogers (1) D.Hale (3) T.Hildenberger (1)
22,22,Apr 28,,CIN,W3-1,9.0,6,1,1,0,5,4,1,0,5.14,37,137,84,1,0,0,0,32,2,0,1,0,0,0,1,4,Tom Woodring,J.Odorizzi (4-59-W) Z.Duke (1-H) A.Reed (1-H) F.Rodney (1-Sv)
