Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,STL,W9-4,44,33,9,12,2,0,0,8,9,0,8,1,1,0,1,3,1,0,.364,.512,.424,.936,11,14,R,C.Martinez (36)
2,2,Mar 31,,STL,W6-2,40,33,6,11,3,0,2,6,5,1,5,1,0,1,0,0,0,0,.348,.470,.515,.985,10,13,R,M.Wacha (38)
3,3,Apr 1,,STL,L1-5,36,32,1,7,1,0,0,1,3,0,8,0,1,0,0,0,0,0,.306,.415,.429,.844,8,16,R,L.Weaver (53)
4,4,Apr 3,,PHI,W2-0,33,30,2,7,1,0,0,2,1,0,8,2,0,0,0,0,0,1,.289,.391,.391,.781,7,16,R,B.Lively (53)
5,5,Apr 4,,PHI,W4-2,34,27,4,5,0,1,1,4,6,0,7,1,0,0,0,1,0,1,.271,.384,.387,.771,6,16,R,A.Nola (51)
6,6,Apr 5,@,WSN,W8-2,39,34,8,8,2,0,3,7,4,0,10,1,0,0,0,1,0,0,.265,.375,.418,.793,4,15,R,S.Strasburg (50)
7,7,Apr 7,@,WSN,W3-2,39,34,3,8,3,0,0,3,5,2,10,0,0,0,0,1,1,0,.260,.369,.404,.772,9,18,L,G.Gonzalez (55)
8,8,Apr 8,@,WSN,W6-5,48,42,6,9,2,0,2,6,5,1,18,0,1,0,0,1,1,0,.253,.358,.404,.762,6,17,R,T.Roark (42)
9,9,Apr 9,@,MIA,W4-2,36,31,4,6,1,0,0,3,5,0,9,0,0,0,1,1,0,1,.247,.353,.385,.738,5,15,R,J.Urena (48)
10,10,Apr 10,@,MIA,W8-6,40,36,8,9,4,0,3,8,3,0,11,0,0,1,1,0,0,0,.247,.347,.410,.757,5,14,L,C.Smith (51)
11,11,Apr 11,@,MIA,W4-1,36,30,4,5,2,0,0,4,4,2,6,1,0,1,1,1,0,1,.240,.341,.395,.736,5,16,L,J.Garcia (73)
12,12,Apr 13,,MIL,W6-5,35,31,6,9,2,1,2,5,3,0,9,0,0,1,1,2,0,0,.244,.341,.412,.754,5,16,R,Z.Davies (31)
13,13,Apr 14,,MIL,L1-5,31,28,1,3,0,0,0,1,2,0,10,1,0,0,0,2,0,0,.235,.332,.392,.724,3,14,R,C.Anderson (68)
14,14,Apr 15,,MIL,W3-2,41,34,3,7,1,1,2,3,6,2,11,1,0,0,1,0,0,0,.233,.333,.398,.731,12,17,R,J.Chacin (49)
15,15,Apr 16,,WSN,L6-8,39,34,6,10,3,1,1,6,4,0,6,0,1,0,1,0,2,1,.237,.335,.407,.742,6,19,R,J.Hellickson (44)
16,16,Apr 17,,WSN,L2-5,40,36,2,11,1,0,0,2,3,0,12,0,0,1,0,0,0,1,.242,.336,.402,.738,11,15,L,G.Gonzalez (47)
17,17,Apr 18,,WSN,W11-5,39,32,11,8,2,0,1,11,6,1,7,1,0,0,1,1,0,0,.242,.339,.402,.741,4,17,R,T.Roark (68)
18,18,Apr 19,@,ATL,L4-12,35,31,4,6,0,0,2,4,3,0,8,0,0,1,0,1,0,0,.240,.335,.401,.736,4,15,R,M.Wisler (77)
19,19,Apr 20,@,ATL,W5-3,48,39,5,9,5,0,0,5,6,0,12,1,1,1,1,2,1,0,.239,.335,.399,.734,7,15,L,S.Newcomb (52)
