Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,,STL,W9-4,9.0,6,4,4,0,1,15,2,0,4.00,34,129,86,0,0,0,0,33,1,0,0,0,0,0,0,4,Fieldin Culbreth,N.Syndergaard (99-54-W) R.Gsellman (99) A.Swarzak (99) J.Familia (99)
2,2,Mar 31,,STL,W6-2,9.0,7,2,2,0,3,12,1,0,3.00,37,175,108,4,0,0,0,34,0,0,0,0,0,0,0,4,Brian O'Nora,J.deGrom (99-63-W) R.Gsellman (1-H) A.Swarzak (1-H) J.Familia (1-Sv)
3,3,Apr 1,,STL,L1-5,9.0,9,5,5,0,7,8,3,1,3.67,42,208,124,1,0,2,0,34,1,0,0,0,0,0,2,5,CB Bucknor,S.Matz (99-43-L) P.Sewald (99) J.Rhame (99) J.Blevins (99) A.Ramos (99)
4,4,Apr 3,,PHI,W2-0,9.0,3,0,0,0,3,11,0,0,2.75,34,151,101,2,0,0,0,31,0,0,0,0,0,1,0,5,Bill Miller,M.Harvey (99-69) A.Ramos (1) J.Blevins (1-W) S.Lugo (99-H) J.Familia (2-Sv)
5,5,Apr 4,,PHI,W4-2,9.0,5,2,2,0,2,15,0,0,2.60,33,154,99,0,0,2,0,31,2,0,0,0,0,0,1,5,Angel Hernandez,N.Syndergaard (5-51) R.Gsellman (3-W) H.Robles (99-H) A.Ramos (0-H) J.Familia (0-Sv)
6,6,Apr 5,@,WSN,W8-2,9.0,6,2,1,1,3,11,0,0,2.33,35,147,97,0,0,0,0,32,3,0,0,0,0,0,1,5,Doug Eddings,J.deGrom (4-60-W) J.Blevins (1) R.Gsellman (0) H.Robles (0) S.Lugo (1)
7,7,Apr 7,@,WSN,W3-2,9.0,5,2,1,1,3,10,1,0,2.14,35,161,100,1,0,5,0,31,0,0,0,1,0,1,0,6,Marty Foster,S.Matz (5-65) H.Robles (1-W) A.Ramos (2-H) J.Rhame (5-H) J.Blevins (1) J.Familia (2-Sv)
8,8,Apr 8,@,WSN,W6-5,12.0,13,5,5,0,7,7,1,1,2.40,55,194,116,1,0,2,1,47,3,0,2,0,0,1,1,6,Mark Ripperger,M.Harvey (4-34) R.Gsellman (2-BSv) A.Ramos (0) J.Blevins (0) S.Lugo (2-W) J.Rhame (0-Sv)
9,9,Apr 9,@,MIA,W4-2,9.0,9,2,1,1,3,9,0,1,2.25,39,143,91,0,0,1,0,35,2,0,0,0,0,1,1,5,Jim Wolf,N.Syndergaard (4-59-W) H.Robles (1-H) J.Blevins (0-H) A.Ramos (0-H) J.Familia (1-Sv)
10,10,Apr 10,@,MIA,W8-6,9.0,11,6,6,0,2,9,2,1,2.61,41,143,95,1,0,0,0,36,1,0,1,1,1,0,0,5,D.J. Reyburn,J.deGrom (4-47) J.Rhame (1) P.Sewald (8) H.Robles (0-W) J.Familia (0-Sv)
11,11,Apr 11,@,MIA,W4-1,9.0,2,1,1,0,2,10,1,0,2.47,30,112,72,0,0,0,0,28,0,0,0,0,0,0,1,4,Sam Holbrook,Z.Wheeler (99-75-W) R.Gsellman (2-H) J.Blevins (1-H) A.Ramos (1)
12,12,Apr 13,,MIL,W6-5,9.0,10,5,4,1,2,6,3,1,2.59,38,134,88,4,0,1,0,34,1,0,0,1,0,1,2,6,David Rackley,S.Matz (5-51-W) S.Lugo (4-H) A.Ramos (1-H) J.Blevins (1) R.Gsellman (1-H) J.Familia (2-Sv)
13,13,Apr 14,,MIL,L1-5,9.0,9,5,5,0,1,13,3,0,2.77,37,157,108,0,0,1,0,35,1,0,0,1,0,0,0,3,Larry Vanover,M.Harvey (5-40-L) P.Sewald (3) H.Robles (3)
14,14,Apr 15,,MIL,W3-2,9.0,4,2,0,2,5,16,0,0,2.58,38,168,106,5,1,2,0,33,0,0,0,0,0,2,0,6,Hunter Wendelstedt,N.Syndergaard (5-72) R.Gsellman (1-BSv) A.Ramos (1) J.Blevins (1) H.Robles (0) J.Familia (1-W)
15,15,Apr 16,,WSN,L6-8,9.0,10,8,8,0,4,13,2,1,2.93,41,152,98,10,6,2,0,36,0,0,1,0,0,0,1,6,Lance Barksdale,J.deGrom (5-65) S.Lugo (2) J.Blevins (0) A.Ramos (0-L) J.Familia (0-BSv) H.Robles (0)
16,16,Apr 17,,WSN,L2-5,9.0,10,5,5,0,5,4,0,0,3.06,41,152,95,0,0,3,0,34,2,0,0,1,1,0,1,3,Will Little,Z.Wheeler (5-45-L) R.Gsellman (1) G.Bautista (99)
17,17,Apr 18,,WSN,W11-5,9.0,5,5,5,0,1,12,2,0,3.17,32,141,91,0,0,0,1,30,0,1,0,0,1,0,0,4,Tom Woodring,S.Matz (4-49) P.Sewald (3) A.Ramos (1-W) S.Lugo (1)
18,18,Apr 19,@,ATL,L4-12,8.0,13,12,12,0,5,5,1,0,3.68,42,151,91,1,1,0,0,34,6,0,0,1,2,0,0,3,Pat Hoberg,M.Harvey (4-35-L) J.Blevins (2) G.Bautista (1)
19,19,Apr 20,@,ATL,W5-3,12.0,8,3,3,0,3,12,1,0,3.58,45,196,130,0,0,2,2,41,2,0,0,0,1,0,0,5,Dan Iassogna,N.Syndergaard (4-52) S.Lugo (1) A.Ramos (1) R.Gsellman (2-W) J.Familia (3-Sv)
20,20,Apr 21,@,ATL,L3-4,8.1,8,4,4,0,5,14,0,0,3.61,37,139,89,3,2,2,1,32,2,1,0,0,0,0,0,4,Jeremie Rehak,J.deGrom (4-77) A.Ramos (0-H) J.Blevins (1-H) J.Familia (0-BL)
21,21,Apr 24,@,STL,W6-5,10.0,10,5,5,0,4,9,1,1,3.66,43,167,105,0,0,0,0,38,4,0,0,0,0,0,2,5,Tripp Gibson,Z.Wheeler (6-35) M.Harvey (4) P.Sewald (5) R.Gsellman (3-W) J.Familia (2-Sv)
22,22,Apr 25,@,STL,L1-9,8.0,7,9,5,4,2,7,1,2,3.74,38,152,92,3,2,0,0,31,1,0,0,2,1,2,0,2,Brian Gorman,S.Matz (6-31-L) C.Oswalt (99)
23,23,Apr 26,@,STL,L3-4,12.1,11,4,3,1,2,11,0,1,3.65,50,190,131,2,1,0,1,47,3,0,0,0,0,1,1,6,Jansen Visconti,N.Syndergaard (5-67) R.Gsellman (1-BSv) S.Lugo (5) J.Familia (1-BSv) A.Ramos (4) P.Sewald (1-L)
24,24,Apr 27,@,SDP,W5-1,9.0,6,1,1,0,4,8,1,0,3.54,34,135,86,2,0,0,1,29,0,0,0,1,0,0,2,4,Doug Eddings,J.deGrom (5-73-W) J.Blevins (5) A.Ramos (0) M.Harvey (2)
25,25,Apr 28,@,SDP,L2-12,8.0,13,12,12,0,4,10,2,1,3.88,43,163,103,0,0,2,0,38,3,1,0,0,0,0,0,4,Marty Foster,J.Vargas (99-9-L) S.Lugo (1) J.Blevins (0) J.Familia (1)
26,26,Apr 29,@,SDP,W14-2,9.0,11,2,2,0,2,12,0,0,3.81,40,162,116,0,0,1,0,38,2,0,0,0,0,0,0,4,Mark Ripperger,Z.Wheeler (4-54-W) P.Sewald (2-H) R.Gsellman (2) M.Harvey (1)
27,27,May 1,,ATL,L2-3,9.0,15,3,3,0,1,5,0,1,3.79,42,122,85,1,0,0,0,40,2,0,0,0,0,0,0,4,Mike Everitt,N.Syndergaard (4-42-L) J.Blevins (2) A.Ramos (3) S.Lugo (2)
28,28,May 2,,ATL,L0-7,9.0,11,7,7,0,0,10,3,0,3.90,38,136,97,0,0,0,0,38,3,0,0,0,0,0,0,4,Lance Barrett,J.deGrom (4-64) P.Sewald (2-L) R.Gsellman (2) A.Ramos (0)
29,29,May 3,,ATL,L0-11,9.0,15,11,11,0,5,5,4,0,4.14,46,150,93,3,0,0,1,39,2,0,0,1,1,0,0,4,Nic Lentz,J.Vargas (4-19-L) M.Harvey (3) J.Blevins (1) J.Familia (4)
30,30,May 4,,COL,L7-8,9.0,11,8,8,0,4,6,2,0,4.26,42,143,94,2,1,1,0,37,2,0,0,0,1,0,0,2,Bruce Dreckman,Z.Wheeler (4-20-L) S.Lugo (2)
31,31,May 5,,COL,L0-2,9.0,6,2,2,0,3,9,1,1,4.19,35,127,80,0,0,2,0,31,0,0,2,0,0,0,0,3,Mike Estabrook,S.Matz (9-66-L) P.Sewald (2) R.Gsellman (2)
32,32,May 6,,COL,L2-3,9.0,8,3,3,0,5,9,2,1,4.15,38,139,88,0,0,2,0,32,2,0,0,0,0,0,1,4,Eric Cooper,N.Syndergaard (4-53) J.Blevins (2) A.Ramos (3) H.Robles (19-L)
33,33,May 7,@,CIN,W7-6,9.0,8,6,6,0,2,3,3,0,4.21,37,121,73,4,1,0,0,34,3,0,0,0,1,0,0,4,Ron Kulpa,P.Conlon (99-40) P.Sewald (1) R.Gsellman (1-W) J.Familia (3-Sv)
34,34,May 8,@,CIN,L2-7,8.0,12,7,7,0,3,3,1,1,4.30,39,139,85,4,1,0,0,34,2,1,0,1,0,0,1,6,Jerry Meals,J.Vargas (4-33-L) S.Lugo (3) A.Ramos (1) J.Blevins (1) H.Robles (1) P.Sewald (0)
35,35,May 9,@,CIN,L1-2,9.0,5,2,2,0,3,9,1,0,4.24,35,121,78,0,0,0,0,31,0,0,0,1,0,0,0,4,Gabe Morales,Z.Wheeler (4-64) R.Gsellman (1) S.Lugo (0) A.Ramos (0-L)
36,36,May 11,@,PHI,W3-1,9.0,7,1,1,0,4,8,1,1,4.15,37,153,96,0,0,1,0,32,0,0,0,0,0,0,2,5,Dan Bellino,S.Matz (5-52) S.Lugo (1) P.Sewald (2) A.Ramos (1-W) J.Familia (3-Sv)
37,37,May 13,@,PHI,L2-4,8.0,8,4,4,0,7,7,2,0,4.16,37,163,101,0,0,0,0,29,2,0,0,1,0,0,2,5,Jim Reynolds,J.deGrom (10-52) R.Gsellman (3) P.Sewald (1-L) A.Ramos (1) J.Familia (1)
38,38,May 15,,TOR,W12-2,9.0,6,2,2,0,2,12,0,1,4.10,35,147,88,0,0,1,0,32,1,0,0,0,0,0,1,3,Bill Welke,N.Syndergaard (8-54-W) S.Lugo (3) J.Rhame (34)
39,39,May 16,,TOR,L1-12,9.0,15,12,12,0,6,11,3,0,4.30,48,194,123,4,0,0,0,41,4,0,0,0,1,0,0,5,Nic Lentz,Z.Wheeler (6-28-L) R.Gsellman (2) A.Ramos (2) J.Rhame (0) B.Baumann (34)
40,40,May 18,,ARI,W3-1,9.0,6,1,1,0,0,16,0,0,4.22,32,120,85,0,0,0,0,32,2,0,0,0,0,0,0,3,Vic Carapazza,J.deGrom (4-74-W) R.Gsellman (1-H) J.Familia (4-Sv)
41,41,May 19,,ARI,W5-4,9.0,8,4,4,0,1,9,2,0,4.21,35,159,104,0,0,4,0,34,2,0,0,0,0,0,1,5,Jerry Layne,S.Matz (7-35) S.Lugo (3) P.Sewald (5) A.Ramos (2) J.Familia (0-W)
