Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,TOR,W6-1,40,38,6,11,4,0,3,6,2,0,9,0,0,0,2,2,0,0,.289,.325,.632,.957,7,10,L,J.Happ (50)
2,2,Mar 30,@,TOR,W4-2,37,33,4,8,3,1,0,4,4,0,6,0,0,0,0,2,0,0,.268,.325,.521,.846,6,9,R,A.Sanchez (35)
3,3,Mar 31,@,TOR,L3-5,34,30,3,4,2,0,2,3,4,0,4,0,0,0,0,1,0,0,.228,.297,.485,.782,4,10,R,M.Estrada (56)
4,4,Apr 1,@,TOR,L4-7,39,33,4,5,1,0,1,4,6,0,12,0,0,0,1,0,0,0,.209,.293,.433,.726,8,10,R,M.Stroman (50)
5,5,Apr 3,,TBR,W11-4,41,34,11,11,2,0,2,10,6,0,14,0,1,0,1,1,0,0,.232,.321,.458,.779,6,9,R,C.Archer (44)
6,6,Apr 4,,TBR,W7-2,34,31,7,7,0,0,3,7,3,0,11,0,0,0,0,0,1,0,.231,.317,.467,.784,3,9,L,B.Snell (34)
7,7,Apr 5,,BAL,L2-5,37,29,2,4,2,0,1,2,6,0,8,2,0,0,0,1,0,1,.219,.318,.447,.765,8,10,R,A.Cashner (66)
8,8,Apr 6,,BAL,L3-7,53,47,3,7,1,0,1,3,5,1,10,1,0,0,0,1,2,0,.207,.306,.411,.717,8,12,R,K.Gausman (51)
9,9,Apr 7,,BAL,W8-3,37,29,8,11,3,0,0,8,7,1,3,0,0,1,0,2,1,1,.224,.325,.418,.743,5,9,R,C.Tillman (31)
10,10,Apr 8,,BAL,L7-8,57,50,7,16,3,0,0,7,6,1,12,0,1,0,2,1,0,1,.237,.334,.412,.747,14,10,R,M.Wright (28)
11,11,Apr 10,@,BOS,L1-14,37,36,1,10,1,0,1,1,1,0,10,0,0,0,0,1,0,0,.241,.331,.410,.741,9,11,L,C.Sale (60)
12,12,Apr 11,@,BOS,W10-7,44,36,10,12,1,1,2,10,5,0,9,1,0,2,0,0,2,0,.249,.338,.425,.763,7,11,L,D.Price (30)
13,13,Apr 12,@,BOS,L3-6,35,32,3,5,3,0,0,3,2,0,10,1,0,0,0,0,1,0,.242,.331,.413,.743,5,9,R,R.Porcello (79)
14,14,Apr 13,@,DET,W8-6,44,38,8,11,3,1,2,7,4,0,8,1,0,1,1,0,1,0,.246,.333,.425,.759,9,10,R,M.Fiers (34)
15,15,Apr 16,,MIA,W12-1,47,38,12,15,5,0,3,12,8,0,11,1,0,0,0,1,0,0,.257,.347,.449,.796,11,12,L,C.Smith (25)
16,16,Apr 17,,MIA,L1-9,37,30,1,4,2,0,1,1,7,0,10,0,0,0,0,1,0,0,.250,.344,.441,.786,9,9,L,J.Garcia (62)
17,17,Apr 19,,TOR,W4-3,34,30,4,8,1,0,1,4,4,0,3,0,0,0,0,0,0,1,.251,.345,.439,.784,6,9,R,A.Sanchez (46)
18,18,Apr 20,,TOR,L5-8,38,37,5,11,1,0,3,5,1,0,10,0,0,0,0,1,0,0,.254,.343,.447,.790,6,9,R,M.Estrada (36)
19,19,Apr 21,,TOR,W9-1,40,32,9,9,1,0,1,8,7,0,9,0,0,1,1,1,0,0,.255,.346,.445,.791,7,9,R,M.Stroman (31)
20,20,Apr 22,,TOR,W5-1,35,31,5,9,4,0,1,5,3,0,6,0,0,1,0,1,1,0,.256,.346,.448,.794,6,9,L,J.Garcia (43)
21,21,Apr 23,,MIN,W14-1,44,37,14,13,4,0,4,14,7,0,8,0,0,0,0,0,1,0,.261,.352,.465,.817,6,10,R,J.Odorizzi (36)
22,22,Apr 24,,MIN,W8-3,38,35,8,10,1,0,4,8,3,0,13,0,0,0,1,1,0,0,.262,.351,.474,.825,6,9,R,J.Berrios (35)
23,23,Apr 25,,MIN,W7-4,42,32,7,11,3,0,2,7,7,2,8,0,1,2,0,0,0,0,.266,.355,.480,.835,11,10,R,L.Lynn (23)
24,24,Apr 26,,MIN,W4-3,32,28,4,5,1,0,1,4,3,0,12,0,0,1,1,0,0,0,.263,.352,.475,.826,4,9,R,K.Gibson (77)
25,25,Apr 27,@,LAA,W4-3,41,34,4,7,3,0,1,4,4,1,13,0,0,3,1,0,0,0,.260,.348,.471,.819,7,12,L,A.Heaney (59)
26,26,Apr 28,@,LAA,W11-1,48,43,11,14,5,1,0,9,5,0,10,0,0,0,1,0,0,0,.264,.350,.472,.822,10,10,R,G.Richards (16)
27,27,Apr 29,@,LAA,W2-1,34,31,2,4,2,0,1,2,3,0,13,0,0,0,0,0,0,0,.259,.346,.466,.811,5,9,L,T.Skaggs (60)
28,28,Apr 30,@,HOU,L1-2,32,29,1,3,1,0,0,1,3,0,14,0,0,0,0,1,1,0,.254,.341,.456,.797,4,11,R,C.Morton (79)
29,29,May 1,@,HOU,W4-0,35,34,4,7,1,0,1,3,0,0,15,1,0,0,0,0,1,0,.253,.338,.451,.789,4,9,R,J.Verlander (90)
30,30,May 2,@,HOU,W4-0,37,36,4,9,4,0,2,4,1,0,7,0,0,0,1,0,1,0,.253,.336,.454,.790,6,10,L,D.Keuchel (58)
31,31,May 3,@,HOU,W6-5,39,33,6,8,1,0,0,6,4,0,9,1,0,1,0,0,0,0,.252,.336,.448,.784,6,11,R,L.McCullers (57)
32,32,May 4,,CLE,W7-6,44,37,7,11,2,0,3,7,6,0,5,1,0,0,1,1,0,0,.254,.338,.453,.791,11,9,R,J.Tomlin (45)
33,33,May 5,,CLE,W5-2,32,28,5,4,1,0,0,4,3,0,11,0,0,1,1,0,0,0,.251,.335,.447,.782,3,9,R,T.Bauer (61)
34,34,May 6,,CLE,W7-4,36,30,7,6,3,0,1,7,6,2,10,0,0,0,1,1,0,0,.250,.335,.445,.780,4,10,R,M.Clevinger (74)
35,35,May 8,,BOS,W3-2,34,29,3,6,1,0,2,3,5,0,8,0,0,0,1,1,1,0,.249,.335,.445,.780,7,10,L,D.Pomeranz (60)
36,36,May 9,,BOS,W9-6,40,33,9,12,4,1,1,9,4,0,6,1,0,2,0,1,1,0,.252,.337,.451,.788,7,9,R,R.Porcello (32)
37,37,May 10,,BOS,L4-5,39,32,4,5,0,0,0,3,7,0,11,0,0,0,0,0,0,0,.249,.337,.443,.780,8,10,L,E.Rodriguez (70)
38,38,May 11,,OAK,L5-10,38,33,5,7,0,0,2,5,4,0,6,0,1,0,1,1,0,0,.248,.336,.442,.777,6,10,R,K.Graveman (58)
39,39,May 12,,OAK,W7-6,52,43,7,11,0,0,3,7,9,0,10,0,0,0,0,0,3,0,.249,.337,.443,.780,13,9,R,A.Triggs (29)
40,40,May 13,,OAK,W6-2,39,35,6,12,3,0,1,6,4,0,6,0,0,0,0,1,2,0,.251,.339,.444,.783,9,9,L,B.Anderson (37)
41,41,May 15 susp,@,WSN,L3-5,40,33,3,9,4,0,1,3,4,0,9,1,1,1,1,1,0,0,.252,.340,.445,.785,10,15,L,G.Gonzalez (46)
42,42,May 18,@,KCR,L2-5,37,34,2,8,0,0,0,2,2,0,7,0,0,1,0,0,0,0,.251,.338,.440,.778,8,9,R,J.Junis (48)
43,43,May 19,@,KCR,W8-3,42,39,8,14,3,0,5,8,3,0,7,0,0,0,0,1,0,0,.254,.340,.450,.790,7,9,L,D.Duffy (29)
44,44,May 20,@,KCR,W10-1,45,40,10,14,2,2,4,9,4,0,6,1,0,0,0,1,0,0,.257,.342,.460,.801,8,9,L,E.Skoglund (28)
45,45,May 21,@,TEX,W10-5,44,39,10,12,5,0,5,10,3,0,8,1,0,1,1,0,1,0,.258,.342,.469,.811,7,9,R,B.Colon (31)
46,46,May 22,@,TEX,L4-6,37,34,4,7,0,0,3,4,2,0,8,1,0,0,0,0,0,0,.257,.341,.469,.810,6,10,L,C.Hamels (66)
47,47,May 23,@,TEX,L10-12,45,43,10,14,3,0,4,10,1,0,9,1,0,0,2,0,0,0,.259,.341,.474,.815,8,10,R,D.Fister (14)
48,48,May 25,,LAA,W2-1,32,28,2,5,1,0,1,2,4,0,6,0,0,0,0,0,0,0,.257,.340,.472,.812,6,9,L,A.Heaney (63)
49,49,May 26,,LAA,L4-11,36,33,4,7,0,0,3,4,3,0,7,0,0,0,0,0,1,1,.256,.339,.472,.811,5,9,R,J.Barria (42)
50,50,May 27,,LAA,W3-1,36,29,3,5,0,0,0,3,6,0,10,1,0,0,0,0,0,0,.255,.339,.467,.806,9,10,R,G.Richards (37)
51,51,May 28,,HOU,L1-5,34,33,1,7,0,0,1,1,0,0,9,1,0,0,0,0,1,0,.254,.337,.464,.801,6,9,R,J.Verlander (65)
