Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,LAA,W6-5,47,42,6,12,1,1,2,6,5,1,11,0,0,0,0,1,0,0,.286,.362,.500,.862,10,9,R,G.Richards (38)
2,2,Mar 30,,LAA,L1-2,36,33,1,7,1,0,0,1,1,0,8,2,0,0,0,0,0,0,.253,.325,.387,.712,8,11,L,T.Skaggs (72)
3,3,Mar 31,,LAA,L3-8,39,34,3,8,4,0,0,3,5,0,9,0,0,0,0,1,0,0,.248,.328,.376,.704,9,9,R,M.Shoemaker (49)
4,4,Apr 1,,LAA,L4-7,36,31,4,5,0,0,1,4,5,0,8,0,0,0,0,1,0,0,.229,.316,.350,.666,5,9,R,S.Ohtani (59)
5,5,Apr 2,,TEX,W3-1,34,31,3,9,2,0,1,3,3,0,7,0,0,0,0,1,0,0,.240,.323,.368,.691,7,10,R,B.Colon (57)
6,6,Apr 3,,TEX,L1-4,38,34,1,8,1,0,1,1,3,0,13,1,0,0,0,1,1,0,.239,.322,.366,.688,10,10,L,C.Hamels (63)
7,7,Apr 4,,TEX,W6-2,38,31,6,9,4,0,0,5,5,0,10,1,0,1,1,0,1,0,.246,.332,.373,.705,8,9,R,D.Fister (36)
8,8,Apr 5,,TEX,L3-6,40,35,3,12,1,0,0,3,2,0,5,1,0,2,0,1,0,0,.258,.338,.373,.710,10,10,L,M.Perez (37)
9,9,Apr 6,@,LAA,L9-13,39,37,9,13,1,0,5,8,1,0,5,0,0,1,0,0,0,1,.269,.340,.422,.762,3,9,R,P.Bridwell (17)
10,10,Apr 7,@,LAA,W7-3,42,31,7,7,1,1,1,7,10,0,8,1,0,0,0,3,1,0,.265,.350,.422,.771,8,9,R,J.Ramirez (36)
11,11,Apr 8,@,LAA,L1-6,31,29,1,3,0,0,1,1,2,0,12,0,0,0,0,1,0,0,.253,.336,.405,.741,3,9,R,S.Ohtani (86)
12,12,Apr 10,@,LAD,L0-4,34,32,0,5,1,0,0,0,2,0,11,0,0,0,0,0,0,0,.245,.326,.388,.713,7,15,L,H.Ryu (77)
13,13,Apr 11,@,LAD,W16-6,50,49,16,21,3,0,3,15,1,0,9,0,0,0,0,0,0,0,.265,.337,.419,.756,7,16,L,A.Wood (24)
14,14,Apr 13,@,SEA,L4-7,38,34,4,8,0,0,3,4,4,0,7,0,0,0,1,1,0,0,.263,.336,.424,.760,7,10,R,M.Leake (48)
15,15,Apr 14,@,SEA,L8-10,40,36,8,10,2,0,3,8,3,0,11,1,0,0,0,1,0,0,.264,.337,.435,.772,5,10,L,M.Gonzales (38)
16,16,Apr 15,@,SEA,W2-1,36,33,2,7,1,0,1,2,0,0,10,3,0,0,0,1,0,0,.261,.333,.429,.763,7,10,R,F.Hernandez (62)
17,17,Apr 16,,CHW,W8-1,40,32,8,8,3,0,1,6,7,0,11,0,1,0,2,1,0,0,.260,.336,.430,.766,8,9,R,R.Lopez (62)
18,18,Apr 17,,CHW,W10-2,41,33,10,13,5,0,1,10,6,0,8,0,0,2,0,1,0,1,.267,.344,.441,.785,7,10,R,M.Gonzalez (10)
19,19,Apr 18,,CHW,W12-11,68,54,12,16,4,0,2,12,12,0,13,0,0,2,0,1,1,0,.270,.350,.444,.794,15,11,R,C.Fulmer (25)
20,20,Apr 20,,BOS,L3-7,40,37,3,10,3,0,0,3,2,0,11,1,0,0,0,1,0,0,.270,.349,.439,.788,10,10,L,D.Pomeranz (44)
