Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,@,ATL,L5-8,38,31,5,6,2,0,1,5,6,0,11,1,0,0,0,2,1,0,.194,.342,.355,.697,6,16,R,J.Teheran (45)
2,2,Mar 30,@,ATL,W5-4,48,40,5,10,2,0,2,5,5,0,10,0,0,2,0,1,3,0,.225,.329,.408,.738,10,20,R,M.Foltynewicz (53)
3,3,Mar 31,@,ATL,L2-15,36,31,2,6,3,0,0,2,4,0,9,0,1,0,0,0,0,1,.216,.317,.373,.689,7,17,R,B.McCarthy (50)
4,4,Apr 3,@,NYM,L0-2,34,31,0,3,0,0,0,0,3,0,11,0,0,0,1,0,0,0,.188,.286,.308,.594,7,15,R,M.Harvey (69)
5,5,Apr 4,@,NYM,L2-4,33,31,2,5,2,0,0,1,2,0,15,0,0,0,0,1,2,0,.183,.273,.293,.565,4,14,R,N.Syndergaard (51)
6,6,Apr 5,,MIA,W5-0,39,30,5,6,0,1,1,5,9,2,9,0,0,0,1,0,4,1,.186,.292,.304,.596,10,13,L,C.Smith (41)
7,7,Apr 7,,MIA,W20-1,49,42,20,20,4,0,4,20,6,0,11,0,0,1,0,1,0,0,.237,.335,.403,.737,5,12,L,D.Peters (4)
8,8,Apr 8,,MIA,L3-6,36,31,3,7,3,0,0,3,4,0,5,0,0,1,0,0,0,2,.236,.331,.393,.724,6,18,R,T.Richards (37)
9,9,Apr 9,,CIN,W6-5,35,30,6,6,1,0,3,6,4,0,6,0,0,1,1,0,0,0,.232,.327,.407,.734,5,15,L,C.Reed (38)
10,10,Apr 10,,CIN,W6-1,34,30,6,6,3,0,1,6,2,1,11,1,1,0,1,0,1,0,.229,.322,.407,.729,4,11,R,H.Bailey (71)
11,11,Apr 11,,CIN,W4-3,47,39,4,6,0,0,2,4,6,2,12,0,1,1,1,0,0,1,.221,.315,.396,.711,8,18,R,L.Castillo (54)
12,12,Apr 13,@,TBR,W2-1,36,33,2,7,2,0,0,2,3,1,13,0,0,0,0,0,0,0,.221,.312,.386,.698,7,9,R,J.Faria (65)
13,13,Apr 14,@,TBR,W9-4,42,38,9,13,4,0,1,9,3,0,3,0,0,1,0,1,0,0,.231,.318,.398,.716,6,9,R,C.Archer (18)
14,14,Apr 15,@,TBR,W10-4,43,36,10,8,2,0,1,10,6,0,8,1,0,0,1,0,1,0,.230,.321,.395,.716,6,9,L,R.Yarbrough (44)
15,15,Apr 16,@,ATL,L1-2,38,32,1,6,1,0,1,1,6,0,11,0,0,0,0,0,0,0,.228,.320,.390,.710,10,14,R,J.Teheran (64)
16,16,Apr 17,@,ATL,W5-1,44,34,5,8,2,0,0,5,10,1,13,0,0,0,0,4,2,0,.228,.326,.384,.710,9,20,R,M.Foltynewicz (64)
17,17,Apr 18,@,ATL,L3-7,35,31,3,6,1,0,0,2,4,0,10,0,0,0,1,3,0,0,.226,.324,.375,.700,5,13,R,B.McCarthy (58)
18,18,Apr 19,,PIT,W7-0,38,32,7,9,0,0,1,7,5,0,16,1,0,0,0,1,2,0,.229,.328,.375,.704,7,12,R,J.Taillon (28)
19,19,Apr 20,,PIT,W2-1,31,30,2,8,2,1,0,2,1,0,5,0,0,0,0,0,0,1,.231,.327,.377,.703,5,13,R,I.Nova (61)
20,20,Apr 21,,PIT,W6-2,37,31,6,7,0,0,1,5,4,0,10,1,1,0,1,1,0,0,.231,.327,.374,.701,7,13,L,S.Brault (57)
21,21,Apr 22,,PIT,W3-2,44,38,3,8,1,2,0,3,5,0,12,0,0,1,1,0,0,1,.230,.325,.372,.697,10,16,R,T.Williams (64)
22,22,Apr 24,,ARI,L4-8,38,32,4,7,1,0,0,4,4,0,16,1,0,1,0,1,0,0,.229,.325,.367,.692,7,15,L,R.Ray (50)
23,23,Apr 25,,ARI,W5-3,32,30,5,10,2,0,1,5,1,0,11,0,0,1,0,1,0,1,.233,.325,.372,.698,3,13,R,Z.Greinke (42)
24,24,Apr 26,,ARI,L2-8,35,33,2,9,3,0,0,2,2,0,7,0,0,0,0,3,0,0,.235,.325,.372,.697,6,14,R,M.Koch (54)
25,25,Apr 27,,ATL,W7-3,36,30,7,9,1,0,3,7,4,0,6,1,1,0,0,1,0,0,.237,.328,.381,.709,5,13,R,J.Teheran (43)
26,26,Apr 28,,ATL,L1-4,36,31,1,5,0,0,1,1,5,0,11,0,0,0,0,0,0,0,.235,.326,.377,.703,8,17,R,M.Foltynewicz (66)
27,27,Apr 29,,ATL,L1-10,36,31,1,5,1,0,0,1,5,0,13,0,0,0,1,2,0,0,.232,.324,.370,.695,8,14,R,B.McCarthy (57)
28,28,Apr 30,@,MIA,L4-8,39,33,4,8,2,0,2,4,6,0,4,0,0,0,0,1,0,1,.232,.325,.375,.700,8,15,R,D.Straily (31)
29,29,May 1,@,MIA,L1-2,42,37,1,8,2,0,0,1,3,0,9,1,1,0,0,0,0,0,.232,.324,.371,.695,11,17,L,J.Garcia (60)
30,30,May 2,@,MIA,W6-0,41,38,6,12,3,0,1,5,1,1,7,1,0,1,1,1,0,0,.235,.325,.374,.699,8,13,R,J.Urena (62)
31,31,May 4,@,WSN,L3-7,36,34,3,7,3,0,2,3,2,0,9,0,0,0,1,1,0,0,.234,.323,.378,.700,6,13,L,G.Gonzalez (66)
32,32,May 5,@,WSN,W3-1,38,32,3,7,0,1,1,3,6,0,11,0,0,0,0,2,0,0,.234,.323,.378,.701,8,15,R,T.Roark (55)
33,33,May 6,@,WSN,L4-5,39,36,4,9,4,0,1,4,2,1,18,1,0,0,1,1,1,0,.234,.323,.380,.703,8,17,R,M.Scherzer (72)
34,34,May 7,,SFG,W11-0,42,38,11,12,1,0,4,11,4,0,6,0,0,0,2,0,2,0,.237,.325,.389,.714,7,15,R,J.Samardzija (34)
35,35,May 8,,SFG,W4-2,34,30,4,8,1,0,3,4,3,0,6,1,0,0,0,2,1,0,.238,.325,.395,.720,6,13,L,D.Holland (44)
36,36,May 9,,SFG,W11-3,41,33,11,10,2,0,1,9,7,0,9,0,0,1,1,0,0,1,.239,.328,.396,.724,6,15,R,C.Stratton (37)
37,37,May 10,,SFG,W6-3,37,34,6,11,1,1,1,6,3,0,9,0,0,0,0,1,0,0,.242,.329,.399,.728,7,14,L,T.Blach (31)
38,38,May 11,,NYM,L1-3,37,32,1,7,0,0,1,1,4,0,8,1,0,0,0,2,1,0,.241,.329,.397,.726,9,13,L,S.Matz (52)
39,39,May 13,,NYM,W4-2,37,29,4,8,2,0,2,4,7,0,7,0,1,0,0,2,0,0,.242,.331,.400,.732,9,15,R,J.deGrom (52)
40,40,May 16,@,BAL,W4-1,38,35,4,9,2,1,1,4,3,0,8,0,0,0,0,0,0,1,.242,.331,.402,.733,7,10,R,A.Cashner (50)
41,41,May 17,@,STL,W6-2,40,38,6,11,1,0,2,6,2,1,8,0,0,0,0,1,1,0,.244,.331,.404,.735,7,16,R,L.Weaver (70)
42,42,May 18,@,STL,L4-12,36,34,4,7,1,0,2,4,2,0,9,0,0,0,0,0,0,0,.243,.329,.404,.733,5,14,R,M.Wacha (60)
43,43,May 19,@,STL,W7-6,40,35,7,7,0,1,1,6,5,0,12,0,0,0,1,0,1,0,.242,.328,.403,.731,6,15,R,J.Gant (44)
44,44,May 20,@,STL,L1-5,32,29,1,2,0,0,1,1,3,0,14,0,0,0,0,1,0,0,.238,.325,.398,.723,4,12,R,J.Flaherty (83)
45,45,May 21,,ATL,W3-0,34,31,3,8,1,0,2,3,3,0,7,0,0,0,0,0,0,0,.239,.325,.400,.725,7,12,R,M.Foltynewicz (59)
46,46,May 22,,ATL,L1-3,35,33,1,7,2,0,0,1,2,0,9,0,0,0,0,1,0,0,.238,.324,.397,.721,7,16,R,B.McCarthy (60)
47,47,May 23,,ATL,W4-0,37,31,4,8,2,0,0,4,5,0,8,0,1,0,0,0,0,0,.238,.324,.396,.720,9,12,L,L.Gohara (48)
48,48,May 25,,TOR,L5-6,39,34,5,7,4,0,2,4,5,0,10,0,0,0,0,0,0,0,.238,.324,.398,.722,7,15,R,S.Gaviglio (58)
49,49,May 26,,TOR,W2-1,31,30,2,6,0,0,2,2,0,0,5,1,0,0,0,0,0,0,.237,.322,.398,.720,5,12,L,J.Garcia (68)
50,50,May 27,,TOR,L3-5,35,32,3,6,1,0,0,2,3,0,10,0,0,0,0,1,0,0,.236,.321,.394,.715,5,17,L,J.Happ (58)
51,51,May 28,@,LAD,L4-5,38,33,4,7,2,0,1,3,2,0,10,1,1,0,0,0,0,0,.236,.320,.394,.714,7,15,R,B.Stewart (41)
52,52,May 29,@,LAD,W6-1,43,38,6,12,6,0,1,6,5,1,10,0,0,0,0,0,1,0,.237,.322,.397,.719,10,14,R,K.Maeda (42)
53,53,May 30,@,LAD,L2-8,38,35,2,8,1,0,1,2,2,0,13,1,0,0,0,0,0,0,.237,.321,.396,.717,9,14,R,R.Stripling (72)
54,54,May 31,@,LAD,W2-1,32,31,2,6,1,0,0,2,1,0,12,0,0,0,0,1,0,0,.236,.320,.393,.713,3,11,L,C.Kershaw (59)
55,55,Jun 1,@,SFG,L0-4,33,31,0,6,1,0,0,0,1,0,13,0,1,0,0,1,0,0,.236,.318,.390,.708,6,14,R,C.Stratton (70)
56,56,Jun 2,@,SFG,L0-2,30,30,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,.234,.315,.387,.702,3,13,L,A.Suarez (76)
57,57,Jun 3,@,SFG,L1-6,36,33,1,6,0,0,1,1,3,0,11,0,0,0,1,1,0,0,.233,.314,.385,.699,8,13,R,D.Rodriguez (62)
58,58,Jun 5,@,CHC,W6-1,42,35,6,9,1,0,1,6,6,1,7,0,0,1,0,0,0,0,.233,.315,.384,.699,9,11,R,K.Hendricks (39)
59,59,Jun 6,@,CHC,L5-7,38,33,5,6,0,0,2,5,4,0,16,1,0,0,0,0,0,0,.232,.314,.384,.698,6,15,L,J.Quintana (63)
60,60,Jun 7,@,CHC,L3-4,43,33,3,6,1,0,0,3,9,0,12,1,0,0,1,1,0,0,.231,.315,.381,.697,13,16,R,T.Chatwood (51)
61,61,Jun 8,,MIL,L4-12,38,33,4,8,1,1,1,4,2,0,11,1,0,2,0,0,0,0,.232,.315,.382,.697,7,15,R,J.Chacin (53)
62,62,Jun 9,,MIL,L3-12,36,31,3,6,1,0,1,3,3,0,8,1,1,0,0,1,0,0,.231,.315,.381,.696,6,16,L,B.Suter (51)
63,63,Jun 10,,MIL,W4-3,34,28,4,4,1,0,0,4,4,0,6,0,1,1,1,0,1,0,.230,.314,.378,.692,6,14,R,B.Woodruff (59)
64,64,Jun 12,,COL,W5-4,33,27,5,4,0,0,1,5,5,0,12,0,0,1,0,0,2,0,.229,.313,.377,.690,4,15,R,J.Gray (56)
65,65,Jun 13,,COL,L2-7,35,34,2,7,2,0,2,2,1,0,9,0,0,0,0,0,0,0,.228,.312,.378,.690,6,14,L,T.Anderson (67)
66,66,Jun 14,,COL,W9-3,39,36,9,13,3,1,2,8,3,0,8,0,0,0,0,1,0,0,.231,.313,.383,.696,6,14,R,G.Marquez (40)
67,67,Jun 15,@,MIL,L2-13,35,32,2,8,1,0,1,2,2,0,6,1,0,0,0,2,0,0,.231,.313,.383,.696,6,15,L,B.Suter (63)
68,68,Jun 16,@,MIL,W4-1,46,36,4,9,2,0,2,4,10,1,14,0,0,0,0,0,1,0,.231,.315,.384,.699,15,16,R,J.Guerra (52)
69,69,Jun 17,@,MIL,W10-9,43,37,10,12,3,0,3,10,5,1,9,1,0,0,0,1,0,0,.233,.317,.388,.705,6,19,R,C.Anderson (37)
70,70,Jun 18,,STL,W6-5,42,37,6,8,2,0,1,6,5,1,8,0,0,0,1,1,0,0,.232,.317,.388,.704,7,16,R,M.Mikolas (41)
71,71,Jun 19,,STL,L6-7,42,34,6,9,1,0,2,6,5,0,9,1,2,0,1,1,0,0,.233,.318,.389,.706,9,15,R,L.Weaver (39)
72,72,Jun 20,,STL,W4-3,36,33,4,9,2,0,2,4,2,0,10,0,0,1,1,0,0,0,.233,.317,.391,.708,8,15,R,M.Wacha (41)
