Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 29,@,ATL,L5-8,8.2,9,8,7,1,4,6,3,1,7.27,40,137,93,3,2,0,0,34,1,0,1,1,0,0,0,6,Jerry Layne,A.Nola (99-60) H.Milner (99) L.Garcia (99-H) A.Morgan (99-H) E.Ramos (99-BSv) H.Neris (99-L)
2,2,Mar 30,@,ATL,W5-4,11.0,9,4,4,0,5,9,0,2,5.03,46,185,115,0,0,0,1,37,2,0,0,1,1,0,1,9,Greg Gibson,N.Pivetta (99-41) V.Arano (99) H.Milner (0) E.Ramos (0-H) A.Morgan (0-H) Y.Rios (99-H) L.Garcia (0-BSv) H.Neris (0) D.Hutchison (99-W)
3,3,Mar 31,@,ATL,L2-15,8.0,19,15,10,5,5,5,1,0,6.83,51,181,116,4,4,0,0,43,5,1,1,2,1,3,0,6,Vic Carapazza,V.Velasquez (99-20-L) H.Milner (0) J.Thompson (99) Y.Rios (0) V.Arano (0) P.Florimon (99)
4,4,Apr 3,@,NYM,L0-2,8.0,7,2,2,0,1,8,0,2,5.80,33,127,85,2,0,0,1,30,1,0,0,0,0,0,0,5,Bill Miller,B.Lively (99-53-L) Y.Rios (2) V.Arano (2) H.Milner (2) E.Ramos (3)
5,5,Apr 4,@,NYM,L2-4,8.0,5,4,4,0,6,7,1,1,5.56,34,152,94,1,0,0,1,27,0,1,0,0,0,0,1,5,Angel Hernandez,A.Nola (5-51) D.Hutchison (4-L) A.Morgan (4) L.Garcia (4) E.Ramos (0)
6,6,Apr 5,,MIA,W5-0,9.0,4,0,0,0,0,12,0,0,4.61,31,132,90,1,0,0,0,31,1,0,0,0,0,1,1,4,Paul Nauert,N.Pivetta (5-70-W) A.Morgan (0-H) L.Garcia (0) H.Neris (5)
7,7,Apr 7,,MIA,W20-1,9.0,5,1,1,0,1,10,0,0,4.09,33,137,91,0,0,0,0,32,1,0,0,0,0,0,0,2,Scott Barry,V.Velasquez (6-65-W) J.Thompson (6-Sv)
8,8,Apr 8,,MIA,L3-6,9.0,7,6,5,1,5,10,1,1,4.20,38,147,90,4,2,0,0,31,1,0,1,0,0,0,2,7,Carlos Torres,J.Arrieta (99-49) D.Hutchison (3) H.Milner (4) E.Ramos (3) L.Garcia (2-L) A.Morgan (2) V.Arano (4)
9,9,Apr 9,,CIN,W6-5,9.0,11,5,5,0,5,11,1,0,4.29,41,169,106,3,0,3,0,36,1,0,1,0,0,0,1,5,Ron Kulpa,B.Lively (5-36) A.Morgan (0) Y.Rios (5) L.Garcia (0-W) H.Neris (3-Sv)
10,10,Apr 10,,CIN,W6-1,9.0,3,1,1,0,3,8,0,0,3.96,32,117,77,0,0,2,0,29,0,0,0,0,0,0,1,2,Gabe Morales,A.Nola (5-75-W) H.Milner (1)
