Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 30,@,DET,W13-10,58,52,13,17,3,1,1,11,4,0,10,0,0,1,0,0,1,2,.327,.368,.481,.849,6,9,R,J.Zimmermann (51)
2,2,Apr 1 (1),@,DET,W1-0,32,28,1,6,3,0,0,1,3,0,4,1,0,0,0,2,0,1,.288,.348,.425,.773,4,9,R,M.Fulmer (71)
3,3,Apr 1 (2),@,DET,W8-6,39,36,8,10,1,0,3,7,2,0,10,0,0,1,0,0,1,1,.284,.336,.466,.801,4,9,L,R.Carpenter (39)
4,4,Apr 2,,MIN,W5-4,39,27,5,5,1,0,1,5,11,1,6,0,1,0,0,1,0,0,.266,.355,.441,.796,10,17,R,L.Lynn (33)
5,5,Apr 4,,MIN,L3-7,38,34,3,8,1,0,1,3,4,0,6,0,0,0,0,0,1,0,.260,.348,.424,.772,8,14,R,J.Odorizzi (40)
6,6,Apr 5,,CIN,W5-2,38,33,5,9,3,1,1,4,4,1,4,0,0,1,1,0,0,0,.262,.347,.438,.785,9,15,R,H.Bailey (31)
7,7,Apr 6,,CIN,W14-3,45,38,14,15,6,1,0,13,6,0,5,1,0,0,1,0,2,0,.282,.369,.464,.833,7,14,R,L.Castillo (39)
8,8,Apr 7,,CIN,L4-7,36,33,4,8,1,0,0,4,1,0,5,0,1,1,1,0,0,1,.278,.357,.441,.798,5,15,R,S.Romano (37)
9,9,Apr 8,,CIN,W5-0,35,33,5,11,2,0,2,5,2,0,4,0,0,0,0,0,0,0,.283,.359,.455,.814,6,9,R,T.Mahle (27)
10,10,Apr 10,@,CHC,W8-5,41,39,8,12,2,0,2,8,2,0,9,0,0,0,0,0,0,0,.286,.357,.462,.819,6,12,R,T.Chatwood (35)
11,11,Apr 11,@,CHC,L5-13,37,34,5,8,1,0,2,5,3,0,6,0,0,0,0,1,1,0,.282,.352,.460,.812,5,14,L,J.Lester (37)
12,12,Apr 12,@,CHC,W6-1,44,37,6,9,2,1,4,6,7,3,10,0,0,0,1,0,1,0,.278,.353,.479,.832,11,14,R,K.Hendricks (58)
13,13,Apr 13,@,MIA,L2-7,33,29,2,5,1,0,1,2,3,0,8,0,1,0,0,1,1,1,.272,.346,.468,.814,4,12,L,D.Peters (57)
14,14,Apr 14,@,MIA,W1-0,33,30,1,5,1,0,0,1,2,1,4,1,0,0,0,1,0,1,.265,.340,.451,.791,5,13,R,T.Richards (74)
15,15,Apr 15,@,MIA,W7-3,42,37,7,13,1,0,1,7,1,0,11,2,0,2,0,0,0,0,.271,.343,.452,.795,8,15,R,J.Urena (39)
16,16,Apr 16,,COL,L2-6,32,29,2,4,0,2,0,2,2,0,10,0,0,1,0,1,1,0,.264,.335,.443,.778,3,13,R,G.Marquez (64)
17,17,Apr 17,,COL,L0-2,32,30,0,5,1,0,0,0,2,0,4,0,0,0,0,1,0,0,.259,.329,.430,.759,5,12,R,C.Bettis (69)
18,18,Apr 18,,COL,W10-2,41,36,10,13,5,0,1,10,4,0,8,0,0,1,0,0,0,0,.265,.334,.439,.773,7,12,L,K.Freeland (30)
19,19,Apr 19,@,PHI,L0-7,31,29,0,2,0,0,0,0,2,0,13,0,0,0,0,0,0,0,.256,.325,.422,.748,4,13,R,J.Arrieta (83)
20,20,Apr 20,@,PHI,L1-2,37,32,1,6,3,0,0,1,3,0,7,1,0,1,0,0,1,0,.253,.323,.416,.738,9,13,R,B.Lively (59)
21,21,Apr 21,@,PHI,L2-6,34,34,2,8,0,0,1,2,0,0,11,0,0,0,0,1,0,0,.252,.319,.411,.730,5,15,R,A.Nola (66)
22,22,Apr 22,@,PHI,L2-3,44,40,2,7,1,1,1,2,4,2,11,0,0,0,2,0,1,0,.248,.315,.407,.722,9,17,R,N.Pivetta (60)
23,23,Apr 25 (1),,DET,L10-13,46,42,10,14,2,0,2,10,4,0,6,0,0,0,1,0,0,0,.253,.319,.413,.732,9,17,R,J.Zimmermann (32)
24,24,Apr 25 (2),,DET,W8-3,45,38,8,15,2,0,1,7,6,1,7,0,1,0,0,0,0,0,.259,.327,.418,.745,13,15,L,M.Boyd (31)
25,25,Apr 26,,DET,W1-0,32,30,1,6,3,0,1,1,2,1,11,0,0,0,0,1,1,0,.257,.324,.417,.742,6,11,R,M.Fulmer (72)
26,26,Apr 27,,STL,W6-5,48,42,6,11,2,0,1,5,4,1,11,1,0,1,1,1,0,0,.257,.325,.416,.740,10,19,R,M.Mikolas (64)
27,27,Apr 28,,STL,W6-2,39,29,6,9,1,0,1,5,7,1,3,1,0,2,1,3,0,0,.259,.329,.417,.746,9,15,R,J.Flaherty (45)
