Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
1,1,Mar 30,@,DET,W13-10,13.0,14,10,10,0,9,9,0,0,6.92,62,251,151,3,3,0,0,53,7,0,0,0,0,2,1,8,Tony Randazzo,I.Nova (99-48) D.Neverauskas (99-H) M.Feliz (99-BSv) E.Santana (99) G.Kontos (99) F.Vazquez (99) J.Smoker (99-BSv) S.Brault (99-W)
2,2,Apr 1(1),@,DET,W1-0,9.0,2,0,0,0,6,5,0,0,4.09,32,127,72,0,0,0,1,26,1,0,0,0,0,0,2,4,Lance Barrett,T.Williams (99-68-W) M.Feliz (1-H) G.Kontos (1-H) F.Vazquez (1-Sv)
3,3,Apr 1(2),@,DET,W8-6,9.0,12,6,6,0,2,9,1,0,4.65,41,148,95,3,1,0,0,39,4,2,0,0,0,0,0,5,Nic Lentz,C.Kuhl (99-41-W) E.Santana (1-H) T.Glasnow (99) D.Neverauskas (1) F.Vazquez (-1-Sv)
4,4,Apr 2,,MIN,W5-4,9.0,7,4,4,0,3,10,1,1,4.50,37,162,101,3,2,0,0,33,3,0,0,0,0,0,1,6,Chris Conroy,J.Taillon (99-61-W) E.Santana (0) J.Smoker (2) D.Neverauskas (0-H) M.Feliz (0-H) G.Kontos (0-Sv)
5,5,Apr 4,,MIN,L3-7,9.0,9,7,7,0,4,8,1,0,4.96,39,153,91,2,1,1,0,34,5,0,0,0,1,0,1,4,Fieldin Culbreth,I.Nova (4-40-L) D.Neverauskas (1) J.Smoker (1) T.Glasnow (2)
6,6,Apr 5,,CIN,W5-2,9.0,5,2,2,0,5,7,1,0,4.50,36,133,80,0,0,0,0,31,0,0,0,0,0,0,1,5,Vic Carapazza,S.Brault (5-57-W) E.Santana (2) M.Feliz (2) G.Kontos (2) F.Vazquez (3-Sv)
7,7,Apr 6,,CIN,W14-3,9.0,13,3,3,0,3,6,0,0,4.30,40,153,90,2,0,0,0,37,1,0,0,0,0,0,2,4,Jordan Baker,T.Williams (4-43-W) E.Santana (0-H) J.Smoker (1) C.Holmes (99)
8,8,Apr 7,,CIN,L4-7,9.0,11,7,7,0,5,10,1,1,4.62,43,171,99,0,0,1,0,34,2,0,0,2,1,0,1,5,Jerry Layne,C.Kuhl (5-53) D.Neverauskas (2-BSv) M.Feliz (1) G.Kontos (1-L) T.Glasnow (2)
9,9,Apr 8,,CIN,W5-0,9.0,1,0,0,0,2,7,0,1,4.13,30,110,67,,,0,0,27,0,0,0,0,0,0,1,1,Greg Gibson,J.Taillon (5-90-W)
10,10,Apr 10,@,CHC,W8-5,9.0,10,5,5,0,2,8,2,1,4.21,39,150,101,3,2,0,0,36,1,0,0,0,0,0,0,3,Tom Hallion,I.Nova (5-57-W) E.Santana (3) F.Vazquez (4-Sv)
