Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
1,1,Mar 29,,MIL,L1-2,45,39,1,6,0,0,0,1,6,1,15,0,0,0,0,2,1,1,.154,.267,.154,.421,8,18,R,C.Anderson (73)
2,2,Mar 30,,MIL,L6-8,42,37,6,12,2,0,2,6,4,0,7,1,0,0,0,1,0,0,.237,.333,.342,.675,9,16,R,J.Chacin (29)
3,3,Mar 31,,MIL,L3-7,32,31,3,6,2,1,1,3,1,0,8,0,0,0,0,1,0,0,.224,.303,.364,.667,2,13,L,B.Suter (48)
4,4,Apr 2,,COL,L4-7,41,35,4,8,3,1,2,4,5,0,8,1,0,0,0,0,0,0,.225,.313,.408,.721,10,15,R,C.Bettis (49)
5,5,Apr 3,,COL,W8-4,36,31,8,8,1,0,3,8,4,0,7,1,0,0,0,2,1,0,.231,.321,.439,.761,4,15,L,K.Freeland (46)
6,6,Apr 4,,COL,L2-5,35,32,2,6,1,0,0,1,2,0,7,1,0,0,0,1,0,0,.224,.312,.405,.717,6,14,R,J.Gray (76)
7,7,Apr 5,,COL,L1-3,31,31,1,6,0,0,1,1,0,0,8,0,0,0,0,0,0,1,.220,.298,.390,.688,3,15,L,T.Anderson (68)
8,8,Apr 6,@,HOU,W4-1,42,38,4,13,5,0,0,3,3,0,11,1,0,0,0,0,0,1,.237,.313,.401,.714,11,10,R,L.McCullers (47)
9,9,Apr 7,@,HOU,L0-1,37,35,0,6,3,0,0,0,1,0,14,0,1,0,0,0,0,0,.230,.300,.385,.685,7,9,R,G.Cole (78)
10,10,Apr 8,@,HOU,L1-4,36,31,1,4,0,0,0,1,4,0,9,1,0,0,1,1,1,0,.221,.295,.362,.657,8,10,R,C.Morton (66)
11,11,Apr 9,@,COL,W7-6,40,38,7,13,2,1,2,7,1,1,10,0,1,0,0,1,1,0,.233,.301,.386,.687,6,13,R,J.Gray (24)
12,12,Apr 10,@,COL,W5-2,39,35,5,10,2,0,2,5,3,0,10,1,0,0,0,1,0,0,.237,.306,.397,.703,7,15,L,T.Anderson (56)
13,13,Apr 11,@,COL,L4-6,35,33,4,6,1,0,2,3,1,0,13,1,0,0,0,0,0,0,.233,.301,.397,.697,4,15,R,G.Marquez (61)
14,14,Apr 12,,SFG,L0-7,30,27,0,1,0,0,0,0,3,0,6,0,0,0,0,0,0,0,.222,.291,.376,.667,3,14,R,C.Stratton (76)
15,15,Apr 13,,SFG,W5-1,36,34,5,8,2,0,1,5,1,0,6,1,0,0,2,0,0,0,.223,.290,.377,.667,7,14,L,T.Blach (41)
16,16,Apr 14,,SFG,W5-4,39,34,5,11,2,0,2,5,4,0,9,0,0,1,1,1,0,0,.229,.296,.388,.684,10,14,L,D.Holland (42)
17,17,Apr 15,,SFG,W10-1,43,35,10,11,3,1,1,9,7,0,12,1,0,0,1,1,3,0,.234,.306,.398,.704,9,12,R,T.Beede (32)
18,18,Apr 16,,LAD,L3-10,34,32,3,6,2,0,1,3,1,0,12,1,0,0,0,1,0,0,.232,.303,.395,.697,4,15,L,H.Ryu (67)
19,19,Apr 17,,LAD,L3-7,48,41,3,5,2,0,1,2,7,1,20,0,0,0,1,1,1,0,.225,.299,.385,.684,9,20,L,A.Wood (68)
20,20,Apr 18,,LAD,L4-13,39,34,4,8,1,0,0,4,3,0,13,1,0,1,0,0,0,0,.225,.299,.379,.679,8,15,R,K.Maeda (45)
21,21,Apr 20,@,ARI,W4-1,36,33,4,5,0,0,1,2,2,0,6,0,1,0,1,1,0,0,.222,.295,.373,.668,5,10,R,M.Koch (66)
22,22,Apr 21,@,ARI,L2-6,34,33,2,9,1,0,0,2,1,0,10,0,0,0,0,1,1,2,.224,.295,.370,.665,5,13,R,Z.Godley (55)
23,23,Apr 22,@,ARI,L2-4,32,31,2,3,1,0,1,2,1,0,15,0,0,0,0,0,0,0,.219,.289,.364,.653,3,13,L,P.Corbin (70)
24,24,Apr 23,@,COL,W13-5,49,43,13,16,3,0,2,12,6,0,9,0,0,0,0,0,2,0,.227,.297,.375,.673,9,13,R,C.Bettis (44)
25,25,Apr 24,@,COL,L0-8,32,30,0,4,1,0,0,0,2,0,12,0,0,0,0,1,0,0,.224,.294,.368,.662,5,15,L,K.Freeland (77)
26,26,Apr 25,@,COL,L2-5,33,28,2,4,1,0,0,2,4,0,16,0,0,1,0,0,0,2,.221,.292,.362,.654,4,15,R,J.Gray (76)
27,27,Apr 27,,NYM,L1-5,34,29,1,6,0,0,1,1,4,0,8,0,1,0,0,2,0,1,.221,.292,.360,.653,6,13,R,J.deGrom (73)
28,28,Apr 28,,NYM,W12-2,43,38,12,13,3,1,2,12,4,0,10,1,0,0,0,0,2,0,.226,.297,.371,.669,7,14,L,J.Vargas (9)
29,29,Apr 29,,NYM,L2-14,40,38,2,11,2,0,0,2,2,0,12,0,0,0,0,0,1,0,.228,.298,.370,.669,11,15,R,Z.Wheeler (54)
30,30,Apr 30,@,SFG,L5-6,42,36,5,10,2,0,0,4,5,0,6,0,0,1,1,1,2,0,.230,.301,.369,.670,10,17,R,J.Samardzija (51)
31,31,May 1,@,SFG,W3-2,30,29,3,5,0,1,2,3,1,0,6,0,0,0,0,3,0,0,.228,.298,.371,.669,0,13,L,A.Suarez (65)
32,32,May 2,@,SFG,L4-9,39,34,4,8,1,0,1,4,4,0,9,0,1,0,1,0,0,0,.229,.299,.371,.669,8,15,L,D.Holland (50)
33,33,May 4,,LAD,L0-4,31,26,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,.223,.295,.362,.657,4,14,R,W.Buehler (77)
34,34,May 5,,LAD,W7-4,36,30,7,9,1,1,2,7,5,0,10,0,0,1,0,2,0,0,.225,.298,.368,.666,5,17,R,K.Maeda (53)
35,35,May 6,,LAD,W3-0,36,33,3,11,1,1,1,3,3,0,8,0,0,0,0,1,0,0,.228,.300,.372,.673,9,14,R,R.Stripling (57)
36,36,May 7,,WSN,L5-8,36,31,5,8,1,1,0,5,3,0,9,1,0,1,0,1,1,2,.229,.301,.372,.673,4,14,R,S.Strasburg (57)
37,37,May 8,,WSN,L0-4,30,29,0,3,0,0,0,0,1,0,8,0,0,0,0,1,0,0,.226,.298,.365,.663,3,11,R,J.Hellickson (78)
38,38,May 9,,WSN,W2-1,35,30,2,8,3,0,0,2,5,1,8,0,0,0,0,1,3,1,.227,.299,.366,.665,9,14,L,G.Gonzalez (63)
39,39,May 10,,STL,L1-2,32,30,1,5,0,0,1,1,2,0,5,0,0,0,0,1,1,0,.226,.298,.363,.661,4,14,R,M.Mikolas (63)
40,40,May 11,,STL,L5-9,41,38,5,11,4,1,1,4,3,0,8,0,0,0,0,0,0,0,.227,.299,.368,.667,9,14,R,L.Weaver (62)
41,41,May 12,,STL,W2-1,47,42,2,7,1,0,0,1,5,0,14,0,0,0,0,1,1,0,.226,.297,.362,.660,9,19,R,M.Wacha (66)
42,42,May 13,,STL,W5-3,37,28,5,8,2,0,0,5,6,0,9,0,1,2,1,2,1,0,.227,.300,.362,.662,8,11,R,A.Wainwright (40)
43,43,May 14,,COL,L4-6,37,34,4,8,3,1,0,3,3,0,8,0,0,0,1,1,1,0,.227,.299,.363,.662,6,15,L,T.Anderson (43)
44,44,May 15,,COL,W4-0,32,30,4,8,0,0,2,4,2,0,7,0,0,0,0,1,2,0,.228,.300,.365,.665,4,13,R,G.Marquez (51)
45,45,May 17,@,PIT,L4-5,37,34,4,9,4,0,0,4,2,0,12,0,1,0,0,0,0,1,.229,.300,.365,.665,6,17,R,C.Kuhl (38)
46,46,May 18,@,PIT,W3-2,34,32,3,6,2,0,0,3,2,1,8,0,0,0,1,2,2,0,.228,.299,.363,.662,4,14,R,I.Nova (54)
47,47,May 19,@,PIT,W6-2,38,36,6,10,4,0,2,6,1,0,7,0,0,1,1,0,3,0,.229,.298,.367,.666,5,14,R,N.Kingham (54)
48,48,May 20,@,PIT,W8-5,38,37,8,9,1,0,1,7,0,0,7,0,1,0,1,0,2,0,.229,.297,.367,.664,3,15,R,T.Williams (53)
49,49,May 21,@,WSN,L2-10,34,31,2,4,0,0,1,2,3,0,8,0,0,0,0,0,0,0,.227,.296,.364,.660,5,13,L,G.Gonzalez (67)
50,50,May 22,@,WSN,L1-2,32,31,1,7,1,0,1,1,1,0,10,0,0,0,0,1,0,1,.227,.295,.364,.659,4,14,R,J.Hellickson (58)
51,51,May 23,@,WSN,W3-1,35,33,3,8,3,0,0,3,2,1,9,0,0,0,0,0,1,2,.228,.295,.364,.658,5,12,R,E.Fedde (50)
52,52,May 25,@,LAD,L1-4,32,32,1,6,2,0,0,1,0,0,15,0,0,0,0,1,0,0,.227,.293,.361,.654,4,12,R,R.Stripling (70)
53,53,May 26,@,LAD,W7-5,40,34,7,10,1,0,4,7,4,1,9,1,1,0,0,1,1,0,.228,.295,.367,.662,6,15,L,A.Wood (42)
54,54,May 27,@,LAD,L1-6,33,32,1,6,3,0,0,1,0,0,10,0,0,1,0,0,0,0,.227,.293,.366,.659,5,16,R,W.Buehler (73)
55,55,May 28,,MIA,L2-7,33,32,2,6,2,0,1,2,1,0,4,0,0,0,0,1,0,0,.227,.291,.366,.657,4,13,L,C.Smith (68)
56,56,May 29,,MIA,W9-5,36,33,9,10,1,0,1,7,2,0,8,0,1,0,1,1,0,0,.228,.292,.367,.659,3,16,R,D.Straily (41)
57,57,May 30,,MIA,W3-2,36,30,3,6,2,0,1,2,5,1,9,0,1,0,0,0,0,0,.228,.293,.367,.659,8,13,R,J.Urena (66)
58,58,May 31,,MIA,W8-3,42,35,8,10,2,0,1,8,7,1,11,0,0,0,1,0,0,0,.229,.295,.368,.663,10,14,L,W.Chen (33)
59,59,Jun 1,,CIN,L2-7,36,33,2,7,1,1,0,2,3,0,9,0,0,0,0,1,0,0,.228,.295,.367,.661,7,12,R,T.Mahle (60)
60,60,Jun 2,,CIN,W8-2,37,33,8,12,1,0,0,8,2,0,4,0,0,2,2,1,2,1,.231,.296,.367,.663,5,16,R,M.Harvey (39)
61,61,Jun 3,,CIN,W6-3,35,32,6,9,0,0,2,6,3,1,6,0,0,0,0,0,1,1,.231,.297,.369,.665,5,16,R,L.Castillo (38)
62,62,Jun 4,,ATL,W11-4,42,35,11,13,4,1,4,11,5,0,4,0,1,1,1,1,0,0,.234,.299,.377,.677,7,12,R,J.Teheran (35)
63,63,Jun 5,,ATL,L1-14,33,28,1,4,0,0,1,1,5,0,9,0,0,0,0,3,0,0,.233,.299,.376,.675,5,14,L,S.Newcomb (67)
64,64,Jun 6,,ATL,W3-1,34,29,3,7,0,1,0,3,4,0,11,0,1,0,0,0,0,1,.233,.299,.375,.674,7,15,R,M.Foltynewicz (54)
65,65,Jun 8,@,MIA,L0-4,33,30,0,6,2,0,0,0,2,0,10,0,1,0,0,1,0,0,.232,.299,.373,.672,6,14,L,C.Smith (63)
66,66,Jun 9,@,MIA,W5-4,41,37,5,12,2,0,1,4,4,2,8,0,0,0,0,0,2,1,.234,.300,.375,.675,9,14,R,D.Straily (31)
67,67,Jun 10,@,MIA,W3-1,34,31,3,8,1,0,1,3,1,0,8,0,1,1,0,0,0,1,.234,.300,.375,.675,4,11,R,J.Urena (53)
68,68,Jun 11,@,STL,L2-5,35,31,2,4,1,0,1,2,3,0,10,1,0,0,0,0,0,0,.233,.299,.373,.672,6,11,R,J.Flaherty (68)
69,69,Jun 12,@,STL,W4-2,34,33,4,7,1,0,1,4,0,0,9,0,1,0,0,0,0,0,.232,.298,.373,.671,3,15,R,M.Mikolas (53)
70,70,Jun 13,@,STL,W4-2,37,35,4,10,2,1,0,4,1,0,9,0,1,0,0,1,1,0,.233,.298,.373,.671,6,14,R,L.Weaver (37)
71,71,Jun 14,@,ATL,L2-4,34,33,2,8,3,0,0,2,0,0,6,0,1,0,0,1,0,0,.233,.297,.373,.670,5,12,R,A.Sanchez (75)
72,72,Jun 15,@,ATL,W9-3,42,37,9,14,2,0,2,9,5,0,5,0,0,0,0,2,0,0,.236,.300,.376,.676,6,13,R,B.McCarthy (48)
73,73,Jun 16,@,ATL,L0-1,33,31,0,4,2,0,0,0,1,0,13,1,0,0,0,0,0,0,.234,.298,.374,.672,6,12,L,S.Newcomb (74)
74,74,Jun 17,@,ATL,L1-4,36,31,1,6,0,0,0,1,3,0,17,1,0,1,0,0,2,1,.234,.298,.371,.669,8,16,R,J.Teheran (80)
75,75,Jun 19,,OAK,L2-4,39,36,2,6,3,0,0,2,3,0,14,0,0,0,0,0,1,0,.233,.297,.370,.667,7,16,R,P.Blackburn (53)
76,76,Jun 20,,OAK,L4-12,39,35,4,9,2,0,1,3,4,0,11,0,0,0,1,1,0,1,.233,.297,.370,.668,8,14,R,F.Montas (63)
77,77,Jun 21,@,SFG,L0-3,33,31,0,4,2,0,0,0,2,1,9,0,0,0,0,0,0,0,.232,.296,.368,.664,6,12,L,M.Bumgarner (82)
78,78,Jun 22,@,SFG,W6-2,40,36,6,12,3,0,0,5,3,1,5,0,1,0,0,0,0,0,.233,.297,.369,.666,7,16,R,C.Stratton (47)
79,79,Jun 23,@,SFG,L3-5,36,33,3,11,2,0,1,2,3,0,6,0,0,0,0,4,0,1,.235,.298,.370,.669,6,17,L,A.Suarez (52)
80,80,Jun 24,@,SFG,L2-3,41,38,2,6,0,0,1,2,3,0,10,0,0,0,0,1,0,0,.233,.297,.368,.666,6,15,R,D.Rodriguez (70)
81,81,Jun 25,@,TEX,L4-7,37,36,4,11,1,0,2,4,1,0,8,0,0,0,0,1,1,0,.234,.298,.370,.668,6,10,L,C.Hamels (37)
82,82,Jun 26,@,TEX,W3-2,37,31,3,7,2,0,0,3,5,0,11,0,0,1,0,2,0,0,.234,.298,.369,.667,7,10,R,A.Bibens-Dirkx (65)
83,83,Jun 27,@,TEX,L2-5,33,31,2,4,2,0,0,2,2,0,9,0,0,0,0,0,0,0,.233,.297,.367,.664,4,9,L,M.Minor (80)
84,84,Jun 29,,PIT,L3-6,40,37,3,12,1,0,0,3,2,0,8,0,1,0,0,1,1,0,.234,.298,.367,.664,10,15,R,J.Musgrove (66)
85,85,Jun 30,,PIT,W4-3,31,28,4,5,3,0,1,4,2,0,9,0,1,0,0,0,0,0,.234,.297,.367,.664,3,15,R,T.Williams (42)
86,86,Jul 1,,PIT,L5-7,43,35,5,9,1,0,1,5,7,0,10,0,0,1,0,0,2,0,.234,.298,.367,.665,11,17,R,J.Taillon (37)
87,87,Jul 3,@,OAK,L2-6,38,34,2,9,1,0,0,2,4,0,9,0,0,0,0,0,1,1,.234,.298,.366,.665,9,10,R,C.Bassitt (45)
88,88,Jul 4,@,OAK,L2-4,36,32,2,7,1,0,1,2,4,1,3,0,0,0,0,2,0,0,.234,.299,.366,.665,7,11,L,S.Manaea (60)
89,89,Jul 5,@,ARI,W6-3,36,33,6,8,1,2,1,5,3,0,10,0,0,0,1,2,1,1,.234,.299,.367,.666,3,14,R,S.Miller (47)
90,90,Jul 6,@,ARI,L1-3,33,31,1,5,1,0,0,1,1,0,8,1,0,0,0,1,1,0,.234,.298,.366,.663,5,13,R,Z.Godley (66)
91,91,Jul 7,@,ARI,L5-20,36,32,5,7,0,0,4,5,4,0,10,0,0,0,0,2,0,0,.233,.298,.368,.666,4,15,L,R.Ray (42)
92,92,Jul 8,@,ARI,W4-3,67,59,4,13,2,0,1,4,8,1,20,0,0,0,0,2,3,0,.233,.298,.367,.665,15,22,R,Z.Greinke (45)
93,93,Jul 9,,LAD,L2-8,35,34,2,5,1,0,1,1,1,0,10,0,0,0,2,0,0,0,.232,.297,.366,.663,6,12,L,C.Kershaw (72)
